time/episodes,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/learning_rate,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/ent_coef,train/ent_coef_loss
322,-128272.55183254,180000,44974,-5293.98974609375,0.001,183,801.0,979,1595473.0,16.108312606811523,-0.034517765045166016
335,-126454.71404807002,190000,47474,-5761.81396484375,0.001,184,804.4,1031,1509594.125,15.896337509155273,-0.4205605387687683
346,-126322.38620348001,200000,49974,-5880.4306640625,0.001,184,820.22,1083,1583789.25,13.131674766540527,0.09122180938720703
355,-122831.35317562,210000,52474,-6651.390625,0.001,185,835.71,1134,2296173.5,13.032536506652832,0.4139273762702942
366,-115972.18472850001,220000,54974,-7675.5537109375,0.001,185,835.71,1186,15281735.0,13.059332847595215,-0.24681779742240906
376,-105376.75749256999,230000,57474,-8719.537109375,0.001,185,843.48,1238,2671147.75,14.98267650604248,0.20880235731601715
388,-100420.6317498,240000,59974,-9180.787109375,0.001,185,852.27,1290,2187499.0,11.947922706604004,-1.1288962364196777
398,-101779.8959872,250000,62474,-8829.16015625,0.001,186,872.58,1341,33199670.0,12.69909381866455,-1.2478528022766113
409,-84029.47969754,260000,64974,-11171.9609375,0.001,186,919.22,1393,1723798.125,13.172595977783203,0.37218013405799866
418,-66526.42385024,270000,67474,-10743.6962890625,0.001,186,933.44,1445,1365206.5,12.11441707611084,-0.3475522994995117
430,-71587.29095978,280000,69974,-10794.3388671875,0.001,187,941.26,1497,1528135.5,11.132369041442871,-0.9192579388618469
439,-73071.5338004,290000,72474,-12197.15625,0.001,187,961.51,1549,1219381.5,11.198206901550293,0.43718135356903076
450,-70025.65588385,300000,74974,-12084.91796875,0.001,187,961.36,1602,1611252.25,11.0795316696167,0.5777782201766968
459,-67886.67828654,310000,77474,-11195.630859375,0.001,187,961.36,1654,6364694.0,11.567333221435547,-0.4046422243118286
470,-73356.23263806,320000,79974,-11356.6572265625,0.001,187,963.03,1705,1121454.0,11.440046310424805,1.0047955513000488
479,-82339.42426090999,330000,82474,-11729.341796875,0.001,187,971.42,1758,17646320.0,10.616828918457031,-1.179715633392334
490,-90699.27310785999,340000,84974,-11310.775390625,0.001,187,982.7,1810,15558120.0,10.371721267700195,-1.2329301834106445
501,-96651.44228221003,350000,87474,-13543.45703125,0.001,187,976.4,1862,1431849.25,12.054549217224121,0.0908980667591095
510,-100414.41785900001,360000,89974,-13079.8203125,0.001,188,976.4,1914,1412983.0,10.479275703430176,-0.5062398314476013
521,-99840.70990567999,370000,92474,-13126.53125,0.001,188,976.74,1966,2213535.5,8.843829154968262,0.2667321264743805
530,-86587.14288918,380000,94974,-11996.4736328125,0.001,188,984.9,2020,33789620.0,10.30543041229248,1.1070245504379272
541,-81585.57988755999,390000,97474,-13087.0986328125,0.001,187,985.05,2074,1181742.75,9.259315490722656,0.44537562131881714
551,-98552.71822204001,400000,99974,-11755.99609375,0.001,187,981.07,2129,753925.125,9.220359802246094,1.0965847969055176
562,-99600.77514508998,410000,102474,-11945.2158203125,0.001,187,975.13,2189,954944.6875,7.303111553192139,-0.5392972826957703
572,-86782.93261587,420000,104974,-13231.6650390625,0.001,186,966.53,2250,988938.3125,7.07535982131958,0.5474330186843872
583,-92417.14269830001,430000,107474,-14130.76953125,0.001,186,966.53,2309,2695667.5,7.013918876647949,-1.0638781785964966
592,-80555.4119248,440000,109974,-14848.0556640625,0.001,185,966.07,2369,417705.84375,8.027042388916016,-0.2284213900566101
604,-82120.18549121998,450000,112474,-15189.4921875,0.001,185,964.66,2428,742956.5,7.7437663078308105,0.004368707537651062
615,-122520.89648041001,460000,114974,-14583.884765625,0.001,184,966.18,2488,885988.5,6.82470178604126,-0.17626261711120605
625,-125663.51422775,470000,117474,-17055.171875,0.001,184,958.66,2548,594741.75,8.055659294128418,0.15305347740650177
635,-144857.61831794996,480000,119974,-16955.853515625,0.001,183,961.12,2609,12508495.0,7.632621765136719,0.4027370810508728
646,-148335.78987356,490000,122474,-16336.85546875,0.001,183,955.35,2670,3502953.75,7.4403252601623535,-0.3173227310180664
656,-126663.02106942999,500000,124974,-17683.5625,0.001,183,955.35,2731,8904386.0,7.886084079742432,-0.717604398727417
666,-140906.38140302,510000,127474,-16707.1953125,0.001,182,961.24,2792,1347295.75,7.515598297119141,-0.07259483635425568
676,-136449.96344797,520000,129974,-17677.76171875,0.001,182,968.82,2852,831468.875,8.02101993560791,0.8544880151748657
686,-124310.22722285999,530000,132474,-16859.080078125,0.001,181,968.82,2912,574676.5,7.585962295532227,0.48199135065078735
696,-121777.23006300999,540000,134974,-17133.240234375,0.001,181,974.86,2973,1269268.25,7.684866905212402,0.0711938664317131
707,-87026.72110332001,550000,137474,-18177.34375,0.001,181,972.62,3034,856426.5625,6.925997734069824,-0.5040975213050842
717,-74212.94365411998,560000,139974,-16942.287109375,0.001,180,979.39,3094,1806725.875,7.8271379470825195,-0.35298970341682434
727,-70174.53779498,570000,142474,-17669.55859375,0.001,180,980.14,3155,680447.125,5.525585651397705,0.9970771074295044
737,-64591.033418130006,580000,144974,-18358.5,0.001,180,980.14,3216,731106.8125,7.1457648277282715,0.18243655562400818
747,-100888.13341096001,590000,147474,-16889.791015625,0.001,180,989.89,3275,7466465.0,7.082038402557373,0.0794399082660675
757,-101189.63281362999,600000,149974,-18427.45703125,0.001,179,990.34,3335,1597025.75,7.20994758605957,-0.26413363218307495
767,-132981.92340958997,610000,152474,-17756.568359375,0.001,179,990.96,3396,696471.375,8.562141418457031,1.1641695499420166
777,-142547.89519328,620000,154974,-17453.123046875,0.001,179,990.96,3456,1157360.25,5.93825626373291,-0.9758566617965698
787,-140053.30142623003,630000,157474,-17268.67578125,0.001,179,990.96,3516,586982.125,6.8609724044799805,-0.15062028169631958
797,-139866.72600042998,640000,159974,-16408.83984375,0.001,178,990.96,3576,659323.5,6.997871398925781,0.4159585237503052
807,-135532.93073774,650000,162474,-16280.890625,0.001,178,1000.0,3637,852539.75,6.529834747314453,-0.2924860715866089
817,-149251.49040610003,660000,164974,-16491.552734375,0.001,178,1000.0,3697,1346022.0,5.958795070648193,0.21815107762813568
828,-146190.2988803,670000,167474,-15779.2724609375,0.001,178,993.4,3757,1004360.6875,6.813375949859619,-0.3058423399925232
838,-137971.58249423,680000,169974,-16116.5361328125,0.001,178,993.4,3816,2853298.0,6.006548881530762,0.9971791505813599
848,-109747.48387460998,690000,172474,-14600.6875,0.001,178,993.4,3875,511272.71875,6.994475364685059,-0.4636383652687073
858,-99245.60655760001,700000,174974,-15357.20703125,0.001,177,984.94,3933,3024812.5,5.962628364562988,-0.39868712425231934
869,-68438.77819797,710000,177474,-14755.7412109375,0.001,177,984.94,3991,708912.0625,5.835997104644775,1.059982180595398
879,-55578.65868593999,720000,179974,-14455.236328125,0.001,177,982.51,4049,610901.125,6.320215702056885,0.26117733120918274
891,-50913.3596611,730000,182474,-14503.470703125,0.001,177,961.06,4107,915905.1875,6.502659320831299,-1.4868416786193848
902,-60565.69295927,740000,184974,-13433.23046875,0.001,177,953.18,4165,936203.75,7.223167896270752,-0.4413449764251709
912,-59161.05497268001,750000,187474,-13598.8076171875,0.001,177,948.62,4224,788231.375,6.677731990814209,-0.33599674701690674
923,-50448.798391740005,760000,189974,-13299.20703125,0.001,177,940.62,4282,18657406.0,5.745711803436279,1.0538201332092285
933,-43238.90145444,770000,192474,-13420.8984375,0.001,177,947.22,4339,470552.6875,5.161747455596924,-0.6438956260681152
944,-35613.41084407,780000,194974,-13305.06640625,0.001,177,933.22,4397,454823.59375,5.627655029296875,0.41607987880706787
955,-33344.07261471001,790000,197474,-14227.57421875,0.001,177,933.22,4454,3051468.5,5.36313533782959,-1.6252367496490479
965,-37453.41778548001,800000,199974,-14390.064453125,0.001,177,935.84,4513,716820.3125,5.023166656494141,0.5645167827606201
975,-43524.09291687999,810000,202474,-14369.466796875,0.001,177,928.05,4572,351203.5,6.046350955963135,-0.1051885187625885
985,-44403.478055370004,820000,204974,-13489.3466796875,0.001,177,930.48,4630,957146.625,6.587837219238281,-0.05742214620113373
995,-61404.795883959996,830000,207474,-13328.048828125,0.001,177,951.93,4689,1195905.125,5.207252502441406,-0.40444910526275635
1005,-48173.59140501,840000,209974,-13621.0078125,0.001,176,964.37,4746,697206.4375,5.986327648162842,-0.8257601857185364
1015,-54828.07314462001,850000,212474,-12117.15625,0.001,176,964.37,4803,676737.875,5.079273223876953,-0.4644538462162018
1025,-55795.95335569,860000,214974,-12955.4560546875,0.001,176,967.54,4861,643375.5,4.760895252227783,-0.4481089115142822
1036,-56863.71039251001,870000,217474,-12955.234375,0.001,176,967.54,4919,367007.25,5.445199012756348,0.6611323356628418
1045,-71857.59082076002,880000,219974,-12481.48046875,0.001,176,981.54,4978,522570.9375,5.697290420532227,-0.056757956743240356
1056,-88722.63043078,890000,222474,-12392.2900390625,0.001,176,981.54,5037,345094.125,5.49124813079834,-0.19979506731033325
1065,-82436.06431274001,900000,224974,-11682.513671875,0.001,176,987.38,5095,471098.34375,4.7816243171691895,-0.5081011056900024
1076,-75687.62122693,910000,227474,-12022.9248046875,0.001,176,995.17,5153,740207.1875,5.965057373046875,-1.3945472240447998
1085,-85939.11125751,920000,229974,-11288.373046875,0.001,176,995.17,5212,297509.875,5.594566822052002,0.1273723840713501
1099,-81791.93100804,930000,232474,-12387.4765625,0.001,176,972.18,5270,219212.046875,6.473942279815674,-0.19911222159862518
1108,-86517.65045507,940000,234974,-11450.896484375,0.001,176,972.18,5329,695011.375,5.501064777374268,-0.18666523694992065
1119,-78201.97093411999,950000,237474,-11522.671875,0.001,176,964.84,5387,875195.5,6.047203063964844,0.5304965376853943
1130,-141254.23282133997,960000,239974,-10772.95703125,0.001,176,960.79,5446,567772.5,6.083689212799072,-0.12128853797912598
1145,-127708.5190371,970000,242474,-11440.609375,0.001,176,910.43,5504,879735.125,4.862761497497559,-0.43859434127807617
1157,-107123.89105349,980000,244974,-11244.14453125,0.001,176,891.81,5562,20773704.0,4.2664384841918945,0.12133307009935379
1171,-106190.58534556,990000,247474,-11831.7138671875,0.001,176,867.6,5621,1644785.75,4.61920690536499,-0.7876691818237305
1181,-87588.72916295,1000000,249974,-12030.6474609375,0.001,176,844.76,5678,706059.625,4.839827537536621,-0.03147955983877182
