train/policy_loss,train/learning_rate,train/value_loss,train/entropy_loss,time/fps,train/explained_variance,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/std
-371832.4375,0.0007,1505024256.0,-14.639772415161133,1439,5.960464477539063e-08,580000,28999,72.9,402,-259536.6971074,1.240692377090454
309682.3125,0.0007,2009139456.0,-14.773134231567383,1439,5.960464477539063e-08,590000,29499,46.11,409,-143836.66146642,1.2593896389007568
-133218.78125,0.0007,168982112.0,-14.785252571105957,1440,0.0,600000,29999,92.95,416,-275720.69868851,1.2602986097335815
-53778.57421875,0.0007,49489864.0,-14.870649337768555,1441,-1.1920928955078125e-07,610000,30499,40.48,423,-54712.10449794001,1.2714868783950806
-610955.75,0.0007,2876389632.0,-14.94917106628418,1441,0.0,620000,30999,22.55,430,-195106.46251985,1.281664252281189
-173368.78125,0.0007,245544112.0,-15.104036331176758,1442,0.0,630000,31499,29.38,436,-162961.64159249002,1.304270625114441
-91926.8828125,0.0007,507226432.0,-15.170507431030273,1444,0.0,640000,31999,52.09,443,-234865.27232802997,1.3130648136138916
-346405.71875,0.0007,1137293952.0,-15.111322402954102,1444,-1.1920928955078125e-07,650000,32499,30.66,449,-170894.73014176,1.3047999143600464
-240355.578125,0.0007,1150900096.0,-15.170618057250977,1445,0.0,660000,32999,43.86,456,-174710.11542687996,1.3131014108657837
-19704.19921875,0.0007,27616524.0,-15.237787246704102,1445,-2.384185791015625e-07,670000,33499,31.2,463,-153651.98717793997,1.3226752281188965
-363896.5625,0.0007,1867292928.0,-15.26588249206543,1445,0.0,680000,33999,32.85,470,-123166.79389968001,1.3259105682373047
-225478.171875,0.0007,477249376.0,-15.283090591430664,1445,0.0,690000,34499,21.33,477,-106821.90393520001,1.330156922340393
-470340.09375,0.0007,2559550720.0,-15.364931106567383,1444,-1.1920928955078125e-07,700000,34999,40.21,484,-100752.42860539003,1.3424687385559082
-360705.03125,0.0007,1429574912.0,-15.349075317382812,1444,-1.1920928955078125e-07,710000,35499,39.63,491,-168570.13901299998,1.3397167921066284
184151.65625,0.0007,2030450432.0,-15.397893905639648,1444,0.0,720000,35999,41.91,498,-45669.45021372,1.3476814031600952
-281917.53125,0.0007,898372736.0,-15.399820327758789,1443,0.0,730000,36499,74.53,505,-167667.76855347003,1.348103642463684
-99246.1796875,0.0007,180435520.0,-15.372720718383789,1443,0.0,740000,36999,37.5,512,46240.52811395001,1.3435611724853516
-15231.9501953125,0.0007,10610882.0,-15.306459426879883,1443,0.0,750000,37499,59.35,519,-81368.6521464,1.3340935707092285
-456775.34375,0.0007,3513122816.0,-15.315954208374023,1443,0.0,760000,37999,32.06,526,-109828.64058259997,1.335097312927246
-169828.65625,0.0007,335177600.0,-15.37944507598877,1443,0.0,770000,38499,47.91,533,-83038.32810625002,1.3440927267074585
