train/std,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/policy_objective,time/total_timesteps,train/is_line_search_success,train/value_loss,time/time_elapsed,train/kl_divergence_loss,train/learning_rate
0.8894351124763489,39,4.01,-126368.81767917,1304,0.0,0.031148532405495644,320000,1.0,10787064980.8,245,0.0077191186137497425,0.0013
0.8882448673248291,40,3.95,-126042.14593364,1305,2.980232238769531e-07,0.07120963931083679,330000,1.0,11594631915.2,252,0.006182421464473009,0.0013
0.8826702237129211,41,3.96,-125715.63663184004,1305,1.7881393432617188e-07,0.03945242613554001,340000,1.0,10690289596.8,260,0.009681136347353458,0.0013
0.8758012652397156,42,4.64,-132796.7848121,1305,0.0,0.033553801476955414,350000,1.0,10929072318.4,268,0.009114891290664673,0.0013
0.8738305568695068,43,3.92,-125343.00420387996,1305,-2.384185791015625e-07,0.04423615336418152,360000,1.0,10850593537.6,275,0.009460540488362312,0.0013
0.8698680400848389,45,3.98,-125912.69869566002,1299,1.1920928955078125e-07,0.031004739925265312,370000,1.0,10596186147.2,284,0.008057018741965294,0.0013
0.8682914972305298,46,4.1,-127036.52878281,1300,0.0,0.045609667897224426,380000,1.0,10521037164.8,292,0.008156994357705116,0.0013
0.8678351640701294,47,4.14,-127393.19134881,1299,1.7881393432617188e-07,0.08487855643033981,390000,1.0,10964448492.8,300,0.008117733523249626,0.0013
0.8663841485977173,48,4.27,-128728.96207110999,1299,0.0,0.025870664045214653,400000,1.0,10487455689.6,307,0.009104941040277481,0.0013
0.8651889562606812,50,3.99,-125912.35008798001,1294,-1.1920928955078125e-07,0.026453055441379547,410000,1.0,10638591907.2,316,0.005240323022007942,0.0013
0.8652361035346985,51,4.11,-127087.59067443998,1294,-1.1920928955078125e-07,0.049601830542087555,420000,1.0,10436805124.8,324,0.007100797723978758,0.0013
0.8602789640426636,52,3.91,-125230.64827764999,1294,-1.1920928955078125e-07,0.0364224910736084,430000,1.0,10418051934.4,332,0.00682615814730525,0.0013
0.8587590456008911,53,3.98,-125860.33381711,1294,1.1920928955078125e-07,0.02077920362353325,440000,1.0,10410532200.0,339,0.006992960814386606,0.0013
0.8620412349700928,54,3.91,-125120.71835192,1294,0.0,0.04683149233460426,450000,1.0,10393798337.6,347,0.008344411849975586,0.0013
0.859787106513977,56,3.77,-123825.35914424997,1290,-2.384185791015625e-07,0.04072870314121246,460000,1.0,10497026188.8,356,0.005849878303706646,0.0013
0.8557069301605225,57,4.14,-127404.81777630001,1290,0.0,0.04040855914354324,470000,1.0,10446888921.6,364,0.009805423207581043,0.0013
0.8553980588912964,58,4.02,-126267.23982442002,1290,-1.1920928955078125e-07,0.038011401891708374,480000,1.0,10445267190.4,371,0.005462402943521738,0.0013
0.8557226061820984,59,3.93,-125373.20407994,1290,-1.1920928955078125e-07,0.04643265902996063,490000,1.0,10561651924.8,379,0.0031552626751363277,0.0013
0.8499611020088196,61,3.79,-124045.19235746,1286,0.0,0.04965897276997566,500000,1.0,10239734507.2,388,0.006419871933758259,0.0013
0.848385214805603,62,3.82,-124360.79252769,1286,-2.384185791015625e-07,0.04130171984434128,510000,1.0,10389792528.0,396,0.006559030618518591,0.0013
0.8474156856536865,63,3.66,-122906.50741110001,1287,0.0,0.05695318803191185,520000,1.0,10384696985.6,403,0.005924621131271124,0.0013
0.8462203145027161,64,3.84,-124593.91529922,1288,-1.1920928955078125e-07,0.05610688030719757,530000,1.0,11239312899.2,411,0.007850009948015213,0.0013
0.8412017822265625,65,3.67,-122973.43349026,1288,0.0,0.032826438546180725,540000,1.0,10207790172.8,419,0.004740315955132246,0.0013
