train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/policy_loss,train/value_loss,time/total_timesteps,time/fps,train/std
2499,0.0001,5.960464477539063e-08,-8.500621795654297,-268074.47461677,229.51,56,37129.49609375,518891456.0,200000,3562,0.9978580474853516
2624,0.0001,0.0,-8.498869895935059,-287963.58173036,238.12,58,-21222.83203125,26326152.0,210000,3561,0.997548520565033
2749,0.0001,0.0,-8.496474266052246,-281587.02453235997,236.37,61,-41625.7578125,69887408.0,220000,3561,0.997136652469635
2874,0.0001,0.0,-8.495759010314941,-267775.94589493005,233.92,64,-72155.8515625,567049088.0,230000,3560,0.9970795512199402
2999,0.0001,0.0,-8.496410369873047,-251080.70119455003,226.19,67,-37629.27734375,235161760.0,240000,3560,0.9971539378166199
3124,0.0001,-1.1920928955078125e-07,-8.492653846740723,-243055.27490473996,216.18,70,-139111.890625,785102976.0,250000,3559,0.9965272545814514
3249,0.0001,5.960464477539063e-08,-8.487537384033203,-246425.49260926002,214.14,73,-96872.8828125,533124544.0,260000,3559,0.9957074522972107
3374,0.0001,0.0,-8.487115859985352,-262832.51773632,236.77,75,-63342.61328125,206213552.0,270000,3558,0.9956563115119934
3499,0.0001,0.0,-8.485522270202637,-244340.43126232,216.38,78,-9263.6279296875,9678583.0,280000,3556,0.9954507946968079
3624,0.0001,0.0,-8.487046241760254,-219951.2338964,189.9,81,-4845.9873046875,19588258.0,290000,3555,0.9957475662231445
3749,0.0001,0.0,-8.484269142150879,-209054.83705533002,180.08,84,-31411.90234375,37269920.0,300000,3554,0.9952099919319153
3874,0.0001,0.0,-8.484314918518066,-218574.20486138,200.45,87,-39202.9765625,52348592.0,310000,3553,0.9952018857002258
3999,0.0001,-1.1920928955078125e-07,-8.481667518615723,-208983.42686606,178.86,90,-8480.7861328125,12981906.0,320000,3552,0.9947802424430847
4124,0.0001,0.0,-8.482312202453613,-207524.43458051005,169.04,92,-108526.296875,591068672.0,330000,3551,0.9948838353157043
4249,0.0001,0.0,-8.479394912719727,-213702.1994084,185.47,95,-35345.765625,42768072.0,340000,3550,0.9943996071815491
4374,0.0001,0.0,-8.480945587158203,-203392.05182283002,170.9,98,-68201.328125,296351744.0,350000,3550,0.9946821331977844
4499,0.0001,0.0,-8.480805397033691,-200354.68860561,160.94,101,-10598.5400390625,8736097.0,360000,3549,0.9946040511131287
4624,0.0001,-1.1920928955078125e-07,-8.485724449157715,-204262.63522951002,173.68,104,-91893.5859375,464743424.0,370000,3545,0.9953488707542419
4749,0.0001,0.0,-8.483428001403809,-201496.43058376,171.79,107,-76641.1015625,504509760.0,380000,3544,0.995042085647583
4874,0.0001,0.0,-8.484399795532227,-214707.69731416003,174.02,110,-38265.3671875,49695252.0,390000,3543,0.9952519536018372
4999,0.0001,0.0,-8.484607696533203,-205045.01247554002,165.63,112,-23105.6015625,20098476.0,400000,3543,0.9952567219734192
5124,0.0001,0.0,-8.48588752746582,-194926.22680126998,164.95,115,-32457.150390625,41776792.0,410000,3542,0.995469868183136
5249,0.0001,0.0,-8.480199813842773,-194478.59863385002,166.36,118,-73410.875,449270592.0,420000,3542,0.9946475028991699
5374,0.0001,1.7881393432617188e-07,-8.481499671936035,-203071.32162490996,168.12,121,-29327.13671875,143819744.0,430000,3541,0.9947442412376404
5499,0.0001,0.0,-8.477828979492188,-195549.43897406998,147.58,124,-25701.30859375,31526320.0,440000,3541,0.9941577315330505
5624,0.0001,0.0,-8.477697372436523,-193506.56287720002,159.81,127,-11648.314453125,12242842.0,450000,3540,0.9941872954368591
5749,0.0001,0.0,-8.473176002502441,-183615.57417143,157.44,130,-59631.01171875,325941504.0,460000,3538,0.9933164119720459
5874,0.0001,0.0,-8.47133731842041,-196589.54074318003,180.96,132,-60729.9453125,178189472.0,470000,3538,0.9931336045265198
5999,0.0001,0.0,-8.471807479858398,-196131.63193284004,183.51,135,-3498.65966796875,7195665.5,480000,3538,0.9932234883308411
6124,0.0001,0.0,-8.471076011657715,-180159.14617577,154.39,138,-12776.623046875,9889225.0,490000,3537,0.9930742383003235
6249,0.0001,5.960464477539063e-08,-8.470629692077637,-175885.64644173,145.21,141,-104355.203125,658854784.0,500000,3536,0.9929645657539368
6374,0.0001,0.0,-8.468451499938965,-172000.95048372998,136.86,144,-32621.18359375,28544160.0,510000,3536,0.9925959706306458
6499,0.0001,0.0,-8.470124244689941,-179769.49712726998,151.11,147,-93205.21875,528103520.0,520000,3535,0.9928793907165527
6624,0.0001,0.0,-8.471302032470703,-203749.50877855998,188.49,149,-47384.07421875,64893300.0,530000,3535,0.9930641055107117
6749,0.0001,0.0,-8.465932846069336,-206528.39450302004,199.57,152,-55189.42578125,454477632.0,540000,3534,0.9922099113464355
6874,0.0001,0.0,-8.46303653717041,-186607.23556806997,176.36,155,-92503.96875,606810368.0,550000,3531,0.9917556643486023
6999,0.0001,0.0,-8.468282699584961,-158378.89945527998,125.12,158,-57255.8828125,403571136.0,560000,3530,0.9926181435585022
7124,0.0001,0.0,-8.470438003540039,-166772.07785118002,135.66,161,-36347.6796875,236765792.0,570000,3529,0.9929539561271667
7249,0.0001,0.0,-8.468764305114746,-159796.55767574997,136.83,164,-29295.884765625,31035228.0,580000,3529,0.9927422404289246
7374,0.0001,0.0,-8.465778350830078,-160404.09544982002,137.52,167,-13793.900390625,18763918.0,590000,3529,0.9921143651008606
7499,0.0001,0.0,-8.465655326843262,-169045.24579406,152.71,170,-28331.171875,21185532.0,600000,3528,0.9921416640281677
7624,0.0001,-1.1920928955078125e-07,-8.467174530029297,-176877.39002239998,158.2,172,-91961.078125,518556736.0,610000,3528,0.9924509525299072
7749,0.0001,0.0,-8.463072776794434,-181458.39979925004,165.98,175,-27786.06640625,61977684.0,620000,3527,0.9917609095573425
7874,0.0001,0.0,-8.462920188903809,-198033.34339328003,186.35,178,-160802.8125,1111277312.0,630000,3527,0.9917250275611877
7999,0.0001,0.0,-8.4603271484375,-162823.28814421,129.29,181,-108764.7109375,586803712.0,640000,3527,0.9913051724433899
8124,0.0001,0.0,-8.462088584899902,-171429.03605306,143.9,184,-93813.734375,722406720.0,650000,3526,0.9915945529937744
8249,0.0001,0.0,-8.46024227142334,-160284.72616747997,137.36,187,-26414.51953125,28963594.0,660000,3526,0.9913122057914734
8374,0.0001,0.0,-8.460038185119629,-160046.35884642001,143.43,190,-119688.5234375,878064000.0,670000,3525,0.9913408160209656
8499,0.0001,0.0,-8.456500053405762,-152323.26838476,124.58,192,-84900.96875,547932544.0,680000,3525,0.9907445311546326
8624,0.0001,-1.1920928955078125e-07,-8.452411651611328,-160609.96994491003,147.91,195,-16663.19921875,25990436.0,690000,3524,0.9900571703910828
8749,0.0001,0.0,-8.452529907226562,-158414.13705694,149.77,198,-22607.337890625,22750382.0,700000,3524,0.9900195598602295
8874,0.0001,0.0,-8.448174476623535,-158047.51101467002,139.7,201,-55898.2421875,428291904.0,710000,3523,0.9892745018005371
8999,0.0001,0.0,-8.450618743896484,-153228.66085594002,130.45,204,-26439.681640625,25032820.0,720000,3523,0.9897592663764954
9124,0.0001,0.0,-8.445984840393066,-154840.78165167003,138.32,207,-41337.6328125,47115508.0,730000,3522,0.9889430403709412
9249,0.0001,0.0,-8.443979263305664,-154148.511501,143.74,210,-3362.000732421875,5523780.5,740000,3522,0.9886301159858704
9374,0.0001,1.7881393432617188e-07,-8.442780494689941,-159701.02471793,146.8,212,-126954.359375,993948032.0,750000,3521,0.9884331822395325
9499,0.0001,0.0,-8.442076683044434,-156636.33277180002,146.85,215,-101371.5625,661696768.0,760000,3521,0.9883367419242859
9624,0.0001,-1.1920928955078125e-07,-8.44429874420166,-160224.30061431,144.03,218,-160311.84375,1096232704.0,770000,3520,0.9887050986289978
9749,0.0001,1.1920928955078125e-07,-8.44647216796875,-153964.88787473002,144.96,221,-88978.109375,527790848.0,780000,3520,0.9889673590660095
9874,0.0001,0.0,-8.446516990661621,-156808.98121718,150.41,224,-85985.953125,548818240.0,790000,3519,0.9890856146812439
9999,0.0001,1.7881393432617188e-07,-8.44667911529541,-168634.15432841997,167.85,227,-92119.1484375,728550336.0,800000,3518,0.9890069365501404
10124,0.0001,0.0,-8.451891899108887,-149765.55915798,123.31,230,-7494.8916015625,6942957.5,810000,3517,0.9899282455444336
10249,0.0001,0.0,-8.451786041259766,-150569.03475117,145.26,233,-17105.310546875,13039558.0,820000,3516,0.9899601936340332
10374,0.0001,0.0,-8.449337005615234,-149966.24891611998,157.64,236,-122013.515625,845300096.0,830000,3516,0.9895539283752441
10499,0.0001,0.0,-8.446538925170898,-154051.171599,146.77,238,-15910.0810546875,13596301.0,840000,3515,0.9891161918640137
10624,0.0001,0.0,-8.44950008392334,-150755.98140025,141.98,241,-10743.6416015625,9855042.0,850000,3514,0.9895563125610352
10749,0.0001,0.0,-8.44986343383789,-143440.02788533998,138.76,244,-6257.16552734375,7161047.0,860000,3514,0.98965984582901
10874,0.0001,0.0,-8.45361328125,-141292.18670348998,135.21,247,-1652.1578369140625,7569689.5,870000,3513,0.9902623295783997
10999,0.0001,0.0,-8.45185661315918,-144529.14197395,132.36,250,-181787.125,1092362240.0,880000,3512,0.9899744391441345
11124,0.0001,0.0,-8.451027870178223,-133693.08043598,118.28,253,-121172.796875,936469376.0,890000,3512,0.9898510575294495
11249,0.0001,-1.1920928955078125e-07,-8.453277587890625,-138123.21547357,125.3,256,-7897.63916015625,17727756.0,900000,3511,0.9902951717376709
11374,0.0001,0.0,-8.454843521118164,-138359.42288198002,123.32,259,-82437.7578125,505012224.0,910000,3510,0.9904831051826477
11499,0.0001,0.0,-8.455498695373535,-145883.97218670003,140.3,262,-16975.5546875,14058237.0,920000,3510,0.9906027913093567
11624,0.0001,-1.1920928955078125e-07,-8.456750869750977,-143540.35649043,135.95,265,5390.8203125,11571714.0,930000,3509,0.9907563328742981
11749,0.0001,0.0,-8.454996109008789,-155677.76723155,159.17,267,-10159.7802734375,10324019.0,940000,3508,0.990511953830719
11874,0.0001,-1.1920928955078125e-07,-8.450634956359863,-155401.99367269,163.81,270,-89088.5390625,534259008.0,950000,3507,0.989795982837677
11999,0.0001,-1.1920928955078125e-07,-8.44746208190918,-145701.27800918,135.69,273,-1350.612060546875,10770010.0,960000,3506,0.9893725514411926
12124,0.0001,0.0,-8.444177627563477,-145008.03977528,134.93,276,-13654.697265625,10450896.0,970000,3505,0.9887657165527344
12249,0.0001,-2.384185791015625e-07,-8.453278541564941,-139920.0055686,133.92,279,-183615.15625,1209164544.0,980000,3505,0.9903092980384827
12374,0.0001,1.1920928955078125e-07,-8.456498146057129,-142227.28591319,149.39,282,-15849.029296875,10996016.0,990000,3504,0.9907340407371521
12499,0.0001,5.960464477539063e-08,-8.45649528503418,-140451.21198539,129.74,285,-4804.83251953125,6665781.5,1000000,3503,0.9906432628631592
