train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,time/total_timesteps,train/learning_rate,time/time_elapsed,train/entropy_loss,time/fps,train/clip_range,train/explained_variance,train/std,rollout/ep_len_mean,train/value_loss,rollout/ep_rew_mean
0.00044105705,1350729856.0,400,-0.0010891891763094464,0.0,330000,0.0003,211,-12.69972533583641,1563,0.2,1.1920928955078125e-07,0.9921368360519409,61.13,3209300651.2,-224582.50238288
0.000998786,1737504256.0,410,-0.0016427420167929086,0.0,340000,0.0003,216,-12.697814090549945,1567,0.2,0.0,0.9918190836906433,57.49,3454281473.6,-225632.80113612997
0.00037757552,1751594368.0,420,-0.0010679685836294083,0.0,350000,0.0003,222,-12.695217481255531,1571,0.2,0.0,0.9915440678596497,62.08,3464745648.4,-232500.77115316
0.0007908895,1808890240.0,430,-0.0013153885518477181,0.0,360000,0.0003,228,-12.692772501707077,1574,0.2,0.0,0.9913040995597839,52.13,3396174493.4,-196444.77751632006
0.00029533287,1684753408.0,450,-0.0007487800843591685,0.0,370000,0.0003,237,-12.692250169813633,1560,0.2,0.0,0.9913515448570251,55.05,3378718936.2,-204166.93680405006
0.0008572558,1395624320.0,460,-0.001438209507978172,0.0,380000,0.0003,242,-12.69153336584568,1564,0.2,0.0,0.9912254810333252,62.72,3241522022.2,-227841.50681509
0.00013512027,1645160320.0,470,-0.0007274847617736669,0.0,390000,0.0003,248,-12.690079762786628,1567,0.2,0.0,0.9910328388214111,47.3,3317086456.6,-185887.56956650998
0.00022005665,1535576832.0,480,-0.0006901399418893561,0.0,400000,0.0003,254,-12.687135425955057,1570,0.2,0.0,0.9905944466590881,56.29,3438575085.2,-204153.85604962
0.00044208395,1570995328.0,500,-0.0010001814322095014,0.0,410000,0.0003,263,-12.678171929717063,1557,0.2,-1.1920928955078125e-07,0.9895429611206055,58.9,3311300918.8,-221000.08932878
0.00087600085,1426131968.0,510,-0.0014109732928773155,0.0,420000,0.0003,269,-12.673947191238403,1560,0.2,-1.1920928955078125e-07,0.9891729354858398,57.83,3107154939.5,-204217.96974911998
0.00082565163,1797440000.0,520,-0.001495338496624754,0.0,430000,0.0003,274,-12.670391806215047,1564,0.2,1.7881393432617188e-07,0.9887723922729492,51.97,3337085445.8,-196123.45532369005
0.00021849037,1641437568.0,530,-0.0006612967561522964,0.0,440000,0.0003,280,-12.66872444152832,1567,0.2,0.0,0.9888102412223816,51.97,3368023580.8,-195849.37256464
0.0003275093,1512467840.0,540,-0.0006982725422858494,0.0,450000,0.0003,286,-12.667752850055695,1569,0.2,1.1920928955078125e-07,0.9885478615760803,54.67,3165868593.4,-199922.30861033
0.00036506512,1448254976.0,560,-0.0011177798687640461,0.0,460000,0.0003,295,-12.663217682391405,1558,0.2,1.1920928955078125e-07,0.9880765080451965,59.12,3104680792.0,-211274.53000502998
0.0006445991,1455071488.0,570,-0.0012074757731170393,0.0,470000,0.0003,301,-12.659266950190068,1561,0.2,0.0,0.9874305725097656,59.25,3126344006.3,-214926.74965917
0.00021265834,1578080640.0,580,-0.0006770053129002918,0.0,480000,0.0003,306,-12.657748761028051,1563,0.2,0.0,0.9877782464027405,53.95,3122092529.2,-201720.35052153002
0.0005067667,1703248896.0,590,-0.0010425080576169422,0.0,490000,0.0003,312,-12.658834097534418,1566,0.2,0.0,0.9876595735549927,62.73,3320405681.2,-211714.32536854
0.0004774815,2110041728.0,610,-0.0008493323815855547,0.0,500000,0.0003,321,-12.655046032369137,1556,0.2,0.0,0.9873312711715698,52.89,3356179841.6,-196176.85849898
0.0004284638,1761639040.0,620,-0.0009037656631335267,0.0,510000,0.0003,327,-12.654091393202544,1558,0.2,1.1920928955078125e-07,0.9870650768280029,57.16,3134752179.6,-200984.51396711
0.00044432533,1617359872.0,630,-0.0009547296157506935,0.0,520000,0.0003,333,-12.651549334824086,1561,0.2,0.0,0.986775815486908,55.68,3227022838.4,-193771.3262102
0.0006695908,1339117440.0,640,-0.0011637556506684632,0.0,530000,0.0003,338,-12.650363883376121,1563,0.2,0.0,0.9868295192718506,52.86,3174187198.4,-190094.68659198994
0.0003513059,1624742912.0,650,-0.0008601319314038847,0.0,540000,0.0003,344,-12.65035651475191,1566,0.2,0.0,0.9867662787437439,54.49,3129533838.4,-187131.69159558997
0.00050330686,1338223616.0,670,-0.000967629280876281,0.0,550000,0.0003,353,-12.646766857802868,1556,0.2,0.0,0.9862639307975769,45.86,3241812026.6,-173230.68519551
0.00042833056,1498499712.0,680,-0.0008699767291545868,0.0,560000,0.0003,359,-12.643433758616448,1559,0.2,1.1920928955078125e-07,0.9858124852180481,49.1,3021741823.4,-169829.72605901002
0.00045894363,1379079680.0,690,-0.000984598272225412,0.0,570000,0.0003,364,-12.639310993254185,1561,0.2,0.0,0.9853904247283936,55.71,2869321958.7,-188117.60547995998
0.00029359036,1757569408.0,700,-0.0008247802294135909,0.0,580000,0.0003,370,-12.6356465049088,1563,0.2,0.0,0.9850171208381653,51.51,2965676214.7,-176412.31961803004
0.00023641736,1627623680.0,720,-0.0006567727041328908,0.0,590000,0.0003,379,-12.630989163368941,1555,0.2,0.0,0.9846509099006653,54.14,2961201145.8,-184136.18170904997
0.000801017,1417474048.0,730,-0.0012549737810331862,0.0,600000,0.0003,385,-12.629821462929248,1557,0.2,0.0,0.9844716191291809,52.44,2971434780.4,-179731.81716822003
0.00045725997,1184179968.0,740,-0.0009616422079488984,0.0,610000,0.0003,391,-12.628868182003497,1559,0.2,0.0,0.9844507575035095,49.98,2859122419.6,-176155.77593076
0.00052727584,1596298496.0,750,-0.0009518737524558674,0.0,620000,0.0003,397,-12.627966210991143,1561,0.2,0.0,0.9842643737792969,51.9,3070644855.0,-184450.01903887998
0.0008902688,1254319488.0,760,-0.0013523331483156654,0.0,630000,0.0003,402,-12.626405308395624,1563,0.2,0.0,0.9840948581695557,51.65,2790962590.5,-169501.02508635996
0.00047542792,1424930304.0,780,-0.0009818419720431849,0.0,640000,0.0003,411,-12.623996616899968,1555,0.2,0.0,0.9838849306106567,51.2,2906585343.0,-183905.51757409002
