train/critic_loss,time/total_timesteps,train/ent_coef_loss,time/fps,train/n_updates,time/time_elapsed,train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes
3084.26416015625,470000,0.33641645312309265,105,117474,4454,210983.546875,0.0064,40.76164245605469,3.12,-107152.70143134001,100806
1800.359375,480000,-2.206296682357788,105,119974,4547,156819.71875,0.0064,25.205991744995117,3.73,-104237.02875407,103798
1178.0025634765625,490000,-3.1889660358428955,105,122474,4644,133838.5,0.0064,19.2656307220459,16.2,-554454.62490117,105004
2353.336669921875,500000,0.7367576360702515,105,124974,4743,159644.59375,0.0064,28.72652816772461,3.7,-114219.01065636,107613
1020.4110717773438,510000,1.2368226051330566,105,127474,4845,132768.671875,0.0064,26.57518196105957,3.59,-112015.86646742,109947
3740.32861328125,520000,0.7618365287780762,105,129974,4937,156547.046875,0.0064,29.851646423339844,5.22,-124175.31922069,112037
1900.7987060546875,530000,0.8356649875640869,105,132474,5037,156337.921875,0.0064,26.190889358520508,4.28,-108510.22418075001,114154
4663.83251953125,540000,1.205354928970337,105,134974,5134,163074.265625,0.0064,36.21862030029297,3.89,-105835.79629182997,116654
5443.02978515625,550000,1.3082613945007324,105,137474,5236,155109.296875,0.0064,46.16014862060547,5.63,-177442.74106698,119318
3766.466064453125,560000,-1.7937595844268799,105,139974,5332,135848.140625,0.0064,23.629650115966797,4.07,-110355.44534630999,121773
4855.25634765625,570000,-1.7718639373779297,105,142474,5428,131085.40625,0.0064,31.422195434570312,4.09,-110319.96676714,124191
4233.951171875,580000,-0.9946230053901672,104,144974,5524,125030.328125,0.0064,37.55524444580078,3.91,-109551.54357701,126472
3181.082275390625,590000,2.346416711807251,104,147474,5619,137314.5625,0.0064,46.694637298583984,3.9,-109604.89467141998,128521
4551.4990234375,600000,-6.5773701667785645,105,149974,5714,125526.5078125,0.0064,40.78449630737305,17.08,-593556.18653819,130105
4081.336181640625,610000,-3.5314853191375732,105,152474,5808,111521.078125,0.0064,33.81959915161133,4.72,-116371.76226507999,132187
2132.653564453125,620000,4.936097145080566,105,154974,5903,99883.71875,0.0064,27.5435848236084,5.46,-116913.55429228002,134345
2719.70068359375,630000,0.943888783454895,105,157474,5998,113333.6640625,0.0064,30.44049644470215,4.43,-111233.65679035001,136339
3627.54345703125,640000,-5.64939546585083,104,159974,6102,119367.78125,0.0064,34.120445251464844,5.01,-116748.96447720002,138423
2738.435302734375,650000,1.1694836616516113,104,162474,6203,107706.8359375,0.0064,34.71192932128906,5.05,-113210.6722242,140442
2591.042724609375,660000,-3.4135637283325195,104,164974,6308,101437.8125,0.0064,22.644779205322266,5.19,-115839.78603917998,142288
1725.6617431640625,670000,-3.710142135620117,104,167474,6410,98911.5625,0.0064,18.32590103149414,5.67,-121154.51820427999,144009
1517.387451171875,680000,-4.349997520446777,104,169974,6517,97639.765625,0.0064,21.58066177368164,5.26,-115494.48518339,145856
1138.515869140625,690000,-0.25770705938339233,104,172474,6616,95616.5234375,0.0064,19.053686141967773,5.27,-116035.83762596999,147745
839.91259765625,700000,-1.080230474472046,104,174974,6719,95584.421875,0.0064,19.047964096069336,5.21,-114554.39016288001,149567
1308.78759765625,710000,0.2576652467250824,104,177474,6820,92891.453125,0.0064,17.99994468688965,4.89,-112662.35305334,151559
893.5963745117188,720000,2.6877262592315674,104,179974,6919,93913.0234375,0.0064,16.325342178344727,5.65,-97903.01886364,153566
1100.3646240234375,730000,0.8149262070655823,103,182474,7021,94116.6171875,0.0064,14.576465606689453,5.26,-115622.83211166,155324
1374.12255859375,740000,-3.1588988304138184,103,184974,7129,95531.203125,0.0064,20.300153732299805,5.03,-110835.73249193,157261
1722.092041015625,750000,-1.3977422714233398,103,187474,7234,94303.3515625,0.0064,24.2126522064209,10.35,-227622.88249436996,158981
2036.7862548828125,760000,-7.028633117675781,103,189974,7342,94162.9375,0.0064,26.372604370117188,5.31,-109002.54327114,160744
2660.0986328125,770000,-2.4217419624328613,103,192474,7449,96720.5078125,0.0064,39.2888069152832,5.19,-113522.55232135,162521
2778.615234375,780000,-1.1901743412017822,103,194974,7549,94300.2734375,0.0064,36.07184600830078,5.07,-112935.47155271,164469
2259.5029296875,790000,-4.1981024742126465,103,197474,7656,92845.484375,0.0064,35.99238204956055,5.1,-113946.98228254,166419
1283.0093994140625,800000,1.4902480840682983,103,199974,7760,95573.0859375,0.0064,27.488746643066406,5.51,-111145.78501773,168320
1906.67431640625,810000,4.311276912689209,103,202474,7861,92264.5234375,0.0064,28.224777221679688,5.26,-110591.61474505,170271
1267.9002685546875,820000,1.6750330924987793,103,204974,7959,92557.1328125,0.0064,29.27787971496582,5.17,-111837.81002286999,172190
962.5712890625,830000,-0.9279113411903381,102,207474,8064,92793.625,0.0064,21.107481002807617,5.18,-109853.93799466999,174143
1138.9404296875,840000,-2.014878273010254,102,209974,8171,92716.7890625,0.0064,19.874483108520508,5.04,-112180.59152395,175953
801.929443359375,850000,-3.4688916206359863,102,212474,8271,92443.703125,0.0064,22.2884578704834,5.06,-112684.55358703999,177888
719.00537109375,860000,2.4537763595581055,102,214974,8369,92882.5625,0.0064,21.257829666137695,5.04,-113161.31801626,179831
978.9437255859375,870000,-1.8229804039001465,102,217474,8461,92911.6015625,0.0064,22.731409072875977,4.96,-112518.88939155999,181763
1082.672119140625,880000,1.0648530721664429,102,219974,8548,94239.1796875,0.0064,18.953632354736328,5.21,-113356.50388151001,183691
848.6070556640625,890000,0.12780670821666718,103,222474,8635,91595.546875,0.0064,19.407978057861328,5.3,-112013.04997573,185653
815.5549926757812,900000,-5.401367664337158,103,224974,8714,95692.34375,0.0064,22.619272232055664,5.01,-112970.99878075001,187485
1312.2930908203125,910000,-4.669685363769531,103,227474,8790,93342.484375,0.0064,21.944744110107422,4.98,-112140.98733581002,189476
855.7572631835938,920000,5.675111770629883,103,229974,8864,94224.8203125,0.0064,22.330413818359375,5.2,-105787.48616320001,191434
809.8826293945312,930000,-0.7715007066726685,104,232474,8938,92523.0546875,0.0064,20.554058074951172,5.22,-115338.9098619,193380
1298.0233154296875,940000,-6.845217704772949,104,234974,9011,94173.5234375,0.0064,20.563322067260742,5.13,-113241.12355485001,195311
1263.4617919921875,950000,-6.226836204528809,104,237474,9085,93549.1484375,0.0064,24.941930770874023,5.11,-108060.58714525003,197307
1204.6717529296875,960000,-0.4766201376914978,104,239974,9157,92817.578125,0.0064,22.939851760864258,4.83,-112216.08843328999,199367
1252.8408203125,970000,3.3624606132507324,105,242474,9237,93790.0390625,0.0064,22.753421783447266,5.24,-115806.52561402,201344
1961.811767578125,980000,-2.361642360687256,105,244974,9317,96754.0546875,0.0064,28.645099639892578,4.78,-113228.03491357999,202947
1105.855224609375,990000,-1.9502391815185547,105,247474,9395,101499.2890625,0.0064,25.853252410888672,5.2,-103940.14877191998,204968
2759.899658203125,1000000,2.2693960666656494,105,249974,9476,106782.5625,0.0064,42.40180587768555,7.06,-178657.27036177003,206753
