time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/critic_loss,time/fps,train/actor_loss,train/n_updates,time/total_timesteps,train/learning_rate,time/episodes
3943,-432511.41968006996,22.9,1929.1431884765625,21.731718063354492,13208892416.0,185,802229.0,182474,730000,0.0055,13464
3999,-101094.39335658,5.18,135.8819580078125,23.496807098388672,1968289408.0,185,472306.6875,184974,740000,0.0055,14856
4054,-121418.09472621,6.88,134.73512268066406,-5.526756286621094,3425820416.0,184,309583.75,187474,750000,0.0055,16393
4110,-1479646.94255638,57.22,13536.8935546875,23.419891357421875,30276960256.0,184,1022018.375,189974,760000,0.0055,16894
4165,-146217.50602903002,8.56,1281.4693603515625,70.39939880371094,13132865536.0,184,507628.5625,192474,770000,0.0055,17803
4220,-97167.76816300997,5.76,120.99066925048828,29.407367706298828,360405312.0,184,282076.875,194974,780000,0.0055,19365
4278,-221588.01982542005,11.42,291.47686767578125,-226.5235595703125,5224653312.0,184,425681.5,197474,790000,0.0055,20687
4335,-2001365.4248405,97.22,23065.58203125,63.54939270019531,121352503296.0,184,2161802.5,199974,800000,0.0055,20796
4392,-122986.14313057,14.09,28589.958984375,14.155985832214355,98713911296.0,184,1619542.0,202474,810000,0.0055,21048
4449,-646129.4332809399,56.71,7429.3291015625,24.941675186157227,22240174080.0,184,1115909.625,204974,820000,0.0055,21430
4506,-140439.85818413002,11.5,2361.71142578125,20.690906524658203,4749693952.0,184,716206.375,207474,830000,0.0055,21992
4563,-110853.48534146,6.89,861.3768310546875,0.14981460571289062,1840243200.0,184,323274.75,209974,840000,0.0055,23150
4620,-105616.93818028,7.49,457.2838134765625,3.0278735160827637,21938829312.0,183,198594.34375,212474,850000,0.0055,24636
4677,-108495.40475523,10.59,609.40625,4.645926475524902,161864752.0,183,146464.53125,214974,860000,0.0055,25625
4735,-103051.0161016,9.88,164.97122192382812,-1.5876933336257935,65756112.0,183,107267.84375,217474,870000,0.0055,26843
4792,-105432.64939956,11.21,104.8072509765625,1.8756723403930664,33072960.0,183,99372.90625,219974,880000,0.0055,27549
4849,-481990.32086769,30.77,4504.0966796875,-116.34288024902344,19351881728.0,183,618203.5,222474,890000,0.0055,27882
4906,-370591.46559166006,44.15,4396.65966796875,43.845428466796875,3463258624.0,183,364234.4375,224974,900000,0.0055,28101
4963,-193495.24040463998,15.48,247.20494079589844,50.76727294921875,212131008.0,183,207272.5,227474,910000,0.0055,28612
5020,-174738.75250577996,19.58,196.69886779785156,-131.85623168945312,289460448.0,183,181138.78125,229974,920000,0.0055,29457
5076,-98034.53865419001,11.18,497.6383972167969,41.917755126953125,89999504.0,183,148695.671875,232474,930000,0.0055,30279
5131,-556019.76307632,40.52,839.7099609375,-476.699462890625,974336128.0,183,232968.9375,234974,940000,0.0055,30609
5187,-2235927.9233613797,115.04,67945.296875,150.7357940673828,121812992000.0,183,424515.53125,237474,950000,0.0055,30694
5245,-1317714.40951881,86.74,7309.392578125,-348.0491943359375,46734123008.0,183,818057.625,239974,960000,0.0055,30812
5300,-2149645.09622263,93.46,155146.265625,-109.7593765258789,2555993653248.0,183,4357040.0,242474,970000,0.0055,30914
5356,-622183.8957396899,85.04,49725.203125,2.136904716491699,403419332608.0,182,3028786.75,244974,980000,0.0055,31034
5412,-430131.46611596,43.06,954.5904541015625,55.48822021484375,18206900224.0,182,1850520.5,247474,990000,0.0055,31245
5470,-1276218.5533449901,73.55,86.52757263183594,27.251338958740234,15824971776.0,182,1232189.25,249974,1000000,0.0055,31367
