time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/step_size,train/delta_std,rollout/return_std,train/learning_rate,train/iterations
610000,,,252,2413,1.2530786130948712e-10,0.05,19950862.0,0.02,13
620000,-26621200.100711998,670.6666666666666,256,2415,,,,,
630000,-18235436.368328813,459.72727272727275,260,2418,,,,,
640000,-20096180.69024407,505.7857142857143,264,2417,,,,,
650000,-39901116.651139,1000.0,268,2420,1.2272230454080102e-10,0.05,20371194.0,0.02,14
660000,-39832123.887043335,1000.0,272,2421,,,,,
670000,-29955887.179633748,752.875,276,2420,,,,,
680000,-29040901.491483275,730.0909090909091,280,2422,,,,,
690000,-347787.539734,15.0,284,2424,1.3129008991086266e-10,0.05,19041802.0,0.02,15
700000,-26733422.893874,671.6666666666666,288,2426,,,,,
710000,-18218961.44162491,462.09090909090907,292,2428,,,,,
720000,-20023846.87402343,506.42857142857144,296,2430,,,,,
730000,-10248230.15453575,261.5,300,2432,1.232729751610151e-10,0.05,20280194.0,0.02,16
740000,-20123738.331926666,507.6666666666667,303,2434,,,,,
750000,-18286916.076407637,462.09090909090907,307,2437,,,,,
760000,-22897934.206825573,577.3571428571429,311,2439,,,,,
770000,,,315,2441,1.2600916143856722e-10,0.05,19839826.0,0.02,17
780000,-29928777.64729225,753.75,319,2443,,,,,
790000,-33263708.551666003,835.8333333333334,323,2445,,,,,
800000,-28882579.874889087,730.8181818181819,326,2447,,,,,
810000,-30585716.335426226,772.2307692307693,330,2449,,,,,
820000,-19997850.6707835,504.0,334,2449,1.4159819150538766e-10,0.05,17655592.0,0.02,18
830000,-29960518.324476,752.0,338,2451,,,,,
840000,-34185647.691193864,858.2857142857143,342,2454,,,,,
850000,-35452826.20868378,889.7777777777778,346,2456,,,,,
860000,-31395870.77207672,788.4285714285714,349,2458,,,,,
870000,-20040343.181226,505.0,353,2460,1.4088538669021489e-10,0.05,17744920.0,0.02,19
880000,-22877866.601031717,576.0,357,2462,,,,,
890000,-24008467.627362005,604.5,361,2464,,,,,
900000,-27666622.03102193,695.7692307692307,364,2466,,,,,
910000,-165655.728109,9.25,368,2467,1.313737868491316e-10,0.05,19029672.0,0.02,20
920000,-13406147.042564001,339.55555555555554,372,2469,,,,,
930000,-16732185.479725832,422.5,376,2470,,,,,
940000,-13235703.381937334,339.6666666666667,380,2472,1.2284334660606078e-10,0.05,20351122.0,0.02,21
950000,-23895466.7783558,603.8,383,2474,,,,,
960000,-26578109.36130844,669.8888888888889,387,2476,,,,,
970000,-29020233.609495725,729.9090909090909,391,2478,,,,,
980000,-40065858.923506,1000.0,395,2479,1.2309514518804576e-10,0.05,20309494.0,0.02,22
990000,-22920600.979151852,576.8571428571429,398,2481,,,,,
1000000,-20078177.216436714,505.92857142857144,402,2483,,,,,
