time/episodes,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,time/total_timesteps,train/ent_coef_loss,train/n_updates
61137,0.0055,39379116.0,-133484.9386556,206,5.0,1741,76.05412292480469,133599.375,360000,21.400136947631836,89974
62970,0.0055,88070840.0,-161647.83753453998,206,7.65,1788,70.25144958496094,130022.96875,370000,-2.3955657482147217,92474
64881,0.0055,8115681.0,-133426.98826570998,206,5.0,1836,47.34244918823242,123661.609375,380000,12.623100280761719,94974
66446,0.0055,59527488.0,-238080.57175893,207,9.25,1883,111.9001693725586,136476.4375,390000,-91.90113830566406,97474
67873,0.0055,17651548.0,-215213.86758541,207,9.52,1930,75.30651092529297,125120.65625,400000,8.466404914855957,99974
69711,0.0055,11441859.0,-133136.9810561,206,5.0,1983,25.900590896606445,115007.265625,410000,6.417136192321777,102474
71711,0.0055,7764268.0,-133229.86431668,206,5.0,2036,18.416208267211914,111686.40625,420000,1.392398715019226,104974
73298,0.0055,10803718.0,-267820.21636821,205,9.26,2088,135.80169677734375,128335.828125,430000,-14.737639427185059,107474
75051,0.0055,32737632.0,-133292.19005813,205,5.0,2141,41.35033416748047,113763.4609375,440000,15.380587577819824,109974
76998,0.0055,3248198.25,-133055.30447277997,205,5.0,2194,18.435712814331055,109133.625,450000,2.7290902137756348,112474
78787,0.0055,4066948.5,-133360.02034971002,204,5.0,2246,30.76318359375,109993.7734375,460000,8.540657043457031,114974
80524,0.0055,12204190.0,-133863.39827253998,204,5.02,2299,53.53730010986328,113048.03125,470000,20.656185150146484,117474
82233,0.0055,7876565.0,-133483.58433257,204,5.0,2352,37.97856903076172,111687.6953125,480000,2.240893840789795,119974
84159,0.0055,2969326.5,-132949.64890236998,203,5.0,2404,14.516356468200684,107408.234375,490000,2.040391445159912,122474
86158,0.0055,1216860.75,-133035.21565117,203,5.01,2457,13.483987808227539,106071.1328125,500000,-4.693295955657959,124974
88089,0.0055,2214212.5,-166373.31880119,203,6.91,2510,48.372581481933594,109445.96875,510000,23.242855072021484,127474
89384,0.0055,4494575.5,-133171.66132132,202,5.0,2562,33.98942947387695,119816.8984375,520000,-5.278890609741211,129974
90815,0.0055,82240128.0,-159589.16734507002,202,6.42,2615,33.90546798706055,132805.875,530000,-20.241174697875977,132474
92779,0.0055,2754185.25,-133161.24822311,202,5.0,2667,21.586570739746094,114257.0859375,540000,-0.8118573427200317,134974
94590,0.0055,7273170.0,-135432.10141842,202,5.19,2720,23.758411407470703,114993.890625,550000,-67.24483489990234,137474
96119,0.0055,8847356.0,-133819.98662356,201,5.0,2773,26.27011489868164,109118.875,560000,13.1575927734375,139974
98093,0.0055,2720372.5,-133514.70551773,201,5.0,2825,20.725650787353516,107150.0625,570000,6.382206916809082,142474
100091,0.0055,1488747.375,-133020.89026331,201,5.0,2878,12.361823081970215,107480.515625,580000,3.630894660949707,144974
101938,0.0055,1044136.875,-133173.64292917,201,5.0,2931,15.828580856323242,107248.8515625,590000,-1.7363296747207642,147474
102897,0.0055,10505838.0,-211323.74720819,201,10.97,2983,97.74766540527344,126046.515625,600000,36.68518829345703,149974
104891,0.0055,3917648.0,-133131.52184504998,200,5.0,3036,23.471267700195312,119715.046875,610000,4.715045928955078,152474
106848,0.0055,4194651.0,-132890.63738163,200,5.0,3088,15.89083480834961,114365.484375,620000,-0.76334547996521,154974
108784,0.0055,4614297.0,-133295.08362331,200,5.0,3141,22.706762313842773,107651.375,630000,-11.389010429382324,157474
110430,0.0055,322328864.0,-364503.77027139,200,14.52,3193,118.39188385009766,142561.78125,640000,-44.5860710144043,159974
111920,0.0055,5587170.0,-134028.45316241,200,5.0,3246,55.70020294189453,112718.0078125,650000,25.64740753173828,162474
113907,0.0055,1842694.875,-134425.79450616997,200,5.18,3299,17.443918228149414,109776.421875,660000,-3.8733792304992676,164974
115577,0.0055,5182274.0,-134618.45097276,199,5.12,3351,52.438419342041016,111725.796875,670000,-0.22905337810516357,167474
