train/value_loss,train/approx_kl,time/total_timesteps,train/learning_rate,train/n_updates,train/explained_variance,time/time_elapsed,train/entropy_loss,time/fps,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_fraction,rollout/ep_rew_mean,train/clip_range,train/loss,train/std
4394548466.8,0.0004943825,260000,0.0003,310,0.0,291,-16.986848154664038,891,-0.000948212085859268,83.8,0.0,-339149.53574337007,0.2,2147907840.0,0.9965270161628723
4027354688.2,0.00075409387,270000,0.0003,320,0.0,302,-16.983495818078516,893,-0.0012738092935251188,99.24,0.0,-372858.01631201006,0.2,2111429376.0,0.9962093830108643
4182489317.2,0.0008824238,280000,0.0003,340,0.0,317,-16.984446354210377,883,-0.0014000757699250243,75.24,0.0,-301658.77360047004,0.2,2292272384.0,0.9965293407440186
3665615958.8,0.0007985678,290000,0.0003,350,0.0,327,-16.986031875014305,885,-0.0012628318385395688,89.59,0.0,-334347.71269929,0.2,1823506688.0,0.99662846326828
3933107806.4,0.00036389282,300000,0.0003,360,0.0,337,-16.987072014808653,887,-0.0009523025378257444,77.52,0.0,-302384.19538254995,0.2,2131170944.0,0.9966962337493896
4030346198.6,0.00077851315,310000,0.0003,370,-1.1920928955078125e-07,348,-16.98657084107399,888,-0.0014653556494522491,78.46,0.0,-301686.90323238005,0.2,2216862464.0,0.9965618252754211
3937317465.4,0.0010955632,320000,0.0003,390,1.1920928955078125e-07,363,-16.98418722450733,879,-0.0016394792375649559,82.63,2.44140625e-05,-313058.3556671299,0.2,1880882688.0,0.9963220953941345
3929668000.6,0.0004321324,330000,0.0003,400,0.0,374,-16.983017072081566,881,-0.0009493619336353731,86.04,0.0,-333635.37947410997,0.2,2003088384.0,0.9963359236717224
4048748735.8,0.0009111068,340000,0.0003,410,0.0,384,-16.982404285669325,883,-0.00149480891359417,78.0,0.0,-305658.85552189004,0.2,2070016128.0,0.9962278008460999
3991755137.4,0.00060352613,350000,0.0003,420,-1.1920928955078125e-07,395,-16.981523662805557,885,-0.0011812027005362324,77.16,0.0,-306310.97138342,0.2,1863995520.0,0.99617999792099
3946706555.6,0.0011381682,360000,0.0003,430,0.0,405,-16.980889216065407,887,-0.0017284991730775801,70.32,0.0,-269133.62608042004,0.2,1903721600.0,0.9961301684379578
3613237931.2,0.00096038403,370000,0.0003,450,0.0,420,-16.975512704253198,879,-0.0017172623487567763,84.39,1.220703125e-05,-308075.14731523994,0.2,1821940736.0,0.9956912398338318
3864371453.8,0.00049860426,380000,0.0003,460,0.0,431,-16.973428162932397,880,-0.0010678978424039087,87.15,0.0,-332167.18990355,0.2,1793406976.0,0.9953861832618713
3718631487.4,0.0009314602,390000,0.0003,470,-1.1920928955078125e-07,441,-16.97211556136608,882,-0.0015282827682312928,82.37,0.0,-303591.25235023996,0.2,1749218560.0,0.9954949021339417
3899745417.4,0.001476415,400000,0.0003,480,0.0,452,-16.97059282511473,884,-0.002250324992564856,65.42,9.765625e-05,-256093.87253159002,0.2,1830488960.0,0.9951133131980896
3856284538.2,0.0010516134,410000,0.0003,500,-2.384185791015625e-07,467,-16.969067005813123,877,-0.0015808652706255089,81.73,0.0,-308169.45788955,0.2,1699153536.0,0.9950361251831055
