train/std,rollout/ep_len_mean,time/fps,time/total_timesteps,train/policy_loss,train/learning_rate,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/explained_variance
1.001388669013977,48.7,1813,420000,-1310426.5,0.0001,5249,-17.044029235839844,-679734.39980783,231,6698472960.0,0.0
1.000809907913208,49.44,1813,430000,-1294192.25,0.0001,5374,-17.03658676147461,-679315.2745464001,237,6653590528.0,0.0
1.0007365942001343,44.5,1813,440000,-1138674.375,0.0001,5499,-17.035890579223633,-613546.8230854799,242,5123367936.0,1.7881393432617188e-07
1.0009516477584839,51.15,1814,450000,-1097026.25,0.0001,5624,-17.038694381713867,-709088.3847202398,248,4691183104.0,0.0
1.000508427619934,45.87,1814,460000,-1162201.0,0.0001,5749,-17.032960891723633,-638624.89527284,253,5176210944.0,0.0
1.000122308731079,46.83,1813,470000,-1165310.25,0.0001,5874,-17.027830123901367,-649781.80838968,259,5949721600.0,0.0
1.0011993646621704,48.42,1813,480000,-1134863.0,0.0001,5999,-17.04132080078125,-668122.87593377,264,5210665984.0,0.0
1.0013387203216553,42.68,1813,490000,-1156370.25,0.0001,6124,-17.04344367980957,-595713.81522753,270,5005453312.0,0.0
1.0017725229263306,45.67,1813,500000,-1172283.125,0.0001,6249,-17.048828125,-628682.3883492999,275,5101972480.0,-1.1920928955078125e-07
1.0019575357437134,45.74,1813,510000,-1197529.875,0.0001,6374,-17.050779342651367,-633118.96582955,281,5395469312.0,1.1920928955078125e-07
1.0013971328735352,45.25,1813,520000,-1192501.25,0.0001,6499,-17.043628692626953,-632263.33294178,286,5566289920.0,0.0
1.0014629364013672,42.18,1813,530000,-1218626.25,0.0001,6624,-17.044361114501953,-594613.5856967,292,5847784960.0,0.0
1.0012003183364868,47.03,1813,540000,-1231002.75,0.0001,6749,-17.040952682495117,-655876.68516355,297,6281505792.0,0.0
1.0010024309158325,48.51,1813,550000,-1151374.25,0.0001,6874,-17.038471221923828,-670165.61920534,303,5525790720.0,1.7881393432617188e-07
1.0013548135757446,52.56,1814,560000,-1140435.75,0.0001,6999,-17.04277992248535,-714905.16182045,308,5379851264.0,1.7881393432617188e-07
1.0012434720993042,49.33,1814,570000,-1317392.5,0.0001,7124,-17.041479110717773,-683088.73075144,314,6815159296.0,0.0
1.0006718635559082,51.99,1813,580000,-1150542.75,0.0001,7249,-17.03421401977539,-713015.3725593698,319,5605413888.0,1.7881393432617188e-07
1.0007100105285645,48.9,1813,590000,-1158804.75,0.0001,7374,-17.035276412963867,-667460.3335708,325,5326867968.0,-2.384185791015625e-07
1.000569224357605,47.24,1813,600000,-1063168.625,0.0001,7499,-17.03326416015625,-646311.819513,330,4555940864.0,1.1920928955078125e-07
1.0001022815704346,46.15,1812,610000,-1293114.375,0.0001,7624,-17.027904510498047,-638164.49209473,336,6583012352.0,-1.1920928955078125e-07
1.0000032186508179,46.81,1812,620000,-1119385.375,0.0001,7749,-17.026283264160156,-638616.2673458201,342,5163417600.0,-1.1920928955078125e-07
0.9995978474617004,47.11,1811,630000,-1300761.375,0.0001,7874,-17.021465301513672,-643000.24628498,347,6970698752.0,-1.1920928955078125e-07
1.0000170469284058,43.16,1811,640000,-1139800.5,0.0001,7999,-17.026634216308594,-598930.87090746,353,5462931456.0,-1.1920928955078125e-07
1.0002046823501587,45.59,1810,650000,-1093854.25,0.0001,8124,-17.02879524230957,-627250.36000164,358,5112046592.0,-1.1920928955078125e-07
1.001050591468811,46.09,1810,660000,-1103755.5,0.0001,8249,-17.039508819580078,-628070.47448478,364,4762323456.0,0.0
1.0010040998458862,43.93,1809,670000,-1010291.375,0.0001,8374,-17.038537979125977,-595390.3910748401,370,4075791104.0,0.0
1.0007911920547485,46.28,1809,680000,-1081057.625,0.0001,8499,-17.035741806030273,-629064.2998058001,375,4649651712.0,0.0
1.0010112524032593,45.96,1808,690000,-1121483.625,0.0001,8624,-17.038196563720703,-625530.17382322,381,5290209792.0,0.0
1.0007460117340088,42.72,1808,700000,-1071754.5,0.0001,8749,-17.034975051879883,-583122.7988306101,387,4811984384.0,0.0
1.0006378889083862,48.84,1807,710000,-1140199.375,0.0001,8874,-17.034526824951172,-656428.1362737,392,4845629952.0,1.1920928955078125e-07
1.0005031824111938,46.2,1807,720000,-1104654.25,0.0001,8999,-17.032167434692383,-631339.30605269,398,4986455040.0,0.0
1.0006827116012573,42.6,1807,730000,-1072726.5,0.0001,9124,-17.034996032714844,-581940.75710897,403,4312880640.0,0.0
1.00132417678833,49.93,1807,740000,-1178203.5,0.0001,9249,-17.0423641204834,-676290.69184726,409,5255556608.0,0.0
1.001545786857605,37.68,1807,750000,-1246609.375,0.0001,9374,-17.04534912109375,-523124.96764408,415,5834137600.0,0.0
1.0020825862884521,47.16,1806,760000,-1096974.75,0.0001,9499,-17.051530838012695,-634484.67689582,420,4889175552.0,0.0
1.002411961555481,45.05,1806,770000,-1041678.6875,0.0001,9624,-17.05524444580078,-607007.29792044,426,4230427392.0,0.0
1.002124309539795,39.19,1806,780000,-1161113.875,0.0001,9749,-17.052061080932617,-541353.29426136,431,4927219712.0,5.960464477539063e-08
1.0023398399353027,40.32,1806,790000,-1112949.125,0.0001,9874,-17.053932189941406,-553644.35268186,437,5167475200.0,1.1920928955078125e-07
1.0019217729568481,50.45,1806,800000,-1216744.375,0.0001,9999,-17.049217224121094,-672247.65359192,442,6114825728.0,1.7881393432617188e-07
1.0024553537368774,41.47,1806,810000,-1120023.125,0.0001,10124,-17.055707931518555,-566587.3080091001,448,5010526208.0,1.1920928955078125e-07
1.0029232501983643,42.19,1807,820000,-1410834.375,0.0001,10249,-17.061561584472656,-563423.73774485,453,7806118400.0,-1.1920928955078125e-07
1.0031706094741821,44.03,1807,830000,-1254097.5,0.0001,10374,-17.064598083496094,-586783.10322093,459,5999692288.0,1.7881393432617188e-07
1.0030078887939453,40.02,1807,840000,-1173159.25,0.0001,10499,-17.06252670288086,-541377.56428774,464,5235429376.0,-1.1920928955078125e-07
1.0034300088882446,43.23,1807,850000,-1117489.25,0.0001,10624,-17.067344665527344,-579780.03554531,470,4985194496.0,0.0
1.0036067962646484,30.91,1807,860000,-1381618.375,0.0001,10749,-17.06948471069336,-435336.32027853996,475,7326951936.0,0.0
1.0037492513656616,40.34,1807,870000,-1108887.25,0.0001,10874,-17.070938110351562,-544892.4786991201,481,4951235072.0,0.0
1.0035022497177124,40.64,1807,880000,-1038351.1875,0.0001,10999,-17.06804084777832,-546010.39658766,486,4291920384.0,-1.1920928955078125e-07
1.0038539171218872,41.81,1808,890000,-1099853.25,0.0001,11124,-17.07270622253418,-558572.7517066201,492,4583863296.0,-2.384185791015625e-07
1.0038901567459106,37.93,1808,900000,-1085613.0,0.0001,11249,-17.07307243347168,-521247.96080392005,497,4681415680.0,0.0
1.0044556856155396,39.64,1808,910000,-1310448.125,0.0001,11374,-17.079469680786133,-535054.3543603,503,6516259328.0,0.0
1.0042930841445923,42.2,1808,920000,-1214433.0,0.0001,11499,-17.078039169311523,-569907.89326316,508,5575871488.0,0.0
1.0041733980178833,43.54,1808,930000,-1266807.625,0.0001,11624,-17.07684326171875,-583628.2684977399,514,6002599424.0,0.0
1.0036070346832275,39.94,1808,940000,-1160944.875,0.0001,11749,-17.069040298461914,-545252.8921345399,519,5703255552.0,0.0
1.003727674484253,40.93,1808,950000,-1178260.375,0.0001,11874,-17.070606231689453,-553773.3310217,525,5736516608.0,0.0
1.0039252042770386,44.07,1808,960000,-1125924.375,0.0001,11999,-17.07302474975586,-589889.2791034,530,4818510848.0,5.960464477539063e-08
1.0042097568511963,48.02,1808,970000,-1156877.625,0.0001,12124,-17.076478958129883,-635104.4905553199,536,5269111808.0,-1.1920928955078125e-07
1.0040580034255981,36.38,1808,980000,-1226779.0,0.0001,12249,-17.075286865234375,-502871.5864969599,541,5784740864.0,0.0
1.0038599967956543,39.49,1808,990000,-1167031.125,0.0001,12374,-17.072744369506836,-534322.82669317,547,5075034112.0,2.384185791015625e-07
1.0042539834976196,38.45,1808,1000000,-1251192.0,0.0001,12499,-17.077014923095703,-520998.83186332,552,6222940672.0,-1.1920928955078125e-07
