rollout/ep_rew_mean,train/n_updates,train/entropy_loss,train/std,time/time_elapsed,train/policy_loss,time/fps,time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_len_mean,train/learning_rate
-697097.4079328801,13999,-18.569042205810547,1.1412841081619263,255,-713386.125,1096,280000,5.960464477539063e-08,1898489856.0,48.37,0.0007
-523298.00072186993,14499,-18.655729293823242,1.1487394571304321,263,-608721.8125,1101,290000,0.0,1301989120.0,34.22,0.0007
-400552.06586773996,14999,-18.73731803894043,1.1569186449050903,271,-778345.375,1104,300000,0.0,2283428352.0,25.11,0.0007
-505362.88704515004,15499,-18.801008224487305,1.162574291229248,279,-955129.3125,1108,310000,0.0,3548614144.0,27.17,0.0007
-661901.2961549901,15999,-18.898637771606445,1.1722079515457153,287,-809214.8125,1111,320000,0.0,3318764032.0,39.43,0.0007
-469187.62008179,16499,-19.007518768310547,1.1827994585037231,296,-987897.8125,1114,330000,-1.1920928955078125e-07,3835043072.0,27.33,0.0007
-1004957.95881558,16999,-19.182985305786133,1.1999908685684204,304,-760522.6875,1118,340000,1.1920928955078125e-07,1994978944.0,57.8,0.0007
-680645.7116210099,17499,-19.356477737426758,1.2173157930374146,312,-646622.125,1121,350000,1.1920928955078125e-07,1325121280.0,44.6,0.0007
-731605.7028454499,17999,-19.47567367553711,1.2296768426895142,320,-962788.375,1124,360000,0.0,2729199616.0,47.72,0.0007
-518421.1827211,18499,-19.571866989135742,1.2398120164871216,328,-653129.125,1127,370000,1.1920928955078125e-07,1574298112.0,30.72,0.0007
-783091.0078529401,18999,-19.69601058959961,1.2528380155563354,336,-921232.625,1130,380000,1.7881393432617188e-07,2746786304.0,50.19,0.0007
-489922.61093216,19499,-19.714569091796875,1.2553623914718628,344,-1172641.375,1132,390000,0.0,5355389952.0,32.66,0.0007
-428743.35315377003,19999,-19.789630889892578,1.2636030912399292,352,-946956.1875,1135,400000,0.0,3428008704.0,28.5,0.0007
-608623.25580999,20499,-19.90565299987793,1.2757854461669922,360,-940735.6875,1137,410000,-1.1920928955078125e-07,2612838144.0,31.7,0.0007
-677230.9056424899,20999,-19.962949752807617,1.2827394008636475,368,-726814.125,1139,420000,0.0,1584753408.0,44.9,0.0007
-666172.3138985,21499,-19.949487686157227,1.2813513278961182,376,-896732.6875,1142,430000,0.0,3084951808.0,44.1,0.0007
-722463.59017309,21999,-19.95575523376465,1.2829182147979736,384,-1324729.125,1144,440000,0.0,6106112000.0,48.26,0.0007
-958838.5366179902,22499,-20.05561637878418,1.2927970886230469,392,-1589394.75,1146,450000,0.0,7576197632.0,56.28,0.0007
-835203.8188599199,22999,-20.07693099975586,1.2956923246383667,400,-1145511.25,1149,460000,1.7881393432617188e-07,4476699136.0,53.8,0.0007
-569572.4547198599,23499,-20.143400192260742,1.3017888069152832,407,-753007.625,1152,470000,5.960464477539063e-08,1995708672.0,40.36,0.0007
-645622.53747129,23999,-20.34396743774414,1.3240268230438232,415,-1122718.75,1154,480000,0.0,4931417088.0,42.03,0.0007
-698361.33687068,24499,-20.397680282592773,1.329232096672058,424,-865116.875,1153,490000,0.0,2259294720.0,42.93,0.0007
-690809.31409723,24999,-20.518314361572266,1.3428435325622559,432,-998854.125,1156,500000,-1.1920928955078125e-07,2959339520.0,47.97,0.0007
-509427.2271713801,25499,-20.564197540283203,1.3486946821212769,440,-818935.625,1158,510000,-1.1920928955078125e-07,2093347840.0,33.21,0.0007
-1280310.74538022,25999,-20.50993537902832,1.343103051185608,447,-973610.625,1162,520000,-1.1920928955078125e-07,3239664384.0,76.19,0.0007
-628005.7109488499,26499,-20.573699951171875,1.351448893547058,455,-925697.5,1164,530000,-1.1920928955078125e-07,2597571072.0,43.05,0.0007
-1063921.25204069,26999,-20.641660690307617,1.3600412607192993,462,-1058879.25,1166,540000,1.7881393432617188e-07,4046154240.0,65.83,0.0007
-963079.3993952402,27499,-20.684572219848633,1.3641104698181152,470,-766302.0,1169,550000,0.0,1835075840.0,65.36,0.0007
-867715.1397493398,27999,-20.82288932800293,1.3802417516708374,477,-733827.375,1171,560000,0.0,1596955904.0,59.68,0.0007
-616652.8997282201,28499,-20.934785842895508,1.3928219079971313,485,-790816.5,1173,570000,1.1920928955078125e-07,1494469632.0,42.14,0.0007
-582322.80520185,28999,-20.939603805541992,1.3944052457809448,492,-1356529.125,1176,580000,0.0,6030744576.0,35.72,0.0007
-704233.999516,29499,-21.027498245239258,1.4048247337341309,500,-1036362.625,1179,590000,0.0,2962862848.0,41.41,0.0007
-522201.19837068004,29999,-21.042186737060547,1.4067234992980957,507,-1253150.5,1181,600000,0.0,4611415552.0,35.56,0.0007
-652982.9274846,30499,-21.062986373901367,1.40829598903656,515,-986599.1875,1183,610000,0.0,2400237312.0,46.74,0.0007
-896577.7854934101,30999,-21.12236976623535,1.4150843620300293,523,-1071250.375,1185,620000,5.960464477539063e-08,3314162176.0,57.2,0.0007
-548502.57977016,31499,-21.104230880737305,1.4140902757644653,530,-955341.8125,1187,630000,1.1920928955078125e-07,3487405568.0,36.71,0.0007
-559079.5871564,31999,-21.269086837768555,1.4335108995437622,538,-1346481.75,1188,640000,0.0,5489070080.0,34.58,0.0007
-557606.83855995,32499,-21.345996856689453,1.4427157640457153,548,-798027.5625,1186,650000,-1.1920928955078125e-07,1708016256.0,37.18,0.0007
-572247.51062514,32999,-21.50326919555664,1.460825800895691,555,-1175345.75,1187,660000,0.0,4435242496.0,34.19,0.0007
-573946.6858806299,33499,-21.560991287231445,1.468035340309143,563,-783463.25,1188,670000,0.0,1859425280.0,41.53,0.0007
-493599.35133031005,33999,-21.653759002685547,1.4787462949752808,571,-852424.375,1189,680000,1.1920928955078125e-07,1910589056.0,35.06,0.0007
-628472.62578569,34499,-21.768203735351562,1.4931973218917847,579,-942523.1875,1191,690000,-1.1920928955078125e-07,2526666240.0,40.56,0.0007
