train/n_updates,train/ent_coef_loss,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,train/actor_loss,time/episodes,train/critic_loss,train/learning_rate
44974,-0.09914016723632812,187,960,-83168.94285656,180000,676.23,21.92699432373047,-6128.25439453125,384,3420165.75,0.001
47474,-1.1579030752182007,187,1013,-75731.27268933,190000,690.85,21.17137336730957,-6809.46533203125,400,2914417.5,0.001
49974,-0.21245378255844116,186,1069,-64889.388109299995,200000,712.55,20.299882888793945,-8901.705078125,412,4343141.0,0.001
52474,0.22095869481563568,186,1126,-43750.968924119996,210000,684.82,18.657564163208008,-10482.814453125,430,2921879.5,0.001
54974,-0.4298672676086426,186,1181,-31006.517219139998,220000,678.75,19.69825553894043,-11158.4716796875,444,10713266.0,0.001
57474,0.3087020218372345,185,1237,-18594.86447351,230000,653.06,18.70657730102539,-10335.6083984375,457,16742186.0,0.001
59974,-1.035770058631897,185,1295,-21387.37781723,240000,664.37,19.348459243774414,-11435.517578125,471,39167068.0,0.001
62474,-1.2944707870483398,185,1348,-13465.098561989998,250000,704.44,15.320514678955078,-11237.1455078125,485,6667702.5,0.001
64974,-0.32681089639663696,185,1402,-21944.449353639997,260000,717.61,15.181455612182617,-12056.810546875,496,2645475.75,0.001
67474,-0.9053271412849426,185,1453,-27776.83551635999,270000,732.49,15.952132225036621,-12723.591796875,506,45495704.0,0.001
69974,0.3493140935897827,186,1504,-29782.18107149,280000,768.38,13.790054321289062,-16454.21875,519,2733589.0,0.001
72474,0.9750598669052124,186,1555,-21866.716312020002,290000,798.85,15.937786102294922,-15755.630859375,531,4036925.0,0.001
74974,-0.3697613477706909,186,1606,-20191.867622179998,300000,803.9,17.589248657226562,-16656.73046875,543,2310297.5,0.001
77474,-0.23842862248420715,186,1660,7206.314775600003,310000,716.82,14.24258804321289,-18166.42578125,571,3184844.75,0.001
79974,0.6216592192649841,186,1712,1105.0837650899973,320000,660.65,15.655545234680176,-20229.26953125,590,24467968.0,0.001
82474,-0.02247842401266098,186,1769,24882.001212889998,330000,597.7,15.044347763061523,-21492.220703125,608,2823554.0,0.001
84974,-1.797118067741394,185,1828,32596.74897485,340000,555.61,14.177231788635254,-20285.92578125,623,2238272.5,0.001
87474,-0.7537238001823425,185,1884,28864.57331397,350000,557.23,16.686874389648438,-25860.705078125,635,3159708.25,0.001
89974,-0.33565014600753784,185,1942,9972.143140729999,360000,572.1,13.595380783081055,-22442.07421875,649,7952052.0,0.001
92474,0.798420786857605,185,1998,3847.1227204299985,370000,610.67,12.621848106384277,-23706.47265625,661,2264815.25,0.001
94974,1.3910608291625977,185,2050,2985.110546109998,380000,658.26,16.136478424072266,-25691.73828125,677,2984395.5,0.001
97474,1.111092209815979,184,2108,603.0807703899994,390000,696.91,14.744017601013184,-25316.91796875,688,2145434.0,0.001
99974,0.7977405786514282,184,2162,1064.9314840800034,400000,737.71,14.467569351196289,-27780.890625,701,2176030.5,0.001
102474,-0.46242186427116394,184,2218,2878.5114344300014,410000,758.62,11.963363647460938,-27480.2421875,712,9908446.0,0.001
104974,0.6067154407501221,184,2278,-3540.5692212499994,420000,786.56,11.933614730834961,-27993.69140625,723,2394086.75,0.001
107474,-0.29197490215301514,183,2337,1678.5032763200027,430000,750.79,10.730417251586914,-26774.5078125,744,2705751.0,0.001
109974,-1.0779929161071777,183,2397,20195.461321550003,440000,751.91,11.336806297302246,-31122.296875,755,22045656.0,0.001
112474,0.19029667973518372,183,2457,30600.5936982,450000,734.84,10.582449913024902,-29208.01953125,772,1245667.5,0.001
114974,-0.44661715626716614,182,2513,42814.7718446,460000,677.83,11.07408618927002,-28474.0078125,792,5744855.5,0.001
117474,-0.4598565101623535,182,2569,46014.88617645,470000,624.96,10.443414688110352,-30752.66015625,808,1454690.25,0.001
119974,0.6122074723243713,182,2624,57089.946792639996,480000,572.61,11.6185302734375,-27460.22265625,828,2515433.75,0.001
122474,-0.44339820742607117,182,2679,59647.39953012,490000,556.63,10.605088233947754,-30093.01953125,848,3188646.25,0.001
124974,-1.1774847507476807,182,2735,62235.40248461001,500000,525.38,11.102944374084473,-30277.69140625,867,6740333.0,0.001
127474,0.06210896372795105,182,2790,60701.14824128,510000,530.8,11.722200393676758,-34017.36328125,884,1497522.625,0.001
129974,1.9493205547332764,182,2845,52472.04097753001,520000,515.52,10.392354965209961,-34553.765625,906,1835969.5,0.001
132474,0.1904393434524536,182,2900,50070.93630766,530000,509.2,11.890791893005371,-30717.21875,925,13768344.0,0.001
134974,0.061869412660598755,182,2955,54133.86218277,540000,523.68,9.643192291259766,-35730.296875,945,4342962.0,0.001
137474,0.06735485792160034,182,3011,66499.20708717,550000,484.43,11.572955131530762,-35514.0078125,969,5157070.0,0.001
139974,1.2900035381317139,182,3066,70603.25334412999,560000,468.14,11.223152160644531,-36995.6875,997,13889388.0,0.001
142474,-0.2206355333328247,182,3121,98496.71098067999,570000,347.21,10.688179969787598,-37292.4609375,1035,1359820.25,0.001
144974,-0.35398128628730774,182,3176,101062.46904655,580000,315.8,11.069212913513184,-37244.89453125,1059,1310559.125,0.001
147474,0.8091926574707031,182,3236,94048.22949207999,590000,324.69,11.378765106201172,-37844.859375,1085,3623344.0,0.001
149974,0.2703436017036438,182,3295,86455.15505567998,600000,347.3,10.497282028198242,-36611.18359375,1117,1974687.75,0.001
152474,0.739216685295105,181,3353,86101.05917636,610000,359.05,10.621469497680664,-39648.8125,1145,959612.5625,0.001
154974,0.6148138642311096,181,3412,93809.44134541001,620000,315.08,12.291735649108887,-38736.8984375,1178,3480748.0,0.001
157474,-0.674842119216919,181,3470,98119.83851465,630000,333.71,11.256080627441406,-42345.9921875,1210,2781138.5,0.001
159974,0.6483909487724304,181,3530,97667.50785779001,640000,298.44,12.11484146118164,-45337.0234375,1249,4867870.0,0.001
162474,0.042385607957839966,181,3589,99478.90877924,650000,271.71,12.059662818908691,-40297.19140625,1285,1546015.625,0.001
164974,-1.5189497470855713,180,3647,77766.47228534,660000,313.06,11.54992961883545,-43777.4140625,1301,15723586.0,0.001
167474,-0.9347290396690369,180,3702,85338.45943009999,670000,303.36,11.698493003845215,-45842.61328125,1344,2064458.0,0.001
169974,0.3106187880039215,180,3758,78698.66848246,680000,369.29,12.809244155883789,-45305.6953125,1361,29535098.0,0.001
172474,-0.45775753259658813,180,3813,106363.03026332999,690000,275.14,11.596382141113281,-44554.03515625,1403,2871809.5,0.001
174974,-0.3224313259124756,180,3868,117323.09971880999,700000,249.01,11.718941688537598,-46146.50390625,1451,1328605.75,0.001
177474,0.9266427755355835,180,3923,107113.30743496999,710000,257.82,12.359368324279785,-48490.5390625,1477,2251463.25,0.001
179974,-0.7789102792739868,180,3981,106245.48144854,720000,236.44,13.074030876159668,-50957.79296875,1527,1972426.75,0.001
182474,-1.1707158088684082,180,4041,126253.38237086002,730000,106.85,12.65552806854248,-48726.58984375,1621,1574733.625,0.001
184974,-0.7739880084991455,180,4102,120396.69943221,740000,146.1,13.146160125732422,-48396.984375,1675,2394137.5,0.001
187474,-0.37576842308044434,179,4167,108252.48322431,750000,151.67,13.098136901855469,-52055.04296875,1739,4240194.0,0.001
189974,-0.8806934952735901,179,4222,130201.15612275,760000,89.36,12.126755714416504,-49547.73828125,1838,1355183.5,0.001
192474,-0.8026835918426514,179,4280,126607.81704170998,770000,126.26,11.942190170288086,-53479.265625,1913,980536.625,0.001
194974,0.28668221831321716,179,4340,126192.25858188001,780000,130.96,13.557498931884766,-54305.5078125,2000,3574519.25,0.001
197474,0.42479178309440613,179,4401,126878.70750171998,790000,104.65,13.011556625366211,-55901.32421875,2092,1508482.625,0.001
199974,0.20725297927856445,179,4463,128576.66892532,800000,101.69,15.962149620056152,-55342.1953125,2180,3249018.5,0.001
202474,0.2573067545890808,179,4520,127534.38918217,810000,101.2,13.467113494873047,-56195.484375,2289,12889101.0,0.001
204974,0.013693414628505707,179,4576,131728.94666478,820000,65.16,14.728392601013184,-58427.26953125,2429,1247935.875,0.001
207474,0.24711644649505615,179,4631,131178.76192694,830000,73.99,13.764738082885742,-60837.97265625,2573,1219199.75,0.001
209974,-0.47865989804267883,179,4688,127562.24163188999,840000,92.07,15.008460998535156,-57198.67578125,2683,3585716.0,0.001
212474,-1.0907063484191895,179,4743,126675.78872075999,850000,117.95,13.162389755249023,-58536.4296875,2755,5038485.5,0.001
214974,0.771496057510376,179,4803,127038.16561961999,860000,105.81,13.059906005859375,-63110.0859375,2856,2052929.75,0.001
217474,-0.5170019865036011,178,4862,128926.25935660001,870000,94.74,13.226516723632812,-59594.63671875,2959,1735578.0,0.001
219974,1.2139078378677368,178,4917,122288.65166989001,880000,145.1,13.37548542022705,-58771.6953125,3009,1831937.875,0.001
222474,-0.6971852779388428,178,4975,118320.64010974999,890000,164.23,14.373588562011719,-68763.265625,3084,7344657.0,0.001
224974,0.33925190567970276,178,5035,122417.52611766002,900000,156.01,16.297170639038086,-59919.71875,3132,2360905.5,0.001
227474,0.036673009395599365,178,5098,120036.29838447,910000,165.91,15.029566764831543,-62117.4296875,3195,3692423.5,0.001
229974,1.5679689645767212,178,5161,125006.02659607999,920000,118.92,14.901398658752441,-64087.7421875,3278,2799816.25,0.001
232474,-1.5714808702468872,177,5225,126483.57256026001,930000,128.4,17.205020904541016,-60067.7578125,3349,1523288.75,0.001
234974,1.457031011581421,177,5288,126028.35213070002,940000,132.94,16.47704315185547,-59975.1171875,3421,3558412.25,0.001
237474,0.7449488043785095,177,5349,129920.02097557,950000,102.12,16.922653198242188,-59771.4609375,3523,1054538.5,0.001
239974,0.8901749849319458,177,5404,129450.25490209,960000,98.5,16.946332931518555,-63760.171875,3617,54303172.0,0.001
242474,-0.019210204482078552,177,5464,130905.9045238,970000,75.87,17.568984985351562,-60735.546875,3742,1548292.75,0.001
244974,0.43769192695617676,177,5521,132005.69955674,980000,56.79,17.174131393432617,-63020.19921875,3909,4147290.5,0.001
247474,-0.08261486887931824,177,5581,132499.54826646,990000,58.07,17.450735092163086,-62340.078125,4055,10426462.0,0.001
249974,0.14558333158493042,177,5638,128245.34651836,1000000,108.74,15.152674674987793,-62638.453125,4126,6286757.0,0.001
