time/fps,train/std,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/explained_variance
1595,0.9553253054618835,480785312.0,-0.0030094521878709203,243.46,0.0043673124,576221463.9875,0.2,0.01578369140625,-8.239445793628693,680000,0.0003,-239331.88911511,426,830,0.0
1597,0.9532679915428162,238198736.0,-0.0028383854983985656,278.55,0.00397262,443248765.4625,0.2,0.02042236328125,-8.229896374046803,690000,0.0003,-265222.62113307,431,840,-1.1920928955078125e-07
1600,0.9533848166465759,169015824.0,-0.0031356790370409724,297.44,0.004609756,419151366.3625,0.2,0.01900634765625,-8.22397134900093,700000,0.0003,-268314.14483284,437,850,0.0
1602,0.9518134593963623,231795520.0,-0.001976990264665801,323.47,0.0030377458,467387957.65,0.2,0.01090087890625,-8.218960854411126,710000,0.0003,-277164.77404387,443,860,0.0
1604,0.9501602649688721,298671456.0,-0.002920177157102444,290.82,0.0045813676,486497617.5375,0.2,0.02078857421875,-8.208597008138895,720000,0.0003,-250537.27057865006,448,870,-1.1920928955078125e-07
1595,0.9483748078346252,165278896.0,-0.004181420384520606,285.02,0.003820954,416224713.2625,0.2,0.02841796875,-8.199053187668323,730000,0.0003,-245073.23891388,457,890,0.0
1597,0.9453945755958557,174578640.0,-0.002180649534057011,295.44,0.0037805054,469848193.96875,0.2,0.0141845703125,-8.182624574005605,740000,0.0003,-248295.01843825998,463,900,1.1920928955078125e-07
1599,0.944786787033081,270520768.0,-0.0036161345131404234,322.92,0.005316014,456807679.0625,0.2,0.02498779296875,-8.171932622790337,750000,0.0003,-266662.55900103005,468,910,0.0
1601,0.9428426623344421,158631296.0,-0.0020943670338965602,322.34,0.0041480395,359266776.9875,0.2,0.01937255859375,-8.162755528092385,760000,0.0003,-266402.8379322,474,920,0.0
1603,0.9415611624717712,135548576.0,-0.002610127144271246,297.56,0.0038115727,506316382.475,0.2,0.01925048828125,-8.151852081716061,770000,0.0003,-238734.96398591,480,930,-1.1920928955078125e-07
1595,0.9407365918159485,181052352.0,-0.002669815735134762,285.53,0.0035391967,470315592.15,0.2,0.024365234375,-8.144229347258806,780000,0.0003,-229791.94684157998,488,950,0.0
1597,0.9412057995796204,316149312.0,-0.0034321702498345983,297.44,0.004379876,450671407.925,0.2,0.02684326171875,-8.143746606260539,790000,0.0003,-228167.58967513003,494,960,0.0
1599,0.9407658576965332,218066144.0,-0.0032557572254518163,293.24,0.004985798,464254410.5,0.2,0.0277099609375,-8.14407933205366,800000,0.0003,-234713.27305757997,500,970,0.0
1600,0.9413544535636902,348117216.0,-0.0024730042654482532,308.69,0.003541466,453381586.4375,0.2,0.016748046875,-8.144086261838675,810000,0.0003,-237743.53057650002,505,980,-1.1920928955078125e-07
1593,0.9384260177612305,145474048.0,-0.0023376537343210656,311.64,0.00338043,404905053.5125,0.2,0.01829833984375,-8.130240243673324,820000,0.0003,-237131.31227573997,514,1000,-1.1920928955078125e-07
1595,0.9355040192604065,212920144.0,-0.003335368205989653,324.72,0.0049713813,421373482.06875,0.2,0.03082275390625,-8.117361633479595,830000,0.0003,-235701.05025812003,520,1010,0.0
1597,0.9337282180786133,253987056.0,-0.0028471996892221797,305.6,0.0036795896,455557017.2125,0.2,0.02587890625,-8.101858933269977,840000,0.0003,-229894.81065618002,525,1020,0.0
1598,0.932418167591095,266143328.0,-0.0024886256411264184,306.45,0.0033655441,436817632.50625,0.2,0.0131591796875,-8.091907806694508,850000,0.0003,-235835.48529611004,531,1030,0.0
1600,0.9315901398658752,294480640.0,-0.003844375307471637,296.79,0.004898941,393620073.05,0.2,0.0345703125,-8.085390568524598,860000,0.0003,-233653.79853431997,537,1040,-1.1920928955078125e-07
1593,0.9276642799377441,233468832.0,-0.0030148634241413674,285.08,0.0038636252,472193647.49375,0.2,0.02254638671875,-8.065284583717585,870000,0.0003,-222364.59961436002,546,1060,0.0
1595,0.9266542792320251,199698432.0,-0.004066185997180583,283.68,0.005743963,419986535.03125,0.2,0.04058837890625,-8.05372461900115,880000,0.0003,-216823.54858776,551,1070,0.0
1596,0.9259529113769531,183238960.0,-0.0031402375165271224,274.38,0.0045499247,429559362.51875,0.2,0.0341796875,-8.046708854287862,890000,0.0003,-209557.48456952997,557,1080,0.0
1598,0.9233877658843994,117265432.0,-0.004175889956241008,302.99,0.0058652014,415754139.6375,0.2,0.034130859375,-8.036305253952742,900000,0.0003,-224982.75239247,563,1090,0.0
1591,0.9215905666351318,109557488.0,-0.0037241480305965522,303.04,0.0052430797,382035417.3,0.2,0.0422607421875,-8.019003340601921,910000,0.0003,-212257.75722365003,571,1110,0.0
1593,0.9205347895622253,242106688.0,-0.004024110604950693,313.49,0.005019576,468693078.60625,0.2,0.03414306640625,-8.012996433675289,920000,0.0003,-219395.92417727003,577,1120,1.7881393432617188e-07
1594,0.919337272644043,91385192.0,-0.0030524604278980407,306.34,0.005002711,369928208.55,0.2,0.03406982421875,-8.004984480887652,930000,0.0003,-211288.86861419,583,1130,0.0
1596,0.9182770848274231,135505088.0,-0.0028475026640080612,295.15,0.004920272,414965688.58125,0.2,0.0280517578125,-7.997972979024053,940000,0.0003,-218020.78718023002,588,1140,0.0
1597,0.9164027571678162,498984768.0,-0.002266812622656289,301.64,0.0042726537,430698533.18125,0.2,0.02425537109375,-7.9886022571474316,950000,0.0003,-209255.23812793,594,1150,1.1920928955078125e-07
1591,0.9119341969490051,293497280.0,-0.004012348433388979,300.05,0.0056535816,385045205.8,0.2,0.05006103515625,-7.956263206899166,960000,0.0003,-209220.94718650996,603,1170,0.0
1593,0.9110179543495178,271072064.0,-0.003522634238925093,294.91,0.0052959183,436346591.51875,0.2,0.03565673828125,-7.9493042446672915,970000,0.0003,-205414.44588362,608,1180,0.0
1594,0.9113202691078186,122215576.0,-0.0026599020820867736,292.55,0.0055108275,369019333.575,0.2,0.04195556640625,-7.946977688372135,980000,0.0003,-192084.11198457002,614,1190,0.0
1596,0.9097976088523865,256799200.0,-0.0025392281409949645,293.4,0.00550496,348546285.2,0.2,0.0348876953125,-7.942817995324731,990000,0.0003,-182269.67474964997,620,1200,-1.1920928955078125e-07
1589,0.9050519466400146,215252640.0,-0.00340265116565206,310.26,0.0052706436,368428618.44375,0.2,0.03857421875,-7.910575381666422,1000000,0.0003,-178928.75010874998,629,1220,0.0
