train/policy_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,train/value_loss,train/n_updates,train/std,train/explained_variance,time/fps,time/time_elapsed
2537.13525390625,570000,-131395.94524248,0.0007,-9.90754508972168,75.69,392208.96875,28499,1.2708207368850708,-1.1920928955078125e-07,1603,355
-103321.5625,580000,-137245.8648335,0.0007,-9.903243064880371,73.73,246875696.0,28999,1.268842101097107,-2.384185791015625e-07,1603,361
-48813.453125,590000,-225591.32407296,0.0007,-9.936562538146973,91.8,137909888.0,29499,1.2771985530853271,0.0,1602,368
-217650.71875,600000,-160902.99709442,0.0007,-10.036561965942383,94.98,2322598912.0,29999,1.2986375093460083,0.0,1601,374
36681.140625,610000,-2887.00760016,0.0007,-10.035590171813965,88.55,52121448.0,30499,1.3004816770553589,0.0,1601,380
-490830.15625,620000,-59078.11900161,0.0007,-10.100218772888184,118.09,5124753920.0,30999,1.311627984046936,0.0,1600,387
-15904.5361328125,630000,-150700.0617522,0.0007,-10.081427574157715,100.16,15813056.0,31499,1.3082916736602783,0.0,1600,393
-75287.203125,640000,-106356.71349484997,0.0007,-10.126571655273438,83.22,170751200.0,31999,1.3202086687088013,1.7881393432617188e-07,1599,400
-36433.9296875,650000,-120132.43077062997,0.0007,-10.178183555603027,126.13,38219972.0,32499,1.331364631652832,-1.1920928955078125e-07,1599,406
-80126.984375,660000,-62836.16492634,0.0007,-10.266578674316406,97.31,263031840.0,32999,1.3506795167922974,0.0,1599,412
-49530.640625,670000,-105455.84162477002,0.0007,-10.320601463317871,126.96,83758696.0,33499,1.3623896837234497,-1.1920928955078125e-07,1599,418
-280088.25,680000,-42711.07958610999,0.0007,-10.32336711883545,98.73,2407232768.0,33999,1.3628664016723633,1.7881393432617188e-07,1598,425
-99865.0390625,690000,-76016.45944251,0.0007,-10.294303894042969,97.3,344829184.0,34499,1.356605887413025,0.0,1598,431
-628.2830810546875,700000,-90676.69753204001,0.0007,-10.360870361328125,123.28,7791.20166015625,34999,1.3710294961929321,7.152557373046875e-07,1598,438
