train/value_loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/std,rollout/ep_len_mean,train/clip_range,time/time_elapsed,train/learning_rate,train/approx_kl,train/clip_fraction,time/total_timesteps,train/n_updates,train/explained_variance,train/entropy_loss,time/fps
1597200493.3,-229549.29724817,-0.0023703883089183364,734000384.0,0.9840063452720642,106.31,0.2,402,0.0003,0.0023938268,0.00181884765625,550000,670,0.0,-12.623628221452236,1365
1524788003.9,-237520.10552155002,-0.0029336096968108905,884816640.0,0.9839044213294983,122.16,0.2,409,0.0003,0.0030735862,0.00330810546875,560000,680,-1.1920928955078125e-07,-12.62385497763753,1368
1442085765.3,-211351.53333407,-0.003546732764243643,670783040.0,0.9820965528488159,104.54,0.2,415,0.0003,0.0036199326,0.00445556640625,570000,690,0.0,-12.61488504037261,1370
1562305676.45,-235745.59004306004,-0.002777549255552003,865549504.0,0.9821368455886841,108.21,0.2,422,0.0003,0.002943714,0.00467529296875,580000,700,-1.1920928955078125e-07,-12.607151710987091,1372
1599314977.35,-242587.21111509003,-0.002278150564779935,875556160.0,0.9820692539215088,111.65,0.2,432,0.0003,0.0025961078,0.0032958984375,590000,720,0.0,-12.607597846537828,1364
1440158365.35,-201178.46356267002,-0.0024125536392602953,697206464.0,0.9818953275680542,103.12,0.2,439,0.0003,0.0029611099,0.003125,600000,730,0.0,-12.605774567276239,1366
1399907390.45,-219588.81742409998,-0.002276020029603387,686439872.0,0.9819066524505615,105.73,0.2,445,0.0003,0.0025788976,0.0035400390625,610000,740,0.0,-12.60479191020131,1368
1610916838.3,-221455.32755057997,-0.0025692329631056055,815994496.0,0.9811856746673584,110.15,0.2,452,0.0003,0.002281486,0.001904296875,620000,750,1.1920928955078125e-07,-12.601219376176596,1370
1375765015.45,-223927.49090826002,-0.0022896156040587813,698934336.0,0.980107843875885,105.21,0.2,459,0.0003,0.0018949416,0.0023681640625,630000,760,0.0,-12.59298257380724,1372
1391295083.45,-219776.66303303998,-0.002508672378007759,793496448.0,0.979582667350769,109.0,0.2,468,0.0003,0.002678874,0.00406494140625,640000,780,5.960464477539063e-08,-12.583405543118715,1364
1392055187.35,-224266.87236552,-0.0026075446761751665,616659840.0,0.97904372215271,111.46,0.2,475,0.0003,0.0020946683,0.0039794921875,650000,790,1.1920928955078125e-07,-12.580894154310226,1366
1361619816.25,-211702.90953696004,-0.0024530272238735052,582845632.0,0.9780212044715881,109.44,0.2,482,0.0003,0.0028225102,0.00621337890625,660000,800,5.960464477539063e-08,-12.573657187074422,1368
1438755469.1,-212400.52432059002,-0.0024290723777085077,577510976.0,0.9777951836585999,104.26,0.2,489,0.0003,0.0020489865,0.00128173828125,670000,810,0.0,-12.567930045723916,1370
1530609359.35,-200505.87327895,-0.0021815924837028434,880204288.0,0.977313756942749,92.9,0.2,499,0.0003,0.0025845908,0.00703125,680000,830,0.0,-12.563549520820379,1362
1331369660.95,-220119.18896057,-0.0027203588339034467,628811584.0,0.9771897792816162,114.85,0.2,505,0.0003,0.0027418644,0.004248046875,690000,840,0.0,-12.561278231441975,1364
