time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/n_updates,time/fps,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/actor_loss,time/episodes
440000,133192.02425776,29.699081420898438,1912,13.11,109974,230,-2.6081652641296387,0.001,4649372.5,-108658.328125,26731
450000,133479.7,29.080604553222656,1960,13.41,112474,229,-0.7482696175575256,0.001,7333088.0,-106552.171875,27469
460000,131562.43731651,25.10674285888672,2007,13.51,114974,229,1.760019302368164,0.001,37590276.0,-106787.59375,28230
470000,133579.03517327,27.544649124145508,2055,13.96,117474,228,0.523990273475647,0.001,63712528.0,-106303.609375,28962
480000,133588.72615022003,24.214448928833008,2102,13.25,119974,228,-1.1674526929855347,0.001,23006760.0,-108511.25,29667
490000,133596.07176619998,25.445432662963867,2148,13.22,122474,228,0.049433767795562744,0.001,24082178.0,-107808.921875,30403
500000,133593.32211186,26.526826858520508,2195,13.13,124974,227,-1.4736573696136475,0.001,10076824.0,-109304.203125,30910
510000,133600.4,24.467313766479492,2243,13.14,127474,227,0.4942459762096405,0.001,3267030.0,-108434.1171875,31495
520000,133600.80855528,24.53627586364746,2289,13.03,129974,227,0.6100426912307739,0.001,16580877.0,-106567.4296875,32270
530000,133587.05786648,25.92276954650879,2336,13.01,132474,226,0.8521254062652588,0.001,9554458.0,-106088.8515625,33028
540000,133600.5276461,24.74312400817871,2384,12.8,134974,226,1.5036282539367676,0.001,3755002.5,-108334.8125,33800
550000,133610.14504625,26.39366340637207,2435,12.99,137474,225,1.0122052431106567,0.001,19606512.0,-107211.328125,34567
560000,133589.56375165,21.756589889526367,2485,13.19,139974,225,-0.1728581041097641,0.001,2841682.75,-108510.125,35327
570000,132510.83753954,24.579538345336914,2536,14.55,142474,224,0.0862220823764801,0.001,3343586.75,-107354.296875,36073
580000,133595.86792086,22.59273338317871,2587,12.86,144974,224,0.2209104299545288,0.001,2592512.25,-105476.5,36831
590000,132291.00105269,25.259065628051758,2638,12.85,147474,223,1.0838170051574707,0.001,54758188.0,-107904.5,37595
600000,133514.12927716,21.063730239868164,2685,12.68,149974,223,2.366759777069092,0.001,4021654.0,-107121.5390625,38372
610000,133584.14333601,22.358890533447266,2731,13.38,152474,223,1.0449626445770264,0.001,11290650.0,-108930.109375,39027
620000,133616.00139894002,23.081890106201172,2777,12.49,154974,223,-0.1746458113193512,0.001,9542772.0,-107182.015625,39795
630000,133473.51648905,22.00497817993164,2824,13.0,157474,223,-1.6688672304153442,0.001,4878009.0,-109912.2421875,40595
640000,133622.35456972,23.489534378051758,2871,12.34,159974,222,1.229296326637268,0.001,5884503.5,-107859.5390625,41337
650000,133617.8,21.71996307373047,2917,12.29,162474,222,0.4711150527000427,0.001,4364648.0,-108205.0859375,42122
660000,133199.28713772,24.01828384399414,2964,12.45,164974,222,0.41979220509529114,0.001,32613910.0,-107104.390625,42905
670000,133289.38141398,21.772441864013672,3011,13.26,167474,222,-2.919558048248291,0.001,7456478.5,-110093.0625,43683
680000,133577.0,21.517179489135742,3059,13.74,169974,222,-0.5982298254966736,0.001,53444112.0,-109817.90625,44406
690000,133560.94416051998,23.518157958984375,3106,13.94,172474,222,0.4095878303050995,0.001,2377291.0,-108631.375,45166
700000,133520.54531072,22.201669692993164,3154,12.28,174974,221,1.0521814823150635,0.001,3648304.75,-109087.6796875,45961
710000,133615.59087788,20.040386199951172,3201,12.15,177474,221,-0.3860398232936859,0.001,5239636.0,-110433.203125,46753
720000,133112.88427091,20.539430618286133,3249,12.42,179974,221,1.2813761234283447,0.001,2892909.75,-109179.609375,47560
730000,132713.59920152999,19.885986328125,3296,12.36,182474,221,0.2176896035671234,0.001,3512821.25,-110513.078125,48381
740000,133598.36164535,17.368520736694336,3343,12.83,184974,221,-0.7609912157058716,0.001,17529730.0,-111115.5625,49184
750000,133517.64738106,19.407825469970703,3391,12.44,187474,221,-2.256446599960327,0.001,8086943.0,-107829.359375,49944
760000,133099.75001831,20.226835250854492,3438,12.22,189974,221,0.4336787760257721,0.001,4542396.0,-110338.234375,50736
770000,133615.4,20.193490982055664,3486,12.04,192474,220,-0.7327733039855957,0.001,4878995.5,-108701.34375,51525
780000,133615.61214600998,17.50453758239746,3532,12.12,194974,220,0.3738071918487549,0.001,20448028.0,-108849.703125,52342
790000,133144.35340788,19.652999877929688,3579,13.89,197474,220,-2.923940420150757,0.001,4996663.0,-110834.9375,53133
800000,133586.0,21.499187469482422,3627,13.35,199974,220,1.059665560722351,0.001,2036794.25,-111073.5625,53878
810000,133598.9,20.579862594604492,3674,12.35,202474,220,1.7787407636642456,0.001,4007221.5,-110843.75,54634
820000,117042.23329854,19.813337326049805,3722,17.1,204974,220,1.657750129699707,0.001,1676315.5,-110700.703125,55425
830000,133626.44296041998,20.040912628173828,3769,12.17,207474,220,0.9525585770606995,0.001,2357284.0,-109403.4375,56247
840000,133515.26489244,16.246116638183594,3815,12.12,209974,220,1.1812485456466675,0.001,22374212.0,-111581.59375,57057
850000,133448.2,20.507244110107422,3862,13.68,212474,220,-0.42923399806022644,0.001,11402360.0,-110249.1953125,57856
860000,133617.5,15.919047355651855,3909,12.45,214974,219,-3.495783805847168,0.001,3034577.0,-110347.984375,58695
870000,133515.74208946002,19.100034713745117,3956,12.47,217474,219,-1.8136155605316162,0.001,2760796.25,-108461.796875,59478
880000,133634.12209183,18.04062843322754,4004,11.71,219974,219,0.8589742183685303,0.001,3540477.75,-109489.6796875,60298
890000,133616.16970071,17.4857177734375,4051,11.76,222474,219,0.2487751841545105,0.001,2360978.5,-111818.0625,61138
900000,133632.75375886,20.079092025756836,4098,11.66,224974,219,-1.5982859134674072,0.001,33627688.0,-109779.4375,61968
910000,133652.86466426,19.60270881652832,4145,11.32,227474,219,-2.3993124961853027,0.001,8944965.0,-110621.3984375,62819
920000,133528.59786080002,16.72147560119629,4191,11.61,229974,219,-0.45444929599761963,0.001,1186900.0,-111238.2578125,63649
930000,133612.28701037998,16.67353057861328,4238,11.93,232474,219,-0.5965721011161804,0.001,20501708.0,-111263.8359375,64465
940000,133517.10231058003,19.901817321777344,4284,11.79,234974,219,0.6342265009880066,0.001,3491905.75,-111757.1875,65267
950000,133617.03381092998,17.990108489990234,4332,12.3,237474,219,2.0660512447357178,0.001,3350605.0,-111313.125,66089
960000,133597.78422699,17.317066192626953,4379,12.89,239974,219,0.3832857012748718,0.001,2599502.0,-110838.59375,66895
970000,133620.5,17.170385360717773,4427,11.99,242474,219,-0.1482858955860138,0.001,5645937.0,-108664.796875,67725
980000,133614.26475308,18.46037483215332,4474,12.46,244974,219,0.23394352197647095,0.001,6903644.5,-110235.34375,68547
990000,133621.86721361,18.79598617553711,4521,12.48,247474,218,0.5053911209106445,0.001,5036714.0,-111750.671875,69322
1000000,133637.87895245,18.026697158813477,4568,11.61,249974,218,-1.2612022161483765,0.001,978643.375,-109517.65625,70173
