time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/policy_loss,train/value_loss,train/n_updates,time/fps,train/entropy_loss,train/learning_rate,train/explained_variance,rollout/ep_rew_mean,train/std
398,550000,11.99,-1413588.5,20471001088.0,6874,1380,-21.133094787597656,0.0001,5.960464477539063e-08,-306557.02585722995,0.9900793433189392
405,560000,10.24,-254857.828125,3529818112.0,6999,1380,-21.124937057495117,0.0001,0.0,-226121.53706853,0.9895263314247131
413,570000,5.55,-29362.025390625,3302725632.0,7124,1379,-21.113964080810547,0.0001,5.960464477539063e-08,-25961.94105914,0.988841712474823
420,580000,6.48,-873916.375,15403974656.0,7249,1378,-21.109312057495117,0.0001,0.0,-59371.70770548,0.9886044859886169
428,590000,6.64,-1069315.375,12487200768.0,7374,1377,-21.105113983154297,0.0001,0.0,-71819.72910867,0.9882587194442749
435,600000,8.08,-1267942.25,20179572736.0,7499,1377,-21.091711044311523,0.0001,0.0,-139698.13680998998,0.987381637096405
443,610000,6.62,-1565704.0,21717864448.0,7624,1376,-21.088563919067383,0.0001,0.0,-71534.23885117,0.9872186183929443
450,620000,8.56,-1581724.125,23844487168.0,7749,1376,-21.08479118347168,0.0001,1.1920928955078125e-07,-179351.02164319,0.9869813323020935
457,630000,6.04,108777.234375,2567616256.0,7874,1376,-21.084787368774414,0.0001,0.0,-51891.12145485,0.9869810342788696
465,640000,7.77,220133.703125,2651329536.0,7999,1376,-21.082786560058594,0.0001,0.0,-134681.66396958,0.9868505001068115
472,650000,5.39,-3964474.5,56121040896.0,8124,1376,-21.07607650756836,0.0001,0.0,-9137.3606625,0.9864051938056946
479,660000,5.64,-1249012.125,21212823552.0,8249,1376,-21.07465934753418,0.0001,0.0,-27403.314258399998,0.9863119721412659
486,670000,8.96,-2490066.25,38677028864.0,8374,1376,-21.073192596435547,0.0001,-1.1920928955078125e-07,-185646.58680732004,0.9862316846847534
493,680000,10.83,-2759156.0,37487644672.0,8499,1376,-21.077857971191406,0.0001,0.0,-279596.57793898,0.9865178465843201
501,690000,9.39,-2492423.75,37429080064.0,8624,1376,-21.073928833007812,0.0001,0.0,-199045.13236788998,0.9863115549087524
508,700000,5.3,-131212.75,5243686400.0,8749,1376,-21.069944381713867,0.0001,0.0,-4155.80772043,0.9860173463821411
515,710000,5.23,330416.875,1683775232.0,8874,1376,-21.058483123779297,0.0001,-1.1920928955078125e-07,-8504.20435458,0.9852975606918335
523,720000,6.48,-1219715.375,19995996160.0,8999,1375,-21.04737663269043,0.0001,0.0,-58118.24067713,0.9846037030220032
530,730000,5.97,355117.09375,1989204352.0,9124,1375,-21.04954719543457,0.0001,0.0,-37835.60017246,0.984751284122467
538,740000,6.17,-3894726.0,54610427904.0,9249,1375,-21.04298973083496,0.0001,0.0,-48421.821757490005,0.9843251705169678
545,750000,6.25,379936.34375,1611935872.0,9374,1375,-21.032106399536133,0.0001,0.0,-52814.121870320014,0.983637809753418
552,760000,7.55,-1185610.5,19504596992.0,9499,1375,-21.024890899658203,0.0001,0.0,-111290.88427958,0.9831365942955017
560,770000,5.33,463901.09375,1596647936.0,9624,1374,-21.01785659790039,0.0001,0.0,1128.84219254,0.9827457666397095
567,780000,5.19,-1140881.0,20171266048.0,9749,1374,-21.006019592285156,0.0001,2.384185791015625e-07,4405.9173064999995,0.9819105863571167
574,790000,5.18,449053.90625,1722921728.0,9874,1374,-20.98861312866211,0.0001,1.1920928955078125e-07,1832.04707586,0.9808287024497986
582,800000,5.69,287428.9375,1724009088.0,9999,1373,-20.97747802734375,0.0001,0.0,-19023.99233729,0.9800938367843628
589,810000,5.09,-923010.625,19700652032.0,10124,1373,-20.96705436706543,0.0001,0.0,9211.13943306,0.979473888874054
597,820000,7.61,-990604.8125,20153286656.0,10249,1373,-20.95949935913086,0.0001,0.0,-115715.48122988001,0.9789697527885437
604,830000,5.11,535701.0,1527981824.0,10374,1372,-20.944787979125977,0.0001,5.960464477539063e-08,8505.63137907,0.978036642074585
611,840000,5.09,341699.96875,1732136192.0,10499,1372,-20.937631607055664,0.0001,0.0,9314.0,0.9775375723838806
619,850000,5.15,338837.375,1521298688.0,10624,1372,-20.925743103027344,0.0001,-1.1920928955078125e-07,6585.70083447,0.9768206477165222
626,860000,5.08,-1097186.125,20877873152.0,10749,1372,-20.919994354248047,0.0001,0.0,7743.979854200001,0.9764240384101868
634,870000,5.09,496845.5625,1667230336.0,10874,1371,-20.915231704711914,0.0001,0.0,7945.35368872,0.9761536717414856
641,880000,5.1,-1197317.25,21840631808.0,10999,1371,-20.905921936035156,0.0001,0.0,7282.77236073,0.975452184677124
649,890000,5.04,359403.4375,1599810176.0,11124,1371,-20.89840316772461,0.0001,0.0,10426.288502110001,0.9750040173530579
656,900000,5.12,-1085478.125,21256767488.0,11249,1370,-20.892885208129883,0.0001,0.0,7698.1,0.9746569395065308
664,910000,5.11,548816.8125,1724687360.0,11374,1370,-20.88595962524414,0.0001,0.0,8808.5,0.9742337465286255
671,920000,5.02,447277.4375,1685619456.0,11499,1370,-20.87489128112793,0.0001,0.0,9463.28112402,0.9735136032104492
678,930000,5.07,505805.90625,1652780800.0,11624,1369,-20.863256454467773,0.0001,0.0,9415.9,0.9727686643600464
686,940000,5.05,398559.3125,1689043328.0,11749,1369,-20.86274528503418,0.0001,0.0,9921.4,0.9727405309677124
694,950000,5.04,404722.21875,1616222208.0,11874,1368,-20.865297317504883,0.0001,-1.1920928955078125e-07,5106.105035099999,0.9729421138763428
701,960000,15.04,538033.1875,1706139904.0,11999,1368,-20.859365463256836,0.0001,0.0,-490135.53448774,0.9724813103675842
709,970000,5.0,469562.40625,2008852096.0,12124,1367,-20.84846305847168,0.0001,0.0,7390.51298344,0.9717952013015747
716,980000,8.1,-586906.625,14616672256.0,12249,1367,-20.838075637817383,0.0001,0.0,-144002.7,0.9711486101150513
724,990000,5.05,497192.4375,1625405696.0,12374,1366,-20.83065414428711,0.0001,-1.1920928955078125e-07,11031.3,0.9706891775131226
731,1000000,5.03,419311.5,1562921856.0,12499,1366,-20.825721740722656,0.0001,1.1920928955078125e-07,11031.4,0.9703308343887329
