time/time_elapsed,time/episodes,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,time/fps
1401,101009,0.0055,72973504.0,33.9001579284668,109521.515625,5.05,780000,-128978.34804877,-55.45932388305664,194974,556
1420,101433,0.0055,4006270976.0,2975.97314453125,327474.875,43.31,790000,-1512508.67736694,48.86970520019531,197474,556
1439,101810,0.0055,247143072.0,582.974609375,231377.59375,9.61,800000,-181152.65331778995,28.311729431152344,199974,555
1458,103142,0.0055,43922924.0,133.43955993652344,194013.171875,5.25,810000,-130998.06494682001,22.343189239501953,202474,555
1477,105100,0.0055,23956928.0,69.89069366455078,152112.6875,5.06,820000,-129513.84496817998,-1.4273319244384766,204974,555
1495,106703,0.0055,39641224.0,81.96829986572266,120366.109375,5.11,830000,-129697.4206878,4.520285129547119,207474,554
1514,108242,0.0055,54312600.0,164.19607543945312,128431.046875,5.31,840000,-132152.82940337004,23.241247177124023,209974,554
1533,110109,0.0055,10962974.0,48.947811126708984,114163.5078125,5.03,850000,-128660.00817272002,-2.0052828788757324,212474,554
1552,112098,0.0055,10456532.0,48.6195182800293,107504.71875,5.17,860000,-129813.96862739,-0.8262569308280945,214974,553
1571,112274,0.0055,325773696.0,1998.40625,221904.03125,94.09,870000,-2805097.13804143,143.787353515625,217474,553
1589,112751,0.0055,147832832.0,112.54920959472656,215703.0,10.86,880000,-219223.93987383004,31.71335220336914,219974,553
1608,113967,0.0055,149130800.0,48.634857177734375,195957.0,5.21,890000,-130513.01496515003,-19.473201751708984,222474,553
1627,114991,0.0055,222697728.0,89.12686157226562,172205.9375,6.82,900000,-146736.76652881,21.56718635559082,224974,553
1646,116281,0.0055,84128824.0,35.94139862060547,137746.15625,5.01,910000,-128624.26404348998,7.001770496368408,227474,552
1664,117136,0.0055,478106272.0,361.8023376464844,215438.125,7.6,920000,-225473.12113872,-107.2021484375,229974,552
1683,118113,0.0055,31559156.0,78.23005676269531,148932.828125,5.0,930000,-128633.63194307999,34.877952575683594,232474,552
1702,120042,0.0055,31984842.0,23.71699333190918,147267.0625,5.0,940000,-128543.06633064,-6.57920503616333,234974,552
1721,121535,0.0055,108056720.0,238.32826232910156,144536.5,5.0,950000,-131189.05122580996,-14.292848587036133,237474,551
1739,122020,0.0055,738630272.0,1565.6407470703125,189560.84375,55.17,960000,-1339348.74678093,101.63444519042969,239974,551
1758,122739,0.0055,150569360.0,320.8859558105469,197350.046875,7.61,970000,-161640.47497546003,28.262460708618164,242474,551
1777,124343,0.0055,75847728.0,123.3128890991211,165606.609375,5.59,980000,-136208.62141167,1.1419620513916016,244974,551
1796,126343,0.0055,33626000.0,45.8743896484375,130044.625,5.0,990000,-128364.14702925998,-1.7474360466003418,247474,551
1814,127704,0.0055,739812992.0,606.4014282226562,188694.171875,20.63,1000000,-557225.02604642,56.70033264160156,249974,551
