train/actor_loss,train/ent_coef,train/critic_loss,time/fps,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed
7361.3544921875,28.91676139831543,981282.75,184,0.0055,-276195.85474964004,430000,633,107474,8.551132202148438,880.78,2325
1202.9942626953125,3.579331398010254,1264646.375,184,0.0055,-274854.70571946,440000,643,109974,1.4742636680603027,877.94,2385
74278.4375,148.4232177734375,23122444.0,184,0.0055,-369335.50201885996,450000,660,112474,-150.1685791015625,834.0,2445
514399.25,9138.962890625,2704982016.0,183,0.0055,-927569.51826819,460000,692,114974,85.68716430664062,694.18,2505
269030.15625,1210.5726318359375,289118720.0,183,0.0055,-1240368.94160541,470000,701,117474,48.236717224121094,694.18,2565
178077.125,157.92428588867188,102400304.0,182,0.0055,-1271180.7173909699,480000,714,119974,25.963050842285156,674.31,2625
62690.88671875,20.874765396118164,20554136.0,182,0.0055,-1275445.10023105,490000,724,122474,10.991575241088867,664.38,2686
9071.861328125,4.3520588874816895,3722134.0,182,0.0055,-1225362.82808558,500000,737,124974,1.6023812294006348,661.57,2746
2699.684814453125,29.207664489746094,831236.9375,181,0.0055,-1226171.6158183601,510000,746,127474,13.634511947631836,661.57,2806
2258.190185546875,6.512040615081787,1107342.5,181,0.0055,-1164362.05163658,520000,757,129974,-1.4097639322280884,700.65,2866
24231.021484375,71.18514251708984,25496364.0,181,0.0055,-1130731.46289048,530000,769,132474,3.2746901512145996,743.34,2926
10226.36328125,28.85667610168457,1207995.75,180,0.0055,-1008129.7615048602,540000,779,134974,2.917513370513916,824.78,2986
5097.69921875,21.883108139038086,1032311.875,180,0.0055,-921941.07023371,550000,789,137474,0.23852324485778809,906.8,3046
150969.375,1093.1190185546875,82925568.0,180,0.0055,-482593.18642667006,560000,803,139974,-9.25776481628418,888.81,3105
17136.40234375,44.73492431640625,1603277.0,180,0.0055,-522225.18731031986,570000,818,142474,8.013510704040527,860.55,3165
5301.1474609375,22.60201644897461,1581161.25,179,0.0055,-519315.80869200994,580000,828,144974,-0.3171405494213104,880.42,3225
3430.84326171875,23.46593475341797,1486782.25,179,0.0055,-525594.2050206499,590000,839,147474,-1.5279440879821777,884.09,3285
2439.170654296875,2.642425060272217,671433.9375,179,0.0055,-525916.02233172,600000,849,149974,0.8848584294319153,880.28,3345
435776.875,1747.0657958984375,659861440.0,179,0.0055,-647834.9972961,610000,868,152474,-255.31546020507812,811.46,3404
834205.25,14879.3974609375,8030659072.0,178,0.0055,-2165116.8038415806,620000,884,154974,19.398162841796875,758.26,3464
631530.4375,3480.356689453125,51065921536.0,178,0.0055,-2711554.68807432,630000,900,157474,69.70465087890625,727.41,3524
472211.1875,475.5570373535156,290818944.0,178,0.0055,-3280603.8693039506,640000,914,159974,32.337257385253906,734.9,3584
266500.75,44.12431335449219,142059600.0,178,0.0055,-3415599.5853187502,650000,926,162474,22.09270668029785,725.47,3644
117336.828125,37.6679801940918,36321784.0,178,0.0055,-3496377.08865631,660000,943,164974,-31.584461212158203,660.15,3703
1371313.75,39897.0625,233419243520.0,178,0.0055,-4608527.71854951,670000,956,167474,-247.3173828125,639.27,3763
1416565.75,33194.01171875,32117526528.0,177,0.0055,-3760463.1921726204,680000,975,169974,41.900054931640625,661.84,3823
1083223.375,7260.544921875,5626087936.0,177,0.0055,-2912484.4735541497,690000,994,172474,35.51866912841797,607.29,3882
664494.125,1328.8631591796875,1401475584.0,177,0.0055,-2632202.51463049,700000,1014,174974,20.62151336669922,597.71,3941
315639.90625,126.91986846923828,337031040.0,177,0.0055,-2900288.5068446994,710000,1041,177474,-0.26293325424194336,520.23,3999
181390.125,65.55006408691406,66757364.0,177,0.0055,-2034924.1713233502,720000,1068,179974,7.637701034545898,430.45,4058
144277.953125,46.09795379638672,40212588.0,177,0.0055,-2176058.0715807,730000,1097,182474,19.09421730041504,397.36,4116
436751.5,2459.479248046875,2725451776.0,177,0.0055,-2661114.13908436,740000,1111,184974,18.043270111083984,414.83,4174
437567.0,1622.9854736328125,643481216.0,177,0.0055,-3232823.8018406294,750000,1126,187474,22.731075286865234,428.61,4234
377992.375,523.5045776367188,460599936.0,177,0.0055,-3544937.5659689796,760000,1146,189974,41.45473098754883,488.21,4293
216560.375,22.96564483642578,99592288.0,176,0.0055,-2500649.95303148,770000,1193,192474,16.716571807861328,403.52,4352
195541.015625,557.163818359375,261280208.0,176,0.0055,-2100096.7963765603,780000,1215,194974,18.89698028564453,361.22,4411
423209.0,2362.80517578125,4852516352.0,176,0.0055,-1844704.5111794996,790000,1258,197474,54.1505126953125,277.14,4470
1191991.625,29588.421875,22759319552.0,176,0.0055,-2585994.56730919,800000,1282,199974,47.345359802246094,325.66,4529
800282.5,3110.152587890625,1039764736.0,176,0.0055,-1956022.2232334802,810000,1316,202474,39.296302795410156,305.64,4587
497678.71875,171.3843994140625,487917024.0,176,0.0055,-1483825.7681035,820000,1348,204974,25.341156005859375,309.47,4646
260426.4375,165.54229736328125,549752704.0,176,0.0055,-1289733.67761693,830000,1383,207474,-1.940242886543274,297.83,4704
217015.25,561.2472534179688,69511288.0,176,0.0055,-2011866.9123131498,840000,1399,209974,-22.944931030273438,323.34,4763
1094404.5,61685.09375,67554918400.0,176,0.0055,-3024555.9940883303,850000,1421,212474,46.67306900024414,378.93,4821
2792174.0,77151.90625,941046235136.0,176,0.0055,-3148216.6071564597,860000,1434,214974,-191.1686553955078,411.17,4880
1901464.0,17926.98828125,22670262272.0,176,0.0055,-3710872.5382838296,870000,1456,217474,94.50944519042969,467.46,4938
1663159.75,2312.46533203125,13153638400.0,176,0.0055,-3898991.79817564,880000,1481,219974,67.2423095703125,496.75,4997
1221485.25,1418.413330078125,9472432128.0,176,0.0055,-2996024.0708547295,890000,1513,222474,50.61614990234375,416.79,5055
811928.5,659.2351684570312,1127640192.0,175,0.0055,-2709950.3714941996,900000,1540,224974,7.970152378082275,378.08,5114
356306.21875,104.30326843261719,367790560.0,175,0.0055,-2022060.9751835999,910000,1588,227474,11.580693244934082,282.19,5172
151605.59375,15.903702735900879,74023480.0,175,0.0055,-1095643.66448731,920000,1632,229974,4.698383331298828,209.1,5231
154678.46875,307.4737548828125,52297440.0,175,0.0055,-1366385.7198360902,930000,1645,232474,6.25618314743042,262.16,5289
1073975.125,27477.5,23603460096.0,175,0.0055,-2376304.65580081,940000,1668,234974,33.83290100097656,346.44,5347
1192076.5,13027.3447265625,9427531776.0,175,0.0055,-2335285.57679793,950000,1692,237474,-49.98979568481445,386.95,5406
761366.4375,1804.73046875,2446773760.0,175,0.0055,-2448964.3235306703,960000,1711,239974,30.07822036743164,439.79,5464
280384.71875,108.29833984375,170718688.0,175,0.0055,-1371539.07292256,970000,1757,242474,18.767330169677734,365.98,5523
80703.6484375,5.853512763977051,35781140.0,175,0.0055,-396929.31642900995,980000,1822,244974,2.8119583129882812,149.64,5581
502625.875,1594.9931640625,2814799360.0,175,0.0055,-1174889.74122564,990000,1835,247474,-147.76535034179688,214.41,5640
1419332.0,26152.634765625,156103327744.0,175,0.0055,-2579780.4755252497,1000000,1843,249974,-150.0515899658203,278.98,5700
