train/actor_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/episodes,train/ent_coef,rollout/ep_len_mean,train/critic_loss,time/fps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss
-14048.904296875,10124,800000,199974,5643,28.755149841308594,309.78,34555784.0,79,-22104.919402960004,0.001,-0.6399854421615601
-19283.890625,10251,810000,202474,5689,28.41031837463379,276.8,26003596.0,79,17838.520072360003,0.001,0.9236127138137817
-15817.14453125,10378,820000,204974,5745,26.873130798339844,189.37,10802658.0,79,7671.203248370001,0.001,0.11168961226940155
-17698.728515625,10506,830000,207474,5781,26.749269485473633,199.72,7281789.0,79,-13304.21756439,0.001,1.6421228647232056
-19754.49609375,10632,840000,209974,5819,26.229402542114258,225.46,23464752.0,79,26376.7893738,0.001,-1.2856987714767456
-20621.2578125,10759,850000,212474,5870,27.89214324951172,226.8,40876460.0,78,17361.11212094,0.001,-0.6717943549156189
-18337.791015625,10886,860000,214974,5958,29.107906341552734,124.52,14482730.0,78,18176.02040112,0.001,-0.11134392023086548
-21382.986328125,11014,870000,217474,6035,27.649192810058594,136.09,15775527.0,78,87045.46553007,0.001,0.25873687863349915
-18672.640625,11141,880000,219974,6074,31.996551513671875,168.06,15468301.0,78,83256.16019779,0.001,1.53862726688385
-22353.796875,11268,890000,222474,6148,26.00473403930664,169.06,97451664.0,78,80679.80259129999,0.001,-0.026563182473182678
-27193.919921875,11395,900000,224974,6183,27.503753662109375,179.71,22461816.0,78,58119.43343374,0.001,0.2466844767332077
-21942.8515625,11523,910000,227474,6272,28.605453491210938,118.92,52665988.0,78,94110.98599045,0.001,0.6686155200004578
-23288.28515625,11650,920000,229974,6343,27.761716842651367,121.6,12083140.0,78,74535.76758173,0.001,1.4135491847991943
-23029.783203125,11777,930000,232474,6421,31.050622940063477,131.15,13896555.0,78,84277.86900822,0.001,0.5392712950706482
-25987.51953125,11904,940000,234974,6521,28.392929077148438,103.1,10311552.0,78,73335.24815459,0.001,0.08439218997955322
-25187.763671875,12032,950000,237474,6636,30.6782283782959,74.6,12355825.0,78,115036.58453536,0.001,3.8364877700805664
-30619.62109375,12159,960000,239974,6710,29.371564865112305,111.97,27496872.0,78,119645.71966127999,0.001,2.230259895324707
-31032.76171875,12287,970000,242474,6830,29.76321792602539,88.53,26961552.0,78,95782.16782591998,0.001,0.7678345441818237
-26858.728515625,12414,980000,244974,6940,31.5606689453125,88.11,7998257.5,78,106773.81556365,0.001,-0.7358665466308594
-29487.43359375,12542,990000,247474,7088,33.299171447753906,57.07,18775632.0,78,119194.67024668,0.001,-0.7404769062995911
-32614.64453125,12670,1000000,249974,7239,33.951866149902344,66.63,10568070.0,78,121043.80149303,0.001,2.4637644290924072
