train/explained_variance,train/std,train/policy_objective,rollout/ep_len_mean,train/learning_rate,train/value_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/is_line_search_success,time/total_timesteps,train/n_updates,train/kl_divergence_loss
-1.1920928955078125e-07,0.8789003491401672,0.045995086431503296,845.5,0.0013,31003059.271484375,-109549.94856758002,3502,119,1.0,420000,51,0.009305139072239399
0.0,0.8815398216247559,0.04602067917585373,882.23,0.0013,2574402.5078125,-102200.09242198996,3493,123,1.0,430000,52,0.008706341497600079
1.1920928955078125e-07,0.8861892223358154,0.04742220789194107,892.31,0.0013,14694006.495605469,-97458.34022704,3488,126,1.0,440000,53,0.007393260020762682
0.0,0.8851329684257507,0.04815348982810974,903.38,0.0013,22922200.742382813,-95363.95729856999,3470,129,1.0,450000,54,0.008923305198550224
0.0,0.8842464685440063,0.0463988296687603,925.56,0.0013,20339692.45527344,-82564.42146906,3444,133,1.0,460000,56,0.008497982285916805
-1.1920928955078125e-07,0.8868424892425537,0.05055045336484909,943.69,0.0013,3440926.0108398437,-68588.84914585999,3443,136,1.0,470000,57,0.00832068920135498
0.0,0.8943526148796082,0.0685783326625824,955.35,0.0013,14826228.280664062,-57833.3616238,3441,139,1.0,480000,58,0.008971255272626877
5.960464477539063e-08,0.8884904384613037,0.05082264915108681,938.0,0.0013,30824286.990234375,-55534.82792115001,3429,142,1.0,490000,59,0.00841532088816166
0.0,0.8824691772460938,0.06102832034230232,931.14,0.0013,48820294.0203125,-50585.57038605,3404,146,1.0,500000,61,0.007516768295317888
0.0,0.8775374889373779,0.03914062678813934,925.84,0.0013,16916425.30292969,-49255.90897686,3398,150,1.0,510000,62,0.008823204785585403
0.0,0.8751664161682129,0.037211254239082336,918.99,0.0013,13675059.998242188,-46600.590923409996,3401,152,1.0,520000,63,0.00745403952896595
-1.1920928955078125e-07,0.8755280375480652,0.044888343662023544,916.68,0.0013,52072953.77246094,-48925.26063486,3400,155,1.0,530000,64,0.0088084377348423
-1.1920928955078125e-07,0.864993691444397,0.04007275030016899,921.41,0.0013,49802668.60664062,-50376.06301273001,3399,158,1.0,540000,65,0.008236381225287914
0.0,0.8614861965179443,0.06234405189752579,922.38,0.0013,36017518.96484375,-47359.27567578999,3384,162,1.0,550000,67,0.009565218351781368
0.0,0.8591621518135071,0.04616370052099228,915.3,0.0013,38699363.39726563,-48006.7092595,3381,165,1.0,560000,68,0.009113517589867115
0.0,0.8586037755012512,0.0487690232694149,922.0,0.0013,4583061.89453125,-51575.76748368001,3371,169,1.0,570000,69,0.00926128402352333
