time/fps,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean
62,130,9.79,110000,0.999538004398346,0.2,-17.0222740188241,-0.0009053508834767854,21362800833.6,10385459200.0,0.0003,0.00051710696,0.0,0.0,1764,-198402.35285084
67,140,9.79,120000,0.9995291829109192,0.2,-17.021655927598477,-0.0010630357663103495,23269384684.8,10442516480.0,0.0003,0.0005767691,0.0,0.0,1776,-202426.51379852
72,150,11.17,130000,0.999674379825592,0.2,-17.02248413860798,-0.0009808491895455518,23712800476.0,12335523840.0,0.0003,0.0005265906,0.0,0.0,1788,-231754.62669553995
77,170,9.57,140000,0.9996910691261292,0.2,-17.023495389521123,-0.00047257190326490674,21957767232.8,10452622336.0,0.0003,0.00026099037,0.0,0.0,1805,-199510.04378339005
82,180,8.87,150000,0.9996693730354309,0.2,-17.02340023368597,-0.00099133179828641,21966102969.6,11914302464.0,0.0003,0.00054254645,0.0,0.0,1817,-182838.98089977997
87,190,9.5,160000,0.9996641278266907,0.2,-17.023258739709853,-0.0014252037257392659,20675457537.6,9958246400.0,0.0003,0.0008468431,0.0,0.0,1829,-199597.62437198006
92,200,10.98,170000,0.9997078776359558,0.2,-17.023489293456077,-0.0014815433127296274,20021304785.6,9577722880.0,0.0003,0.00087970565,0.0,0.0,1841,-216541.42020906
97,210,9.32,180000,0.9997218251228333,0.2,-17.0238070204854,-0.001734623033553362,20846599713.6,8367415296.0,0.0003,0.0010064561,0.0,0.0,1854,-190640.32141440004
101,230,10.02,190000,0.9996256828308105,0.2,-17.023116844892503,-0.0009611831013899063,22729091739.2,10937703424.0,0.0003,0.00054010586,0.0,1.1920928955078125e-07,1871,-202802.73432461996
106,240,10.39,200000,0.9996464252471924,0.2,-17.022874680161475,-0.0006222745556442533,21987802245.6,11149245440.0,0.0003,0.00036969924,0.0,0.0,1883,-208325.80632552
110,250,9.09,210000,0.9995792508125305,0.2,-17.022589161992073,-0.0009701066168418037,23549829749.6,13610168320.0,0.0003,0.00058492925,0.0,-1.1920928955078125e-07,1895,-185758.10094203998
115,260,8.55,220000,0.9995535016059875,0.2,-17.022035640478133,-0.0007216838115709834,20020504300.0,11577989120.0,0.0003,0.00046254572,0.0,0.0,1907,-182630.64471732
119,280,7.32,230000,0.9996443390846252,0.2,-17.02300458699465,-0.0010962062571707066,21185359930.4,8547216384.0,0.0003,0.0006311878,0.0,0.0,1924,-159772.07715422
123,290,9.85,240000,0.9996827244758606,0.2,-17.02321914732456,-0.0010624214261042652,25045464432.8,12358026240.0,0.0003,0.00056359486,0.0,-1.1920928955078125e-07,1936,-203733.47653279002
128,300,8.7,250000,0.9996934533119202,0.2,-17.023479878902435,-0.00030574713709938803,20941447364.0,11499130880.0,0.0003,0.00016466172,0.0,0.0,1948,-188038.5895522
132,310,8.85,260000,0.999649703502655,0.2,-17.02323512881994,-0.001244116309680976,22724771519.2,10188015616.0,0.0003,0.0007329643,0.0,0.0,1960,-188259.08220796
136,320,8.49,270000,0.9995658993721008,0.2,-17.022550600767136,-0.0007454822549334495,20170715369.6,10501080064.0,0.0003,0.00043928932,0.0,1.1920928955078125e-07,1973,-177374.96296673
140,340,6.95,280000,0.9995011687278748,0.2,-17.02132316827774,-0.000991006005460804,24135713538.4,12688645120.0,0.0003,0.0005573816,0.0,-1.1920928955078125e-07,1990,-154556.78786343
144,350,8.67,290000,0.9993376731872559,0.2,-17.020262306928636,-0.001322106296720449,20306054911.2,9287139328.0,0.0003,0.0008056974,0.0,0.0,2002,-183613.12033007995
148,360,7.82,300000,0.9992716908454895,0.2,-17.018879927694798,-0.0008419842705734481,20745643833.6,11168666624.0,0.0003,0.00053321826,0.0,0.0,2014,-167875.42151066
