train/value_loss,train/n_updates,time/fps,train/learning_rate,train/entropy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps
58205568.0,16499,1601,0.0007,-14.81358528137207,1.25844144821167,-125942.52536130002,42.64,206,5.960464477539063e-08,-40446.8359375,330000
19859738.0,16999,1603,0.0007,-14.85582447052002,1.2641648054122925,-126546.26634559002,52.62,212,0.0,-29958.177734375,340000
20063300.0,17499,1604,0.0007,-14.928956985473633,1.2749593257904053,-123946.23437962,45.24,218,0.0,-29510.255859375,350000
96055520.0,17999,1606,0.0007,-14.961992263793945,1.2790279388427734,-112244.64128019002,30.51,224,0.0,-115924.546875,360000
6124580.0,18499,1608,0.0007,-15.045106887817383,1.2902522087097168,-161118.81117554998,62.76,230,0.0,12269.263671875,370000
2477755904.0,18999,1609,0.0007,-15.083070755004883,1.2966303825378418,-134143.04178762998,36.87,236,0.0,-437363.4375,380000
38884.4765625,19499,1611,0.0007,-15.16075325012207,1.3083114624023438,-126094.01730317,42.55,242,-2.384185791015625e-07,814.0465087890625,390000
21077420.0,19999,1613,0.0007,-15.369654655456543,1.3392481803894043,-141534.92871692998,50.88,247,2.384185791015625e-07,-25510.375,400000
4338618.0,20499,1615,0.0007,-15.452937126159668,1.3528786897659302,-119224.61175420001,45.51,253,0.0,3316.22021484375,410000
334370208.0,20999,1617,0.0007,-15.448678970336914,1.3521571159362793,-152976.57699069998,94.42,259,5.960464477539063e-08,-169849.5,420000
1919587328.0,21499,1618,0.0007,-15.505163192749023,1.360924243927002,-120096.36088983003,47.24,265,-1.1920928955078125e-07,-282634.59375,430000
827158976.0,21999,1620,0.0007,-15.657110214233398,1.3843345642089844,-148973.7876941,44.84,271,1.1920928955078125e-07,-266665.0625,440000
1941270272.0,22499,1621,0.0007,-15.780851364135742,1.4030094146728516,-119714.56668957001,24.1,277,-1.1920928955078125e-07,-290967.96875,450000
69569760.0,22999,1622,0.0007,-15.943597793579102,1.4297999143600464,-163769.56399658998,44.75,283,0.0,-48579.4921875,460000
1570132096.0,23499,1623,0.0007,-16.129499435424805,1.4581985473632812,-114974.62170921,33.79,289,0.0,-307127.9375,470000
16049051.0,23999,1624,0.0007,-16.234113693237305,1.4765417575836182,-123948.48677801999,33.44,295,0.0,-18174.89453125,480000
497534400.0,24499,1625,0.0007,-16.303390502929688,1.4879682064056396,-168956.60581235,58.36,301,1.7881393432617188e-07,-49989.28515625,490000
20329860.0,24999,1626,0.0007,-16.32243537902832,1.4897183179855347,-124484.54341710998,45.75,307,1.7881393432617188e-07,-35707.65625,500000
919257.625,25499,1627,0.0007,-16.429744720458984,1.5082350969314575,-147510.34795763,51.06,313,0.0,7402.7421875,510000
13639243.0,25999,1628,0.0007,-16.475404739379883,1.5156044960021973,-137085.57712868002,61.82,319,5.960464477539063e-08,-17204.0234375,520000
988943168.0,26499,1629,0.0007,-16.43584632873535,1.5102858543395996,-142905.82132714,40.46,325,0.0,-164733.09375,530000
466907.65625,26999,1630,0.0007,-16.605562210083008,1.5384998321533203,-114386.48961282,30.9,331,1.1920928955078125e-07,6404.5,540000
977100800.0,27499,1632,0.0007,-16.583498001098633,1.5337530374526978,-113093.06400139,37.02,336,0.0,-149701.140625,550000
6478239.5,27999,1633,0.0007,-16.572219848632812,1.5321611166000366,-143264.92391389,46.68,342,0.0,23273.5390625,560000
60159072.0,28499,1634,0.0007,-16.592973709106445,1.5359740257263184,-168309.47744801,57.45,348,-1.1920928955078125e-07,-34940.2421875,570000
494022208.0,28999,1635,0.0007,-16.54290771484375,1.527976632118225,-138481.64513023003,50.93,354,5.960464477539063e-08,-58701.5625,580000
146556336.0,29499,1636,0.0007,-16.60871696472168,1.5393818616867065,-143502.19443245,42.02,360,0.0,-104623.9765625,590000
571631360.0,29999,1637,0.0007,-16.748613357543945,1.5649564266204834,-273423.60150553,75.46,366,0.0,-194420.40625,600000
42105880.0,30499,1639,0.0007,-16.89048957824707,1.5902342796325684,-224016.76145303005,87.5,372,0.0,-57532.8984375,610000
1911133824.0,30999,1639,0.0007,-16.961963653564453,1.6019923686981201,-120380.88604678,37.54,378,-1.1920928955078125e-07,-343804.1875,620000
24897236.0,31499,1640,0.0007,-16.967443466186523,1.604408621788025,-124415.91209312002,44.65,383,0.0,-14077.564453125,630000
97108696.0,31999,1641,0.0007,-17.017045974731445,1.6138359308242798,-174576.70277356997,89.23,389,-1.1920928955078125e-07,-108455.609375,640000
15224194.0,32499,1642,0.0007,-17.065229415893555,1.622076392173767,-128289.03289427001,61.56,395,0.0,-25275.986328125,650000
