train/kl_divergence_loss,train/n_updates,time/total_timesteps,train/is_line_search_success,train/policy_objective,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/std,train/explained_variance
0.006243895273655653,68,560000,1.0,0.02398582547903061,388,0.0013,4.04,-126078.63412569002,1441,10154777899.2,0.7677123546600342,0.0
0.007669068872928619,69,570000,1.0,0.015439487062394619,395,0.0013,4.03,-126114.78839631,1441,10176542118.4,0.7665576338768005,0.0
0.003338522044941783,70,580000,1.0,0.04269406199455261,402,0.0013,4.34,-130065.64045677,1442,10263283400.0,0.7662784457206726,0.0
0.00930369645357132,72,590000,1.0,0.061939314007759094,409,0.0013,4.03,-126241.30384002,1439,11198376104.0,0.7656660079956055,-2.384185791015625e-07
0.0074376598931849,73,600000,1.0,0.0702192485332489,416,0.0013,4.0,-125988.31182327,1439,11108827891.2,0.7646434307098389,0.0
0.009365248493850231,74,610000,1.0,0.06133129075169563,423,0.0013,4.29,-128852.21290522,1440,10381640451.2,0.763885498046875,-1.1920928955078125e-07
0.006350936368107796,75,620000,1.0,0.032817624509334564,430,0.0013,4.02,-126211.83521187,1440,10186237097.6,0.7627413868904114,1.7881393432617188e-07
0.0062545896507799625,76,630000,1.0,0.050199780613183975,437,0.0013,4.03,-126233.95511335999,1440,10271429731.2,0.7615808844566345,-2.384185791015625e-07
0.003731450065970421,78,640000,1.0,0.04823349043726921,445,0.0013,4.04,-126255.05985823,1436,10263758113.6,0.7597457766532898,0.0
0.00914767012000084,79,650000,1.0,0.0529240220785141,452,0.0013,4.01,-126066.32926103998,1437,10242503347.2,0.7596001029014587,0.0
0.009117073379456997,80,660000,1.0,0.0492997020483017,458,0.0013,4.01,-126033.19725715999,1438,24175808716.8,0.7589883804321289,-1.1920928955078125e-07
0.009628220461308956,81,670000,1.0,0.08026755601167679,465,0.0013,4.0,-126034.22338965001,1438,11129206118.4,0.7582263350486755,-1.1920928955078125e-07
0.007925637997686863,83,680000,1.0,0.07286708056926727,474,0.0013,4.0,-126023.65965327997,1432,11317509665.6,0.7575535774230957,0.0
0.00904323160648346,84,690000,1.0,0.047589875757694244,482,0.0013,4.16,-127670.47014015999,1431,11213805192.0,0.7576175332069397,-1.1920928955078125e-07
0.007447553798556328,85,700000,1.0,0.06270655244588852,489,0.0013,4.01,-126075.91487579,1429,12304330822.4,0.7572200298309326,0.0
0.008278424851596355,86,710000,1.0,0.037521883845329285,496,0.0013,4.01,-126131.76675062001,1429,10803256272.0,0.7577612996101379,2.384185791015625e-07
0.008910576812922955,87,720000,1.0,0.05496349558234215,503,0.0013,4.0,-126020.1442261,1430,14922883676.8,0.7591122984886169,-1.1920928955078125e-07
0.0073773860931396484,89,730000,1.0,0.05899576470255852,511,0.0013,4.05,-126491.84472605001,1427,11038551364.8,0.7605648040771484,-2.384185791015625e-07
0.007464338093996048,90,740000,1.0,0.041975703090429306,518,0.0013,4.48,-131058.07677741001,1427,10404288691.2,0.7614744305610657,-2.384185791015625e-07
0.006164707709103823,91,750000,1.0,0.061822354793548584,525,0.0013,4.02,-126086.98270651,1428,10512680377.6,0.760033130645752,0.0
0.009702317416667938,92,760000,1.0,0.052972935140132904,532,0.0013,4.03,-126230.27100253,1428,10093986536.0,0.7592632174491882,0.0
0.007800949737429619,93,770000,1.0,0.035499654710292816,539,0.0013,4.06,-126465.44372378002,1428,9992982644.8,0.7594159245491028,1.1920928955078125e-07
0.00874345377087593,95,780000,1.0,0.03485937416553497,547,0.0013,4.01,-125895.06742968998,1425,9877789627.2,0.7572280764579773,-1.1920928955078125e-07
0.005475558340549469,96,790000,1.0,0.022369148209691048,554,0.0013,4.02,-126005.35962529002,1425,10106055060.8,0.7567391395568848,-2.384185791015625e-07
0.006541816983371973,97,800000,1.0,0.02403661049902439,560,0.0013,4.05,-126266.98009851998,1426,10092237808.0,0.7558727860450745,-1.1920928955078125e-07
0.006875570397824049,98,810000,1.0,0.06780632585287094,567,0.0013,4.24,-128300.22651631999,1426,10379861139.2,0.7553271651268005,-2.384185791015625e-07
0.008818096481263638,100,820000,1.0,0.03892907127737999,576,0.0013,4.01,-125938.99591687,1423,10041889384.0,0.7516325116157532,0.0
0.005691551137715578,101,830000,1.0,0.02651623636484146,582,0.0013,4.02,-125939.22405749,1423,9934046793.6,0.7539797425270081,5.960464477539063e-08
0.007361533585935831,102,840000,1.0,0.023415297269821167,589,0.0013,4.0,-125745.95676459999,1424,9790905462.4,0.7554886341094971,5.960464477539063e-08
0.006946076173335314,103,850000,1.0,0.03085404261946678,596,0.0013,4.01,-125851.49234366998,1424,9845882940.8,0.7553223967552185,0.0
0.008472044952213764,104,860000,1.0,0.028974438086152077,603,0.0013,4.01,-125857.59196785,1424,9758378408.0,0.7559523582458496,0.0
0.008352224715054035,106,870000,1.0,0.029171902686357498,611,0.0013,4.03,-125738.86494608998,1422,9725559809.6,0.7540282607078552,0.0
0.009851905517280102,107,880000,1.0,0.03096187300980091,618,0.0013,4.03,-125589.87022411,1422,9696304180.8,0.7515937685966492,0.0
0.0017164979362860322,108,890000,1.0,0.006981270853430033,625,0.0013,4.02,-125496.02159690001,1422,10041749256.0,0.7512573599815369,-2.384185791015625e-07
0.006945491302758455,109,900000,1.0,0.028658289462327957,632,0.0013,4.03,-125615.15228129999,1423,9688295622.4,0.7486612796783447,-1.1920928955078125e-07
0.005370690952986479,111,910000,1.0,0.017466021701693535,640,0.0013,4.8,-135031.28316421004,1420,9688864912.0,0.7469868659973145,0.0
0.005220271646976471,112,920000,1.0,0.038108646869659424,647,0.0013,4.01,-125340.05531597997,1420,10533899040.0,0.7471879124641418,1.7881393432617188e-07
0.006116071250289679,113,930000,1.0,0.03660421073436737,654,0.0013,4.33,-129448.25353540001,1420,15437854379.2,0.7475488185882568,0.0
0.006949936505407095,114,940000,1.0,0.050736505538225174,661,0.0013,4.01,-125458.44921960999,1420,10678969624.0,0.7467594742774963,-2.384185791015625e-07
0.005170830059796572,115,950000,1.0,0.034447699785232544,668,0.0013,4.49,-131152.96334502002,1420,9732396092.8,0.7464132905006409,0.0
0.00999805424362421,117,960000,1.0,0.039586082100868225,677,0.0013,4.01,-125459.04299758,1417,11489462214.4,0.7436285018920898,0.0
0.006165839731693268,118,970000,1.0,0.03438272327184677,684,0.0013,4.01,-125460.28647091002,1417,9781020142.4,0.744563639163971,-2.384185791015625e-07
0.0011571998475119472,119,980000,1.0,0.005565857049077749,691,0.0013,4.25,-128244.43466082001,1417,9827180921.6,0.7440181374549866,0.0
0.009729458019137383,120,990000,1.0,0.06462567299604416,698,0.0013,4.0,-125495.41970070996,1417,9856793532.8,0.74263995885849,0.0
0.009129407815635204,122,1000000,1.0,0.06079981476068497,706,0.0013,4.09,-126567.26356738001,1415,9737866446.4,0.7413811683654785,1.1920928955078125e-07
