time/total_timesteps,time/fps,train/kl_divergence_loss,train/std,train/policy_objective,train/is_line_search_success,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/n_updates
870000,1335,0.009723731316626072,0.6058498024940491,0.032442882657051086,1.0,6359592842.4,132677.24716031,651,13.4,0.0,0.001,106
880000,1335,0.00665400130674243,0.6040957570075989,0.02599288895726204,1.0,5796336971.2,132785.73004738998,658,13.14,0.0,0.001,107
890000,1336,0.009448147378861904,0.6045323610305786,0.032897625118494034,1.0,5574509880.0,132879.57664324,666,13.53,0.0,0.001,108
900000,1336,0.009409161284565926,0.6045089960098267,0.03182200342416763,1.0,5754507084.8,132385.47118427,673,13.03,-1.1920928955078125e-07,0.001,109
910000,1334,0.00815613754093647,0.6028240919113159,0.027345901355147362,1.0,5844487078.4,128678.40038359999,681,22.9,0.0,0.001,111
920000,1334,0.007927936501801014,0.6009612083435059,0.032739970833063126,1.0,6524730058.4,132697.01433371,689,12.73,0.0,0.001,112
930000,1335,0.008595049381256104,0.6002148389816284,0.031069807708263397,1.0,6706277956.8,132994.99972657,696,12.9,0.0,0.001,113
940000,1335,0.008321159519255161,0.5992382168769836,0.03287353739142418,1.0,6700859930.4,133491.36568659998,703,12.87,0.0,0.001,114
950000,1336,0.008216491900384426,0.5997502207756042,0.028247199952602386,1.0,10834219372.0,133206.42661442998,710,12.72,-1.1920928955078125e-07,0.001,115
960000,1333,0.009677639231085777,0.5960944294929504,0.027254924178123474,1.0,6745095955.2,132709.22841402,719,12.54,-1.1920928955078125e-07,0.001,117
970000,1334,0.008471331559121609,0.5951747894287109,0.030870165675878525,1.0,6736122079.2,131994.6998486,727,12.61,0.0,0.001,118
980000,1335,0.007986539043486118,0.5950507521629333,0.03347361460328102,1.0,6386474210.4,132201.21867961,734,12.32,-1.1920928955078125e-07,0.001,119
990000,1335,0.006463184952735901,0.5933741331100464,0.026887813583016396,1.0,4640053396.8,131993.99732671,741,12.69,5.960464477539063e-08,0.001,120
1000000,1334,0.00652709323912859,0.5913523435592651,0.02616032585501671,1.0,6770875138.4,132809.94575348,749,12.51,1.1920928955078125e-07,0.001,122
