train/entropy_loss,time/fps,train/learning_rate,train/approx_kl,rollout/ep_rew_mean,train/loss,train/std,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/n_updates,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean
-17.02871540039778,229,0.0003,5.847506e-05,-1134512.3779293501,21466245120.0,1.0001273155212402,0.2,-0.0002968018426145136,0.0,0.0,40766376521.6,140,120000,522,79.26
-17.02875512242317,244,0.0003,0.00015357615,-1080768.8404473201,20400445440.0,1.000120997428894,0.2,-0.0005629994727314625,0.0,0.0,41017776908.8,150,130000,530,75.03
-17.02883344590664,257,0.0003,0.00016535248,-1129632.85113862,21469198336.0,1.0001524686813354,0.2,-0.0006569291976120439,0.0,0.0,41856246358.4,170,140000,543,79.25
-17.029159960150718,271,0.0003,0.00020221304,-1072948.9157748697,20090003456.0,1.00016188621521,0.2,-0.0007761093957014964,0.0,0.0,41056645257.6,180,150000,551,74.95
-17.029699316620828,285,0.0003,5.7242483e-05,-1158685.8697937,21430138880.0,1.0002434253692627,0.2,-0.0002999019101480371,0.0,0.0,41598295440.0,190,160000,560,80.24
-17.030005958676337,298,0.0003,5.8229292e-05,-1029877.30381025,22345375744.0,1.0002169609069824,0.2,-0.00030560396016880985,0.0,0.0,42976154080.0,200,170000,569,71.71
-17.02959363460541,311,0.0003,0.00010149269,-1099186.38855067,21857067008.0,1.0001673698425293,0.2,-0.00042668785999921965,0.0,-1.1920928955078125e-07,42462588713.6,210,180000,577,77.69
-17.030092431604864,321,0.0003,4.1448264e-05,-1022354.82683163,19625967616.0,1.000226378440857,0.2,-0.00024269839414046147,0.0,0.0,40463263622.4,230,190000,590,72.21
-17.029797987639903,334,0.0003,0.00014716125,-1169366.54096732,21187792896.0,1.0001996755599976,0.2,-0.0005805524218885693,0.0,5.960464477539063e-08,42005498844.8,240,200000,598,82.19
-17.02972078919411,345,0.0003,5.1715273e-05,-1165394.81578258,20592553984.0,1.0002118349075317,0.2,-0.00030296164268293067,0.0,-1.1920928955078125e-07,41662051836.8,250,210000,607,82.01
-17.029851500689983,357,0.0003,5.745318e-05,-1149052.8520186802,19359399936.0,1.0002210140228271,0.2,-0.00029519558584070185,0.0,0.0,41743634454.4,260,220000,616,79.91
-17.03088962584734,365,0.0003,3.9576895e-05,-1138888.7014498,19496986624.0,1.000327229499817,0.2,-0.00021731173674197635,0.0,0.0,41674477168.0,280,230000,628,80.13
-17.031137320399285,376,0.0003,0.00010378805,-955256.17695343,21147920384.0,1.0003176927566528,0.2,-0.0004888152710918803,0.0,0.0,41064560513.6,290,240000,637,66.02
-17.031035244464874,386,0.0003,6.503209e-05,-928642.0649194903,21095868416.0,1.0003095865249634,0.2,-0.00029050163002466436,0.0,-1.1920928955078125e-07,41085519764.8,300,250000,646,64.34
-17.030403730273246,397,0.0003,8.163042e-05,-981183.3325863399,20439797760.0,1.0002111196517944,0.2,-0.00035499663517839507,0.0,0.0,41064362236.8,310,260000,654,69.24
-17.029746958613394,406,0.0003,8.521446e-05,-921540.2929353799,21034835968.0,1.0002039670944214,0.2,-0.0003490001949103316,0.0,5.960464477539063e-08,39930452268.8,320,270000,663,63.98
-17.029463562369347,414,0.0003,0.0001478233,-1018088.7363600901,18916063232.0,1.0001643896102905,0.2,-0.0005613045710560982,0.0,0.0,40020280089.6,340,280000,675,71.23
-17.028951136767866,423,0.0003,4.4477398e-05,-1167507.78527903,21507399680.0,1.0001156330108643,0.2,-0.0002710470768761297,0.0,0.0,42762246339.2,350,290000,684,82.66
-17.028437358140945,432,0.0003,4.944414e-05,-1139407.5159886903,22142996480.0,1.000084400177002,0.2,-0.00028319414723227966,0.0,2.384185791015625e-07,42060792956.8,360,300000,693,80.5
-17.027896359562874,441,0.0003,4.504766e-05,-1101968.70596414,21168082944.0,1.0000231266021729,0.2,-0.000212494650759254,0.0,1.1920928955078125e-07,40690739928.0,370,310000,701,77.67
-17.027295900881292,448,0.0003,2.8831528e-05,-985873.6813874899,19113697280.0,0.9999927878379822,0.2,-0.0002011945307458518,0.0,0.0,39729737648.0,390,320000,714,69.58
-17.026506958901884,456,0.0003,0.00016693879,-1177579.59666558,21552680960.0,0.999884307384491,0.2,-0.0006514476923257462,0.0,0.0,41571678816.0,400,330000,722,83.1
-17.025959372520447,464,0.0003,8.358851e-05,-1166073.06220392,21968449536.0,0.9998980164527893,0.2,-0.0003689593520903145,0.0,5.960464477539063e-08,42187936227.2,410,340000,731,82.47
-17.026238365471364,473,0.0003,5.9720383e-05,-1010033.7842231999,20527704064.0,0.9999299645423889,0.2,-0.0003688846588374872,0.0,0.0,42003264428.8,420,350000,739,71.5
-17.026483263075352,480,0.0003,8.444687e-05,-904008.9203699201,19468888064.0,0.9999415278434753,0.2,-0.0003691913544571435,0.0,0.0,38619111259.2,430,360000,748,63.07
-17.026294013857843,486,0.0003,4.3603548e-05,-1016861.69698634,19390937088.0,0.9998716711997986,0.2,-0.00025380766533089627,0.0,0.0,40303452867.2,450,370000,761,71.11
-17.025509467720987,493,0.0003,7.516765e-05,-918792.9941300801,21185990656.0,0.9998393654823303,0.2,-0.00034990686071978416,0.0,0.0,41388802768.0,460,380000,769,63.24
-17.0251199439168,501,0.0003,6.808535e-05,-930364.7132574598,20248604672.0,0.9998096823692322,0.2,-0.00032961151246126976,0.0,1.1920928955078125e-07,38594229649.6,470,390000,778,66.04
-17.025112260878085,508,0.0003,4.0407052e-05,-1080289.05869409,19899523072.0,0.9998344779014587,0.2,-0.00024854093408066547,0.0,5.960464477539063e-08,39951448510.4,480,400000,786,76.12
-17.024975050985812,513,0.0003,0.00010388369,-1065426.35814805,20974329856.0,0.9997563362121582,0.2,-0.00042848911525652513,0.0,-1.1920928955078125e-07,41085261996.8,500,410000,799,75.49
-17.024103893339635,520,0.0003,0.00010226699,-809089.9978581598,19266285568.0,0.9997252821922302,0.2,-0.0004328856594838726,0.0,0.0,39667121547.2,510,420000,807,55.84
-17.023893807828426,526,0.0003,4.74216e-05,-905851.10026894,20785106944.0,0.9997195601463318,0.2,-0.00023719232176517836,0.0,0.0,40889784852.8,520,430000,816,63.62
-17.02425428032875,533,0.0003,6.441439e-05,-1168173.6394275401,21492025344.0,0.999782383441925,0.2,-0.0003150930374431482,0.0,-1.1920928955078125e-07,41324905811.2,530,440000,824,82.86
-17.02425923496485,540,0.0003,8.6935244e-05,-1053998.17107792,18818367488.0,0.9997196197509766,0.2,-0.0004019004451947694,0.0,-1.1920928955078125e-07,40529072169.6,540,450000,833,74.06
-17.023649364709854,544,0.0003,0.00014748817,-1137231.6988329901,19826225152.0,0.9997312426567078,0.2,-0.000591700989571109,0.0,0.0,41409880630.4,560,460000,845,80.88
-17.024340219795704,550,0.0003,0.00011476404,-1064798.09452546,18431053824.0,0.9997839331626892,0.2,-0.00048129034157682324,0.0,0.0,40488392848.0,570,470000,853,74.71
-17.024039120972155,556,0.0003,6.460226e-05,-912640.99554152,20339421184.0,0.9996832013130188,0.2,-0.0003206702180250431,0.0,-1.1920928955078125e-07,39377649444.8,580,480000,862,64.14
-17.0234263792634,562,0.0003,4.8915957e-05,-958767.5245337301,18434039808.0,0.9996866583824158,0.2,-0.00026128781801162406,0.0,1.1920928955078125e-07,39955213331.2,590,490000,870,67.41
-17.022836904227734,565,0.0003,0.00010842373,-991944.5792253002,18737362944.0,0.9996166825294495,0.2,-0.0004385500275020604,0.0,0.0,40275615547.2,610,500000,883,69.39
-17.02210712134838,571,0.0003,5.5317694e-05,-981075.6810596901,18424823808.0,0.9995272159576416,0.2,-0.0002969535277770774,0.0,5.960464477539063e-08,37888640177.6,620,510000,892,70.04
-17.02159229815006,577,0.0003,0.00013574283,-1042371.35567872,21016573952.0,0.999528706073761,0.2,-0.0005240723457063723,0.0,5.960464477539063e-08,39510982628.8,630,520000,901,73.55
-17.021668913960458,582,0.0003,7.5741074e-05,-929084.81433758,20484782080.0,0.9995467662811279,0.2,-0.0004087226300725888,0.0,0.0,39542848283.2,640,530000,909,66.75
-17.02220871001482,587,0.0003,5.7018522e-05,-828953.8938112999,18876798976.0,0.9996156692504883,0.2,-0.0002729208565142471,0.0,0.0,39562275936.0,650,540000,918,57.72
-17.023676070570946,590,0.0003,5.926338e-05,-1072436.20487669,20832251904.0,0.9996798634529114,0.2,-0.00032946706687653204,0.0,0.0,40118951628.8,670,550000,931,76.42
-17.02365837395191,595,0.0003,0.00012734425,-942508.6773590002,19940659200.0,0.9997251629829407,0.2,-0.0005377758654503851,0.0,0.0,39437926598.4,680,560000,939,66.89
-17.02389887869358,600,0.0003,5.075809e-05,-876813.3143271299,19983814656.0,0.999722957611084,0.2,-0.0002779926415314549,0.0,0.0,40636170966.4,690,570000,948,60.48
-17.02371715158224,605,0.0003,9.013523e-05,-958223.2725296501,19926030336.0,0.999690055847168,0.2,-0.0004070073757247883,0.0,-1.1920928955078125e-07,38742717438.4,700,580000,957,67.96
-17.02247487157583,608,0.0003,6.0145452e-05,-1079572.10886724,19682420736.0,0.9996170401573181,0.2,-0.0002495941555935133,0.0,-1.1920928955078125e-07,39904026289.6,720,590000,970,76.87
-17.02319752275944,613,0.0003,0.00015004558,-888475.43395308,15969784832.0,0.9997134208679199,0.2,-0.0005976825706966338,0.0,0.0,38549119289.6,730,600000,978,62.44
-17.02410440891981,617,0.0003,9.65532e-05,-978249.3958019799,20218124288.0,0.999764621257782,0.2,-0.00040384140447713435,0.0,5.960464477539063e-08,40165209321.6,740,610000,987,68.56
-17.024110354483128,622,0.0003,8.832644e-05,-914744.43989455,21008936960.0,0.9997205138206482,0.2,-0.0003910516323230695,0.0,0.0,39747687211.2,750,620000,996,64.24
-17.023807124793528,626,0.0003,9.262654e-05,-815276.1870729598,19576311808.0,0.9997143149375916,0.2,-0.0003890334000971052,0.0,1.1920928955078125e-07,38222762545.6,760,630000,1004,56.7
-17.024666926264764,629,0.0003,0.00013087629,-880849.4980537902,18549760000.0,0.9997754096984863,0.2,-0.0005388510342527297,0.0,2.384185791015625e-07,38895607808.0,780,640000,1017,60.79
-17.025295570492744,633,0.0003,6.2113606e-05,-867290.65724064,22328168448.0,0.999902069568634,0.2,-0.0003062606809180579,0.0,0.0,39563586092.8,790,650000,1026,61.47
-17.025452873110773,637,0.0003,8.229475e-05,-1010917.4083520798,20103921664.0,0.9998012185096741,0.2,-0.0003723706424352713,0.0,5.960464477539063e-08,37257987078.4,800,660000,1034,71.84
-17.02463466078043,642,0.0003,7.07574e-05,-996885.2889051397,21441462272.0,0.9997663497924805,0.2,-0.00034782428165271997,0.0,1.1920928955078125e-07,39532282985.6,810,670000,1043,70.79
-17.02445266991854,644,0.0003,4.9043134e-05,-911713.82093201,20565747712.0,0.9997498393058777,0.2,-0.00026444473878655116,0.0,-1.1920928955078125e-07,38603057512.0,830,680000,1055,64.64
-17.02406600564718,648,0.0003,0.0001288802,-986511.70322116,21165422592.0,0.9997234344482422,0.2,-0.0005265207779302728,0.0,-1.1920928955078125e-07,39401853726.4,840,690000,1064,70.05
-17.023421463370322,652,0.0003,6.629738e-05,-1055823.33949905,19568603136.0,0.9996468424797058,0.2,-0.00031296291817852764,0.0,-1.1920928955078125e-07,40471404944.0,850,700000,1073,74.76
-17.022848957777022,656,0.0003,0.00013066098,-988850.4079628901,18750722048.0,0.9996268153190613,0.2,-0.0005471802711326746,0.0,5.960464477539063e-08,39970218278.4,860,710000,1081,70.01
-17.022693327069284,660,0.0003,0.00010600495,-912593.43867926,18139998208.0,0.9996203780174255,0.2,-0.00045950947496748996,0.0,0.0,40458471878.4,870,720000,1090,64.7
-17.0218720510602,661,0.0003,5.928828e-05,-939258.5088286299,18643001344.0,0.9995368123054504,0.2,-0.00029751438360108294,0.0,1.1920928955078125e-07,39089237233.6,890,730000,1102,65.39
-17.021079336106776,665,0.0003,9.816177e-05,-885387.4925198299,19347705856.0,0.9994363784790039,0.2,-0.00048000677834352244,0.0,0.0,38482471438.4,900,740000,1111,63.07
-17.020623514056204,669,0.0003,4.1244304e-05,-953488.6032302498,20437528576.0,0.9994621276855469,0.2,-0.00022825197693236986,0.0,5.960464477539063e-08,38869904155.2,910,750000,1120,68.3
-17.021030198037625,672,0.0003,0.00012686345,-1081533.10513645,16641949696.0,0.9995056986808777,0.2,-0.0004951272712787613,0.0,-1.1920928955078125e-07,36937337083.2,920,760000,1129,76.89
-17.0213430210948,676,0.0003,4.2261716e-05,-932127.1417493401,20762443776.0,0.9995133876800537,0.2,-0.0002555963494160096,0.0,0.0,40034941505.6,930,770000,1138,66.19
-17.020715853571893,677,0.0003,4.971402e-05,-897276.70974037,19410132992.0,0.9994484782218933,0.2,-0.00028358883600958505,0.0,-1.1920928955078125e-07,38510258163.2,950,780000,1151,63.91
-17.0206150457263,680,0.0003,0.000103768514,-1013014.1190929898,20775665664.0,0.9994497895240784,0.2,-0.000445033711821452,0.0,0.0,39043569353.6,960,790000,1160,73.01
-17.02084073126316,684,0.0003,0.00013946104,-1092545.12417983,19452729344.0,0.9994876980781555,0.2,-0.00052643327462647,0.0,0.0,38881777870.4,970,800000,1169,78.32
-17.02099527269602,687,0.0003,7.7639765e-05,-897722.1843590301,19042594816.0,0.9994783401489258,0.2,-0.00038622436513833234,0.0,-1.1920928955078125e-07,39156575083.2,980,810000,1178,63.83
-17.021029804646968,688,0.0003,5.2767697e-05,-900836.5075672701,19825770496.0,0.999450147151947,0.2,-0.000278977528159885,0.0,-1.1920928955078125e-07,39000347102.4,1000,820000,1190,63.82
-17.020368203520775,691,0.0003,0.00010181602,-912662.1448937899,18401171456.0,0.9994087815284729,0.2,-0.00041312093708256725,0.0,1.1920928955078125e-07,37568265907.2,1010,830000,1199,65.19
-17.02015034854412,694,0.0003,5.3804157e-05,-903883.8448121402,19541235712.0,0.9994142055511475,0.2,-0.0002803508688430156,0.0,0.0,38137484192.0,1020,840000,1208,63.41
-17.020478203892708,698,0.0003,0.00011594796,-1045281.5646829999,20034707456.0,0.9994618892669678,0.2,-0.0004535808440778055,0.0,5.960464477539063e-08,39130550768.0,1030,850000,1217,74.55
-17.020186142623423,701,0.0003,0.00010625223,-1049604.80248696,19121440768.0,0.9993653297424316,0.2,-0.00047799793637750556,0.0,5.960464477539063e-08,37989723657.6,1040,860000,1226,76.93
-17.019097536802292,701,0.0003,0.00014072398,-866473.9462906802,18589237248.0,0.9993362426757812,0.2,-0.0005650059620165848,0.0,0.0,38188727204.8,1060,870000,1239,61.91
-17.019083020091056,704,0.0003,7.100766e-05,-803200.90480841,18212812800.0,0.9993066787719727,0.2,-0.0003492347506835358,0.0,1.7881393432617188e-07,37424496814.4,1070,880000,1248,56.35
-17.018805468082427,707,0.0003,6.478109e-05,-850961.0181610499,19196436480.0,0.9992918968200684,0.2,-0.00027662068505378555,0.0,0.0,37358842286.4,1080,890000,1257,60.4
-17.01888250261545,710,0.0003,0.000107437285,-928702.29366605,18407397376.0,0.9993196129798889,0.2,-0.0004260069421434309,0.0,5.960464477539063e-08,37064857798.4,1090,900000,1266,66.29
-17.018817284703253,711,0.0003,6.2903135e-05,-840374.33837787,18660501504.0,0.9992750287055969,0.2,-0.00031311336233557084,0.0,-1.1920928955078125e-07,35617871620.8,1110,910000,1279,59.51
-17.018828220665455,714,0.0003,8.3529e-05,-872394.0493443001,18198470656.0,0.9993278384208679,0.2,-0.0003630881245044293,0.0,0.0,38194536612.8,1120,920000,1288,62.73
-17.019486562907694,716,0.0003,5.6740784e-05,-912025.7351571799,17348255744.0,0.9993820190429688,0.2,-0.00030047593118069925,0.0,0.0,36699582252.8,1130,930000,1297,65.39
-17.019855242967605,719,0.0003,0.000101563244,-822637.81323059,18305024000.0,0.9993948340415955,0.2,-0.00041800112467171857,0.0,-1.1920928955078125e-07,35843565446.4,1140,940000,1306,58.3
-17.0203669115901,722,0.0003,4.60214e-05,-945855.9039975199,16924871680.0,0.9994625449180603,0.2,-0.00025594506405468564,0.0,5.960464477539063e-08,36944513220.8,1150,950000,1315,67.35
-17.022316299378872,722,0.0003,7.2320116e-05,-1073834.9379118301,18050914304.0,0.9996114373207092,0.2,-0.00034456827606845766,0.0,5.960464477539063e-08,38578547232.0,1170,960000,1328,77.56
-17.022394442558287,725,0.0003,9.651938e-05,-974683.68081352,19295662080.0,0.9995832443237305,0.2,-0.00042095245134987636,0.0,5.960464477539063e-08,37987215824.0,1180,970000,1337,70.13
-17.02257984280586,727,0.0003,0.00010116162,-936994.7094524899,19184021504.0,0.9996417164802551,0.2,-0.0004712635030955425,0.0,0.0,39168535569.6,1190,980000,1346,67.44
-17.022709496319294,730,0.0003,4.95024e-05,-1049817.3563866501,19881441280.0,0.9996030330657959,0.2,-0.00031094938349269797,0.0,5.960464477539063e-08,37646926316.8,1200,990000,1355,75.76
-17.022667260468005,730,0.0003,9.792989e-05,-921353.2086185202,18367229952.0,0.9995914101600647,0.2,-0.0004420385965204332,0.0,0.0,36411981651.2,1220,1000000,1368,66.01
