train/kl_divergence_loss,train/learning_rate,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/explained_variance,train/std,train/is_line_search_success,rollout/ep_len_mean,train/policy_objective,train/n_updates
0.007763526402413845,0.0013,360000,1402,256,-127140.73274958001,2075180746.0,1.1920928955078125e-07,0.8960228562355042,1.0,54.06,0.07358258217573166,43
0.007642996497452259,0.0013,370000,1396,264,-156612.49465629,2139893745.6,0.0,0.8906950354576111,1.0,68.2,0.0679304376244545,45
0.007352238055318594,0.0013,380000,1397,271,-157634.74457799,1947408523.2,0.0,0.8880317807197571,1.0,69.29,0.0743623673915863,46
0.007964101620018482,0.0013,390000,1398,278,-133608.50147602,2247902055.4,0.0,0.8861073851585388,1.0,57.8,0.07481127977371216,47
0.007812067400664091,0.0013,400000,1398,285,-128675.77023680002,1972546176.4,0.0,0.8860894441604614,1.0,56.6,0.0720461905002594,48
0.008085522800683975,0.0013,410000,1394,293,-158655.16576025,1959381130.4,0.0,0.8837806582450867,1.0,69.68,0.07458478212356567,50
0.007976767607033253,0.0013,420000,1395,300,-127601.74202626999,2123402645.8,0.0,0.8827835917472839,1.0,54.95,0.07633381336927414,51
0.00785538274794817,0.0013,430000,1395,308,-130590.76094564002,2040316424.4,-1.1920928955078125e-07,0.8813799023628235,1.0,63.87,0.07533479481935501,52
0.007580248173326254,0.0013,440000,1396,315,-145499.99257755998,1857594696.0,0.0,0.8805562257766724,1.0,70.46,0.06483955681324005,53
0.007741839624941349,0.0013,450000,1397,322,-146630.24963684,1861543832.0,0.0,0.8829314112663269,1.0,67.79,0.07046979665756226,54
0.007923691533505917,0.0013,460000,1392,330,-136770.12231819,1870277812.8,0.0,0.8876775503158569,1.0,65.35,0.07952634990215302,56
0.007063035387545824,0.0013,470000,1392,337,-150573.63099675995,1669757018.2,0.0,0.8775753378868103,1.0,73.3,0.07162643224000931,57
0.007951062172651291,0.0013,480000,1392,344,-153274.59389993997,1809928874.4,-1.1920928955078125e-07,0.8760138750076294,1.0,75.13,0.06996984779834747,58
0.008062816224992275,0.0013,490000,1393,351,-154033.43116398,1775210213.2,1.1920928955078125e-07,0.8739145398139954,1.0,79.82,0.07862487435340881,59
0.007701127789914608,0.0013,500000,1388,360,-154843.55948089,1739947858.0,-1.1920928955078125e-07,0.8743994832038879,1.0,74.15,0.07860250771045685,61
0.007893682457506657,0.0013,510000,1389,367,-151740.84858421,1883827809.4,0.0,0.873523473739624,1.0,69.14,0.07699581235647202,62
0.007165178656578064,0.0013,520000,1390,373,-123376.79199502998,1753293302.4,5.960464477539063e-08,0.8730539083480835,1.0,55.26,0.08364035934209824,63
0.007790622301399708,0.0013,530000,1391,380,-117851.35709648,1901789466.0,0.0,0.8685989379882812,1.0,67.27,0.0798155665397644,64
0.00844521913677454,0.0013,540000,1393,387,-153007.15719441,1619675599.7,0.0,0.8693467378616333,1.0,82.72,0.07335948199033737,65
0.007972264662384987,0.0013,550000,1390,395,-123987.14581935,1622067486.2,0.0,0.8672845363616943,1.0,63.91,0.07792901247739792,67
0.007527738809585571,0.0013,560000,1391,402,-126354.51017041999,1353615898.0,1.1920928955078125e-07,0.8668407201766968,1.0,76.41,0.07817461341619492,68
0.007528004702180624,0.0013,570000,1392,409,-136738.41063741996,1565476785.9,-1.1920928955078125e-07,0.868890106678009,1.0,76.6,0.08301424980163574,69
0.007605838589370251,0.0013,580000,1394,416,-142035.8001089,1518163068.7,0.0,0.8625120520591736,1.0,80.6,0.08128327876329422,70
0.0077820224687457085,0.0013,590000,1391,424,-147787.86045218003,1531153399.7,0.0,0.8592755794525146,1.0,84.38,0.07812704145908356,72
0.008055693469941616,0.0013,600000,1392,430,-144469.69711172,1471309809.8,1.1920928955078125e-07,0.8589979410171509,1.0,80.65,0.07769019901752472,73
0.008805278688669205,0.0013,610000,1393,437,-148705.58083074997,1544389269.4,-2.384185791015625e-07,0.8574934005737305,1.0,78.81,0.07691293954849243,74
0.007943873293697834,0.0013,620000,1393,444,-142929.31320188,1485994950.7,0.0,0.8529769778251648,1.0,84.38,0.0682724118232727,75
0.007895218208432198,0.0013,630000,1394,451,-117319.80263380002,1450410083.1,0.0,0.8516241908073425,1.0,77.06,0.07776155322790146,76
0.008444973267614841,0.0013,640000,1390,460,-144391.85857441003,1352835199.7,0.0,0.8492220044136047,1.0,92.47,0.07034562528133392,78
0.008189353160560131,0.0013,650000,1392,466,-128776.76875071,1324480409.8,-1.1920928955078125e-07,0.8470892310142517,1.0,81.76,0.0803995132446289,79
0.008361208252608776,0.0013,660000,1392,474,-152754.71455558998,1237402162.1,0.0,0.8460132479667664,1.0,95.96,0.07816657423973083,80
0.008073859848082066,0.0013,670000,1393,480,-150593.08971553,1258234564.8,0.0,0.8461297154426575,1.0,105.67,0.07980839163064957,81
0.008452747017145157,0.0013,680000,1390,489,-134283.68474678,1242511901.5,0.0,0.8480560183525085,1.0,91.6,0.0774589478969574,83
0.008064196445047855,0.0013,690000,1391,496,-171672.70983782,1142470014.5,0.0,0.8462347388267517,1.0,114.73,0.0855323076248169,84
0.008031846024096012,0.0013,700000,1391,503,-165201.07859841,1126827117.8,1.1920928955078125e-07,0.8415935635566711,1.0,109.15,0.08001063764095306,85
0.007894369773566723,0.0013,710000,1392,509,-168955.7011518,1158134610.2,0.0,0.8426764011383057,1.0,112.78,0.08631482720375061,86
0.007929341867566109,0.0013,720000,1393,516,-157144.95120673996,1194422864.9,-1.1920928955078125e-07,0.840657114982605,1.0,105.41,0.08338414132595062,87
0.007864474318921566,0.0013,730000,1391,524,-164866.31233058,1069743137.0,0.0,0.8419463634490967,1.0,118.42,0.08892591297626495,89
0.00786521565169096,0.0013,740000,1392,531,-133638.86296677,970909386.0,0.0,0.8447063565254211,1.0,113.57,0.08687780797481537,90
0.007853222079575062,0.0013,750000,1393,538,-143214.89983468,926168424.9,0.0,0.8459520936012268,1.0,122.95,0.0816330760717392,91
0.008090230636298656,0.0013,760000,1394,544,-147699.02885662002,989255139.6,0.0,0.8463992476463318,1.0,115.96,0.07751213759183884,92
0.008296416141092777,0.0013,770000,1395,551,-156110.0754344,989631405.7,0.0,0.8455432653427124,1.0,118.8,0.07964752614498138,93
0.00843278132379055,0.0013,780000,1394,559,-124503.36304424,1051536799.0,0.0,0.8406888246536255,1.0,105.64,0.09005825966596603,95
0.008416680619120598,0.0013,790000,1395,566,-140519.02019724,895000607.4,0.0,0.841159462928772,1.0,125.73,0.06977880001068115,96
0.00844260212033987,0.0013,800000,1396,572,-145029.52362269998,1011532795.6,0.0,0.8433911204338074,1.0,119.92,0.07795567810535431,97
0.008172271773219109,0.0013,810000,1397,579,-135542.41742635003,997793594.9,0.0,0.8434600830078125,1.0,123.09,0.09467057883739471,98
0.008333987556397915,0.0013,820000,1395,587,-132370.97897412002,808507829.9,0.0,0.8431400656700134,1.0,131.46,0.09220056235790253,100
0.008664632216095924,0.0013,830000,1396,594,-104820.13824013002,913925915.1,0.0,0.8423194885253906,1.0,119.44,0.08005207031965256,101
0.0081694470718503,0.0013,840000,1397,600,-116299.98789646997,741662113.5,0.0,0.8428570628166199,1.0,146.89,0.09404955059289932,102
0.008102323859930038,0.0013,850000,1398,607,-120801.28739072997,780898059.65,0.0,0.8414348363876343,1.0,150.89,0.07778418809175491,103
0.008360437117516994,0.0013,860000,1399,614,-134223.25652568997,726357803.5,1.1920928955078125e-07,0.8426163196563721,1.0,138.01,0.0894082561135292,104
0.007946642115712166,0.0013,870000,1398,622,-137416.84263975,884993067.4,0.0,0.8404532670974731,1.0,131.15,0.08280166983604431,106
0.008135662414133549,0.0013,880000,1398,629,-113436.39284184999,917924424.85,0.0,0.8450462818145752,1.0,133.18,0.08829334378242493,107
