train/explained_variance,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/value_loss,time/fps,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/is_line_search_success,train/kl_divergence_loss,train/std,train/policy_objective
-1.1920928955078125e-07,111328.64345672,507,84,4920789828.8,1359,690000,0.001,13.97,1.0,0.009476684965193272,0.6965506672859192,0.06214575469493866
-1.1920928955078125e-07,118540.62056319001,515,85,5066908569.6,1358,700000,0.001,12.88,1.0,0.006712377071380615,0.6960623860359192,0.05377945303916931
1.1920928955078125e-07,117201.6,523,86,5474748432.0,1357,710000,0.001,13.59,1.0,0.008995219133794308,0.6941234469413757,0.04296902194619179
1.1920928955078125e-07,114291.57744801,530,87,5150437236.8,1356,720000,0.001,13.11,1.0,0.009433520026504993,0.691479504108429,0.05320001021027565
5.960464477539063e-08,119323.49530827001,539,89,5235210500.0,1352,730000,0.001,13.28,1.0,0.006498008966445923,0.6882894039154053,0.04280649125576019
0.0,118024.50850740001,547,90,5315321688.0,1351,740000,0.001,13.15,1.0,0.008664555847644806,0.6871254444122314,0.04108872264623642
1.1920928955078125e-07,116555.58789102,555,91,5324818270.4,1350,750000,0.001,12.96,1.0,0.008875744417309761,0.6853508353233337,0.04630153253674507
0.0,120267.3600513,562,92,5588879027.2,1350,760000,0.001,12.71,1.0,0.009788568131625652,0.6825702786445618,0.03979433327913284
0.0,118947.80587718001,570,93,5514578888.0,1349,770000,0.001,12.7,1.0,0.008311855606734753,0.6796331405639648,0.03555981069803238
0.0,114306.52145212,579,95,5580914151.2,1346,780000,0.001,12.79,1.0,0.009709276258945465,0.6765437126159668,0.0384005568921566
-1.1920928955078125e-07,119552.74872342002,586,96,5300646732.0,1346,790000,0.001,12.75,1.0,0.009515701793134212,0.6749613285064697,0.05474637448787689
-1.1920928955078125e-07,118947.6,593,97,5375849419.2,1347,800000,0.001,12.8,1.0,0.006625574082136154,0.6748244166374207,0.045290347188711166
0.0,119952.26085738999,601,98,5488612139.2,1346,810000,0.001,12.95,1.0,0.009969095699489117,0.6733582615852356,0.04949680715799332
0.0,120168.9,610,100,5629888441.6,1344,820000,0.001,12.56,1.0,0.006988405715674162,0.6704046130180359,0.03157663345336914
-1.1920928955078125e-07,119270.05194631999,617,101,5771313736.0,1343,830000,0.001,12.28,1.0,0.009339791722595692,0.6672582626342773,0.03968320041894913
0.0,121072.29725462999,625,102,5663291020.0,1342,840000,0.001,12.47,1.0,0.006564693059772253,0.6659862995147705,0.045297328382730484
1.7881393432617188e-07,115125.22377973002,633,103,5607679245.6,1342,850000,0.001,12.43,1.0,0.009732290171086788,0.6641175746917725,0.056279510259628296
0.0,121888.86653242,640,104,5572187624.0,1342,860000,0.001,12.28,1.0,0.009800479747354984,0.6631338000297546,0.061371300369501114
0.0,118933.4,649,106,5679688468.8,1340,870000,0.001,13.02,1.0,0.009581499733030796,0.6610264182090759,0.05012345314025879
0.0,121001.29295219001,656,107,5600248590.4,1340,880000,0.001,11.99,1.0,0.006581199821084738,0.6606261730194092,0.05375908687710762
-1.1920928955078125e-07,119370.91518511,663,108,5782257885.6,1340,890000,0.001,12.35,1.0,0.008929953910410404,0.6589718461036682,0.05035638436675072
0.0,118781.4,671,109,5770425664.0,1341,900000,0.001,12.0,1.0,0.008735611103475094,0.6572933197021484,0.03181954473257065
0.0,121102.83581282,680,111,5852047456.0,1338,910000,0.001,11.95,1.0,0.009673934429883957,0.6552178859710693,0.04572668671607971
0.0,122900.77716437001,687,112,5924710652.8,1338,920000,0.001,12.34,1.0,0.009795652702450752,0.654715359210968,0.038004107773303986
1.1920928955078125e-07,123804.5,694,113,5916640598.4,1338,930000,0.001,12.48,1.0,0.00967101939022541,0.6535313725471497,0.04978756234049797
0.0,124370.46328839,702,114,6016875048.0,1338,940000,0.001,11.71,1.0,0.00928597804158926,0.6520231366157532,0.04935615137219429
0.0,127252.9,709,115,6197274917.6,1339,950000,0.001,12.08,1.0,0.009892507456243038,0.6511554718017578,0.05326880142092705
-1.1920928955078125e-07,127267.63708803,717,117,6207268949.6,1337,960000,0.001,11.8,1.0,0.008374006487429142,0.6456181406974792,0.03897152468562126
1.1920928955078125e-07,126449.18016406,725,118,6278695103.2,1337,970000,0.001,11.9,1.0,0.009413394145667553,0.6437044143676758,0.04226183518767357
0.0,128261.55235836002,732,119,6331726357.6,1338,980000,0.001,12.08,1.0,0.006425315048545599,0.6419415473937988,0.044174015522003174
0.0,127166.54053996998,739,120,6381595806.4,1338,990000,0.001,11.78,1.0,0.009701534174382687,0.6401438117027283,0.04482385888695717
0.0,128175.8,747,122,6486319484.0,1336,1000000,0.001,11.8,1.0,0.00887067150324583,0.6361086964607239,0.04265893995761871
