time/total_timesteps,train/n_updates,train/learning_rate,rollout/ep_rew_mean,time/fps,train/entropy_loss,time/time_elapsed,train/policy_loss,train/explained_variance,train/std,train/value_loss,rollout/ep_len_mean
910000,11374,0.0001,-134538.41963914002,3510,-8.306061744689941,259,-554.137451171875,0.0,0.9665152430534363,5305.3486328125,393.31
920000,11499,0.0001,-129601.02582689,3510,-8.300031661987305,262,-63280.13671875,0.0,0.9655560851097107,529206080.0,417.6
930000,11624,0.0001,-125126.95114184002,3511,-8.297656059265137,264,-57021.30078125,1.1920928955078125e-07,0.9651889801025391,480875328.0,395.14
940000,11749,0.0001,-119387.03899707999,3511,-8.291815757751465,267,-39357.1015625,0.0,0.9643086791038513,394660768.0,413.06
950000,11874,0.0001,-113418.89547280999,3512,-8.289188385009766,270,-897.2711791992188,0.0,0.9638519287109375,15170.2626953125,407.78
960000,11999,0.0001,-111644.94261049999,3512,-8.284989356994629,273,-510.623046875,2.384185791015625e-07,0.9631943106651306,6050.443359375,410.09
970000,12124,0.0001,-111132.41873415,3512,-8.281229019165039,276,2582.44384765625,0.0,0.962609052658081,867688.125,439.96
980000,12249,0.0001,-108787.69139337,3512,-8.281682968139648,279,-5293.45703125,2.384185791015625e-07,0.9626900553703308,5042171.5,461.06
990000,12374,0.0001,-106728.21724034002,3512,-8.28031063079834,281,-828.5037841796875,-1.1920928955078125e-07,0.9624617695808411,14881.5654296875,458.23
1000000,12499,0.0001,-104322.41282707002,3513,-8.273327827453613,284,-966.5654296875,0.0,0.9613903164863586,20731.18359375,459.74
