train/entropy_loss,train/explained_variance,train/n_updates,time/time_elapsed,train/value_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/approx_kl,train/std,train/loss,time/fps,train/clip_range,train/policy_gradient_loss,rollout/ep_len_mean
-8.340593661367894,0.0,390,198,601009176.7375,320000,-337418.62811859,0.0003,0.01038818359375,0.0038370516,0.9716114401817322,303791008.0,1614,0.2,-0.0025391596895133262,289.95
-8.336622929573059,0.0,400,203,699244517.575,330000,-368324.6546106299,0.0003,0.0001220703125,0.0014584797,0.9704472422599792,470930176.0,1619,0.2,-0.0011653867877612356,313.16
-8.33025521337986,0.0,410,209,671567947.175,340000,-361899.48475984007,0.0003,0.00946044921875,0.0036424156,0.9695795178413391,390613824.0,1624,0.2,-0.002527862884744536,308.29
-8.327015706896782,0.0,420,214,643265642.125,350000,-389820.33766292,0.0003,0.0272216796875,0.0053118546,0.9693623185157776,254865408.0,1628,0.2,-0.004520827363921853,327.54
-8.322013179212808,0.0,430,220,674601969.8,360000,-374272.3100810801,0.0003,0.0143798828125,0.004792874,0.9679586887359619,409595136.0,1633,0.2,-0.003166065184996114,308.85
-8.32233530804515,0.0,450,228,620228782.9,370000,-372027.36433707,0.0003,0.0039306640625,0.002210157,0.969142735004425,152793888.0,1615,0.2,-0.0023498516740801277,310.72
-8.31931302472949,0.0,460,234,741522673.625,380000,-341908.76530403993,0.0003,0.01483154296875,0.004805122,0.9674484729766846,191248224.0,1619,0.2,-0.0033306851741144784,283.79
-8.31542253047228,0.0,470,240,544037701.525,390000,-365032.22916771,0.0003,0.00123291015625,0.0025796539,0.9678716063499451,212419008.0,1623,0.2,-0.0016288691675072186,317.66
-8.314489962160588,0.0,480,245,697703798.05,400000,-346645.2940583,0.0003,0.00738525390625,0.0037942324,0.9670636653900146,371582240.0,1626,0.2,-0.0023226563465868822,295.96
-8.300811473280191,1.1920928955078125e-07,500,254,670019401.3125,410000,-321741.9184302,0.0003,0.00477294921875,0.0033297427,0.9647328853607178,284247936.0,1610,0.2,-0.0017474028947617626,271.38
-8.29547586068511,0.0,510,260,536947528.3375,420000,-317259.92262439994,0.0003,0.002685546875,0.0022567096,0.9642090201377869,267360976.0,1613,0.2,-0.002146977398570016,281.76
