train/policy_loss,train/entropy_loss,train/n_updates,time/fps,train/explained_variance,train/value_loss,time/time_elapsed,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/std
-745754.5625,-21.211606979370117,5749,1345,1.1920928955078125e-07,2561719040.0,341,460000,0.0001,20.86,-135090.19977006,0.9952003359794617
-428091.25,-21.209667205810547,5874,1345,1.1920928955078125e-07,996044672.0,349,470000,0.0001,28.73,-165334.04216889,0.9950603246688843
-540114.9375,-21.21484375,5999,1344,1.1920928955078125e-07,1292154240.0,356,480000,0.0001,22.05,-139813.34497992,0.9954209923744202
-498012.5625,-21.214000701904297,6124,1344,0.0,928208384.0,364,490000,0.0001,24.5,-154643.40233734998,0.9953174591064453
-712297.375,-21.216419219970703,6249,1344,0.0,1888031488.0,371,500000,0.0001,25.28,-149968.65520853002,0.9955295920372009
-550787.625,-21.213560104370117,6374,1343,0.0,1295431424.0,379,510000,0.0001,27.72,-172426.28765374,0.9953317046165466
-544810.6875,-21.216297149658203,6499,1343,0.0,1251211008.0,387,520000,0.0001,27.97,-157043.28494404,0.9954892992973328
-674558.6875,-21.210647583007812,6624,1343,-1.1920928955078125e-07,1863227776.0,394,530000,0.0001,23.34,-148537.98011469003,0.9951177835464478
-737485.5625,-21.204662322998047,6749,1342,0.0,1986407040.0,402,540000,0.0001,26.18,-154446.5001493,0.9947937726974487
-722026.0625,-21.20577621459961,6874,1342,0.0,2478775040.0,409,550000,0.0001,26.19,-154925.05459634,0.9948294162750244
-564397.875,-21.197654724121094,6999,1342,1.7881393432617188e-07,1163982336.0,417,560000,0.0001,26.48,-155900.94092790998,0.9943355321884155
-566196.125,-21.20005989074707,7124,1341,-1.1920928955078125e-07,1507879680.0,424,570000,0.0001,28.27,-163850.55969614,0.9944530129432678
-410691.1875,-21.194387435913086,7249,1341,1.1920928955078125e-07,1078852480.0,432,580000,0.0001,25.48,-156035.56810383,0.9941161870956421
-722372.375,-21.188405990600586,7374,1341,0.0,2257492480.0,439,590000,0.0001,24.62,-150650.55845342999,0.9937217831611633
-497543.34375,-21.177684783935547,7499,1341,-1.1920928955078125e-07,1408563840.0,447,600000,0.0001,25.25,-151084.06081701998,0.9929608106613159
-713841.125,-21.16789436340332,7624,1340,-2.384185791015625e-07,2404050688.0,454,610000,0.0001,26.97,-154008.43847571,0.9923584461212158
-484513.09375,-21.155824661254883,7749,1340,-2.384185791015625e-07,1167042560.0,462,620000,0.0001,25.21,-146549.16602325003,0.991548478603363
-720863.3125,-21.157590866088867,7874,1341,-1.1920928955078125e-07,1926493952.0,469,630000,0.0001,25.4,-154912.67717858002,0.9916645884513855
-658194.9375,-21.153329849243164,7999,1342,-1.1920928955078125e-07,1991573248.0,476,640000,0.0001,27.43,-156352.13228908,0.9913648962974548
-721210.3125,-21.148290634155273,8124,1343,5.960464477539063e-08,2201819648.0,483,650000,0.0001,29.42,-167772.10558429,0.9910264611244202
-496724.3125,-21.150758743286133,8249,1343,0.0,1658008576.0,491,660000,0.0001,23.08,-140362.404248,0.9911540150642395
-788762.125,-21.142946243286133,8374,1343,0.0,2499121664.0,498,670000,0.0001,26.18,-150453.96096027,0.9907251000404358
-625766.25,-21.14708137512207,8499,1343,-1.1920928955078125e-07,1561948416.0,506,680000,0.0001,29.08,-165522.53212284,0.9909574389457703
-398283.5,-21.143030166625977,8624,1343,1.1920928955078125e-07,1090602240.0,513,690000,0.0001,25.81,-147069.53108642,0.9907498955726624
-916473.0,-21.13966941833496,8749,1342,0.0,2878785792.0,521,700000,0.0001,23.81,-144014.3844857,0.9904705286026001
-656217.125,-21.135181427001953,8874,1342,0.0,1795055872.0,528,710000,0.0001,29.12,-159787.11440595004,0.9901575446128845
-748581.375,-21.131961822509766,8999,1341,0.0,2083378432.0,536,720000,0.0001,29.31,-165672.05329497,0.9899391531944275
-550725.375,-21.13278579711914,9124,1341,-1.1920928955078125e-07,1478008320.0,544,730000,0.0001,27.72,-156494.44159753,0.9900380373001099
-789936.3125,-21.131961822509766,9249,1341,0.0,2318137856.0,551,740000,0.0001,25.91,-151196.28373104,0.9899494647979736
-622261.25,-21.126001358032227,9374,1341,0.0,1348870400.0,559,750000,0.0001,29.68,-169209.30483518998,0.9895620346069336
-661756.8125,-21.127120971679688,9499,1341,0.0,1824190080.0,566,760000,0.0001,28.97,-156352.00377815,0.9896563291549683
-676541.375,-21.126916885375977,9624,1341,0.0,1708155264.0,573,770000,0.0001,25.82,-151533.30362229,0.9896419048309326
-475965.0,-21.123960494995117,9749,1341,-1.1920928955078125e-07,1266143104.0,581,780000,0.0001,24.28,-141188.20002726998,0.989428699016571
-610126.375,-21.131385803222656,9874,1340,0.0,1540165248.0,589,790000,0.0001,30.24,-162892.69402963002,0.9899235963821411
-384553.09375,-21.12191390991211,9999,1340,0.0,964696448.0,596,800000,0.0001,29.75,-158896.08599033,0.9893089532852173
-643707.3125,-21.122360229492188,10124,1339,0.0,1975268736.0,604,810000,0.0001,30.1,-162396.73044615999,0.9893723726272583
-959629.5,-21.125694274902344,10249,1339,-1.1920928955078125e-07,3046330368.0,612,820000,0.0001,25.96,-145562.71650668,0.9895918369293213
-738498.9375,-21.130638122558594,10374,1339,0.0,2266866176.0,619,830000,0.0001,24.89,-141953.10011772002,0.9898463487625122
-626394.6875,-21.125171661376953,10499,1338,0.0,1451927808.0,627,840000,0.0001,23.99,-141148.09068162003,0.9895270466804504
-534510.0625,-21.13338851928711,10624,1338,-1.1920928955078125e-07,1542828416.0,634,850000,0.0001,27.39,-147872.65996575,0.9901068210601807
-786854.6875,-21.126564025878906,10749,1338,0.0,2359997952.0,642,860000,0.0001,30.6,-158056.92384928,0.9896361231803894
-907975.8125,-21.127859115600586,10874,1338,5.960464477539063e-08,2757875968.0,650,870000,0.0001,29.92,-160492.90045295,0.9897233843803406
-524717.375,-21.126976013183594,10999,1338,5.960464477539063e-08,1393996928.0,657,880000,0.0001,31.03,-166951.19243784,0.989690899848938
-666513.4375,-21.119468688964844,11124,1338,-1.1920928955078125e-07,1812431104.0,664,890000,0.0001,29.56,-152549.54371433,0.9891766309738159
-552693.625,-21.123855590820312,11249,1338,0.0,1482922880.0,672,900000,0.0001,24.87,-143840.35717519,0.9894593954086304
-578512.125,-21.127052307128906,11374,1338,-2.384185791015625e-07,1615301632.0,679,910000,0.0001,26.97,-147326.67572636003,0.9896740317344666
-581583.5625,-21.12740707397461,11499,1338,0.0,1625451136.0,687,920000,0.0001,25.73,-136317.93541823,0.9896887540817261
-667570.5,-21.131752014160156,11624,1337,0.0,1983789696.0,695,930000,0.0001,24.25,-135183.62444624002,0.9899541735649109
-949190.375,-21.127086639404297,11749,1337,-2.384185791015625e-07,2548251392.0,702,940000,0.0001,28.33,-145232.31883439998,0.9896673560142517
-581123.875,-21.127565383911133,11874,1337,0.0,1319354240.0,710,950000,0.0001,26.92,-146878.00890313997,0.9896896481513977
-665697.125,-21.13176155090332,11999,1337,-1.1920928955078125e-07,2320241920.0,717,960000,0.0001,30.16,-156018.46148437,0.9899850487709045
-604558.0,-21.13614273071289,12124,1337,-2.384185791015625e-07,1271768320.0,725,970000,0.0001,25.24,-137787.10421679,0.9902536869049072
-637493.875,-21.13253402709961,12249,1337,-1.1920928955078125e-07,1636348032.0,732,980000,0.0001,28.16,-137084.21577931,0.9900683164596558
-469879.09375,-21.138731002807617,12374,1336,5.960464477539063e-08,1329440384.0,740,990000,0.0001,28.41,-146319.75272892998,0.9904548525810242
-538587.9375,-21.13511848449707,12499,1336,-1.1920928955078125e-07,1450740992.0,748,1000000,0.0001,26.96,-140912.37323962,0.9901953935623169
