train/kl_divergence_loss,train/value_loss,train/n_updates,rollout/ep_rew_mean,train/std,train/policy_objective,rollout/ep_len_mean,train/is_line_search_success,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance
0.00795072689652443,10599535896.0,84,-154821.23689688998,0.7712981104850769,0.03270454332232475,7.59,1.0,1410,489,690000,0.0013,0.0
0.006157224997878075,10613393577.6,85,-153192.02938169998,0.7722014784812927,0.9040658473968506,7.34,1.0,1410,496,700000,0.0013,0.0
0.008682242594659328,10604078012.8,86,-152189.24976059,0.7731645703315735,0.027241980656981468,7.24,1.0,1411,503,710000,0.0013,0.0
0.008994045667350292,10563414563.2,87,-153488.95607627,0.7707269191741943,0.04177674651145935,7.43,1.0,1411,510,720000,0.0013,0.0
0.008688269183039665,10555802990.4,89,-152559.49888076,0.7657771110534668,0.033455658704042435,7.29,1.0,1408,518,730000,0.0013,0.0
0.007202999200671911,10534486217.6,90,-152466.24624138002,0.763741672039032,0.02253611385822296,7.28,1.0,1408,525,740000,0.0013,0.0
0.0063088457100093365,10737287908.8,91,-152479.91692996,0.7620710730552673,0.04092788323760033,7.25,1.0,1408,532,750000,0.0013,-1.1920928955078125e-07
0.006352385506033897,10529336476.8,92,-152747.05968298003,0.7619867920875549,0.03765245899558067,7.3,1.0,1409,539,760000,0.0013,0.0
0.009945860132575035,10513304296.0,93,-152661.64436251996,0.7593172192573547,0.027888648211956024,7.3,1.0,1409,546,770000,0.0013,0.0
0.007675445172935724,10479460307.2,95,-154566.38450965998,0.7580949664115906,0.028167573735117912,7.62,1.0,1406,554,780000,0.0013,0.0
0.0065836794674396515,10476111372.8,96,-153660.80952769998,0.7572750449180603,0.029125556349754333,7.45,1.0,1406,561,790000,0.0013,0.0
0.008078613318502903,10437078606.4,97,-153824.50653785997,0.7551787495613098,0.035536378622055054,7.48,1.0,1407,568,800000,0.0013,0.0
0.008595309220254421,10496653300.8,98,-153556.15194066998,0.7585529685020447,0.038082730025053024,7.46,1.0,1407,575,810000,0.0013,5.960464477539063e-08
0.004474007990211248,10490667369.6,100,-155284.45872373,0.7553148865699768,0.02090272679924965,7.61,1.0,1404,583,820000,0.0013,0.0
0.009563331492245197,10523068270.4,101,-153965.66756636,0.7538254857063293,0.04364117980003357,7.53,1.0,1404,590,830000,0.0013,0.0
0.006629942450672388,10433894200.0,102,-154352.24818564003,0.7484486103057861,0.029569551348686218,7.56,1.0,1404,597,840000,0.0013,0.0
0.008592670783400536,10373567484.8,103,-154318.39031513,0.7434179782867432,0.03189044073224068,7.58,1.0,1405,604,850000,0.0013,0.0
0.008271823637187481,10418935036.8,104,-153834.53717613,0.741459310054779,0.03396613895893097,7.53,1.0,1405,611,860000,0.0013,0.0
0.006773679982870817,10334170347.2,106,-154167.49277912,0.7409515380859375,0.03002808801829815,7.51,1.0,1403,620,870000,0.0013,0.0
0.008842025883495808,10336025060.8,107,-152547.86418594,0.7392659187316895,0.04137880355119705,7.28,1.0,1403,626,880000,0.0013,0.0
0.007789285387843847,10464604011.2,108,-153063.33612554998,0.738484799861908,0.03528252989053726,7.38,1.0,1404,633,890000,0.0013,0.0
0.007032522466033697,10360943110.4,109,-153961.85412157004,0.7378685474395752,0.03463418781757355,7.5,1.0,1404,640,900000,0.0013,0.0
0.008539102040231228,10353789286.4,111,-154650.61975469004,0.7395281791687012,0.019559213891625404,7.61,1.0,1402,648,910000,0.0013,-1.1920928955078125e-07
0.006931524723768234,10303703300.8,112,-153919.78883405,0.7381275296211243,0.029631635174155235,7.53,1.0,1402,655,920000,0.0013,0.0
0.006712166126817465,10260447230.4,113,-154209.82845108004,0.7374016642570496,0.03057163581252098,7.59,1.0,1402,662,930000,0.0013,0.0
0.009935570880770683,10234580992.0,114,-153803.39835853,0.7344911098480225,0.04022043198347092,7.52,1.0,1403,669,940000,0.0013,0.0
0.008731420151889324,10200103856.0,115,-154243.6968245,0.7354178428649902,0.042181164026260376,7.6,1.0,1403,676,950000,0.0013,0.0
0.006786037236452103,10193588753.6,117,-155043.24118454,0.7350448966026306,0.031089432537555695,7.68,1.0,1400,685,960000,0.0013,0.0
0.006592592690140009,10198549347.2,118,-154304.66510060002,0.7351439595222473,0.031644947826862335,7.61,1.0,1401,692,970000,0.0013,0.0
0.006383427884429693,10190123352.0,119,-154665.67543842,0.7335771918296814,0.026957310736179352,7.62,1.0,1401,699,980000,0.0013,0.0
0.007592801004648209,10172456019.2,120,-154012.96770878,0.7331299781799316,0.03229100629687309,7.53,1.0,1402,706,990000,0.0013,0.0
0.009748058393597603,10144542872.0,122,-155321.35090716,0.7278961539268494,0.038222942501306534,7.77,1.0,1400,713,1000000,0.0013,0.0
