time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,time/fps,train/policy_objective,rollout/ep_len_mean,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,time/time_elapsed,train/value_loss,train/std,train/n_updates
870000,-125914.43528014999,2.384185791015625e-07,1470,0.035080596804618835,4.01,0.001,0.007953699678182602,1.0,591,10050829176.0,0.7195045948028564,106
880000,-125984.08134148997,-1.1920928955078125e-07,1470,0.03437293320894241,4.03,0.001,0.008120918646454811,1.0,598,10027288028.8,0.7179147601127625,107
890000,-126101.0781535,5.960464477539063e-08,1470,0.04532364755868912,4.04,0.001,0.007431740406900644,1.0,605,10375312089.6,0.7178823351860046,108
900000,-126063.87352625,0.0,1471,0.027702946215867996,4.03,0.001,0.009198613464832306,1.0,611,10058217499.2,0.715731143951416,109
910000,-126134.28367552998,-1.1920928955078125e-07,1468,0.03666733577847481,4.04,0.001,0.006566327065229416,1.0,619,10046617582.4,0.7170000672340393,111
920000,-126320.53733527,0.0,1469,0.01610555127263069,4.05,0.001,0.007918973453342915,1.0,626,9929068475.2,0.7126539349555969,112
930000,-126202.42952748999,1.1920928955078125e-07,1469,0.025761231780052185,4.05,0.001,0.007761548738926649,1.0,632,10014328670.4,0.7075583338737488,113
940000,-125860.85667457999,0.0,1470,0.02094309963285923,4.03,0.001,0.008851363323628902,1.0,639,9967512163.2,0.7076357007026672,114
950000,-126330.17143672999,1.1920928955078125e-07,1470,0.02870994247496128,4.08,0.001,0.008511659689247608,1.0,645,9923422654.4,0.7070685029029846,115
960000,-126394.95174379999,0.0,1468,0.023461857810616493,4.08,0.001,0.008268588222563267,1.0,653,9921314176.0,0.7051821351051331,117
970000,-126094.92093922998,0.0,1468,0.03897750377655029,4.02,0.001,0.008491524495184422,1.0,660,10065425062.4,0.7042694091796875,118
980000,-126450.39801539002,5.960464477539063e-08,1469,0.05304130166769028,4.08,0.001,0.0077054924331605434,1.0,667,10005245347.2,0.7026734948158264,119
990000,-126566.18311548,5.960464477539063e-08,1469,0.019366441294550896,4.09,0.001,0.008263028226792812,1.0,673,9923288230.4,0.7022757530212402,120
1000000,-125891.39068184001,0.0,1466,0.020838439464569092,4.02,0.001,0.006056930869817734,1.0,681,9875934880.0,0.6997936367988586,122
