rollout/ep_len_mean,train/approx_kl,train/clip_range,train/value_loss,time/time_elapsed,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,rollout/ep_rew_mean,train/std,train/policy_gradient_loss,time/fps,time/total_timesteps,train/loss
58.54,0.00040318948,0.2,3404042976.0,224,420,0.0,-12.712649340182542,1.1920928955078125e-07,0.0003,-218279.63825952,0.9934658408164978,-0.0008013810312149872,1558,350000,1845307136.0
52.95,0.00041541585,0.2,3317787719.4,230,430,0.0,-12.710185061395169,1.1920928955078125e-07,0.0003,-206145.57713048998,0.9932162761688232,-0.001129623909946531,1562,360000,1358921856.0
47.72,0.0011086545,0.2,3512823942.0,239,450,0.0,-12.703893309831619,1.1920928955078125e-07,0.0003,-195147.50699251003,0.9923298954963684,-0.001801738584163104,1547,370000,1585644032.0
57.17,0.000650862,0.2,3635583626.0,245,460,0.0,-12.700853813439608,0.0,0.0003,-215717.90545241002,0.9922963380813599,-0.0013891415899706771,1550,380000,1733846272.0
55.53,0.00058439,0.2,3319991795.4,250,470,0.0,-12.698721849918366,1.1920928955078125e-07,0.0003,-200314.40824884,0.9918779730796814,-0.0012136665689467918,1554,390000,1949654528.0
55.12,0.0002850788,0.2,3246799330.0,256,480,0.0,-12.695343397557735,1.1920928955078125e-07,0.0003,-200791.44408606994,0.9915767312049866,-0.0007663281585337245,1557,400000,1830493184.0
55.45,0.00022338069,0.2,3278112631.0,265,500,0.0,-12.686717896163463,0.0,0.0003,-204847.74488143998,0.9905531406402588,-0.0008622165401902748,1544,410000,1668950784.0
52.82,0.00051411346,0.2,3308746792.0,271,510,0.0,-12.68129279911518,0.0,0.0003,-205569.40920335002,0.9897737503051758,-0.001122092266814434,1547,420000,1270847744.0
50.65,0.0004893157,0.2,3370621103.0,277,520,0.0,-12.67794321551919,-1.1920928955078125e-07,0.0003,-193538.93804155002,0.989837110042572,-0.0010524784769586405,1550,430000,1685377920.0
51.43,0.0005955816,0.2,3099705898.0,283,530,0.0,-12.67648678869009,-1.1920928955078125e-07,0.0003,-199478.29305165,0.9894612431526184,-0.0011116530644358137,1553,440000,1432809856.0
53.53,0.00037010224,0.2,3321039904.2,289,540,0.0,-12.67360644415021,0.0,0.0003,-195233.91000504995,0.9892137050628662,-0.0009149734887614613,1556,450000,1627337088.0
51.57,0.00048422572,0.2,3053889268.4,297,560,0.0,-12.666276774555445,-1.1920928955078125e-07,0.0003,-185598.3707063,0.9882757663726807,-0.0011093477209215053,1544,460000,1593067264.0
48.46,0.0009922963,0.2,3252197800.8,303,570,9.765625e-05,-12.664520952105523,-2.384185791015625e-07,0.0003,-187578.20053644004,0.9884229302406311,-0.0013587759067377192,1546,470000,1783438592.0
51.71,0.00055193907,0.2,3275917223.0,309,580,0.0,-12.663855910301208,1.1920928955078125e-07,0.0003,-186608.75302818,0.9881188869476318,-0.0011721685878001153,1549,480000,1784564736.0
46.41,0.0006939315,0.2,3153367554.0,315,590,0.0,-12.661861634254455,1.1920928955078125e-07,0.0003,-177173.37576297,0.9879966378211975,-0.0012257440514986228,1552,490000,1698529408.0
48.13,0.00047449642,0.2,3162750043.8,324,610,0.0,-12.65489267334342,0.0,0.0003,-190393.53985802003,0.9871165752410889,-0.0009891280438750981,1541,500000,1858266496.0
55.62,0.000549556,0.2,3181922136.8,330,620,0.0,-12.653147403150797,1.1920928955078125e-07,0.0003,-198718.06878982994,0.9871136546134949,-0.0010017543765570736,1544,510000,1507074816.0
41.3,0.00043158102,0.2,3452462965.2,336,630,0.0,-12.651364832371474,0.0,0.0003,-172873.05849333,0.9867008924484253,-0.0009372873573738616,1546,520000,1995244800.0
