train/critic_loss,time/total_timesteps,train/actor_loss,time/episodes,train/ent_coef,time/time_elapsed,time/fps,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss
20198176.0,540000,-95175.7265625,15099,26.778026580810547,2527,213,0.001,133229.6816404,21.38,134974,0.0509888231754303
20212768.0,550000,-96952.2265625,15602,24.04668617248535,2577,213,0.001,133373.38392135,20.19,137474,0.3886198401451111
8415432.0,560000,-99000.2421875,16045,26.044830322265625,2626,213,0.001,133343.0,19.95,139974,-0.36280375719070435
19302800.0,570000,-94622.984375,16523,26.9639892578125,2676,212,0.001,133310.5,18.96,142474,-0.015254437923431396
10784943.0,580000,-96030.96875,17042,22.49249839782715,2726,212,0.001,133384.4,20.31,144974,0.2812560200691223
7955760.5,590000,-98952.0625,17504,23.285930633544922,2776,212,0.001,133366.90596096,20.91,147474,-0.5682339072227478
5201655.0,600000,-98062.828125,18022,20.277841567993164,2825,212,0.001,133437.64966892,18.44,149974,0.04502341151237488
51274408.0,610000,-98002.0625,18556,24.117324829101562,2875,212,0.001,133387.3865645,19.1,152474,1.5181905031204224
22381700.0,620000,-99681.421875,19096,22.117313385009766,2924,211,0.001,132598.2,19.46,154974,-0.16578400135040283
19258264.0,630000,-99416.984375,19632,21.576539993286133,2973,211,0.001,133427.50749346,18.03,157474,-0.5144666433334351
11902933.0,640000,-99137.4296875,20121,21.048799514770508,3022,211,0.001,133162.7,17.55,159974,0.08337363600730896
5027754.0,650000,-99497.6953125,20668,20.100881576538086,3072,211,0.001,133235.1,18.47,162474,-1.3622020483016968
3456545.5,660000,-98402.28125,21214,22.409177780151367,3121,211,0.001,132975.81370722,22.81,164974,1.404526710510254
16215020.0,670000,-98950.5546875,21669,22.103179931640625,3170,211,0.001,131314.6,19.85,167474,-2.0492489337921143
3372676.25,680000,-100359.328125,22260,21.62518882751465,3219,211,0.001,131669.43061662,17.05,169974,0.5235848426818848
7084979.5,690000,-98994.671875,22836,25.265493392944336,3269,211,0.001,133384.15893754,16.98,172474,0.7407466173171997
3102886.25,700000,-102169.390625,23383,20.90447998046875,3318,210,0.001,133444.22527581,18.01,174974,2.038421392440796
23844726.0,710000,-100871.2421875,23890,20.12484359741211,3368,210,0.001,133317.2,20.72,177474,1.3875401020050049
54581756.0,720000,-101926.59375,24404,22.635936737060547,3417,210,0.001,132655.96049753999,20.23,179974,1.0573713779449463
