train/n_updates,time/episodes,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/ent_coef
94974,21063,0.0003,123623.765625,2395,-152682.18717805,-0.04485344886779785,158,3292764.0,5.98,380000,416.1903381347656
97474,22703,0.0003,131504.609375,2459,-150051.70736343,-2.4769928455352783,158,3103916.5,5.96,390000,446.04931640625
99974,24304,0.0003,164462.203125,2523,-148371.98145448,0.5190293788909912,158,3067673.0,6.08,400000,507.219482421875
102474,25743,0.0003,140525.078125,2588,-147615.71324805,-0.16862940788269043,158,3153002.25,6.2,410000,555.2650756835938
104974,26845,0.0003,159180.140625,2653,-551346.36630974,5.097017288208008,158,3044370.5,16.51,420000,575.953369140625
107474,27650,0.0003,151773.015625,2718,-153873.67614700002,-0.36553922295570374,158,3026253.5,6.51,430000,569.4802856445312
109974,28562,0.0003,155690.1875,2782,-965007.14801538,0.22703701257705688,158,2928767.5,27.0,440000,551.296875
112474,28858,0.0003,148405.28125,2847,-307614.28555863997,3.701660394668579,158,3033725.75,10.91,450000,486.8027648925781
114974,29538,0.0003,154922.78125,2911,-213747.20079853,-0.8308542370796204,157,2906632.5,9.08,460000,486.6034240722656
117474,30525,0.0003,220324.546875,2975,-190131.48340487998,5.549671649932861,157,2824758.25,8.17,470000,616.1943969726562
119974,31004,0.0003,228825.234375,3039,-1338220.77635358,-1.3606395721435547,157,2957500.75,36.68,480000,691.2221069335938
122474,31165,0.0003,223298.90625,3102,-2102317.48952898,1.2485374212265015,157,2848284.5,56.51,490000,764.0365600585938
124974,31428,0.0003,231776.71875,3166,-1030304.43341167,2.9831807613372803,157,2856205.25,29.5,500000,837.6184692382812
127474,31755,0.0003,222780.703125,3229,-352517.75704660005,4.878310680389404,157,2863770.5,13.65,510000,807.0438232421875
129974,32269,0.0003,208621.578125,3292,-398298.34340322996,1.4118983745574951,157,2982990.25,15.22,520000,780.218505859375
132474,32915,0.0003,209378.375,3356,-306886.06643681997,-3.88533091545105,157,2885569.0,12.97,530000,760.590576171875
134974,33690,0.0003,216304.828125,3421,-241398.42736166,4.0915985107421875,157,2801664.0,10.82,540000,747.783935546875
137474,34779,0.0003,213534.140625,3485,-214445.27164601997,1.5271766185760498,157,2900392.75,9.29,550000,805.2816772460938
139974,35897,0.0003,233932.609375,3549,-194692.42713096004,-7.471419334411621,157,2691015.5,8.41,560000,890.1329956054688
142474,37076,0.0003,249116.109375,3614,-214505.87558085003,0.18211936950683594,157,2316321.0,8.02,570000,895.4556884765625
144974,38484,0.0003,237551.359375,3678,-166541.04532749,-3.714834690093994,157,2386955.25,6.98,580000,845.5181884765625
147474,39902,0.0003,238940.0,3742,-157608.01798819998,1.068997859954834,157,2279673.75,6.67,590000,852.7142944335938
149974,41055,0.0003,246845.15625,3806,-158927.43745986,-0.7857711315155029,157,1978118.125,6.81,600000,790.9075317382812
152474,42630,0.0003,244265.734375,3871,-152926.06645026,2.6282308101654053,157,1931220.75,6.48,610000,746.2946166992188
154974,44240,0.0003,224725.03125,3937,-139934.58361821002,7.995946407318115,157,1939536.5,6.15,620000,686.0640869140625
157474,45397,0.0003,236342.421875,4003,-137555.87986679998,3.2442538738250732,157,1714115.875,6.64,630000,619.1632690429688
159974,45921,0.0003,231378.3125,4069,-250581.95740863003,-2.0659401416778564,157,1963873.625,9.53,640000,519.5963134765625
162474,47070,0.0003,240654.078125,4135,-158990.81520024,-4.231720447540283,157,2113750.0,7.53,650000,552.4727172851562
164974,47442,0.0003,228979.234375,4201,-896350.83546006,0.49418720602989197,157,2157223.5,25.96,660000,613.0269165039062
167474,48536,0.0003,237011.5625,4267,-281256.23516025,-1.3505793809890747,157,2202558.25,10.94,670000,627.3412475585938
169974,49759,0.0003,231857.40625,4333,-257974.91414781997,0.20955467224121094,156,2259144.75,10.38,680000,669.7423706054688
172474,50853,0.0003,239406.96875,4399,-178034.26450519997,1.7292349338531494,156,2235799.25,8.12,690000,718.9328002929688
174974,52022,0.0003,239153.671875,4466,-170135.84485857992,-2.960435390472412,156,2358756.75,8.06,700000,706.273681640625
177474,53094,0.0003,259075.03125,4533,-185374.91108897005,-3.3389370441436768,156,2399639.75,8.42,710000,714.4006958007812
179974,53790,0.0003,263299.5625,4601,-253682.02871158998,1.5445759296417236,156,2333201.25,11.26,720000,704.071533203125
182474,54349,0.0003,258377.625,4668,-937242.1586574902,1.5838093757629395,156,2301998.75,27.75,730000,689.5836181640625
184974,54681,0.0003,263993.25,4735,-706855.16847669,0.8692904710769653,156,2451875.25,23.12,740000,686.9102783203125
187474,54803,0.0003,267420.71875,4802,-3224163.71391643,2.287020444869995,156,2524686.5,87.92,750000,673.8992309570312
189974,54948,0.0003,245772.515625,4869,-1924556.51186873,0.5705033540725708,156,2597189.25,54.67,760000,681.804931640625
192474,55316,0.0003,243985.84375,4937,-605368.9255105801,-1.2648303508758545,155,2576933.25,20.26,770000,680.6400756835938
194974,56070,0.0003,249045.8125,5004,-157831.52940571998,-4.906067848205566,155,2627446.5,8.99,780000,670.8598022460938
197474,56831,0.0003,260600.984375,5072,-144547.80793312998,1.9402265548706055,155,2544726.75,7.84,790000,671.0386352539062
199974,58367,0.0003,269890.78125,5140,-123099.22225430001,2.4214234352111816,155,2473931.75,6.03,800000,660.638916015625
202474,60005,0.0003,257390.46875,5207,-124604.87606169003,2.3785085678100586,155,2526966.5,5.99,810000,664.3932495117188
204974,61690,0.0003,263142.46875,5274,-129377.60159532001,-1.3194844722747803,155,2692156.25,6.12,820000,652.1658935546875
207474,63362,0.0003,257604.3125,5340,-129955.08138511996,-3.6886579990386963,155,2438904.5,5.99,830000,631.8585815429688
209974,65025,0.0003,246127.53125,5407,-131835.65691797002,1.9713671207427979,155,2452258.5,6.03,840000,603.3936157226562
212474,66674,0.0003,266770.3125,5473,-133935.88905048004,-0.7098265886306763,155,2270832.0,6.1,850000,596.619873046875
214974,68313,0.0003,269676.625,5541,-134473.41332706998,2.1596791744232178,155,2076781.75,6.14,860000,556.171875
217474,69949,0.0003,251244.015625,5610,-132847.75113509,1.285179615020752,155,2173485.75,5.97,870000,534.1630859375
219974,71583,0.0003,248227.734375,5679,-133619.18986292998,-1.3419265747070312,154,1894575.0,6.16,880000,504.8482666015625
222474,73225,0.0003,229046.671875,5747,-133157.71121901003,1.5544698238372803,154,2134927.0,6.22,890000,485.7417297363281
224974,74853,0.0003,218460.109375,5815,-125922.80874303999,1.4271745681762695,154,1789895.875,6.02,900000,466.75006103515625
227474,76438,0.0003,235815.625,5884,-123476.43190441998,3.4335522651672363,154,1672883.25,6.05,910000,448.76727294921875
229974,77836,0.0003,205979.484375,5952,-154844.75667637,-0.2699088454246521,154,1635783.875,7.51,920000,422.5174560546875
232474,79105,0.0003,185252.765625,6018,-149607.16062874,0.6391135454177856,154,1577400.375,7.22,930000,402.44390869140625
234974,79929,0.0003,179663.234375,6083,-195237.35314683002,-2.582777261734009,154,1556252.375,8.86,940000,402.5675048828125
237474,80949,0.0003,183367.8125,6147,-134053.66885201,4.307408809661865,154,1478081.0,6.11,950000,434.33984375
239974,82378,0.0003,166412.34375,6211,-123692.73262326999,0.4412993788719177,154,1419583.5,5.06,960000,448.26446533203125
242474,84554,0.0003,161119.8125,6275,-96356.06120653998,-3.2658886909484863,154,1617874.125,4.07,970000,456.57330322265625
244974,86873,0.0003,136999.984375,6340,-100868.52638950001,1.682113528251648,154,1582740.0,4.38,980000,460.2148132324219
247474,89223,0.0003,130599.5390625,6404,-98764.83717662998,-1.2389466762542725,154,1405731.25,4.19,990000,463.3731384277344
249974,91502,0.0003,127432.875,6468,-100774.63695948997,-1.2557344436645508,154,1430127.25,4.51,1000000,457.3095397949219
