train/ent_coef_loss,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/actor_loss,time/episodes,train/ent_coef
62.75872039794922,214974,217.05,860000,101917064.0,239,-1064927.32106902,3592,0.0055,50895.9765625,23245,386.6043395996094
16.848770141601562,217474,208.02,870000,24829968.0,239,-337375.84900866,3636,0.0055,35905.71875,23267,76.21927642822266
-234.56454467773438,219974,280.51,880000,10634606592.0,239,-1697247.00802415,3678,0.0055,526625.0,23302,5362.1337890625
103.98825073242188,222474,92.0,890000,1283293696.0,239,-969225.4457199503,3722,0.0055,250124.59375,23408,3235.058837890625
-138.79949951171875,224974,111.77,900000,11752990720.0,239,-1281310.3952214,3765,0.0055,363417.8125,23489,4875.29443359375
-3.297656774520874,227474,49.59,910000,14700687360.0,238,-330566.06809021,3809,0.0055,762901.5,23639,14489.3349609375
132.48757934570312,229974,66.03,920000,16207033344.0,238,-601903.86598772,3852,0.0055,731496.8125,23789,9478.3173828125
69.54656982421875,232474,20.31,930000,2917240064.0,238,-195543.20214018002,3896,0.0055,573468.5,24076,477.39739990234375
16.255104064941406,234974,5.03,940000,1489281408.0,238,-97581.63743656002,3939,0.0055,334799.5,24730,29.02437973022461
-3.771906614303589,237474,5.0,950000,115660520.0,238,-98035.16329680002,3983,0.0055,152970.796875,26683,15.234182357788086
9.567683219909668,239974,29.87,960000,57621024.0,238,-88116.56112694001,4027,0.0055,102081.5625,27263,158.04043579101562
0.6388102769851685,242474,57.05,970000,47072744.0,238,-234847.76763991005,4070,0.0055,83234.1640625,27435,52.99567413330078
-91.30838012695312,244974,58.59,980000,196411195392.0,238,-1041003.9850821899,4114,0.0055,867763.5,27671,21435.48828125
192.68624877929688,247474,50.8,990000,5259325865984.0,238,-271420.02852054,4158,0.0055,26733.8125,27834,506669.125
117.18000793457031,249974,60.88,1000000,148421394432.0,237,-559195.3642049399,4201,0.0055,1698555.125,28008,15452.96875
