time/fps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/episodes,train/learning_rate,eval/mean_reward,eval/mean_ep_length
261,107,3485,0.5051988363265991,-0.852615475654602,244.17,27984,384.4081115722656,-5753.75197339,767.1437377929688,112,0.001,,
264,112,3702,0.485790878534317,-1.3724470138549805,259.06,29720,378.9979248046875,-5861.440778900001,3526.3818359375,116,0.001,,
264,113,3737,0.48230117559432983,-1.3379172086715698,263.35,30000,394.7886962890625,-5930.09236904,749.45361328125,117,0.001,,
,,,,,,30000,,,,,,-16348.668202,1000.0
247,129,4012,0.4538542330265045,-1.7449312210083008,270.05,32200,378.87591552734375,-5956.535657520001,747.78369140625,120,0.001,,
250,135,4230,0.4277931749820709,-1.1270322799682617,287.13,33944,381.1551513671875,-6220.05063191,1824.5531005859375,124,0.001,,
253,141,4463,0.4063956141471863,-1.4917441606521606,295.75,35808,395.021484375,-6269.156453329999,3155.07275390625,128,0.001,,
255,144,4598,0.39490169286727905,-1.1981706619262695,306.93,36888,417.087158203125,-6317.792802449999,648.9383544921875,132,0.001,,
256,146,4702,0.38762983679771423,-1.2684509754180908,312.13,37720,430.60528564453125,-6289.996671500001,845.6231079101562,136,0.001,,
259,154,4987,0.3690718114376068,-0.7079719305038452,312.38,40000,425.2034912109375,-6282.29486659,481.115234375,137,0.001,,
,,,,,,40000,,,,,,-3752.156393199999,265.4
255,160,5120,0.36294612288475037,-0.7305121421813965,316.76,41064,409.62591552734375,-6322.811809249999,1352.162109375,140,0.001,,
256,163,5223,0.3560032248497009,-1.2961241006851196,322.32,41888,443.46270751953125,-6270.43374432,691.1280517578125,144,0.001,,
257,166,5347,0.34856554865837097,-1.1614599227905273,331.5,42880,447.2342529296875,-6339.062739429999,510.530517578125,148,0.001,,
259,169,5467,0.3431093990802765,-0.7398171424865723,339.27,43840,464.29644775390625,-6155.5806719699995,2513.739501953125,152,0.001,,
260,174,5665,0.3309895694255829,-1.1700949668884277,344.58,45424,499.17864990234375,-6186.370308459999,554.8411865234375,156,0.001,,
261,176,5774,0.32510578632354736,-1.6913206577301025,330.59,46296,468.23974609375,-5814.47766715,1894.6396484375,160,0.001,,
263,181,5954,0.31226134300231934,-1.130053997039795,331.61,47736,447.0473327636719,-5691.848026139999,666.4189453125,164,0.001,,
265,187,6214,0.2997949719429016,-0.971356987953186,340.97,49816,463.54046630859375,-5817.913453290001,725.671875,168,0.001,,
265,188,6237,0.29897063970565796,-1.0399105548858643,340.97,50000,452.77557373046875,-5817.913453290001,787.562744140625,168,0.001,,
,,,,,,50000,,,,,,-7261.3077092,435.0
259,194,6286,0.29623764753341675,-1.1286780834197998,345.8,50392,449.681396484375,-5945.59201658,2631.5986328125,172,0.001,,
261,202,6617,0.28318095207214355,-1.0149403810501099,333.95,53040,416.47442626953125,-5735.341750799999,2733.458984375,176,0.001,,
262,205,6750,0.2781660556793213,-0.41501861810684204,343.35,54104,444.98614501953125,-5892.27251245,1823.2230224609375,180,0.001,,
263,208,6844,0.27541759610176086,-0.8391454815864563,342.56,54856,448.8171081542969,-5863.645968039999,1413.2900390625,184,0.001,,
264,209,6905,0.2738211750984192,-0.507034420967102,348.67,55344,441.2560729980469,-5940.411647429999,650.7808837890625,188,0.001,,
264,211,7004,0.2734590768814087,-0.15666744112968445,348.82,56136,446.7886962890625,-5941.1912565,867.39111328125,192,0.001,,
266,218,7267,0.272990882396698,-0.5593028664588928,357.97,58240,435.56640625,-6002.2597427499995,2742.908447265625,196,0.001,,
267,222,7436,0.2709180414676666,-1.3558030128479004,355.67,59592,430.069580078125,-6005.651764330001,712.10986328125,200,0.001,,
268,223,7487,0.26874610781669617,-0.4210221767425537,354.11,60000,435.67828369140625,-5976.358804060001,1072.693115234375,201,0.001,,
,,,,,,60000,,,,,,-10281.811968400001,835.4
259,236,7652,0.26566946506500244,-0.5982076525688171,355.86,61320,446.05108642578125,-6064.1702879800005,633.627685546875,204,0.001,,
261,244,7962,0.26668351888656616,0.6018238067626953,364.41,63800,444.44891357421875,-6173.92680253,832.3038330078125,208,0.001,,
261,248,8118,0.26668545603752136,-0.10482534766197205,367.13,65048,457.4264221191406,-6207.121074160001,720.7897338867188,212,0.001,,
262,252,8267,0.2641085684299469,0.07817652821540833,362.07,66240,498.1482849121094,-6076.936669480001,519.3885498046875,216,0.001,,
263,254,8350,0.26254111528396606,-0.6516374349594116,361.09,66904,516.7943115234375,-6012.64114066,588.1934814453125,220,0.001,,
264,262,8666,0.2554967701435089,-0.8498672246932983,351.6,69432,488.40728759765625,-5738.625574780001,650.9423828125,224,0.001,,
265,263,8737,0.25386175513267517,-0.8440268039703369,354.58,70000,475.28936767578125,-5740.904420530001,908.8672485351562,226,0.001,,
,,,,,,70000,,,,,,-10888.5242922,1000.0
257,280,9034,0.25473594665527344,1.5600101947784424,352.48,72376,447.7852478027344,-5723.8486117,805.2977294921875,228,0.001,,
259,287,9302,0.2516430616378784,-0.9662473797798157,366.94,74520,503.1532287597656,-5658.856439760001,1738.3221435546875,232,0.001,,
259,290,9418,0.24771176278591156,-0.7885531187057495,374.6,75448,487.0102233886719,-5751.29897395,533.8067626953125,236,0.001,,
261,298,9738,0.23469066619873047,-1.0646893978118896,377.01,78008,447.3699951171875,-5692.494665540001,995.7135009765625,240,0.001,,
262,304,9987,0.2305978536605835,-0.03538729250431061,377.53,80000,484.4664611816406,-5653.65296973,546.5955200195312,242,0.001,,
,,,,,,80000,,,,,,-8833.5635772,1000.0
255,318,10164,0.2304907739162445,-0.042661309242248535,386.87,81416,526.5869140625,-5754.817593420001,567.5606689453125,244,0.001,,
256,324,10408,0.23069240152835846,-0.5350551605224609,393.72,83368,528.8936157226562,-5710.10201811,618.0904541015625,248,0.001,,
258,331,10706,0.2282082438468933,0.6123794317245483,403.5,85752,531.262939453125,-5777.62052537,531.9617919921875,252,0.001,,
259,337,10943,0.23138348758220673,0.23070180416107178,408.88,87648,534.16357421875,-5989.27702131,999.921875,256,0.001,,
260,345,11237,0.22323542833328247,-0.5107322335243225,420.9,90000,503.99578857421875,-6103.23549914,532.821533203125,258,0.001,,
,,,,,,90000,,,,,,-8310.9168892,943.2
254,357,11342,0.21960659325122833,-1.3995261192321777,424.51,90840,504.5690002441406,-6105.678419129999,542.267822265625,260,0.001,,
255,361,11536,0.210860475897789,-0.5156093239784241,430.71,92392,501.83197021484375,-6101.138526750001,517.2041625976562,264,0.001,,
256,370,11901,0.2008814662694931,-0.4603166878223419,448.13,95312,505.05950927734375,-6198.030706740001,388.64080810546875,268,0.001,,
258,382,12342,0.19324740767478943,-0.254763126373291,463.15,98840,533.543212890625,-6244.313290459999,465.68353271484375,272,0.001,,
259,385,12487,0.18805380165576935,-0.8196448683738708,465.08,100000,575.8790283203125,-6287.08075957,813.2954711914062,273,0.001,,
,,,,,,100000,,,,,,-11553.8513608,430.8
244,414,12668,0.18362629413604736,-0.4006994962692261,489.03,101448,557.055419921875,-6551.281620199999,901.243408203125,276,0.001,,
246,422,12983,0.18345941603183746,0.29767072200775146,498.87,103968,568.035888671875,-6485.593985290001,1255.2156982421875,280,0.001,,
