train/ent_coef,time/fps,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,train/n_updates
23.50404930114746,78,3293,0.001,181.46,260000,-71296.9609375,1712,88341.81361223999,9203930.0,-0.4662834405899048,64974
26.967267990112305,78,3420,0.001,173.41,270000,-69923.953125,1764,111918.84373347001,75728824.0,1.1686561107635498,67474
23.7946834564209,78,3547,0.001,90.29,280000,-70966.0,1877,126331.56397950002,5969069.5,-0.5450736284255981,69974
22.368907928466797,78,3674,0.001,153.69,290000,-70809.0,1924,120695.71674953001,7667380.5,0.8478833436965942,72474
24.20520782470703,78,3801,0.001,217.5,300000,-68926.6484375,1953,110523.61612299,38991108.0,-0.2328118085861206,74974
22.21910285949707,78,3927,0.001,216.56,310000,-71396.9375,2004,77489.27092391999,5593342.5,-0.9136806726455688,77474
22.67184829711914,78,4054,0.001,164.79,320000,-68197.421875,2079,95260.32663585,5108859.0,-1.6549818515777588,79974
22.641517639160156,78,4181,0.001,124.8,330000,-73244.0625,2162,95439.26693815998,2382863.5,1.0172505378723145,82474
23.652061462402344,78,4308,0.001,107.34,340000,-76165.53125,2244,127842.73840755,41736312.0,1.0524437427520752,84974
23.452707290649414,78,4435,0.001,60.31,350000,-75294.546875,2385,129137.78542077001,6681978.0,0.683767557144165,87474
22.30976104736328,78,4563,0.001,65.8,360000,-73419.265625,2538,124088.32290050999,10153553.0,0.4913574159145355,89974
23.444656372070312,78,4690,0.001,106.83,370000,-77028.46875,2609,115794.28247384999,6218346.0,0.5970596075057983,92474
21.58951759338379,78,4817,0.001,102.51,380000,-75555.7578125,2709,120531.74995807999,15892543.0,-0.4260944426059723,94974
22.1053466796875,78,4944,0.001,102.94,390000,-75452.4140625,2789,120812.98565081,21171720.0,1.2039738893508911,97474
22.401262283325195,78,5071,0.001,75.42,400000,-75831.8984375,2919,127851.08135444,2985124.5,0.08416643738746643,99974
20.494810104370117,78,5199,0.001,92.28,410000,-77130.515625,3032,128285.82560907,2901796.0,0.05691004544496536,102474
19.115245819091797,78,5327,0.001,153.93,420000,-77752.9140625,3053,115527.04761599,3678550.0,-0.03181919455528259,104974
21.486345291137695,78,5455,0.001,66.53,430000,-77346.3046875,3194,129535.35081514,3224498.0,1.089486837387085,107474
21.13974380493164,78,5584,0.001,40.14,440000,-79092.171875,3393,133069.81643054998,1459902.625,-0.017960667610168457,109974
20.850238800048828,78,5712,0.001,53.0,450000,-78482.1796875,3601,127390.37788924002,2103680.25,-0.2135087102651596,112474
21.01807975769043,78,5841,0.001,46.74,460000,-79277.046875,3827,132728.93207034,3673428.5,-0.23949038982391357,114974
19.77934455871582,78,5969,0.001,39.64,470000,-82282.765625,4089,133194.6,6493471.5,0.5626835823059082,117474
21.121797561645508,78,6097,0.001,73.59,480000,-80410.9453125,4257,131507.04925013,5782917.0,-1.2067008018493652,119974
19.869251251220703,78,6226,0.001,37.99,490000,-82338.5390625,4502,133230.10391477,28517812.0,-0.0017716046422719955,122474
20.47243309020996,78,6354,0.001,39.86,500000,-82944.96875,4745,133177.17254745,2038284.125,0.5384794473648071,124974
20.4267578125,78,6483,0.001,38.43,510000,-83398.3125,5015,133207.75021528,4391725.0,0.2763366103172302,127474
21.51221466064453,78,6611,0.001,35.76,520000,-84790.4765625,5240,132970.85487523,1979395.75,-0.4919084906578064,129974
21.747228622436523,78,6740,0.001,35.21,530000,-83519.1640625,5506,132788.14361047,2184643.5,-0.22349558770656586,132474
20.650779724121094,78,6868,0.001,34.13,540000,-86488.7578125,5796,133308.02478908,1853124.25,-0.6899282336235046,134974
20.781097412109375,78,6997,0.001,35.19,550000,-84536.96875,6080,132885.87132601,1395951.5,-0.3501584529876709,137474
19.627347946166992,78,7125,0.001,33.6,560000,-87426.3828125,6333,132917.06985852,2881616.5,0.24826690554618835,139974
21.479297637939453,78,7254,0.001,34.42,570000,-86714.828125,6629,133307.1,2075448.25,0.45410585403442383,142474
22.93016815185547,78,7381,0.001,35.22,580000,-87044.40625,6925,133091.86345201,1887585.5,-0.6597392559051514,144974
21.032957077026367,78,7509,0.001,31.2,590000,-87328.6171875,7234,133370.46364323,10602366.0,0.6434407234191895,147474
21.60239028930664,78,7638,0.001,33.28,600000,-86577.2265625,7536,133219.01881257,19608408.0,-0.47076648473739624,149974
21.83634376525879,78,7765,0.001,32.86,610000,-88455.3984375,7835,133126.34070214,1316141.5,0.4836328625679016,152474
22.29197120666504,78,7893,0.001,30.98,620000,-87801.21875,8153,132970.5,3441153.0,0.327549546957016,154974
20.808826446533203,78,8020,0.001,33.05,630000,-88742.7421875,8380,133029.89534669,3533410.5,0.020827941596508026,157474
22.342924118041992,78,8149,0.001,32.81,640000,-90360.96875,8683,133233.0,1980764.25,-0.48599517345428467,159974
21.75978660583496,78,8277,0.001,47.06,650000,-91607.671875,8957,114471.72082846,1036517.125,-0.8939232230186462,162474
21.297571182250977,78,8405,0.001,30.09,660000,-86408.75,9292,132781.63755999002,1275614.0,0.26716047525405884,164974
20.98578643798828,78,8533,0.001,29.27,670000,-92389.5234375,9609,132503.55187227,1711342.375,1.0699336528778076,167474
20.746299743652344,78,8660,0.001,32.23,680000,-91051.984375,9932,132937.96850064,4071356.75,0.11315081268548965,169974
21.419015884399414,78,8788,0.001,32.97,690000,-87357.2890625,10253,133319.7086808,2268089.5,0.5229884386062622,172474
22.413179397583008,78,8916,0.001,30.54,700000,-91262.6640625,10574,133075.7,2988853.5,-1.1869462728500366,174974
22.092668533325195,78,9043,0.001,29.07,710000,-89016.765625,10920,133315.9,2500698.5,-0.0034973621368408203,177474
23.721940994262695,78,9171,0.001,27.85,720000,-90127.3828125,11275,133438.46278685,3424008.5,0.7108970284461975,179974
21.662738800048828,78,9298,0.001,28.94,730000,-93681.46875,11618,133215.8,4477933.0,0.5054417252540588,182474
23.38737678527832,78,9426,0.001,30.21,740000,-88884.390625,11946,133286.62829125,2034735.25,0.6721867322921753,184974
22.502872467041016,78,9555,0.001,29.35,750000,-91815.3125,12291,132398.31784061,2175113.0,-0.24523675441741943,187474
21.63654899597168,78,9683,0.001,29.33,760000,-90851.15625,12627,133404.35592206998,815039.4375,-0.06618587672710419,189974
23.201435089111328,78,9811,0.001,29.92,770000,-92403.7578125,12969,132257.32034083,2627212.0,0.3081052899360657,192474
23.045366287231445,78,9940,0.001,28.49,780000,-92087.828125,13319,133428.94748121,1744172.5,1.1250485181808472,194974
23.198331832885742,78,10068,0.001,32.55,790000,-90788.1484375,13644,133138.01731317,2313103.5,-0.7628509998321533,197474
25.142959594726562,78,10197,0.001,28.95,800000,-94701.265625,13973,132908.04731711998,1380973.75,-1.415252685546875,199974
21.40578842163086,78,10326,0.001,30.79,810000,-95374.1015625,14287,133377.51933419,2623979.75,-0.2997441291809082,202474
22.26423454284668,78,10455,0.001,31.11,820000,-90772.6875,14611,133357.77572784002,3679931.75,-2.190896511077881,204974
23.646005630493164,78,10584,0.001,31.26,830000,-92400.84375,14914,132452.10196383,2757427.75,1.706802487373352,207474
22.504663467407227,78,10713,0.001,27.64,840000,-93214.3359375,15261,133242.42670809,29125608.0,0.6296015977859497,209974
21.039072036743164,78,10842,0.001,27.53,850000,-92942.6796875,15625,132940.9967281,1094420.0,-0.32053202390670776,212474
23.25336456298828,78,10972,0.001,45.24,860000,-91916.2421875,15925,132712.13978879,4145003.75,1.3917039632797241,214974
22.75348663330078,78,11101,0.001,26.99,870000,-91999.4765625,16285,133358.18601130001,1832465.125,1.3343610763549805,217474
20.875333786010742,78,11232,0.001,28.12,880000,-91810.84375,16646,133434.84215663,1769506.75,0.11386050283908844,219974
22.239973068237305,78,11362,0.001,26.29,890000,-94166.4609375,17024,133470.44172835,1766824.75,-0.5457710027694702,222474
19.459508895874023,78,11492,0.001,27.41,900000,-92636.609375,17396,133445.24394335,2092098.75,-0.5843473076820374,224974
21.253992080688477,78,11623,0.001,29.49,910000,-92744.6640625,17756,132395.54244844,1872531.75,-0.9199724793434143,227474
21.927501678466797,78,11753,0.001,25.75,920000,-99093.1796875,18108,133484.84346439,1948207.25,-0.9385711550712585,229974
22.24156951904297,78,11883,0.001,26.75,930000,-94552.9765625,18371,133363.00106439,1599888.5,1.1345421075820923,232474
20.422910690307617,78,12013,0.001,26.14,940000,-94394.90625,18753,133474.5,7217131.5,1.4506580829620361,234974
20.90053367614746,78,12143,0.001,26.87,950000,-94665.359375,19128,133461.22182384,30726004.0,-0.4721435010433197,237474
20.106657028198242,78,12274,0.001,25.57,960000,-92588.828125,19516,133486.8,1010551.25,1.041400671005249,239974
19.588756561279297,78,12404,0.001,25.64,970000,-92365.0625,19907,133485.23673636,1446709.75,-0.502456784248352,242474
19.782114028930664,78,12534,0.001,25.62,980000,-93996.5234375,20263,133487.6,4710189.5,-0.23801764845848083,244974
21.397491455078125,78,12664,0.001,25.43,990000,-93631.65625,20656,133488.57033073,1810335.5,0.26571425795555115,247474
20.609935760498047,78,12796,0.001,26.34,1000000,-95320.3125,21052,127193.47886273,3437818.5,-0.4016609787940979,249974
