train/entropy_loss,train/learning_rate,time/total_timesteps,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/n_updates,train/approx_kl,train/explained_variance,time/time_elapsed,train/clip_fraction,train/loss,train/clip_range,train/value_loss,rollout/ep_rew_mean
-21.880506785213946,0.0017,160000,835,46.32,-0.0017564505831614951,1.041621446609497,190,0.0018228972,0.0,191,0.00030517578125,36928450560.0,0.2,73811769932.8,-1140960.45069663
-21.911701719462872,0.0017,170000,842,38.5,-0.002877083689782012,1.043829083442688,200,0.0030897486,-2.384185791015625e-07,201,0.00244140625,37018808320.0,0.2,71953661584.0,-965511.8637975099
-21.94323836117983,0.0017,180000,849,47.88,-0.0018153942914068467,1.0460220575332642,210,0.00186007,0.0,211,0.00047607421875,32062025728.0,0.2,71063659728.0,-1170681.5444053297
-22.003768676519392,0.0017,190000,838,50.33,-0.002417357483500382,1.0503756999969482,230,0.0024661983,1.7881393432617188e-07,226,0.001123046875,41317224448.0,0.2,73300786774.4,-1231187.7139191201
-22.03930860161781,0.0017,200000,844,45.16,-0.0009549922924634302,1.0529067516326904,240,0.0008144576,0.0,236,3.662109375e-05,33703903232.0,0.2,69290003305.6,-1111395.7916541002
-22.073602403700352,0.0017,210000,849,46.31,-0.0016364150611479999,1.0551737546920776,250,0.0016073382,0.0,247,0.000244140625,36356177920.0,0.2,71135033523.2,-1145359.5632093302
-22.106156665086747,0.0017,220000,854,41.47,-0.0015999198951249128,1.0574885606765747,260,0.0016412203,1.7881393432617188e-07,257,0.00030517578125,33755125760.0,0.2,70901542992.0,-1019867.7736210899
-22.17334713190794,0.0017,230000,846,45.89,-0.001618388453425723,1.0624439716339111,280,0.001392357,0.0,271,0.00020751953125,37316898816.0,0.2,71804827865.6,-1127421.59100404
-22.20980627387762,0.0017,240000,851,43.37,-0.0025529947051836643,1.064852237701416,290,0.0022758846,1.1920928955078125e-07,281,0.00106201171875,34042028032.0,0.2,73609492355.2,-1062608.06357372
-22.24258740991354,0.0017,250000,855,47.43,-0.0018524932651416749,1.0671277046203613,300,0.002007313,-1.1920928955078125e-07,292,0.00052490234375,34371584000.0,0.2,68119281955.2,-1158913.8172524697
