rollout/ep_len_mean,train/explained_variance,rollout/ep_rew_mean,train/n_updates,time/fps,train/policy_gradient_loss,train/std,time/total_timesteps,train/value_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/clip_fraction,time/time_elapsed
70.11,5.960464477539063e-08,-214243.93812557,230,511,-0.0031603709099726983,1.2560354471206665,190000,1957779310.0,0.0017,-9.846949346363544,0.0054325867,1084032000.0,0.2,0.02913818359375,371
78.01,0.0,-227897.17253996,240,517,-0.002590486954795779,1.270210862159729,200000,2021155094.7,0.0017,-9.912036903202534,0.0034034075,1033006016.0,0.2,0.01851806640625,386
64.7,0.0,-209212.04486182999,250,518,-0.001866750928638794,1.2862387895584106,210000,2011026107.9,0.0017,-9.983738695830107,0.004153723,1026051776.0,0.2,0.01749267578125,405
63.75,0.0,-209579.23289321005,260,519,-0.0017138644208898768,1.3026119470596313,220000,2043590645.9,0.0017,-10.057545726001262,0.0034643915,993477376.0,0.2,0.01290283203125,423
61.63,0.0,-185148.60076187,280,508,-0.003341876913327724,1.3383903503417969,230000,2024100244.5,0.0017,-10.211258679628372,0.005977554,1243807488.0,0.2,0.030712890625,452
71.28,0.0,-218552.39767242997,290,509,-0.002354256720354897,1.3554363250732422,240000,1918046573.15,0.0017,-10.294011368602515,0.0034501893,935736640.0,0.2,0.01744384765625,471
69.8,0.0,-202774.61450386007,300,510,-0.002479756916000042,1.3707352876663208,250000,1908871709.6,0.0017,-10.367077637463808,0.0036051362,1047797568.0,0.2,0.02489013671875,489
53.2,0.0,-170221.41123958002,310,511,-0.003192219296579424,1.3884663581848145,260000,1869903878.05,0.0017,-10.438839410990477,0.0054660398,1044339328.0,0.2,0.03023681640625,508
78.97,-1.1920928955078125e-07,-234805.30548355,320,512,-0.0020198234378767665,1.4053822755813599,270000,2029941706.8,0.0017,-10.514532300829888,0.004201436,1092043648.0,0.2,0.01746826171875,527
65.17,0.0,-195692.73708218,340,509,-0.0034489771232983912,1.442454218864441,280000,1936310603.4,0.0017,-10.67081039622426,0.004523646,1000587200.0,0.2,0.031591796875,549
61.52,5.960464477539063e-08,-198747.4860117,350,510,-0.0011358460878909682,1.4613819122314453,290000,1850413012.5,0.0017,-10.744776095449925,0.0022831918,876963776.0,0.2,0.00703125,567
67.68,0.0,-210618.34862917,360,511,-0.0020680809995610614,1.4865312576293945,300000,1826559619.15,0.0017,-10.83672344237566,0.0044212667,1123345024.0,0.2,0.02049560546875,586
62.22,0.0,-179594.62780092002,370,512,-0.0016350221703760326,1.5005401372909546,310000,1850557748.0,0.0017,-10.915067265182733,0.0031403243,872565696.0,0.2,0.01141357421875,605
86.06,0.0,-253912.48559881,390,504,-0.002870280115894275,1.5378512144088745,320000,1741522473.1,0.0017,-11.055829728394746,0.0057470067,856870272.0,0.2,0.02838134765625,634
68.24,0.0,-192683.70808413002,400,505,-0.0038443064113380387,1.5561485290527344,330000,1818443120.2,0.0017,-11.126551048457623,0.005620841,983284800.0,0.2,0.03560791015625,653
78.47,0.0,-224384.93088506,410,506,-0.001812381581930822,1.5748720169067383,340000,1730514418.05,0.0017,-11.197939913719893,0.004182389,909348096.0,0.2,0.021630859375,671
70.02,0.0,-201964.35318028004,420,508,-0.002046022035119677,1.6038165092468262,350000,1729634186.95,0.0017,-11.289100098609925,0.0044107214,806861184.0,0.2,0.01744384765625,687
68.97,5.960464477539063e-08,-205766.65572887997,430,512,-0.0018170378383729258,1.624038815498352,360000,1744329775.35,0.0017,-11.378801557421685,0.0038244852,804264768.0,0.2,0.0206298828125,702
61.26,0.0,-177165.73951067,450,505,-0.001333927626728837,1.6731891632080078,370000,1837961607.95,0.0017,-11.550167188048363,0.0035509947,1033262592.0,0.2,0.01424560546875,731
62.38,0.0,-180266.21571715997,460,506,-0.002264892893981596,1.7012462615966797,380000,1825885553.5,0.0017,-11.644133679568768,0.0046410765,787139200.0,0.2,0.02493896484375,749
64.63,0.0,-193250.67013031,470,507,-0.0025658436525191064,1.7306112051010132,390000,1720890133.3,0.0017,-11.745430318266154,0.0042560697,827754304.0,0.2,0.02037353515625,768
70.22,0.0,-196126.50013259004,480,507,-0.002192775166440697,1.7573636770248413,400000,1805933372.0,0.0017,-11.843453021347523,0.003751184,756883392.0,0.2,0.0178466796875,787
66.44,0.0,-163238.01532273003,500,501,-0.0012103756687793065,1.8120414018630981,410000,1582928858.45,0.0017,-12.02212171331048,0.0038693876,930116096.0,0.2,0.01832275390625,816
68.54,0.0,-204101.43834253002,510,502,-0.002363372154013632,1.8300753831863403,420000,1890002462.9,0.0017,-12.097829084843397,0.0038824005,806390720.0,0.2,0.0168701171875,836
79.03,0.0,-209588.43207048997,520,505,-0.002587408245744882,1.860958456993103,430000,1722256892.2,0.0017,-12.181154608726501,0.004644815,835432704.0,0.2,0.02340087890625,849
63.05,-1.1920928955078125e-07,-201296.19931599998,530,507,-0.00213083657754396,1.8829840421676636,440000,1752585843.3,0.0017,-12.264391174167395,0.0039696647,1148573440.0,0.2,0.0274169921875,867
76.23,5.960464477539063e-08,-200337.80908468002,540,507,-0.0017320301729341736,1.9030746221542358,450000,1816474771.5,0.0017,-12.329168246686459,0.003349021,883554240.0,0.2,0.01634521484375,886
63.13,0.0,-168267.62603557,560,502,-0.001983567825664068,1.9560877084732056,460000,1632821043.6,0.0017,-12.484241070598364,0.0033564102,921206336.0,0.2,0.02086181640625,915
68.43,-1.1920928955078125e-07,-189671.38207711003,570,503,-0.002619386644437327,1.9863537549972534,470000,1586386984.2,0.0017,-12.5736609891057,0.004586488,1080788480.0,0.2,0.026708984375,933
64.84,5.960464477539063e-08,-196082.01431404,580,503,-0.002868746875810757,2.0127103328704834,480000,1717809777.85,0.0017,-12.655607105791569,0.0047288295,1053009984.0,0.2,0.0318603515625,953
62.6,0.0,-172789.15831783004,590,504,-0.001656858255773841,2.0410847663879395,490000,1677412008.2,0.0017,-12.73460661843419,0.0030600517,1241633664.0,0.2,0.019580078125,972
72.54,0.0,-206625.51887000003,610,501,-0.002401867204935115,2.1035451889038086,500000,1542233327.55,0.0017,-12.915126156061888,0.00386964,848609408.0,0.2,0.01881103515625,996
66.0,0.0,-193379.37044975001,620,503,-0.003427019992341229,2.1390469074249268,510000,1659240134.5,0.0017,-13.004355919361114,0.00446203,801399360.0,0.2,0.02606201171875,1013
82.34,5.960464477539063e-08,-219676.39213453993,630,503,-0.0017788972456401098,2.173185110092163,520000,1470993337.35,0.0017,-13.100020550191402,0.0037500872,679731392.0,0.2,0.018115234375,1032
68.83,0.0,-202624.78649288006,640,504,-0.0037045955636131112,2.200888156890869,530000,1652129368.4,0.0017,-13.185576383024454,0.005857855,1011804928.0,0.2,0.0323486328125,1051
81.16,1.1920928955078125e-07,-232600.31121234002,650,504,-0.003490934250294231,2.2333061695098877,540000,1695795864.45,0.0017,-13.267245699465274,0.005219738,827135168.0,0.2,0.029736328125,1070
72.12,0.0,-197642.81762495,670,499,-0.0005409181056165834,2.313772439956665,550000,1434392802.55,0.0017,-13.46460724696517,0.003493924,622934208.0,0.2,0.01318359375,1100
80.03,0.0,-223234.08592014,680,500,-0.002597515282468521,2.3428738117218018,560000,1496074679.25,0.0017,-13.559435787051916,0.0044359807,675363264.0,0.2,0.0190673828125,1119
79.12,5.960464477539063e-08,-231767.47913988997,690,500,-0.0020419567837961948,2.3772799968719482,570000,1525496047.05,0.0017,-13.638980292528867,0.0040811417,785112448.0,0.2,0.0237060546875,1138
74.45,-1.1920928955078125e-07,-218149.12822900002,700,502,-0.0019469945662422105,2.40710186958313,580000,1596650289.35,0.0017,-13.718602622300386,0.0037171405,749485952.0,0.2,0.02095947265625,1154
84.26,0.0,-231172.59393993003,720,500,-0.0012535711477539735,2.4705913066864014,590000,1408543996.4,0.0017,-13.867142159491777,0.0035961745,633542080.0,0.2,0.01680908203125,1179
68.52,0.0,-197633.68342153,730,500,-0.0011268469341302989,2.51108717918396,600000,1480825014.95,0.0017,-13.956376727670431,0.0036142524,821338432.0,0.2,0.0188720703125,1198
65.8,0.0,-171255.12277495,740,500,-0.0016489940795509027,2.5454964637756348,610000,1603627999.5,0.0017,-14.044105172157288,0.0034122877,557073344.0,0.2,0.0213134765625,1217
81.75,5.960464477539063e-08,-226992.59968539004,750,501,-0.0016373172002204228,2.589367151260376,620000,1450013900.8,0.0017,-14.13917782753706,0.00391025,756210816.0,0.2,0.023193359375,1236
77.94,0.0,-225482.24965301997,760,501,-0.0032185855478019222,2.644843339920044,630000,1470038195.95,0.0017,-14.25578477755189,0.005270836,788585664.0,0.2,0.031103515625,1255
76.21,0.0,-217911.60164577997,780,497,-0.0019335784156282898,2.706186294555664,640000,1521403719.65,0.0017,-14.417791659384966,0.003880386,792262912.0,0.2,0.01962890625,1285
69.32,0.0,-190395.1693485,790,499,-0.0027638101770207867,2.7621641159057617,650000,1561958017.25,0.0017,-14.51173127517104,0.004409931,945433664.0,0.2,0.03076171875,1302
77.13,0.0,-228261.50374338002,800,501,-0.0013560202571170521,2.8166263103485107,660000,1432011544.05,0.0017,-14.62925513535738,0.0034529965,1008035648.0,0.2,0.01419677734375,1316
72.33,0.0,-209809.65709750997,810,501,-0.0012697525306066381,2.8662919998168945,670000,1494922919.45,0.0017,-14.737830197811126,0.003213987,672395136.0,0.2,0.01461181640625,1335
73.76,1.7881393432617188e-07,-220816.23540179,830,498,-0.0016250668277280056,2.977649688720703,680000,1563509187.5,0.0017,-14.970962390303612,0.0031871567,582793472.0,0.2,0.0149169921875,1364
74.17,0.0,-188682.84616092,840,498,-0.0027816098434414018,3.0242583751678467,690000,1477409795.7,0.0017,-15.06096637248993,0.0046304287,611811456.0,0.2,0.03258056640625,1383
72.69,0.0,-198477.88070835,850,498,-0.001613826073025848,3.0869357585906982,700000,1425579813.6,0.0017,-15.169635865837336,0.004295678,871841088.0,0.2,0.02218017578125,1403
79.51,-1.1920928955078125e-07,-207629.65903846003,860,499,-0.001109147382703668,3.1403186321258545,710000,1486092405.7,0.0017,-15.278212846815586,0.0028326148,801246528.0,0.2,0.01439208984375,1422
84.43,0.0,-217447.07094783997,870,499,-0.0025741967911017127,3.2071807384490967,720000,1348706967.85,0.0017,-15.392469868808984,0.004931025,832894720.0,0.2,0.0291015625,1440
83.1,1.1920928955078125e-07,-216112.52997522,890,498,-0.001084495655959472,3.344226598739624,730000,1332326534.2,0.0017,-15.643163561820984,0.0037412334,661967936.0,0.2,0.02066650390625,1464
78.21,0.0,-225708.65649105998,900,499,-0.0009983749606362834,3.390977144241333,740000,1449312939.9,0.0017,-15.738095307350159,0.0030731657,729103040.0,0.2,0.015087890625,1481
61.36,0.0,-164733.18574384003,910,499,-0.0014121486581643694,3.470310926437378,750000,1436124752.25,0.0017,-15.848504014313221,0.004056784,841722304.0,0.2,0.01470947265625,1500
73.47,-1.1920928955078125e-07,-207025.62784364997,920,500,-0.002159635425414308,3.52776837348938,760000,1469281873.85,0.0017,-15.961899937689305,0.0040897303,834162496.0,0.2,0.02684326171875,1519
71.97,1.1920928955078125e-07,-211664.95460083007,930,500,-0.0014796758964621404,3.5911779403686523,770000,1497123879.95,0.0017,-16.060843104124068,0.0035903237,940268928.0,0.2,0.013671875,1538
81.13,1.7881393432617188e-07,-235580.53933460003,950,497,-0.001273846822550695,3.709709882736206,780000,1367627925.15,0.0017,-16.245129922032355,0.0036769714,555375616.0,0.2,0.017041015625,1567
75.73,-1.1920928955078125e-07,-201515.34213656996,960,497,-0.0024305423771693313,3.7874915599823,790000,1349155841.6,0.0017,-16.36334532350302,0.0049037775,885204544.0,0.2,0.022216796875,1586
80.81,0.0,-231830.3648445,970,498,-0.0014941724280106428,3.8425817489624023,800000,1420459561.65,0.0017,-16.461041536927222,0.0039768126,944595264.0,0.2,0.02750244140625,1605
70.64,-1.1920928955078125e-07,-212107.44529950005,980,499,-0.0007842023473131121,3.909791946411133,810000,1305247980.95,0.0017,-16.550379620492457,0.0034764225,644375872.0,0.2,0.01524658203125,1622
87.13,0.0,-244765.71230261002,1000,497,-0.0010540319828578504,4.049602031707764,820000,1437788163.8,0.0017,-16.749559788405897,0.003151758,605068288.0,0.2,0.01650390625,1647
66.95,0.0,-191099.10843201997,1010,498,-0.0010902148833338288,4.110446453094482,830000,1364204248.8,0.0017,-16.843630316853524,0.0030673794,610364416.0,0.2,0.0142333984375,1666
64.33,-1.1920928955078125e-07,-167140.68661606003,1020,498,-0.0019432324954323122,4.186188220977783,840000,1371515988.35,0.0017,-16.94090702235699,0.0039225924,638559808.0,0.2,0.0204833984375,1685
68.47,0.0,-190350.02757025,1030,498,-0.0009575751573720481,4.281748294830322,850000,1472226504.5,0.0017,-17.061007273197173,0.0041920226,928420608.0,0.2,0.02105712890625,1704
63.85,-1.1920928955078125e-07,-189127.74640976,1040,498,-0.0012170573927505757,4.353760719299316,860000,1418382784.5,0.0017,-17.172890122234822,0.0040514097,790180608.0,0.2,0.02139892578125,1723
73.84,0.0,-216436.57887576002,1060,496,-0.0014604783189497538,4.537593841552734,870000,1361794746.9,0.0017,-17.400223489105702,0.004215164,603790848.0,0.2,0.01572265625,1752
68.79,5.960464477539063e-08,-207774.25836666996,1070,496,-0.000724243387048773,4.605073928833008,880000,1414135448.65,0.0017,-17.509898939728735,0.003271781,828118592.0,0.2,0.0132568359375,1770
64.56,0.0,-200702.98322726,1080,499,-0.0011189489143362153,4.680053234100342,890000,1514084511.3,0.0017,-17.60165106654167,0.003141932,750450176.0,0.2,0.01314697265625,1783
65.04,5.960464477539063e-08,-212546.56898215003,1090,499,-0.0013131323034031085,4.7792649269104,900000,1412099915.85,0.0017,-17.71662028580904,0.0039713113,769259136.0,0.2,0.02021484375,1802
73.94,0.0,-221539.94862907004,1110,496,-0.0003896049473041785,4.919892311096191,910000,1452428881.8,0.0017,-17.89418937265873,0.00267882,612038208.0,0.2,0.00655517578125,1831
70.61,-1.1920928955078125e-07,-209305.69180127003,1120,496,-0.0017605096672923537,5.013322353363037,920000,1334589806.85,0.0017,-17.99058234244585,0.003988677,670270208.0,0.2,0.0250732421875,1851
69.75,0.0,-205667.94554081,1130,497,-0.001501727942377329,5.103606224060059,930000,1460783760.2,0.0017,-18.097507473826408,0.0035961804,638738432.0,0.2,0.02025146484375,1870
80.97,-1.1920928955078125e-07,-242493.07178796,1140,497,-0.0018020495050222961,5.1810078620910645,940000,1361351692.7,0.0017,-18.189680606126785,0.0045474176,666590784.0,0.2,0.0299560546875,1889
76.58,0.0,-215242.11371792,1150,497,-0.0007284685802915192,5.272557735443115,950000,1419079412.45,0.0017,-18.283990666270256,0.0038478714,591541440.0,0.2,0.018994140625,1908
69.56,5.960464477539063e-08,-215440.72709335,1170,496,-0.0018570798833025038,5.483705520629883,960000,1334709848.1,0.0017,-18.50890578329563,0.0038141618,716424640.0,0.2,0.01746826171875,1932
63.85,0.0,-189544.99537567,1180,497,-0.0017778212193661602,5.588119983673096,970000,1423934427.6,0.0017,-18.624040921032428,0.004014025,457796576.0,0.2,0.0188720703125,1948
75.75,-1.1920928955078125e-07,-218976.17446776,1190,498,-0.001102884012652794,5.662456035614014,980000,1417342425.7,0.0017,-18.718108315765857,0.0028399294,659306432.0,0.2,0.01553955078125,1967
70.8,-1.1920928955078125e-07,-199247.44529708996,1200,498,-0.00013706577274206211,5.765314102172852,990000,1276551942.5,0.0017,-18.813986828923227,0.0025868216,597665216.0,0.2,0.00947265625,1986
89.41,-1.1920928955078125e-07,-274948.53641970997,1220,496,-0.0029954954299682866,5.958181858062744,1000000,1344454366.95,0.0017,-19.013229590654372,0.0043351185,699547520.0,0.2,0.03441162109375,2015
