rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/return_std,train/delta_std,train/iterations,train/step_size,train/learning_rate
1000.0,53,-29842464.0116525,310000,5793,10145362.0,0.05,5,2.4641799711844214e-10,0.02
669.0,55,-19876513.740967166,320000,5793,,,,,
779.3333333333334,56,-23208654.292297557,330000,5792,,,,,
752.6666666666666,58,-22403726.50710675,340000,5793,,,,,
1000.0,60,-29938182.758718,350000,5793,14236180.0,0.05,6,1.756089162974206e-10,0.02
753.0,62,-22548350.44884175,360000,5793,,,,,
752.625,63,-22554643.78590025,370000,5793,,,,,
802.1,65,-24016961.7937817,380000,5794,,,,,
847.7692307692307,67,-25394142.07182069,390000,5794,,,,,
868.0666666666667,69,-25961474.940634467,400000,5794,,,,,
674.0,70,-20059863.008464668,410000,5795,10146689.0,0.05,7,2.463857728951524e-10,0.02
804.4,72,-24023239.7542178,420000,5792,,,,,
780.6666666666666,74,-23381088.27763289,430000,5793,,,,,
697.3076923076923,75,-20852928.358201616,440000,5793,,,,,
19.0,77,-269181.491759,450000,5793,13286124.0,0.05,8,1.881662464731093e-10,0.02
673.0,79,-20103450.562451,460000,5793,,,,,
836.5,81,-24940472.741492167,470000,5793,,,,,
781.6666666666666,82,-23324640.752637222,480000,5793,,,,,
836.25,84,-25008171.96046492,490000,5792,,,,,
,86,,500000,5794,13306017.0,0.05,9,1.878849159586693e-10,0.02
1000.0,88,-29865975.126311664,510000,5795,,,,,
1000.0,89,-29887143.808980595,520000,5795,,,,,
802.1,91,-23949523.596981898,530000,5794,,,,,
835.0833333333334,93,-24934239.33535342,540000,5793,,,,,
,94,,550000,5793,11981397.0,0.05,10,2.0865680017134736e-10,0.02
668.6666666666666,96,-20067830.981991667,560000,5793,,,,,
834.3333333333334,98,-25022244.72983533,570000,5793,,,,,
779.8888888888889,100,-23368180.12211089,580000,5793,,,,,
819.9090909090909,101,-24527965.673339546,590000,5793,,,,,
858.5,103,-25652096.635813,600000,5793,,,,,
502.0,105,-15089985.107615499,610000,5793,12003295.0,0.05,11,2.0827614632956681e-10,0.02
669.1666666666666,107,-20020568.35909317,620000,5793,,,,,
751.875,108,-22533797.927602626,630000,5794,,,,,
819.5454545454545,110,-24556882.18854791,640000,5794,,,,,
5.5,112,-115055.87072199999,650000,5794,14277065.0,0.05,12,1.751059991450532e-10,0.02
602.2,113,-18075024.8104782,660000,5795,,,,,
627.0,115,-18736475.886003,670000,5795,,,,,
668.8333333333334,117,-19991219.546941835,680000,5796,,,,,
,119,,690000,5796,14895119.0,0.05,13,1.678402139493329e-10,0.02
1000.0,120,-29936229.670834333,700000,5796,,,,,
836.0,122,-25028559.205403835,710000,5797,,,,,
890.6666666666666,124,-26699861.98797156,720000,5797,,,,,
910.5454545454545,125,-27311080.06276082,730000,5797,,,,,
,127,,740000,5798,12028908.0,0.05,14,2.078326677423803e-10,0.02
405.4,129,-12049762.7227536,750000,5798,,,,,
628.375,131,-18756970.259819124,760000,5798,,,,,
505.5,132,-15036171.538314568,770000,5798,,,,,
1000.0,134,-29922709.665627,780000,5798,15257259.0,0.05,15,1.6385642842564607e-10,0.02
751.25,136,-22528822.822109997,790000,5799,,,,,
669.1111111111111,137,-20036856.355314445,800000,5799,,,,,
541.4,139,-16136360.125954531,810000,5799,,,,,
1000.0,141,-30033938.356332,820000,5799,15184014.0,0.05,16,1.6464683783024014e-10,0.02
1000.0,143,-29946332.09728275,830000,5799,,,,,
702.7,144,-21005055.696373302,840000,5799,,,,,
695.9230769230769,146,-20767563.683797076,850000,5799,,,,,
,148,,860000,5799,13305464.0,0.05,17,1.878927430309929e-10,0.02
414.2,149,-12248239.117504602,870000,5800,,,,,
633.875,151,-18838971.976888627,880000,5800,,,,,
707.1,153,-21090558.177546702,890000,5800,,,,,
774.6923076923077,155,-23169186.20206531,900000,5801,,,,,
,156,,910000,5801,13270604.0,0.05,18,1.8838629267659002e-10,0.02
432.14285714285717,158,-12895083.942159569,920000,5801,,,,,
558.3333333333334,160,-16701590.97097989,930000,5802,,,,,
617.6153846153846,161,-18490601.435659382,940000,5802,,,,,
,163,,950000,5802,14929219.0,0.05,19,1.6745685393892984e-10,0.02
670.6666666666666,165,-20003080.063662667,960000,5803,,,,,
628.75,167,-18764375.4727265,970000,5803,,,,,
703.0,168,-21000025.7125501,980000,5803,,,,,
716.8571428571429,170,-21438928.045198143,990000,5803,,,,,
503.5,172,-15084544.944284499,1000000,5803,14269701.0,0.05,20,1.751963851770455e-10,0.02
801.4,174,-24044519.5307358,1010000,5803,,,,,
669.5555555555555,175,-20035571.45189922,1020000,5804,,,,,
752.1666666666666,177,-22537417.42441325,1030000,5804,,,,,
735.3333333333334,179,-22023921.01855107,1040000,5804,,,,,
