time/time_elapsed,train/learning_rate,train/std,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_range,time/total_timesteps,train/policy_gradient_loss,rollout/ep_rew_mean,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,time/fps,rollout/ep_len_mean
73,0.0003,0.9956648349761963,-8.488464047014713,1.1920928955078125e-07,1955792300.3,0.2,110000,-0.0013030301806793432,-333589.23737037,0.0010691631,987950272.0,130,1.220703125e-05,1499,136.76
79,0.0003,0.9946584701538086,-8.484384799003601,0.0,2019355074.9,0.2,120000,-0.002225060791533906,-342778.06497810007,0.002339257,1023950976.0,140,0.00072021484375,1510,138.51
85,0.0003,0.9950203895568848,-8.48253666833043,0.0,2127358396.3,0.2,130000,-0.0015524221438681708,-318510.02421913,0.0016171245,1052933632.0,150,0.000146484375,1518,117.94
95,0.0003,0.9941924214363098,-8.480115626752376,0.0,2172639275.5,0.2,140000,-0.001737060867526452,-325009.55378973996,0.0018269783,1104817408.0,170,0.00013427734375,1471,122.28
101,0.0003,0.994175136089325,-8.478571041673423,-1.1920928955078125e-07,2002136664.2,0.2,150000,-0.001232904666358081,-316375.83772846,0.0014066184,1003572736.0,180,6.103515625e-05,1481,123.58
107,0.0003,0.9939051270484924,-8.47771937996149,-1.1920928955078125e-07,2184459190.0,0.2,160000,-0.00136494121816213,-309567.12232438003,0.0011936906,1207797376.0,190,1.220703125e-05,1489,120.54
113,0.0003,0.9941266179084778,-8.477553950995206,-1.1920928955078125e-07,1854281044.1,0.2,170000,-0.0012302384234317287,-294307.56851381,0.0012734281,978120832.0,200,4.8828125e-05,1496,115.6
119,0.0003,0.9934739470481873,-8.476259952038527,5.960464477539063e-08,2189640800.4,0.2,180000,-0.0010493549820239424,-269290.67443586,0.00081641506,1211528064.0,210,0.0,1503,104.65
129,0.0003,0.992231547832489,-8.467232930660249,0.0,1781432174.25,0.2,190000,-0.00046014212857699023,-268920.74871963,0.00023917331,1003598080.0,230,0.0,1469,115.42
135,0.0003,0.9914649128913879,-8.464424464851618,1.1920928955078125e-07,1916722354.9,0.2,200000,-0.0006631793181441026,-309883.99564528,0.0004503446,838379392.0,240,0.0,1476,135.86
141,0.0003,0.991304337978363,-8.461458755284548,0.0,1859305092.3,0.2,210000,-0.0007405773671052884,-278496.99028866,0.00042031828,857481984.0,250,0.0,1483,116.96
147,0.0003,0.9903562664985657,-8.458104123920203,0.0,1956031022.1,0.2,220000,-0.0007705200709096971,-283192.35936626,0.00036338335,984007488.0,260,0.0,1489,117.91
157,0.0003,0.9903847575187683,-8.455343278497457,0.0,1651867574.65,0.2,230000,-0.0007598316085022816,-249069.07161425002,0.0009390166,1035617792.0,280,1.220703125e-05,1462,113.81
163,0.0003,0.9897074699401855,-8.453435266762972,1.1920928955078125e-07,1913778206.4,0.2,240000,-0.0008005349923223548,-259276.95937275,0.0006975628,866283776.0,290,0.0,1468,111.13
169,0.0003,0.9892210960388184,-8.449778657406569,5.960464477539063e-08,1848685825.1,0.2,250000,-0.0013098196668579476,-290621.63129109994,0.0012266333,1113287040.0,300,0.0,1474,122.6
175,0.0003,0.9894862771034241,-8.449089922755956,0.0,1817097120.4,0.2,260000,-0.0020208143654599554,-266753.81456321,0.0025543761,716435328.0,310,0.001171875,1480,109.5
181,0.0003,0.9896396994590759,-8.450353893637658,1.1920928955078125e-07,1952666784.6,0.2,270000,-0.0007332524899538839,-265255.8302538,0.00060476444,977028288.0,320,0.0,1485,105.79
191,0.0003,0.9884975552558899,-8.445837046205998,0.0,1893600933.9,0.2,280000,-0.0013536906442823237,-252266.39187976997,0.0016495308,1046922368.0,340,0.00010986328125,1464,108.6
197,0.0003,0.9881811141967773,-8.442913687974215,0.0,1747104527.25,0.2,290000,-0.0006483999337433488,-235110.64000448,0.00062328053,887061376.0,350,0.0,1470,98.96
203,0.0003,0.9882693290710449,-8.442222984135151,0.0,1788015386.85,0.2,300000,-0.0007748012490992551,-284330.7291307,0.00068987487,843605376.0,360,0.0,1477,123.01
208,0.0003,0.9879993796348572,-8.441711044311523,-1.1920928955078125e-07,1825814179.85,0.2,310000,-0.0008492572565955925,-230970.57816197,0.00083753804,904413312.0,370,0.0,1483,97.85
218,0.0003,0.9874916076660156,-8.438745021075011,0.0,1549217581.75,0.2,320000,-0.0009042466143910133,-265979.70322847,0.00094162807,925178752.0,390,3.662109375e-05,1466,120.7
224,0.0003,0.9871962070465088,-8.436643008887767,0.0,1888283535.5,0.2,330000,-0.0014673704266897404,-267900.76555300003,0.0015997366,1089929472.0,400,0.000146484375,1470,112.18
230,0.0003,0.98731929063797,-8.436034589260817,-1.1920928955078125e-07,1799936298.6,0.2,340000,-0.001895743648037751,-238284.87385654997,0.0023400066,1126331904.0,410,0.0010498046875,1475,101.32
236,0.0003,0.9872956275939941,-8.436492668837309,0.0,1791381055.1,0.2,350000,-0.0019004612538083166,-224108.52902850002,0.0025053057,1022047232.0,420,0.0012451171875,1479,99.72
242,0.0003,0.9866456985473633,-8.43423659875989,0.0,1711826828.75,0.2,360000,-0.0021193690299696755,-226771.27416390003,0.0028196923,856562624.0,430,0.00123291015625,1484,96.59
251,0.0003,0.9859776496887207,-8.428058043867349,0.0,1815617526.2,0.2,370000,-0.00100314936344148,-246329.45128669997,0.0009259256,906627648.0,450,1.220703125e-05,1468,106.12
257,0.0003,0.985746443271637,-8.42720747590065,0.0,1656397968.35,0.2,380000,-0.0008396372936658736,-228272.85887062998,0.00089762284,709995136.0,460,1.220703125e-05,1473,102.07
263,0.0003,0.9856262803077698,-8.426231405138969,0.0,1528088463.9,0.2,390000,-0.0011580890264667686,-225004.84561666995,0.0016624207,660784128.0,470,0.0001220703125,1478,100.52
269,0.0003,0.9855756759643555,-8.425811330974103,-1.1920928955078125e-07,1881864552.1,0.2,400000,-0.002350781911991362,-240262.66240047998,0.0027437136,992054784.0,480,0.00140380859375,1482,100.44
278,0.0003,0.9850764274597168,-8.424155010282993,0.0,1617846363.05,0.2,410000,-0.00227676872509619,-253933.31713956996,0.0030519655,676717504.0,500,0.00189208984375,1469,115.16
284,0.0003,0.9845780730247498,-8.420762441307307,5.960464477539063e-08,1564209113.25,0.2,420000,-0.0013319252651854186,-264699.02989878994,0.0015744241,683946752.0,510,8.544921875e-05,1473,124.07
290,0.0003,0.9843268990516663,-8.418593760579824,1.1920928955078125e-07,1729807981.55,0.2,430000,-0.0015690739903220674,-226632.54572176,0.0021871892,882056576.0,520,0.00064697265625,1478,95.62
296,0.0003,0.9837573170661926,-8.415984599292278,0.0,1832481320.5,0.2,440000,-0.0024300667850184255,-239075.88625096995,0.0031043598,1014710272.0,530,0.00263671875,1482,109.29
302,0.0003,0.9840132594108582,-8.415011280030011,0.0,1612853656.45,0.2,450000,-0.00111750703308644,-238306.74469858996,0.0013353883,821910400.0,540,6.103515625e-05,1485,111.95
312,0.0003,0.9842157959938049,-8.41575383245945,1.1920928955078125e-07,1626605610.35,0.2,460000,-0.001092474881261296,-217713.40433381003,0.0015662804,519406144.0,560,0.00020751953125,1474,97.11
318,0.0003,0.984081506729126,-8.416524298489094,0.0,1726893683.4,0.2,470000,-0.0010157164721022126,-239422.86497901005,0.0012020493,1164819840.0,570,1.220703125e-05,1477,109.82
323,0.0003,0.9838337302207947,-8.415076245367526,1.1920928955078125e-07,1696881549.05,0.2,480000,-0.0012341615591139998,-205119.7656716,0.0012803045,624302016.0,580,0.00010986328125,1482,92.42
329,0.0003,0.9833175539970398,-8.412847005575895,0.0,1663776068.4,0.2,490000,-0.001091129875749175,-212499.30892999002,0.0015271341,787081088.0,590,0.00010986328125,1486,104.06
338,0.0003,0.9826650619506836,-8.407430750876665,-1.1920928955078125e-07,1595079869.0,0.2,500000,-0.0010574341138635645,-202600.14074076002,0.0013311179,838336832.0,610,9.765625e-05,1477,97.98
344,0.0003,0.9817948341369629,-8.40443372875452,0.0,1665133301.05,0.2,510000,-0.000706801551496028,-231048.39083285,0.00039422853,629715712.0,620,0.0,1482,104.67
349,0.0003,0.9809256196022034,-8.399005595594645,0.0,1607038570.35,0.2,520000,-0.000645284217534936,-206362.15000445006,0.0006825965,580207040.0,630,0.0,1486,96.55
355,0.0003,0.9805030226707458,-8.394982849061488,-1.1920928955078125e-07,1636212250.5,0.2,530000,-0.0009253729054762516,-243630.43928351995,0.0012551703,1003484288.0,640,0.00013427734375,1490,112.38
361,0.0003,0.9793286323547363,-8.390014973282813,-1.1920928955078125e-07,1556067309.0,0.2,540000,-0.001328289783668879,-220221.03155243,0.0018220267,1031396800.0,650,0.00020751953125,1495,101.3
369,0.0003,0.978363573551178,-8.383269350975752,0.0,1746185254.75,0.2,550000,-0.0028429694438273146,-189297.2675287,0.003890826,975653120.0,670,0.00675048828125,1486,79.29
