rollout/ep_len_mean,train/n_updates,time/episodes,time/fps,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,train/actor_loss,time/time_elapsed,train/critic_loss
3.03,37474,47397,132,0.0064,150000,-125038.13195189998,25.377582550048828,-0.9926173686981201,106899.4921875,1134,145.0558624267578
3.02,39974,50685,132,0.0064,160000,-124768.29633772999,26.26779556274414,2.5632131099700928,107273.6484375,1211,124.46605682373047
3.0,42474,54001,131,0.0064,170000,-124486.42401419999,22.20462417602539,-0.04421921819448471,106969.1328125,1289,157.64813232421875
3.0,44974,57319,131,0.0064,180000,-124437.17507878001,21.366214752197266,0.7366549968719482,107439.875,1367,125.29521942138672
3.05,47474,60577,131,0.0064,190000,-122034.50525153999,18.415864944458008,-2.60355281829834,106802.5078125,1444,136.49188232421875
3.0,49974,63907,131,0.0064,200000,-124328.77896401999,22.180158615112305,2.1459479331970215,106726.125,1522,194.03089904785156
3.0,52474,67238,131,0.0064,210000,-124373.35402963997,20.640493392944336,0.7034834623336792,106685.25,1600,518.196533203125
3.0,54974,70570,130,0.0064,220000,-124330.26206431,19.997859954833984,-1.4940153360366821,106978.484375,1679,158.07583618164062
3.0,57474,73903,130,0.0064,230000,-124308.73298032001,17.754344940185547,1.0975027084350586,106894.640625,1759,240.63026428222656
3.0,59974,77235,130,0.0064,240000,-124196.12074031,17.323450088500977,-2.037137985229492,106455.6484375,1838,94.22657012939453
3.0,62474,80564,130,0.0064,250000,-124034.65905689,16.405258178710938,0.4480254650115967,106407.328125,1918,127.26966094970703
5.19,64974,83605,130,0.0064,260000,-50156.0333724,21.2784366607666,1.320892095565796,104799.25,1999,525.012939453125
15.72,67474,85089,129,0.0064,270000,-499888.62719285005,64.2156982421875,-4.916128635406494,95849.3984375,2079,4747.0791015625
3.37,69974,86765,129,0.0064,280000,-109875.46322073998,140.36361694335938,3.979109287261963,90332.53125,2161,8944.0244140625
5.55,72474,88826,129,0.0064,290000,-22810.778148309997,189.4630584716797,-4.9406418800354,75893.015625,2243,7412.3232421875
5.36,74974,90661,128,0.0064,300000,-3211.1,162.60948181152344,-7.762862205505371,46346.18359375,2326,7108.40869140625
6.09,77474,92398,128,0.0064,310000,-34123.64101323,124.3952407836914,-2.2266972064971924,33331.4296875,2410,8077.6328125
5.21,79974,94237,128,0.0064,320000,3859.2361353700003,103.60310363769531,-5.854471206665039,34951.0390625,2494,8052.935546875
5.51,82474,96120,127,0.0064,330000,-47643.066215740015,84.55657196044922,2.745962142944336,12632.0927734375,2578,8942.04296875
5.26,84974,97977,127,0.0064,340000,-1894.4,96.17493438720703,5.062281608581543,-8695.8125,2662,10116.4853515625
5.02,87474,99921,127,0.0064,350000,7703.1,95.32844543457031,4.14829158782959,-10950.9580078125,2747,8147.87109375
4.98,89974,101804,127,0.0064,360000,20258.31010105,81.97669982910156,-1.1654208898544312,-21772.109375,2833,5579.5927734375
24.9,92474,102729,126,0.0064,370000,-987043.41869879,125.31087493896484,1.7793900966644287,-7719.0244140625,2918,7825.33203125
5.0,94974,103299,126,0.0064,380000,15675.09607382,132.48126220703125,0.7246659994125366,77609.734375,3004,7043.36669921875
5.0,97474,105189,126,0.0064,390000,19509.3284522,71.45952606201172,2.183293104171753,98470.4609375,3090,4201.9609375
15.39,99974,106721,125,0.0064,400000,-493877.43861056,43.48473358154297,-1.460553526878357,102671.890625,3175,2815.7001953125
5.29,102474,107977,125,0.0064,410000,5166.3752798900005,35.78924560546875,-0.08882498741149902,153968.296875,3262,1875.8193359375
5.12,104974,109396,125,0.0064,420000,15141.10846103,44.22223663330078,1.3193295001983643,228697.0,3348,2465.1181640625
5.0,107474,111386,125,0.0064,430000,22940.0,39.56954574584961,-1.3942819833755493,177067.96875,3435,2282.23388671875
5.03,109974,113220,124,0.0064,440000,21727.7,46.04560470581055,-1.568007469177246,156421.546875,3522,1742.1148681640625
5.01,112474,114497,124,0.0064,450000,22535.9,39.6480712890625,0.6821643114089966,86680.125,3608,1162.6353759765625
14.97,114974,115893,124,0.0064,460000,-479630.95105253,35.62466049194336,-0.9747515916824341,179369.578125,3695,1296.0948486328125
5.0,117474,117041,124,0.0064,470000,22132.8,28.72332191467285,3.16534423828125,226694.140625,3782,1445.4114990234375
5.03,119974,118778,124,0.0064,480000,20617.8,30.70408058166504,-0.4000437259674072,150003.75,3870,871.2236328125
4.94,122474,120780,123,0.0064,490000,17322.52388352,26.859968185424805,-1.7710572481155396,167207.15625,3956,587.5699462890625
5.01,124974,122779,123,0.0064,500000,22031.4,25.814504623413086,-2.4987199306488037,106266.703125,4042,749.7066040039062
5.01,127474,124515,123,0.0064,510000,22031.4,22.787641525268555,-2.7336087226867676,86754.8515625,4130,431.195556640625
5.0,129974,126170,123,0.0064,520000,22839.1,21.7186279296875,-1.7528643608093262,86749.078125,4219,497.6425476074219
5.0,132474,127578,123,0.0064,530000,22536.4,24.440763473510742,-1.6067020893096924,72344.6953125,4306,484.9146728515625
5.0,134974,129578,122,0.0064,540000,22536.4,25.084848403930664,0.280281126499176,63732.40234375,4395,457.02813720703125
5.0,137474,131484,122,0.0064,550000,22536.4,26.701519012451172,1.9028222560882568,47016.2578125,4484,409.0407409667969
5.0,139974,133381,122,0.0064,560000,20762.58752676,26.21633529663086,-0.3466711640357971,51580.66015625,4572,799.45361328125
5.01,142474,135374,122,0.0064,570000,21930.5,19.93606948852539,0.058289170265197754,81889.703125,4661,345.3733215332031
5.01,144974,137376,122,0.0064,580000,21829.6,24.872867584228516,-2.060397148132324,5041.25439453125,4750,353.50384521484375
5.03,147474,139376,121,0.0064,590000,21324.1,27.88639259338379,1.197279453277588,-49.87890625,4841,351.5267333984375
5.0,149974,141373,121,0.0064,600000,22637.3,22.832279205322266,2.826870918273926,-31688.9921875,4931,327.03076171875
5.01,152474,143369,121,0.0064,610000,21930.5,22.53109359741211,1.7560651302337646,-24291.8203125,5020,348.50909423828125
5.0,154974,145363,121,0.0064,620000,22435.5,16.938810348510742,-2.393193006515503,-35149.44921875,5108,312.545654296875
5.0,157474,147359,121,0.0064,630000,21931.0,20.1656494140625,1.7150038480758667,-38749.94140625,5197,292.0742492675781
5.02,159974,149027,121,0.0064,640000,22232.7,13.037972450256348,1.1764917373657227,-17984.1796875,5285,399.700927734375
5.04,162474,150953,120,0.0064,650000,21424.5,15.37052059173584,-0.7718644142150879,12710.140625,5374,1833.0828857421875
5.04,164974,152747,120,0.0064,660000,21323.6,14.721403121948242,-1.2204169034957886,-21244.111328125,5462,425.7167663574219
5.05,167474,154742,120,0.0064,670000,20717.7,18.549264907836914,0.9370671510696411,-19666.78125,5551,276.65814208984375
5.02,169974,156339,120,0.0064,680000,21425.5,12.918840408325195,3.9351694583892822,13625.400390625,5641,484.75799560546875
5.02,172474,157875,120,0.0064,690000,21829.1,12.26490592956543,0.8925614356994629,41089.66015625,5730,518.970703125
5.0,174974,159403,120,0.0064,700000,22940.0,14.509381294250488,-2.582897663116455,89774.703125,5820,731.3523559570312
5.01,177474,161398,120,0.0064,710000,22132.292899019998,16.243053436279297,-1.1247577667236328,72576.9140625,5909,878.5298461914062
5.0,179974,163396,120,0.0064,720000,22940.0,15.236855506896973,3.272103786468506,52952.296875,5999,273.3269958496094
5.0,182474,165392,119,0.0064,730000,22637.3,14.205860137939453,0.8944792747497559,42261.53125,6087,1423.545166015625
4.98,184974,167245,119,0.0064,740000,21367.11866054,16.167400360107422,2.3572397232055664,38566.52734375,6177,412.8681640625
4.99,187474,169190,119,0.0064,750000,20964.4155778,17.56361961364746,0.7052288055419922,33410.328125,6267,1143.3436279296875
5.02,189974,171187,119,0.0064,760000,22030.9,16.828227996826172,1.1431849002838135,-9864.7802734375,6357,268.537841796875
4.98,192474,172987,119,0.0064,770000,21270.03949405,15.468984603881836,2.0879716873168945,-6506.28857421875,6447,313.34417724609375
4.98,194974,174985,119,0.0064,780000,21471.15325385,14.037659645080566,-1.3342351913452148,-5498.4716796875,6534,481.4202575683594
14.96,197474,176586,119,0.0064,790000,-478925.98389793,13.72862434387207,-0.7928148508071899,9987.482421875,6615,656.6691284179688
4.98,199974,178586,119,0.0064,800000,21066.91322559,14.773212432861328,0.8154993057250977,26284.9140625,6696,408.62890625
5.0,202474,180529,119,0.0064,810000,21527.4,14.095870971679688,-0.20975637435913086,-1167.2392578125,6776,645.3311157226562
5.02,204974,182332,119,0.0064,820000,22333.6,12.837970733642578,-0.6349161863327026,26216.69140625,6857,261.0367736816406
5.03,207474,184183,119,0.0064,830000,21625.9,11.301495552062988,-1.2743744850158691,5750.81884765625,6938,192.90049743652344
5.02,209974,186016,119,0.0064,840000,22232.7,15.693229675292969,-1.3289247751235962,30201.966796875,7019,332.53497314453125
5.03,212474,187779,119,0.0064,850000,21727.7,11.247303009033203,-0.21250569820404053,45249.25,7099,234.01358032226562
5.0,214974,189578,119,0.0064,860000,22738.2,11.916618347167969,-0.8140491843223572,15691.287109375,7179,289.0826721191406
5.03,217474,191402,119,0.0064,870000,21626.796368859996,12.053431510925293,-1.8042322397232056,46839.71875,7260,213.97911071777344
5.0,219974,193175,119,0.0064,880000,22940.0,12.94328498840332,2.8652844429016113,43697.3671875,7340,250.16213989257812
5.0,222474,195175,119,0.0064,890000,22839.1,13.076004981994629,-1.3911608457565308,21078.03515625,7421,484.61865234375
5.0,224974,197176,120,0.0064,900000,22940.0,11.894137382507324,-2.2223076820373535,33663.62890625,7499,216.49801635742188
5.0,227474,199178,120,0.0064,910000,22738.2,14.053696632385254,0.49924296140670776,-654.16845703125,7579,193.7190704345703
5.01,229974,201145,120,0.0064,920000,22334.1,16.192440032958984,1.8072835206985474,-4779.068359375,7659,224.02821350097656
5.02,232474,202775,120,0.0064,930000,22232.7,13.990174293518066,3.851746082305908,10825.7255859375,7739,332.6806945800781
5.0,234974,204771,120,0.0064,940000,22435.5,13.997797966003418,-0.08035962283611298,-15979.5107421875,7820,194.71266174316406
5.03,237474,206747,120,0.0064,950000,21727.7,14.918025016784668,0.3440207540988922,-10967.134765625,7900,198.28695678710938
5.0,239974,208568,120,0.0064,960000,22738.2,15.96147632598877,1.7307469844818115,9625.5498046875,7981,1390.840087890625
5.0,242474,210570,120,0.0064,970000,22940.0,14.620240211486816,-0.27701982855796814,-10035.2490234375,8061,425.2261962890625
5.0,244974,212568,120,0.0064,980000,22637.3,15.382593154907227,2.700523853302002,-14575.2041015625,8141,220.44602966308594
5.01,247474,214369,120,0.0064,990000,22334.1,17.333938598632812,0.19044947624206543,4878.5146484375,8222,330.77081298828125
5.08,249974,216364,120,0.0064,1000000,20210.8,14.295673370361328,0.46004897356033325,-16914.8828125,8302,178.5581817626953
