train/value_loss,rollout/ep_len_mean,train/std,train/approx_kl,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_range,time/fps,time/total_timesteps
2081492627.9,55.73,1.165886640548706,0.0050320923,-191987.22860863002,131,0.0017,0.02200927734375,0.0,-14.096431995928288,-0.004566222126595676,140,957830080.0,0.2,912,120000
2209618251.3,60.15,1.1773265600204468,0.0047652684,-209923.50753769,141,0.0017,0.01907958984375,0.0,-14.197215092182159,-0.003881037421524525,150,1192576640.0,0.2,917,130000
2181577493.8,59.9,1.2065424919128418,0.0043889456,-199036.01301427,156,0.0017,0.0145751953125,0.0,-14.401282234489917,-0.0032350882582250053,170,1052205632.0,0.2,892,140000
1954741842.5,55.27,1.2173542976379395,0.00426905,-186507.61896539998,167,0.0017,0.0157470703125,0.0,-14.501401174813509,-0.0031047514186866463,180,1240652288.0,0.2,897,150000
2036821289.5,63.05,1.2318440675735474,0.0041271457,-206947.94492992997,177,0.0017,0.01904296875,-1.1920928955078125e-07,-14.595409274846315,-0.0036183865628117927,190,1138789760.0,0.2,902,160000
2083736859.0,68.57,1.2439886331558228,0.0046078837,-222833.66366133996,187,0.0017,0.0187744140625,0.0,-14.692293179035186,-0.0036704085548990408,200,884264448.0,0.2,906,170000
1941087573.4,61.08,1.2567248344421387,0.0047939722,-196372.619044,197,0.0017,0.02227783203125,-1.1920928955078125e-07,-14.782900187373162,-0.0038195561473912676,210,912436800.0,0.2,909,180000
1979888505.05,60.46,1.2836570739746094,0.0043925946,-194163.53853859,213,0.0017,0.01455078125,0.0,-14.973365237563849,-0.003538680737801769,230,1027156800.0,0.2,891,190000
1863079481.9,58.06,1.298909306526184,0.004345013,-182550.68931409993,223,0.0017,0.01724853515625,-1.1920928955078125e-07,-15.073043506592512,-0.0033383617377694464,240,1189455232.0,0.2,894,200000
2019773963.8,61.79,1.3134934902191162,0.003379655,-198303.41638558998,234,0.0017,0.00887451171875,0.0,-15.175374496728182,-0.0025728416080710304,250,1292512256.0,0.2,897,210000
1896853560.4,58.66,1.3308682441711426,0.0050533554,-197528.76391756997,244,0.0017,0.019873046875,0.0,-15.285807806253434,-0.004201400032070523,260,917456832.0,0.2,899,220000
1754484874.25,66.56,1.3652702569961548,0.0039153816,-197428.35857188998,259,0.0017,0.01458740234375,-1.1920928955078125e-07,-15.516698344796897,-0.0028901785810376166,280,952049408.0,0.2,885,230000
1696668142.5,65.12,1.384601354598999,0.005301251,-195386.30536061001,269,0.0017,0.023876953125,0.0,-15.638783761113881,-0.004298273279619025,290,1015567936.0,0.2,889,240000
1849281068.0,57.87,1.401271939277649,0.0041835825,-188838.66060157,280,0.0017,0.01597900390625,0.0,-15.754441463947296,-0.002952329669278697,300,1088348672.0,0.2,892,250000
1742170838.3,65.33,1.4190136194229126,0.004589894,-187443.29839329998,290,0.0017,0.01895751953125,1.1920928955078125e-07,-15.863731527328492,-0.004071752381423721,310,859360640.0,0.2,895,260000
1750586455.65,55.77,1.4381119012832642,0.0045886654,-180400.29171638004,300,0.0017,0.021240234375,0.0,-15.979311461746693,-0.0037653027190572173,320,1056075200.0,0.2,897,270000
1859823465.0,66.35,1.4721227884292603,0.0046223523,-199691.69234428994,316,0.0017,0.01763916015625,0.0,-16.201780173182488,-0.003779773756104987,340,733280576.0,0.2,885,280000
1740788595.3,64.01,1.4866582155227661,0.0042534624,-195678.1361165,327,0.0017,0.016796875,1.1920928955078125e-07,-16.293748301267623,-0.0028901786665301186,350,907304000.0,0.2,886,290000
1671979090.6,54.67,1.5063248872756958,0.0049077403,-174792.86613085002,337,0.0017,0.02431640625,-1.1920928955078125e-07,-16.397959099709986,-0.003915273786333273,360,796817472.0,0.2,888,300000
1727427657.15,53.94,1.5272691249847412,0.005092264,-178403.85391628998,347,0.0017,0.0212890625,0.0,-16.51877431422472,-0.0036331533314296395,370,507576992.0,0.2,891,310000
