time/fps,time/total_timesteps,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,rollout/ep_rew_mean,train/std,train/loss,train/learning_rate,time/time_elapsed,train/clip_range,rollout/ep_len_mean,train/n_updates,train/clip_fraction
836,180000,5.960464477539063e-08,-0.00043943148630205543,-21.2841618925333,8.081313e-05,45513333264.0,-1254351.2580165302,0.9999911785125732,22301763584.0,0.0003,215,0.2,87.27,210,0.0
822,190000,-1.1920928955078125e-07,-0.00032632975453452675,-21.28476774394512,4.5815425e-05,44647726732.8,-1433176.8163687,1.000064730644226,23673802752.0,0.0003,230,0.2,100.87,230,0.0
826,200000,-1.1920928955078125e-07,-0.000506497552851215,-21.28505608290434,9.752314e-05,44912271596.8,-1296697.05902597,1.0000653266906738,21579905024.0,0.0003,242,0.2,89.88,240,0.0
829,210000,0.0,-0.00047392689593834804,-21.285129636526108,8.167922e-05,46498455283.2,-1585934.5098820596,1.0000733137130737,23335239680.0,0.0003,253,0.2,109.15,250,0.0
831,220000,0.0,-0.0003487944208245608,-21.284379422664642,5.3359952e-05,45039422828.8,-1287657.16489334,0.9999678730964661,21298241536.0,0.0003,264,0.2,90.1,260,0.0
820,230000,0.0,-0.0005791004448838066,-21.283636143803598,0.00011861653,43068938742.4,-1291194.62015927,0.9999515414237976,22761097216.0,0.0003,280,0.2,90.52,280,0.0
822,240000,0.0,-0.0002604866440378828,-21.2830691576004,3.8695573e-05,44135422944.0,-1473632.25808218,0.9999152421951294,22776782848.0,0.0003,291,0.2,104.23,290,0.0
825,250000,0.0,-0.00028813997942052084,-21.28332126736641,4.7091882e-05,42328933312.0,-1286041.6304865598,0.9999857544898987,21698410496.0,0.0003,302,0.2,90.79,300,0.0
827,260000,0.0,-0.00026919390247712725,-21.28435590416193,3.434113e-05,44032945209.6,-1245935.31252894,1.0000556707382202,21181878272.0,0.0003,314,0.2,86.33,310,0.0
830,270000,0.0,-0.00047748457373018025,-21.284903410077096,8.928948e-05,44859182601.6,-1590373.72067065,1.0000516176223755,24173649920.0,0.0003,325,0.2,111.0,320,0.0
820,280000,-1.1920928955078125e-07,-0.0004117763103749894,-21.2850543782115,7.140386e-05,44006549152.0,-1541842.1438206697,1.000093936920166,21543049216.0,0.0003,341,0.2,108.67,340,0.0
822,290000,0.0,-0.0005048815706686583,-21.28583932816982,0.000105133746,44318552204.8,-1369755.1239601397,1.0001391172409058,20530731008.0,0.0003,352,0.2,95.79,350,0.0
824,300000,0.0,-0.0002980826968268957,-21.286083897948266,4.0227118e-05,44077294441.6,-1381540.2492054496,1.000131607055664,24312377344.0,0.0003,363,0.2,96.41,360,0.0
826,310000,5.960464477539063e-08,-0.000534065915417159,-21.28648960888386,8.793669e-05,45584274348.8,-1586714.8385810598,1.0001909732818604,24618432512.0,0.0003,375,0.2,111.86,370,0.0
817,320000,0.0,-0.0004673304478274076,-21.28727631866932,8.055071e-05,44789742128.0,-1391936.0307499797,1.0002140998840332,23679213568.0,0.0003,391,0.2,97.29,390,0.0
819,330000,-1.1920928955078125e-07,-0.0003934654274416971,-21.28696255683899,6.313222e-05,44916490979.2,-1468971.2925482702,1.0001749992370605,22326702080.0,0.0003,402,0.2,103.45,400,0.0
821,340000,0.0,-0.00034348692606727126,-21.28640579432249,5.5797384e-05,44922801200.0,-1586116.9500189202,1.000141978263855,22303662080.0,0.0003,413,0.2,111.59,410,0.0
823,350000,0.0,-0.0006057631278963526,-21.286048930883407,0.00013126153,43627572771.2,-1292275.45626629,1.0001214742660522,23446583296.0,0.0003,425,0.2,90.95,420,0.0
