time/time_elapsed,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/ent_coef,train/learning_rate
2880,3504582.0,7.1227922439575195,470000,235238.65625,57298,117474,5.66,163,-180061.19136665002,815.352783203125,0.0003
2943,3101126.5,3.923067569732666,480000,212760.515625,58673,119974,6.47,163,-207942.60763040997,842.63720703125,0.0003
3007,2790024.5,-0.08450984954833984,490000,209657.015625,59904,122474,5.82,162,-189286.1092171,823.5470581054688,0.0003
3077,3199136.25,-2.269721508026123,500000,256328.4375,60927,124974,6.5,162,-210311.24690724,813.761474609375,0.0003
3145,2989880.5,2.830840587615967,510000,222692.796875,61958,127474,6.03,162,-192854.04526516,788.6611328125,0.0003
3213,3044318.75,-3.8977408409118652,520000,250137.84375,62775,129974,6.24,161,-200984.76852109,747.7489624023438,0.0003
3284,3565618.5,1.0363438129425049,530000,257763.203125,63208,132474,34.75,161,-1444138.5338716302,715.2412719726562,0.0003
3353,3285615.5,2.909966468811035,540000,255972.78125,64189,134974,7.55,161,-226380.76432745994,699.1809692382812,0.0003
3421,3528903.0,-0.5280596613883972,550000,310168.59375,65027,137474,7.54,160,-237599.53199402004,682.5739135742188,0.0003
3489,3560056.5,-4.525400638580322,560000,305639.03125,65852,139974,16.57,160,-691200.43520363,678.7058715820312,0.0003
3559,3663095.5,2.8683784008026123,570000,264615.0,66689,142474,18.07,160,-746484.2752283901,743.5960083007812,0.0003
3623,3620831.5,1.1899192333221436,580000,295845.0,67046,144974,36.63,160,-1673320.1077044902,763.9418334960938,0.0003
3691,4200206.0,4.820303916931152,590000,290506.6875,67419,147474,15.36,159,-655617.3021966899,759.5667114257812,0.0003
3756,3907573.75,-2.7018415927886963,600000,273840.28125,67681,149974,35.62,159,-1655578.0498891503,713.1509399414062,0.0003
3820,4214202.0,3.635305404663086,610000,278285.65625,67937,152474,27.73,159,-1217737.0990493698,657.6292114257812,0.0003
3885,3849322.75,-7.624829292297363,620000,266470.125,68456,154974,28.23,159,-1236101.83520898,644.903076171875,0.0003
3951,3835010.5,-0.24973320960998535,630000,258253.796875,69144,157474,23.74,159,-1025228.5184529498,607.0966796875,0.0003
4016,3672762.5,-1.9436516761779785,640000,251958.234375,69993,159974,6.48,159,-198235.67810626994,558.9656372070312,0.0003
4082,3786405.5,0.5991631746292114,650000,216055.1875,71107,162474,16.54,159,-698439.7626954301,582.4991455078125,0.0003
4148,3368093.25,-3.7048301696777344,660000,247079.34375,72446,164974,6.4,159,-218932.60724671002,578.030029296875,0.0003
4214,3322292.5,1.4845869541168213,670000,214368.171875,73914,167474,6.52,158,-217338.72542588,564.9693603515625,0.0003
4279,3240182.0,6.994023323059082,680000,217477.71875,75665,169974,5.07,158,-172002.82386030004,546.3466186523438,0.0003
4345,2608944.0,-6.803207874298096,690000,182761.625,77320,172474,5.06,158,-166756.39167678,521.317138671875,0.0003
4410,2799865.0,0.4178978204727173,700000,175042.421875,78710,174974,6.01,158,-202033.40006337,498.1568908691406,0.0003
4475,2535902.5,-9.204805374145508,710000,177512.625,79746,177474,6.83,158,-261076.29348108,477.2266845703125,0.0003
4539,2261214.25,1.565083384513855,720000,173312.140625,80653,179974,4.93,158,-161446.65394954,451.46734619140625,0.0003
4603,2303341.0,0.23682522773742676,730000,182620.796875,81606,182474,4.24,158,-142278.59495056,441.2207336425781,0.0003
4668,2084937.125,-0.11120080947875977,740000,164349.671875,83253,184974,14.08,158,-623947.66703702,412.2318420410156,0.0003
4733,2031520.375,-2.3147048950195312,750000,160053.671875,85111,187474,4.48,158,-149975.95272564,384.8191833496094,0.0003
4799,1830395.5,1.5797730684280396,760000,166122.125,87178,189974,4.72,158,-155347.0039356,397.8004455566406,0.0003
4871,1682416.0,-2.006229877471924,770000,148500.0625,89405,192474,4.49,158,-152845.39792311,391.39471435546875,0.0003
4943,1507083.375,-3.815805673599243,780000,142527.234375,91748,194974,4.43,157,-148758.82927157,385.4320068359375,0.0003
