Logging to training_random_logs/4_robots/logs/PPO_set8
Using cpu device
Training started on Wed Jan 28 10:41:05 2026
Experiment configuration: {'algorithm': 'PPO', 'set': 8, 'verbose': 1, 'steps': 1000000, 'num_robots': 4, 'num_envs': 4, 'seed': 33, 'log_steps': 10000, 'resume': False, 'device': 'cpu'}
-----------------------------------------
| rollout/                |             |
|    policy_gradient_loss | -0.00269     |
|    std                  | 1.03         |
|    value_loss           | 2.64e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 44           |
|    ep_rew_mean          | -6.43e+05    |
| time/                   |              |
|    fps                  | 969          |
|    time_elapsed         | 103          |
|    total_timesteps      | 100000       |
| train/                  |              |
|    approx_kl            | 0.0036701828 |
|    clip_fraction        | 0.00505      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.5        |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.22e+10     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00321     |
|    std                  | 1.04         |
|    value_loss           | 2.54e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 41.9         |
|    ep_rew_mean          | -6.07e+05    |
| time/                   |              |
|    fps                  | 977          |
|    time_elapsed         | 112          |
|    total_timesteps      | 110000       |
| train/                  |              |
|    approx_kl            | 0.0038169085 |
|    clip_fraction        | 0.00549      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.5        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.21e+10     |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00324     |
|    std                  | 1.04         |
|    value_loss           | 2.55e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 48.5         |
|    ep_rew_mean          | -6.99e+05    |
| time/                   |              |
|    fps                  | 984          |
|    time_elapsed         | 121          |
|    total_timesteps      | 120000       |
| train/                  |              |
|    approx_kl            | 0.0037618976 |
|    clip_fraction        | 0.00618      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.6        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.18e+10     |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00306     |
|    std                  | 1.05         |
|    value_loss           | 2.45e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 48.4         |
|    ep_rew_mean          | -6.97e+05    |
| time/                   |              |
|    fps                  | 991          |
|    time_elapsed         | 131          |
|    total_timesteps      | 130000       |
| train/                  |              |
|    approx_kl            | 0.0041950713 |
|    clip_fraction        | 0.00858      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.6        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.2e+10      |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00358     |
|    std                  | 1.05         |
|    value_loss           | 2.53e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50.3         |
|    ep_rew_mean          | -7.19e+05    |
| time/                   |              |
|    fps                  | 966          |
|    time_elapsed         | 144          |
|    total_timesteps      | 140000       |
| train/                  |              |
|    approx_kl            | 0.0043927324 |
|    clip_fraction        | 0.0104       |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.7        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.21e+10     |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.00397     |
|    std                  | 1.06         |
|    value_loss           | 2.47e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 40.3        |
|    ep_rew_mean          | -5.85e+05   |
| time/                   |             |
|    fps                  | 972         |
|    time_elapsed         | 154         |
|    total_timesteps      | 150000      |
| train/                  |             |
|    approx_kl            | 0.002683831 |
|    clip_fraction        | 0.00177     |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.7       |
|    explained_variance   | -2.38e-07   |
|    learning_rate        | 0.0017      |
|    loss                 | 1.27e+10    |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00223    |
|    std                  | 1.06        |
|    value_loss           | 2.41e+10    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 42.6        |
|    ep_rew_mean          | -6.21e+05   |
| time/                   |             |
|    fps                  | 978         |
|    time_elapsed         | 163         |
|    total_timesteps      | 160000      |
| train/                  |             |
|    approx_kl            | 0.003693857 |
|    clip_fraction        | 0.00564     |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.8       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 1.35e+10    |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00303    |
|    std                  | 1.07        |
|    value_loss           | 2.39e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 45.4         |
|    ep_rew_mean          | -6.5e+05     |
| time/                   |              |
|    fps                  | 982          |
|    time_elapsed         | 172          |
|    total_timesteps      | 170000       |
| train/                  |              |
|    approx_kl            | 0.0029301362 |
|    clip_fraction        | 0.00267      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.8        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.19e+10     |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00251     |
|    std                  | 1.07         |
|    value_loss           | 2.39e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 43.7         |
|    ep_rew_mean          | -6.31e+05    |
| time/                   |              |
|    fps                  | 987          |
|    time_elapsed         | 182          |
|    total_timesteps      | 180000       |
| train/                  |              |
|    approx_kl            | 0.0029419665 |
|    clip_fraction        | 0.00247      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.9        |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.15e+10     |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.00235     |
|    std                  | 1.07         |
|    value_loss           | 2.44e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42.8         |
|    ep_rew_mean          | -6.19e+05    |
| time/                   |              |
|    fps                  | 968          |
|    time_elapsed         | 196          |
|    total_timesteps      | 190000       |
| train/                  |              |
|    approx_kl            | 0.0023944909 |
|    clip_fraction        | 0.00135      |
|    clip_range           | 0.2          |
|    entropy_loss         | -18          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.27e+10     |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00197     |
|    std                  | 1.08         |
|    value_loss           | 2.4e+10      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 47.6         |
|    ep_rew_mean          | -6.69e+05    |
| time/                   |              |
|    fps                  | 972          |
|    time_elapsed         | 205          |
|    total_timesteps      | 200000       |
| train/                  |              |
|    approx_kl            | 0.0024825255 |
|    clip_fraction        | 0.00153      |
|    clip_range           | 0.2          |
|    entropy_loss         | -18          |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.26e+10     |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00229     |
|    std                  | 1.09         |
|    value_loss           | 2.32e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 35.9         |
|    ep_rew_mean          | -5.28e+05    |
| time/                   |              |
|    fps                  | 976          |
|    time_elapsed         | 215          |
|    total_timesteps      | 210000       |
| train/                  |              |
|    approx_kl            | 0.0022101032 |
|    clip_fraction        | 0.00131      |
|    clip_range           | 0.2          |
|    entropy_loss         | -18          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.24e+10     |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.00217     |
|    std                  | 1.09         |
|    value_loss           | 2.32e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 40.8        |
|    ep_rew_mean          | -5.91e+05   |
| time/                   |             |
|    fps                  | 979         |
|    time_elapsed         | 224         |
|    total_timesteps      | 220000      |
| train/                  |             |
|    approx_kl            | 0.002557172 |
|    clip_fraction        | 0.00162     |
|    clip_range           | 0.2         |
|    entropy_loss         | -18.1       |
|    explained_variance   | -2.38e-07   |
|    learning_rate        | 0.0017      |
|    loss                 | 1.23e+10    |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0022     |
|    std                  | 1.09        |
|    value_loss           | 2.23e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 43.2         |
|    ep_rew_mean          | -6.15e+05    |
| time/                   |              |
|    fps                  | 963          |
|    time_elapsed         | 238          |
|    total_timesteps      | 230000       |
| train/                  |              |
|    approx_kl            | 0.0013613709 |
|    clip_fraction        | 0.000195     |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.2        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.09e+10     |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00146     |
|    std                  | 1.1          |
|    value_loss           | 2.32e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 34.9         |
|    ep_rew_mean          | -5.13e+05    |
| time/                   |              |
|    fps                  | 967          |
|    time_elapsed         | 248          |
|    total_timesteps      | 240000       |
| train/                  |              |
|    approx_kl            | 0.0027953503 |
|    clip_fraction        | 0.00293      |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.2        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.1e+10      |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.00281     |
|    std                  | 1.11         |
|    value_loss           | 2.26e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 36.5         |
|    ep_rew_mean          | -5.22e+05    |
| time/                   |              |
|    fps                  | 970          |
|    time_elapsed         | 257          |
|    total_timesteps      | 250000       |
| train/                  |              |
|    approx_kl            | 0.0024155867 |
|    clip_fraction        | 0.00125      |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.3        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.17e+10     |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.00202     |
|    std                  | 1.11         |
|    value_loss           | 2.23e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 36.9         |
|    ep_rew_mean          | -5.39e+05    |
| time/                   |              |
|    fps                  | 973          |
|    time_elapsed         | 267          |
|    total_timesteps      | 260000       |
| train/                  |              |
|    approx_kl            | 0.0017856597 |
|    clip_fraction        | 0.000537     |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.3        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.13e+10     |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00169     |
|    std                  | 1.12         |
|    value_loss           | 2.18e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 46.1         |
|    ep_rew_mean          | -6.56e+05    |
| time/                   |              |
|    fps                  | 975          |
|    time_elapsed         | 276          |
|    total_timesteps      | 270000       |
| train/                  |              |
|    approx_kl            | 0.0017507104 |
|    clip_fraction        | 0.000586     |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.4        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.09e+10     |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00175     |
|    std                  | 1.12         |
|    value_loss           | 2.21e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 45.1         |
|    ep_rew_mean          | -6.37e+05    |
| time/                   |              |
|    fps                  | 962          |
|    time_elapsed         | 290          |
|    total_timesteps      | 280000       |
| train/                  |              |
|    approx_kl            | 0.0022428161 |
|    clip_fraction        | 0.000928     |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.5        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.03e+10     |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00199     |
|    std                  | 1.13         |
|    value_loss           | 2.26e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 38.1         |
|    ep_rew_mean          | -5.47e+05    |
| time/                   |              |
|    fps                  | 965          |
|    time_elapsed         | 300          |
|    total_timesteps      | 290000       |
| train/                  |              |
|    approx_kl            | 0.0018979742 |
|    clip_fraction        | 0.000793     |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.5        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.13e+10     |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.00191     |
|    std                  | 1.13         |
|    value_loss           | 2.22e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 30.3        |
|    ep_rew_mean          | -4.47e+05   |
| time/                   |             |
|    fps                  | 967         |
|    time_elapsed         | 310         |
|    total_timesteps      | 300000      |
| train/                  |             |
|    approx_kl            | 0.003150566 |
|    clip_fraction        | 0.00343     |
|    clip_range           | 0.2         |
|    entropy_loss         | -18.5       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0017      |
|    loss                 | 1.15e+10    |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.00246    |
|    std                  | 1.14        |
|    value_loss           | 2.1e+10     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 34.9         |
|    ep_rew_mean          | -5.01e+05    |
| time/                   |              |
|    fps                  | 969          |
|    time_elapsed         | 319          |
|    total_timesteps      | 310000       |
| train/                  |              |
|    approx_kl            | 0.0024149665 |
|    clip_fraction        | 0.00154      |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.6        |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.12e+10     |
|    n_updates            | 370          |
|    policy_gradient_loss | -0.00192     |
|    std                  | 1.14         |
|    value_loss           | 2.1e+10      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 36.6         |
|    ep_rew_mean          | -5.28e+05    |
| time/                   |              |
|    fps                  | 958          |
|    time_elapsed         | 333          |
|    total_timesteps      | 320000       |
| train/                  |              |
|    approx_kl            | 0.0026985672 |
|    clip_fraction        | 0.0026       |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.7        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.08e+10     |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00266     |
|    std                  | 1.15         |
|    value_loss           | 2.07e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31.1        |
|    ep_rew_mean          | -4.58e+05   |
| time/                   |             |
|    fps                  | 961         |
|    time_elapsed         | 343         |
|    total_timesteps      | 330000      |
| train/                  |             |
|    approx_kl            | 0.002095819 |
|    clip_fraction        | 0.000781    |
|    clip_range           | 0.2         |
|    entropy_loss         | -18.7       |
|    explained_variance   | 2.38e-07    |
|    learning_rate        | 0.0017      |
|    loss                 | 9.92e+09    |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.00186    |
|    std                  | 1.15        |
|    value_loss           | 2.15e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.2         |
|    ep_rew_mean          | -4.63e+05    |
| time/                   |              |
|    fps                  | 963          |
|    time_elapsed         | 352          |
|    total_timesteps      | 340000       |
| train/                  |              |
|    approx_kl            | 0.0032019673 |
|    clip_fraction        | 0.00442      |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.8        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.01e+10     |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00313     |
|    std                  | 1.16         |
|    value_loss           | 2.11e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 34.6         |
|    ep_rew_mean          | -4.98e+05    |
| time/                   |              |
|    fps                  | 965          |
|    time_elapsed         | 362          |
|    total_timesteps      | 350000       |
| train/                  |              |
|    approx_kl            | 0.0020742782 |
|    clip_fraction        | 0.000745     |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.8        |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.01e+10     |
|    n_updates            | 420          |
|    policy_gradient_loss | -0.00217     |
|    std                  | 1.16         |
|    value_loss           | 2.03e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 37.5         |
|    ep_rew_mean          | -5.36e+05    |
| time/                   |              |
|    fps                  | 966          |
|    time_elapsed         | 372          |
|    total_timesteps      | 360000       |
| train/                  |              |
|    approx_kl            | 0.0018261225 |
|    clip_fraction        | 0.000598     |
|    clip_range           | 0.2          |
|    entropy_loss         | -18.8        |
|    explained_variance   | 2.38e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.09e+10     |
|    n_updates            | 430          |
|    policy_gradient_loss | -0.00169     |
|    std                  | 1.17         |
|    value_loss           | 2.11e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 35.1        |
|    ep_rew_mean          | -5.09e+05   |
| time/                   |             |
|    fps                  | 957         |
|    time_elapsed         | 386         |
|    total_timesteps      | 370000      |
| train/                  |             |
|    approx_kl            | 0.002438905 |
|    clip_fraction        | 0.0019      |
|    clip_range           | 0.2         |
|    entropy_loss         | -18.9       |
|    explained_variance   | -2.38e-07   |
|    learning_rate        | 0.0017      |
|    loss                 | 9.65e+09    |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.00239    |
|    std                  | 1.17        |
|    value_loss           | 2.04e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 36.2         |
|    ep_rew_mean          | -5.12e+05    |
| time/                   |              |
|    fps                  | 959          |
|    time_elapsed         | 396          |
|    total_timesteps      | 380000       |
| train/                  |              |
|    approx_kl            | 0.0017142161 |
|    clip_fraction        | 0.000598     |
|    clip_range           | 0.2          |
|    entropy_loss         | -19          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.1e+10      |
|    n_updates            | 460          |
|    policy_gradient_loss | -0.00167     |
|    std                  | 1.18         |
|    value_loss           | 2.04e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 28.6        |
|    ep_rew_mean          | -4.26e+05   |
| time/                   |             |
|    fps                  | 960         |
|    time_elapsed         | 406         |
|    total_timesteps      | 390000      |
| train/                  |             |
|    approx_kl            | 0.002266529 |
|    clip_fraction        | 0.00143     |
|    clip_range           | 0.2         |
|    entropy_loss         | -19         |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 9.76e+09    |
|    n_updates            | 470         |
|    policy_gradient_loss | -0.00219    |
|    std                  | 1.18        |
|    value_loss           | 2.01e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 35.5         |
|    ep_rew_mean          | -5.08e+05    |
| time/                   |              |
|    fps                  | 962          |
|    time_elapsed         | 415          |
|    total_timesteps      | 400000       |
| train/                  |              |
|    approx_kl            | 0.0017963217 |
|    clip_fraction        | 0.000806     |
|    clip_range           | 0.2          |
|    entropy_loss         | -19.1        |
|    explained_variance   | 2.38e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.11e+10     |
|    n_updates            | 480          |
|    policy_gradient_loss | -0.00206     |
|    std                  | 1.19         |
|    value_loss           | 2.04e+10     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 33.1       |
|    ep_rew_mean          | -4.8e+05   |
| time/                   |            |
|    fps                  | 954        |
|    time_elapsed         | 429        |
|    total_timesteps      | 410000     |
| train/                  |            |
|    approx_kl            | 0.00226943 |
|    clip_fraction        | 0.00128    |
|    clip_range           | 0.2        |
|    entropy_loss         | -19.2      |
|    explained_variance   | -2.38e-07  |
|    learning_rate        | 0.0017     |
|    loss                 | 9.91e+09   |
|    n_updates            | 500        |
|    policy_gradient_loss | -0.00217   |
|    std                  | 1.2        |
|    value_loss           | 2.07e+10   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.6        |
|    ep_rew_mean          | -5.26e+05   |
| time/                   |             |
|    fps                  | 956         |
|    time_elapsed         | 438         |
|    total_timesteps      | 420000      |
| train/                  |             |
|    approx_kl            | 0.001260798 |
|    clip_fraction        | 0.000244    |
|    clip_range           | 0.2         |
|    entropy_loss         | -19.2       |
|    explained_variance   | 1.79e-07    |
|    learning_rate        | 0.0017      |
|    loss                 | 1.08e+10    |
|    n_updates            | 510         |
|    policy_gradient_loss | -0.00149    |
|    std                  | 1.2         |
|    value_loss           | 2.04e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 28.7         |
|    ep_rew_mean          | -4.26e+05    |
| time/                   |              |
|    fps                  | 958          |
|    time_elapsed         | 448          |
|    total_timesteps      | 430000       |
| train/                  |              |
|    approx_kl            | 0.0017204145 |
|    clip_fraction        | 0.000623     |
|    clip_range           | 0.2          |
|    entropy_loss         | -19.3        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 8.63e+09     |
|    n_updates            | 520          |
|    policy_gradient_loss | -0.00188     |
|    std                  | 1.21         |
|    value_loss           | 1.91e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 28.4         |
|    ep_rew_mean          | -4.1e+05     |
| time/                   |              |
|    fps                  | 960          |
|    time_elapsed         | 457          |
|    total_timesteps      | 440000       |
| train/                  |              |
|    approx_kl            | 0.0019087933 |
|    clip_fraction        | 0.00061      |
|    clip_range           | 0.2          |
|    entropy_loss         | -19.3        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.02e+10     |
|    n_updates            | 530          |
|    policy_gradient_loss | -0.00188     |
|    std                  | 1.21         |
