train/n_updates,time/time_elapsed,train/critic_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/total_timesteps,train/learning_rate,train/ent_coef,time/episodes
69974,1786,15346.47265625,156,2687876.75,-1161369.65428469,65.3,0.9596564769744873,280000,0.0003,78.3729476928711,3004
72474,1851,15018.98046875,156,2655074.0,-865640.67991368,42.86,-0.3194923400878906,290000,0.0003,92.13104248046875,3177
74974,1916,20379.287109375,156,2618511.0,-2612172.09386658,84.27,-2.0341274738311768,300000,0.0003,75.696044921875,3294
77474,1981,20191.4609375,156,2593997.0,-1906125.2224621999,79.98,2.278789758682251,310000,0.0003,77.4788589477539,3426
79974,2047,10741.634765625,156,2584697.25,-696433.3293548101,44.97,0.13032153248786926,320000,0.0003,81.46338653564453,3608
82474,2113,20348.4453125,156,2548067.0,-537478.2897624399,35.33,0.5716578960418701,330000,0.0003,90.3587646484375,3926
84974,2179,25029.796875,156,2515881.0,-481506.7909067001,28.99,0.6975811719894409,340000,0.0003,103.24363708496094,4228
87474,2244,15817.3984375,155,2466851.0,-644569.06973425,29.46,2.088864803314209,350000,0.0003,117.98926544189453,4709
89974,2310,15735.2734375,155,2411255.0,-637137.62282862,26.88,2.4180853366851807,360000,0.0003,116.43750762939453,5056
92474,2376,32134.458984375,155,2365029.5,-236993.98188812996,11.05,-2.4589765071868896,370000,0.0003,116.02349853515625,5539
94974,2442,19244.279296875,155,2306736.25,-273092.10378261,13.39,-1.493473768234253,380000,0.0003,115.4809341430664,6351
97474,2507,27729.7421875,155,2264352.5,-330952.56128756003,17.24,-0.8485103845596313,390000,0.0003,115.46320343017578,7085
99974,2573,38959.52734375,155,2228671.25,-176443.37507622998,8.49,0.26276713609695435,400000,0.0003,114.78919219970703,8020
102474,2639,31376.712890625,155,2188354.25,-324078.85686346004,17.92,0.35073766112327576,410000,0.0003,123.51921081542969,8903
104974,2705,29834.361328125,155,2147598.5,-463001.6131225601,25.9,2.860787868499756,420000,0.0003,127.6939697265625,9351
107474,2771,30350.017578125,155,2084797.0,-286930.76016195,14.87,2.200901508331299,430000,0.0003,127.69329833984375,9876
109974,2837,25873.5234375,155,2041888.125,-321512.89884208,17.56,0.7782732248306274,440000,0.0003,130.24008178710938,10500
112474,2903,22278.87109375,154,1987055.375,-308453.54630038,15.83,4.1571044921875,450000,0.0003,127.85799407958984,11114
114974,2969,45001.62109375,154,1931924.125,-435858.86985763,24.02,1.3926622867584229,460000,0.0003,122.00841522216797,11585
117474,3035,24855.8125,154,1881661.0,-570092.5468745,36.6,2.2620646953582764,470000,0.0003,120.763916015625,11883
119974,3101,18622.033203125,154,1848338.375,-602494.17486595,35.04,-2.9136433601379395,480000,0.0003,117.87724304199219,12189
122474,3167,27508.21484375,154,1833945.5,-598244.8486089499,36.11,-1.1391654014587402,490000,0.0003,115.87527465820312,12463
124974,3232,26762.626953125,154,1798361.0,-212287.08719093003,10.76,1.198225498199463,500000,0.0003,117.48169708251953,12961
127474,3299,35459.51953125,154,1735770.75,-284368.20112127997,16.25,-3.035985231399536,510000,0.0003,122.71241760253906,13759
129974,3364,24140.484375,154,1713205.125,-342612.37909333996,20.1,-1.1106550693511963,520000,0.0003,126.57392120361328,14065
132474,3430,21226.97265625,154,1695052.125,-399125.58033488,22.3,0.002083808183670044,530000,0.0003,121.2623062133789,14631
134974,3496,28733.6171875,154,1670497.625,-527704.06172309,29.03,0.34229016304016113,540000,0.0003,120.43498229980469,15005
137474,3561,42376.68359375,154,1640351.25,-629792.97202208,35.69,1.2417545318603516,550000,0.0003,121.18397521972656,15316
139974,3627,29349.986328125,154,1631918.875,-474389.5131166899,26.19,2.420447587966919,560000,0.0003,119.63526916503906,15665
142474,3693,43984.796875,154,1616959.375,-393705.32943846,24.51,2.3689751625061035,570000,0.0003,119.36437225341797,16043
144974,3759,36829.96875,154,1618606.5,-539241.65363706,36.81,1.4113295078277588,580000,0.0003,120.13517761230469,16369
147474,3825,26765.203125,154,1606494.875,-684622.8571332801,51.93,-2.4614343643188477,590000,0.0003,118.34503936767578,16609
149974,3891,29103.04296875,154,1595861.625,-803260.6247744599,61.29,1.4068493843078613,600000,0.0003,119.47946166992188,16778
152474,3957,50065.4453125,154,1599165.25,-565461.9726683999,41.44,3.341834545135498,610000,0.0003,118.49411010742188,17008
154974,4024,38620.5234375,154,1590213.75,-547885.9880196801,40.16,2.7927539348602295,620000,0.0003,116.99567413330078,17264
157474,4090,20565.966796875,154,1565032.625,-605257.69662111,45.05,1.0225913524627686,630000,0.0003,113.05110168457031,17489
159974,4156,28178.861328125,153,1566062.375,-471447.47718037,33.76,-2.372445821762085,640000,0.0003,113.90784454345703,17763
162474,4222,31107.90234375,153,1551697.125,-490057.4586475899,35.37,-1.1273531913757324,650000,0.0003,105.30162811279297,18052
164974,4289,24895.357421875,153,1524526.0,-404693.2775638401,27.32,2.621103286743164,660000,0.0003,106.8772964477539,18371
167474,4355,29413.990234375,153,1515616.625,-241621.05476657997,14.59,-0.027005493640899658,670000,0.0003,106.30590057373047,19004
169974,4422,29179.5625,153,1487385.0,-261131.72766663003,15.24,-2.1040263175964355,680000,0.0003,105.73246765136719,19698
172474,4489,38010.2890625,153,1472673.25,-304458.11170205,17.88,2.0128679275512695,690000,0.0003,107.01830291748047,20356
174974,4556,33311.6328125,153,1457668.25,-276260.14847058,15.77,-4.404506206512451,700000,0.0003,110.82062530517578,20944
177474,4625,34900.43359375,153,1436303.0,-342653.15230669,21.07,-0.7780940532684326,710000,0.0003,110.50086212158203,21477
179974,4695,20871.251953125,153,1429853.5,-338242.25780211,21.1,-0.6337541341781616,720000,0.0003,108.32271575927734,21886
182474,4764,29780.357421875,153,1397099.75,-338791.26261294005,20.68,-1.710479736328125,730000,0.0003,110.00892639160156,22364
184974,4834,33720.7890625,153,1391808.0,-690837.1045103999,45.08,-1.01260244846344,740000,0.0003,108.80279541015625,22619
187474,4904,26966.564453125,152,1367875.0,-1088832.37094798,74.26,4.172152519226074,750000,0.0003,104.45277404785156,22761
189974,4974,26803.5390625,152,1351028.375,-1551214.5730799,103.45,-0.16794538497924805,760000,0.0003,96.17094421386719,22852
192474,5043,19639.951171875,152,1349572.125,-1589280.1114852997,107.4,-0.11410826444625854,770000,0.0003,94.8392333984375,22950
194974,5113,21965.75390625,152,1343337.875,-854818.6147228602,61.59,-2.23595929145813,780000,0.0003,93.3247299194336,23100
197474,5183,17899.5,152,1321752.5,-758589.19454402,55.68,4.783021926879883,790000,0.0003,92.90625,23283
199974,5252,28132.71484375,152,1321036.25,-899727.3910822998,66.38,-1.193717122077942,800000,0.0003,94.44349670410156,23443
202474,5322,25686.416015625,152,1308246.75,-657224.9511878599,48.89,4.018767356872559,810000,0.0003,94.92451477050781,23650
204974,5392,21754.36328125,152,1313936.5,-465704.3648965501,33.42,2.7731902599334717,820000,0.0003,93.88797760009766,23873
207474,5461,21765.671875,151,1298526.75,-198212.27412663,9.67,-1.1281895637512207,830000,0.0003,94.14952087402344,24844
209974,5528,23609.30859375,151,1296194.625,-199464.23501072,9.74,1.8422667980194092,840000,0.0003,98.0578842163086,25934
212474,5594,25303.658203125,151,1281090.375,-182169.23624933994,8.2,-0.4662836790084839,850000,0.0003,101.34357452392578,27135
214974,5660,25089.7265625,151,1279960.0,-214352.16302046005,10.9,-2.735761880874634,860000,0.0003,107.45458221435547,28276
217474,5726,26527.869140625,151,1257420.75,-241410.96770810004,12.61,0.2539029121398926,870000,0.0003,109.04124450683594,29079
219974,5792,26861.01171875,151,1244818.375,-258503.55596077998,14.49,-0.41506990790367126,880000,0.0003,113.10739135742188,30092
222474,5859,33016.796875,151,1217915.375,-279214.9484219,16.14,1.1528048515319824,890000,0.0003,120.78562927246094,30693
224974,5926,19337.49609375,151,1220259.5,-290898.8532895,17.41,-0.35700660943984985,900000,0.0003,121.15035247802734,31200
227474,5994,16085.26953125,151,1226568.875,-280499.30967882,16.4,0.866433322429657,910000,0.0003,115.59911346435547,31772
229974,6062,34682.63671875,151,1207279.875,-176272.67803102,8.19,-3.2015750408172607,920000,0.0003,120.82485961914062,32746
232474,6129,21602.615234375,151,1200572.75,-232123.73894671001,12.57,-0.5821183919906616,930000,0.0003,125.5838851928711,33733
234974,6196,15711.234375,151,1189525.875,-174446.84604285003,8.03,1.7532883882522583,940000,0.0003,123.59486389160156,34724
237474,6262,28880.2421875,151,1170922.5,-177414.10499219,8.17,-1.066808819770813,950000,0.0003,129.48153686523438,35812
239974,6326,37934.8046875,151,1159352.375,-164031.30932824,7.26,1.057266116142273,960000,0.0003,135.9945526123047,36997
242474,6390,48079.82421875,151,1133056.75,-182163.83335130996,8.43,-0.46916040778160095,970000,0.0003,139.27182006835938,38288
244974,6453,17975.734375,151,1124228.75,-180641.63398393002,8.11,0.6082139611244202,980000,0.0003,150.394775390625,39493
247474,6515,27371.927734375,151,1086634.25,-204565.60024552004,9.37,-3.6693153381347656,990000,0.0003,160.0170135498047,40600
249974,6571,28728.6328125,152,1043002.1875,-165979.08571061003,7.3,-2.496124267578125,1000000,0.0003,165.87448120117188,41904
