train/actor_loss,train/ent_coef,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,time/episodes,train/learning_rate,rollout/ep_len_mean,train/critic_loss
2342.498046875,8.564330101013184,1.303958535194397,54974,-58228.165545450014,1477,148,220000,1524,0.0064,140.38,826.6416625976562
2578.100341796875,10.137774467468262,-0.1890602707862854,57474,-542948.3442820599,1546,148,230000,1615,0.0064,103.61,555.8583984375
2183.64404296875,7.344821929931641,-0.8346460461616516,59974,-497069.94979512005,1616,148,240000,1678,0.0064,136.63,740.3411254882812
1099.9794921875,6.609494209289551,-0.7677971720695496,62474,-62410.02959872001,1686,148,250000,1734,0.0064,190.62,768.8320922851562
647.5095825195312,8.728196144104004,0.6047142744064331,64974,129898.17476716,1756,147,260000,1889,0.0064,52.22,935.779541015625
662.631103515625,5.901113986968994,-1.244466781616211,67474,107196.89584916999,1828,147,270000,1928,0.0064,121.14,463.84674072265625
256.66357421875,7.35205602645874,-1.218632698059082,69974,69834.07495094,1900,147,280000,1947,0.0064,208.62,435.1653747558594
589.6787109375,7.2196736335754395,-0.5056108832359314,72474,19164.991938949996,1973,146,290000,1985,0.0064,308.27,755.2594604492188
388.54974365234375,23.567310333251953,9.695422172546387,74974,86555.80380639,2047,146,300000,2188,0.0064,59.21,1187.481689453125
440.1161804199219,11.193099975585938,4.426967620849609,77474,91318.36777905001,2121,146,310000,2296,0.0064,86.38,1098.3988037109375
2376.44140625,19.230451583862305,-0.6124803423881531,79974,-9893.321868490004,2196,145,320000,2411,0.0064,53.72,1430.22265625
2850.306640625,16.480905532836914,-1.401458501815796,82474,-56410.92038613001,2271,145,330000,2429,0.0064,168.61,1965.0443115234375
2619.117919921875,12.3823823928833,0.09628680348396301,84974,-45925.58581093999,2347,144,340000,2502,0.0064,224.23,2664.858154296875
2336.373046875,41.39085006713867,4.7998151779174805,87474,63933.60749658,2423,144,350000,2624,0.0064,54.03,4054.41650390625
1180.8817138671875,53.04206848144531,1.7363240718841553,89974,-56749.44581826001,2500,143,360000,2704,0.0064,121.54,4207.0703125
-2078.14892578125,41.652584075927734,2.421865701675415,92474,63301.787669369995,2576,143,370000,2807,0.0064,102.96,4381.1357421875
-1697.7518310546875,64.16519165039062,3.9365272521972656,94974,77346.43083776,2653,143,380000,2904,0.0064,111.9,3768.640380859375
-3176.722900390625,51.21810531616211,0.726274847984314,97474,94858.42082338998,2729,142,390000,3106,0.0064,49.41,2989.7060546875
-2061.369140625,39.16865921020508,0.15408453345298767,99974,120365.85358491,2806,142,400000,3324,0.0064,19.3,2530.721923828125
-13666.53125,68.53208923339844,1.285545825958252,102474,123705.11104699,2883,142,410000,3915,0.0064,15.07,3040.962890625
-24350.9140625,79.01464080810547,2.8645107746124268,104974,118582.77773334,2960,141,420000,4543,0.0064,13.94,3114.214599609375
-38083.62109375,89.73278045654297,1.9102641344070435,107474,130316.03962851001,3038,141,430000,5294,0.0064,12.16,2631.918212890625
-44968.87890625,118.04362487792969,-1.9839547872543335,109974,129719.71276328,3115,141,440000,5988,0.0064,21.96,2493.6708984375
-55957.16796875,117.4892578125,0.047158077359199524,112474,122961.39637822998,3193,140,450000,6755,0.0064,12.48,2467.69140625
-65014.97265625,130.9274444580078,-0.7358027100563049,114974,122142.06240502,3270,140,460000,7478,0.0064,15.61,1735.2186279296875
-70033.625,131.66526794433594,-1.8110299110412598,117474,96177.66965551,3348,140,470000,8146,0.0064,26.66,1834.17431640625
-66138.203125,144.56016540527344,-2.8975605964660645,119974,132961.56930499,3425,140,480000,8750,0.0064,11.5,2108.28076171875
-62650.2890625,96.15796661376953,-1.4742728471755981,122474,128761.47472738,3502,139,490000,9280,0.0064,21.25,1704.980712890625
-65282.45703125,110.18022918701172,-0.5132208466529846,124974,132354.68034081,3580,139,500000,10015,0.0064,11.5,1601.2322998046875
-67902.859375,103.02818298339844,3.3085014820098877,127474,133062.93852628997,3658,139,510000,10895,0.0064,11.25,1394.52197265625
-72867.3359375,114.06291198730469,2.5609326362609863,129974,133366.6999749,3736,139,520000,11783,0.0064,11.26,1220.716064453125
-75341.515625,99.894775390625,1.1579800844192505,132474,133670.14549651,3814,138,530000,12646,0.0064,11.35,1287.2696533203125
-76180.421875,97.93521881103516,0.1758468747138977,134974,133674.89999223,3892,138,540000,13539,0.0064,11.12,1335.1651611328125
-75681.7421875,94.72687530517578,-1.2056394815444946,137474,133169.96167538,3970,138,550000,14436,0.0064,11.08,1292.1651611328125
-79432.65625,100.64028930664062,-1.3688747882843018,139974,133277.47957922,4049,138,560000,15328,0.0064,10.81,1072.1396484375
-81670.9765625,102.16857147216797,1.7715195417404175,142474,133274.11524769999,4127,138,570000,16239,0.0064,10.81,1080.2032470703125
-80560.875,93.02256774902344,-1.1430357694625854,144974,133181.0307252,4206,137,580000,17140,0.0064,10.4,1149.9716796875
-82394.1328125,100.4330062866211,-1.22231125831604,147474,133288.24112013998,4285,137,590000,18115,0.0064,10.13,1019.966064453125
