train/actor_loss,train/ent_coef,time/total_timesteps,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,train/n_updates,time/fps,time/time_elapsed
7429.7890625,11.869072914123535,310000,2321349.25,-629285.9196238901,-18.833946228027344,429,0.0055,826.69,77474,223,1388
1589.5548095703125,10.84560489654541,320000,1630244.125,-638249.7434282801,1.2455041408538818,437,0.0055,861.37,79974,223,1433
5859.50341796875,32.1529541015625,330000,9384392.0,-674470.59230233,-33.010009765625,451,0.0055,841.54,82474,223,1477
5000.56396484375,12.323616981506348,340000,1939629.0,-852679.1531933001,8.685134887695312,467,0.0055,800.59,84974,223,1522
2952.8203125,19.956012725830078,350000,1550546.5,-824804.6418076401,5.681222915649414,476,0.0055,800.91,87474,223,1567
3486.291748046875,12.157035827636719,360000,960459.625,-810375.8897969499,1.353581190109253,487,0.0055,799.01,89974,223,1612
16339.58203125,51.63784408569336,370000,1889008.75,-658790.67479773,-15.022554397583008,500,0.0055,789.15,92474,223,1657
1567.65380859375,7.909897327423096,380000,1231932.75,-472485.13804954,5.2767744064331055,515,0.0055,797.93,94974,223,1702
886.7319946289062,16.06560707092285,390000,1981083.25,-520163.72014402004,7.40141487121582,525,0.0055,829.43,97474,223,1746
4460.8525390625,23.76863670349121,400000,2227118.0,-572023.34578182,15.393316268920898,537,0.0055,821.3,99974,223,1788
5274.3544921875,9.876606941223145,410000,1199148.5,-572811.25549619,4.542362213134766,546,0.0055,841.13,102474,223,1832
1466.2257080078125,4.360987663269043,420000,1678004.625,-365693.73533298005,0.15289106965065002,557,0.0055,866.34,104974,223,1876
21081.935546875,26.875816345214844,430000,2387276.0,-390525.68916342006,-44.96968460083008,568,0.0055,883.63,107474,223,1921
5215.08154296875,5.4299187660217285,440000,1306722.625,-673053.2631588101,3.1671576499938965,578,0.0055,883.63,109974,223,1965
3147.806884765625,3.1062428951263428,450000,363147.5625,-679081.13371857,0.8241562247276306,588,0.0055,885.53,112474,223,2010
3045.133544921875,2.8974080085754395,460000,686084.75,-660756.95819606,1.09755539894104,598,0.0055,904.79,114974,224,2053
13069.4794921875,29.892885208129883,470000,2793429.75,-673590.85309506,23.64801597595215,610,0.0055,942.13,117474,224,2097
1097.966796875,2.341554880142212,480000,446373.75,-663261.84266268,0.5095152854919434,619,0.0055,942.66,119974,224,2142
430.9674072265625,11.939471244812012,490000,634227.875,-667595.76491366,4.3812103271484375,631,0.0055,951.48,122474,224,2186
367.1507568359375,9.300713539123535,500000,753494.8125,-636550.4189966,-33.184295654296875,643,0.0055,948.3,124974,224,2230
14399.140625,83.9244384765625,510000,2891988.0,-808817.91029679,9.285375595092773,659,0.0055,868.94,127474,224,2274
