time/fps,rollout/ep_rew_mean,time/total_timesteps,train/std,train/learning_rate,train/clip_range,time/time_elapsed,train/entropy_loss,rollout/ep_len_mean,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_fraction
727,-174268.26593601,610000,0.9945878982543945,0.0003,0.2,837,-21.20310104638338,27.52,6679380012.4,-0.001583848636255425,0.0,3515283968.0,0.0008357917,740,0.0
729,-151516.58349388998,620000,0.9944694638252258,0.0003,0.2,850,-21.201317797601224,24.12,6661311568.0,-0.0008593886317612487,-1.1920928955078125e-07,3194887168.0,0.00032915786,750,0.0
730,-173723.74048055004,630000,0.9943398833274841,0.0003,0.2,862,-21.199529264867305,27.53,6356592489.2,-0.0007779942775414384,0.0,3176825856.0,0.0003050501,760,0.0
727,-157324.89833966998,640000,0.994019091129303,0.0003,0.2,879,-21.19500215500593,24.75,6263479836.8,-0.0012154990850831381,1.1920928955078125e-07,2951975680.0,0.0005106969,780,0.0
729,-153823.73281097002,650000,0.993907630443573,0.0003,0.2,891,-21.19279816150665,23.01,6409664319.6,-0.0013645980468936613,1.1920928955078125e-07,3031168000.0,0.00066893385,790,0.0
730,-160297.26340444002,660000,0.9937373995780945,0.0003,0.2,903,-21.190581199526786,24.36,6408699069.6,-0.0009256949839254958,0.0,3240011776.0,0.00034680462,800,0.0
731,-147022.39638889997,670000,0.9937261343002319,0.0003,0.2,915,-21.189177802205087,22.02,6450085004.0,-0.0011685730860335752,-1.1920928955078125e-07,3035881472.0,0.00052261114,810,0.0
728,-155537.46667382,680000,0.9933143854141235,0.0003,0.2,932,-21.18370728045702,24.09,6214844523.2,-0.0013821193771946128,0.0,2888472832.0,0.00070194434,830,0.0
730,-150966.73011835,690000,0.9935142397880554,0.0003,0.2,944,-21.184340187907218,24.8,6068410750.8,-0.0013299084313985077,-1.1920928955078125e-07,3219397376.0,0.0007423095,840,0.0
731,-160829.7828114,700000,0.9934173822402954,0.0003,0.2,957,-21.185074207186698,25.15,6192375387.6,-0.0016587970379077887,-1.1920928955078125e-07,3246711808.0,0.0009849959,850,0.0
732,-159512.05494995,710000,0.9934625625610352,0.0003,0.2,969,-21.184659783542156,25.34,6157909193.2,-0.001011957268565311,1.1920928955078125e-07,2843969792.0,0.000497053,860,0.0
733,-151203.08938736,720000,0.9935095310211182,0.0003,0.2,981,-21.185315319895743,22.66,6218400376.0,-0.0009532812769975863,0.0,3038969344.0,0.00048548082,870,0.0
731,-144801.49310388998,730000,0.9932259917259216,0.0003,0.2,998,-21.182088313996793,22.25,6211462083.2,-0.001027688263457094,0.0,3661790464.0,0.00051066105,890,0.0
732,-130812.83285195,740000,0.9931862950325012,0.0003,0.2,1010,-21.181170332431794,19.4,6257911708.4,-0.0008561204291254399,-1.1920928955078125e-07,2900800256.0,0.0002865699,900,0.0
733,-158902.23668995,750000,0.9931100606918335,0.0003,0.2,1021,-21.18025920242071,23.9,5918379722.4,-0.00150805863122514,1.1920928955078125e-07,3271956736.0,0.00089999055,910,0.0
735,-144541.73846392,760000,0.9932185411453247,0.0003,0.2,1033,-21.18041445016861,23.03,6154120634.8,-0.0012864733524111216,1.1920928955078125e-07,3118607360.0,0.00062260515,920,0.0
736,-150399.01998351,770000,0.9932759404182434,0.0003,0.2,1045,-21.181709004938604,23.42,5860253980.4,-0.0008993171966722002,-1.1920928955078125e-07,2946108416.0,0.0004197702,930,0.0
733,-154430.74329595,780000,0.9931334853172302,0.0003,0.2,1062,-21.180595338344574,24.52,6233422036.0,-0.001728600461865426,1.1920928955078125e-07,3133375488.0,0.001084287,950,0.0
734,-166012.15065966,790000,0.9929991960525513,0.0003,0.2,1074,-21.17892647087574,25.16,6048022054.0,-0.001431826221596566,1.1920928955078125e-07,3268328704.0,0.00081143645,960,0.0
736,-154460.85789603,800000,0.9929016828536987,0.0003,0.2,1086,-21.17709947824478,24.91,6531317392.4,-0.0016032657833420672,0.0,3412635392.0,0.000905542,970,0.0
737,-170460.1545318,810000,0.9928494095802307,0.0003,0.2,1098,-21.17590208351612,27.46,6017021360.8,-0.00135777166524349,-1.1920928955078125e-07,3065725952.0,0.0007095868,980,0.0
734,-153392.27655012,820000,0.9925994873046875,0.0003,0.2,1115,-21.17180168479681,24.19,6119188566.4,-0.0005852253036209732,0.0,3628862464.0,0.00015280192,1000,0.0
735,-155202.34708721004,830000,0.9925237894058228,0.0003,0.2,1128,-21.171141600608827,23.36,6025336544.8,-0.0012767678903401248,-1.1920928955078125e-07,3235116800.0,0.00075433694,1010,0.0
736,-172862.66218426995,840000,0.9925005435943604,0.0003,0.2,1140,-21.17036940008402,26.95,6461365506.4,-0.0012497789852204733,0.0,3488023040.0,0.0006009954,1020,0.0
737,-158532.89473965002,850000,0.992254376411438,0.0003,0.2,1152,-21.168317222595213,25.81,6046264106.0,-0.0017179314423628965,0.0,3068705280.0,0.0010978067,1030,0.0
738,-154207.81878009,860000,0.9923728704452515,0.0003,0.2,1164,-21.167350178956987,26.29,6065305265.6,-0.0010764181271952112,1.1920928955078125e-07,3224073472.0,0.00047784793,1040,0.0
736,-154869.23498238,870000,0.9918524026870728,0.0003,0.2,1181,-21.16208261847496,25.56,5784389437.6,-0.0012305492453378974,0.0,2760288512.0,0.00070087344,1060,0.0
736,-151716.34243784,880000,0.9914915561676025,0.0003,0.2,1194,-21.15752664655447,23.87,5957174586.8,-0.0010785553511595935,1.1920928955078125e-07,3257644544.0,0.0005876778,1070,0.0
737,-156353.29053511,890000,0.9913329482078552,0.0003,0.2,1206,-21.15359825193882,25.61,5986239279.6,-0.0013065245160760242,0.0,3502296576.0,0.00072622334,1080,0.0
738,-145350.76332035,900000,0.9912774562835693,0.0003,0.2,1218,-21.151934437453747,23.57,6007952413.6,-0.0012279675851459616,-1.1920928955078125e-07,3233937152.0,0.0006693074,1090,0.0
736,-132070.74078366,910000,0.990956723690033,0.0003,0.2,1236,-21.147530475258826,19.89,5867242882.0,-0.0014086921210036962,-1.1920928955078125e-07,2838380800.0,0.0009088242,1110,0.0
736,-150791.17258851,920000,0.990833044052124,0.0003,0.2,1248,-21.145688773691653,24.23,5966871439.2,-0.0013690526166101336,2.384185791015625e-07,2702241536.0,0.00070756034,1120,0.0
737,-148510.61973022,930000,0.990578293800354,0.0003,0.2,1260,-21.142852593958377,23.72,5956116820.8,-0.0011960490737692453,0.0,2826898432.0,0.0006196889,1130,0.0
738,-140603.58606647,940000,0.99039626121521,0.0003,0.2,1273,-21.139512160420416,21.89,5904630031.6,-0.0013158755957192625,-2.384185791015625e-07,3292793600.0,0.000724934,1140,0.0
738,-159582.52655486,950000,0.9903098344802856,0.0003,0.2,1285,-21.137232851982116,25.93,5926551542.8,-0.001215371404759935,0.0,3032251648.0,0.00064672215,1150,0.0
736,-146590.05808883,960000,0.9901828169822693,0.0003,0.2,1302,-21.13553750216961,23.28,5836592607.2,-0.0011727147413694184,-1.1920928955078125e-07,2665153024.0,0.00056854606,1170,0.0
737,-154734.07388280003,970000,0.99005126953125,0.0003,0.2,1315,-21.133590513467787,25.62,5885426037.2,-0.0012000463444564956,0.0,3369888000.0,0.00066367124,1180,0.0
738,-138705.5116915,980000,0.9901888370513916,0.0003,0.2,1327,-21.133673028647898,21.58,5992750492.4,-0.0008967983028924209,0.0,3141510400.0,0.00041085307,1190,0.0
739,-166691.07099125002,990000,0.9902744889259338,0.0003,0.2,1339,-21.13532360345125,27.85,5868417121.6,-0.0012384565005049808,1.1920928955078125e-07,2959654400.0,0.0007076254,1200,0.0
737,-157524.39377167998,1000000,0.9901779294013977,0.0003,0.2,1356,-21.135768143832685,26.96,5730584150.0,-0.0014839084604318486,0.0,2665301504.0,0.00091609894,1220,0.0
