time/total_timesteps,train/n_updates,train/critic_loss,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,time/fps,train/learning_rate,time/episodes,rollout/ep_rew_mean,train/ent_coef
610000,152474,29186872.0,3588,20.87889862060547,6.0,-62416.890625,169,0.0055,92406,73304.6,134.9994354248047
620000,154974,27684556.0,3652,10.772253036499023,6.11,-57164.875,169,0.0055,94063,67346.2,280.5607604980469
630000,157474,190443456.0,3715,42.115272521972656,11.92,-6057.7109375,169,0.0055,95364,-67827.79615683,1227.734619140625
640000,159974,48502584.0,3775,4.442241191864014,6.24,-36318.609375,169,0.0055,96692,64507.61382934,242.69361877441406
650000,162474,57003892.0,3839,37.644317626953125,6.36,-38759.51953125,169,0.0055,98168,69553.86874251,359.8510437011719
660000,164974,11910580.0,3902,4.8830976486206055,6.0,-55453.1796875,169,0.0055,99816,73308.2,52.2940788269043
670000,167474,718142976.0,3966,-68.67919921875,16.86,19525.666015625,168,0.0055,101225,-325000.19754525,770.8831176757812
680000,169974,39669108.0,4029,15.907941818237305,6.33,-31204.67578125,168,0.0055,102552,69653.29988444,252.03721618652344
690000,172474,32715810.0,4093,-15.009679794311523,6.11,-46659.0546875,168,0.0055,104092,57658.0,148.22100830078125
700000,174974,15092390.0,4157,7.542304992675781,6.01,-58558.25,168,0.0055,105734,73197.0,85.17401885986328
710000,177474,80149280.0,4220,22.228397369384766,11.44,-31760.8046875,168,0.0055,107158,-161801.05733143998,620.9908447265625
720000,179974,103351440.0,4283,28.626358032226562,7.15,-21012.5703125,168,0.0055,108496,50434.42338169999,605.5944213867188
730000,182474,14864427.0,4341,10.458507537841797,6.02,-55063.73828125,168,0.0055,110104,73098.4,60.190650939941406
740000,184974,30826984.0,4400,-70.93882751464844,6.65,-35204.5625,168,0.0055,111565,63672.33408269,214.5740203857422
750000,187474,6635282.0,4459,-7.419444561004639,6.0,-58804.34765625,168,0.0055,113221,73304.6,40.06034851074219
760000,189974,387784864.0,4521,-47.505828857421875,16.84,33067.30859375,168,0.0055,114580,-336783.50756572,681.40576171875
770000,192474,19048066.0,4581,15.519279479980469,6.0,-54176.5859375,168,0.0055,116000,73301.0,89.08135986328125
780000,194974,17320196.0,4640,27.949920654296875,6.05,-52418.828125,168,0.0055,117548,72795.4,139.68663024902344
790000,197474,20765608.0,4705,-55.172889709472656,10.71,-45805.1484375,167,0.0055,119097,-82211.30978263,119.64325714111328
800000,199974,15195540.0,4771,26.539777755737305,7.94,-48953.984375,167,0.0055,120605,37588.11384335,362.3067932128906
810000,202474,38471556.0,4830,14.385625839233398,6.25,-43485.8515625,167,0.0055,121884,65320.639815020004,214.02078247070312
820000,204974,44801672.0,4888,-54.04438018798828,6.8,-40802.8046875,167,0.0055,123507,45414.3,244.25454711914062
830000,207474,13442134.0,4946,13.805765151977539,6.06,-62378.02734375,167,0.0055,125128,72694.1,150.548828125
840000,209974,27169624.0,5005,50.38705062866211,6.37,-46218.421875,167,0.0055,126645,69050.2,311.4217224121094
850000,212474,8778540.0,5063,16.236831665039062,6.0,-56368.80859375,167,0.0055,128080,73302.8,82.4999771118164
860000,214974,5239934.5,5121,-0.31183552742004395,6.01,-57143.25,167,0.0055,129738,73206.0,81.8265380859375
870000,217474,23467848.0,5180,-6.303236961364746,6.0,-54571.3125,167,0.0055,131343,63521.8,116.78309631347656
880000,219974,5001638.0,5238,1.5555084943771362,6.0,-66843.21875,167,0.0055,133009,73307.3,59.583431243896484
890000,222474,2639876864.0,5296,-180.765869140625,35.97,204214.625,168,0.0055,134033,-942151.8800031601,3866.7734375
900000,224974,373180928.0,5358,64.55534362792969,7.83,-19685.40234375,167,0.0055,135362,50004.50599812,758.6748046875
910000,227474,30353086.0,5420,21.206329345703125,6.0,-47934.40625,167,0.0055,136983,73301.0,112.58196258544922
920000,229974,16651680.0,5479,2.8202388286590576,6.0,-52274.8203125,167,0.0055,138608,73301.9,70.26002502441406
930000,232474,685956096.0,5543,-56.7514762878418,23.83,-3247.05419921875,167,0.0055,139954,-359673.1970031,1007.9243774414062
940000,234974,364388288.0,5605,53.33567810058594,7.51,5716.01806640625,167,0.0055,141248,45362.58764267,1689.20703125
950000,237474,47994828.0,5667,28.553306579589844,6.06,-55086.546875,167,0.0055,142743,72701.14480373,201.6767120361328
960000,239974,13534733.0,5731,1.8800181150436401,6.02,-54393.203125,167,0.0055,144403,73096.6,50.400367736816406
970000,242474,388605696.0,5794,-52.74235534667969,14.56,-19144.701171875,167,0.0055,145900,-165636.4354669,759.51416015625
980000,244974,576070080.0,5857,-235.8750762939453,31.1,26178.9375,167,0.0055,146993,-678148.32948449,1019.588623046875
990000,247474,38113080.0,5919,34.8880615234375,6.01,-37151.08984375,167,0.0055,147868,73206.9,163.9211883544922
1000000,249974,25909780.0,5977,-7.163415431976318,6.0,-46009.6015625,167,0.0055,149472,73304.6,87.00800323486328
