time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/iterations,train/delta_std,rollout/return_std,train/step_size,train/learning_rate
670000,-20133376.17663883,263,2538,502.1666666666667,,,,,
680000,-128208.966286,267,2539,4.0,16,0.05,20490164.0,1.220097634035966e-10,0.02
690000,-7416441.076773455,271,2539,185.72727272727272,,,,,
700000,-13490952.547382733,275,2538,336.53333333333336,,,,,
710000,-20172968.2573325,279,2539,502.0,17,0.05,20014072.0,1.2491210843457168e-10,0.02
720000,-13487940.9333745,283,2540,336.25,,,,,
730000,,287,2541,,18,0.05,19998776.0,1.2500764312584067e-10,0.02
740000,-17285715.331106715,291,2542,430.57142857142856,,,,,
750000,-18320857.58492073,294,2543,456.45454545454544,,,,,
760000,-23010671.29209279,298,2544,572.9285714285714,,,,,
770000,-8121182.818089199,302,2545,203.8,19,0.05,20513770.0,1.2186936182434494e-10,0.02
780000,-14694954.871010454,306,2547,367.0,,,,,
790000,-17294208.78222157,310,2548,431.42857142857144,,,,,
800000,-26838093.708230663,313,2548,667.6666666666666,20,0.05,20486820.0,1.220296780291008e-10,0.02
810000,-16162455.4154969,317,2549,403.2,,,,,
820000,-149161.8788085,321,2551,5.5,21,0.05,20499224.0,1.2195583432017543e-10,0.02
830000,-20166027.618481748,325,2552,502.75,,,,,
840000,-16171705.568814501,329,2552,403.6,,,,,
850000,-10098448.3398735,333,2551,253.25,22,0.05,20020494.0,1.2487204326117052e-10,0.02
860000,-13460199.923610443,336,2552,336.22222222222223,,,,,
870000,-18599379.147153847,340,2553,463.84615384615387,,,,,
880000,-234812.558667,344,2554,9.0,23,0.05,20656164.0,1.2102924218382327e-10,0.02
890000,-160579.771186,348,2555,5.0,24,0.05,16138695.0,1.5490719817989884e-10,0.02
900000,-16171434.336040199,351,2557,403.4,,,,,
910000,-22369997.26761111,355,2558,557.7777777777778,,,,,
920000,-120090.969396,359,2559,3.0,25,0.05,20502600.0,1.2193575316121752e-10,0.02
930000,-11032880.241508909,363,2560,275.09090909090907,,,,,
940000,-139418.90049,367,2560,5.0,26,0.05,19152928.0,1.3052833813809173e-10,0.02
950000,-119803.330059,370,2561,3.0,27,0.05,16089848.0,1.5537746089755444e-10,0.02
960000,-13477541.799924001,374,2562,335.6666666666667,,,,,
970000,,378,2563,,28,0.05,19172118.0,1.3039769264366896e-10,0.02
980000,,382,2564,,29,0.05,13666243.0,1.8293248860157263e-10,0.02
990000,-9366818.73683977,385,2565,233.3846153846154,,,,,
1000000,-6795025.561917667,389,2566,169.66666666666666,30,0.05,17908062.0,1.3960192724038478e-10,0.02
1010000,-16148239.070067301,393,2567,402.2,,,,,
1020000,-18619794.247082077,397,2568,463.53846153846155,,,,,
