rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef_loss
583.02,27889.234375,2411012.25,0.0003,170.34097290039062,212474,850000,16013,6645,-13295094.188750623,127,0.22359943389892578
656.41,33642.125,2404893.25,0.0003,162.87542724609375,214974,860000,16031,6726,-15281769.01741481,127,1.4493141174316406
450.94,25869.736328125,2363671.5,0.0003,158.46725463867188,217474,870000,16076,6807,-11262374.83567948,127,-4.094472408294678
362.29,30180.8828125,2419438.0,0.0003,147.802978515625,219974,880000,16101,6888,-9565680.12208289,127,0.3934516906738281
254.68,33929.70703125,2353423.75,0.0003,145.2099151611328,222474,890000,16145,6969,-6577965.80313274,127,-1.3962033987045288
318.53,32538.271484375,2426953.5,0.0003,148.4622802734375,224974,900000,16170,7050,-8386779.29295831,127,2.0019006729125977
181.36,26390.8359375,2428216.75,0.0003,144.06065368652344,227474,910000,16254,7131,-4489263.29912098,127,0.031048208475112915
32.15,21534.591796875,2436103.75,0.0003,143.25991821289062,229974,920000,16419,7212,-678598.8971296799,127,-4.347171783447266
60.97,41000.140625,2403975.5,0.0003,143.6738739013672,232474,930000,16604,7293,-1159787.7747903601,127,-2.672173500061035
34.92,20219.986328125,2393869.5,0.0003,151.15370178222656,234974,940000,16840,7374,-600117.80273524,127,-1.5810160636901855
89.6,31890.333984375,2368737.5,0.0003,172.59092712402344,237474,950000,16951,7455,-1713521.2401496398,127,-3.1656689643859863
60.45,13222.2783203125,2421200.25,0.0003,172.57257080078125,239974,960000,17110,7535,-1305385.40479393,127,-2.298661947250366
47.65,42825.55859375,2381317.75,0.0003,176.14089965820312,242474,970000,17322,7616,-943343.5771080798,127,-1.0646907091140747
124.69,42195.51171875,2370659.0,0.0003,177.97540283203125,244974,980000,17381,7697,-2582998.94218563,127,0.9859422445297241
212.65,29546.2265625,2340078.75,0.0003,175.7342529296875,247474,990000,17409,7775,-4594466.86934714,127,2.5053181648254395
262.51,32294.75390625,2342053.5,0.0003,178.41802978515625,249974,1000000,17450,7855,-5698049.95777411,127,1.7138937711715698
