train/explained_variance,train/std,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,rollout/ep_len_mean,time/total_timesteps,train/approx_kl,train/clip_range,train/policy_gradient_loss,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,time/fps,train/n_updates
0.0,1.2495089769363403,1035278720.0,0.0017,0.01824951171875,2432685966.7,60.33,190000,0.004610019,0.2,-0.0037778552328745717,205,-228036.72766223998,-19.647412599623202,926,230
0.0,1.2622753381729126,1165792000.0,0.0017,0.02901611328125,2437407833.8,63.06,200000,0.0055789785,0.2,-0.00517915761392942,214,-230875.65406852,-19.763419564068318,932,240
1.1920928955078125e-07,1.2755330801010132,1180613504.0,0.0017,0.02249755859375,2183380540.6,63.36,210000,0.0052351328,0.2,-0.004646397514807177,223,-225533.98275318998,-19.887026140093802,938,250
1.1920928955078125e-07,1.2907699346542358,1075891840.0,0.0017,0.02174072265625,2174557999.8,68.53,220000,0.0050269626,0.2,-0.004327121699498093,232,-245756.40279226002,-20.020519241690636,944,260
-2.384185791015625e-07,1.3187326192855835,1110328960.0,0.0017,0.02149658203125,2334308660.1,51.62,230000,0.0044389516,0.2,-0.00390617281645973,246,-198678.82605200997,-20.28521496504545,932,280
0.0,1.3349612951278687,1039184128.0,0.0017,0.02769775390625,2324501105.9,57.55,240000,0.0057348786,0.2,-0.00549030959209631,255,-210787.41614226,-20.421771712601185,937,290
0.0,1.3490279912948608,1044260736.0,0.0017,0.03345947265625,2233296299.5,71.7,250000,0.005954418,0.2,-0.005749295502937457,265,-240462.60186084,-20.556995578110218,942,300
-1.1920928955078125e-07,1.3646316528320312,965415808.0,0.0017,0.018310546875,2015255999.0,68.61,260000,0.004607535,0.2,-0.0036663307268099744,274,-232846.26570212,-20.688262510299683,947,310
0.0,1.378127098083496,806890816.0,0.0017,0.04237060546875,2075567389.4,67.16,270000,0.0064527737,0.2,-0.006595014372578589,283,-239154.63321417,-20.815361799299716,950,320
-1.1920928955078125e-07,1.4073896408081055,1072367232.0,0.0017,0.02298583984375,2208208227.4,61.7,280000,0.005338478,0.2,-0.003799779381370172,297,-223350.56158111003,-21.06491731852293,940,340
-2.384185791015625e-07,1.4241679906845093,1121394048.0,0.0017,0.026025390625,2102853486.6,70.04,290000,0.005470895,0.2,-0.004982694970931334,306,-235710.96748069997,-21.19787105768919,944,350
0.0,1.4388923645019531,1358815360.0,0.0017,0.03831787109375,2153201555.7,71.46,300000,0.0061380146,0.2,-0.006583199123633676,316,-231204.15434551,-21.33015559762716,948,360
0.0,1.4542789459228516,1095530752.0,0.0017,0.0356201171875,2097885373.1,60.14,310000,0.005934838,0.2,-0.005549058685573982,325,-209599.85575651002,-21.452959705889224,951,370
0.0,1.4870516061782837,1014469824.0,0.0017,0.0241943359375,1938152398.0,70.24,320000,0.0052482486,0.2,-0.004566900770623761,339,-230114.43080203998,-21.714531452953814,942,390
0.0,1.5025473833084106,951516800.0,0.0017,0.02752685546875,1950844490.0,54.5,330000,0.005507378,0.2,-0.00442679237730772,348,-193142.70965320003,-21.844310899078845,945,400
0.0,1.5208048820495605,1117359872.0,0.0017,0.0342041015625,1987700728.5,68.17,340000,0.0058621867,0.2,-0.005169371617557772,358,-230004.32432867994,-21.9795661509037,948,410
-1.1920928955078125e-07,1.5349153280258179,939797248.0,0.0017,0.02017822265625,1941547971.6,62.36,350000,0.004120143,0.2,-0.0035749393298829093,367,-214114.25394749,-22.104658876359462,951,420
-1.1920928955078125e-07,1.5547417402267456,1114461824.0,0.0017,0.0303955078125,1999289377.4,60.79,360000,0.005644045,0.2,-0.0055595299176275145,377,-203778.92199001994,-22.238600769639014,953,430
1.7881393432617188e-07,1.5931504964828491,1138841216.0,0.0017,0.02186279296875,2043708830.4,55.98,370000,0.0048339567,0.2,-0.003261194446713489,391,-196956.99538816002,-22.53522620052099,946,450
0.0,1.6111335754394531,1167281152.0,0.0017,0.02823486328125,1938871376.7,59.31,380000,0.0053230883,0.2,-0.004557070446207945,400,-198213.87817738994,-22.673579800128937,948,460
-1.1920928955078125e-07,1.631542682647705,963995776.0,0.0017,0.0212646484375,1860938847.6,68.05,390000,0.0048243706,0.2,-0.003934600628417684,412,-218461.37832425997,-22.818111714720725,946,470
0.0,1.6511030197143555,1165469184.0,0.0017,0.02254638671875,1962624291.1,61.04,400000,0.0052466164,0.2,-0.004171197031064366,422,-200926.65965493998,-22.9622731924057,946,480
-1.1920928955078125e-07,1.6938258409500122,915134592.0,0.0017,0.02344970703125,1926752172.1,65.96,410000,0.005268207,0.2,-0.0039324493958702075,436,-223166.48912886,-23.25934897363186,938,500
-2.384185791015625e-07,1.7159137725830078,863106880.0,0.0017,0.02998046875,1894649785.5,55.37,420000,0.005757762,0.2,-0.004159904315929453,446,-189655.67886901004,-23.417259845137597,941,510
0.0,1.7366242408752441,959041152.0,0.0017,0.02861328125,1944987200.45,60.24,430000,0.005146728,0.2,-0.0038506109405716414,455,-202491.14840355,-23.565563544631004,943,520
0.0,1.7594698667526245,813659648.0,0.0017,0.034716796875,1778256515.85,62.08,440000,0.005874063,0.2,-0.004577024826357956,464,-204042.92725706997,-23.714738953113557,946,530
0.0,1.7849193811416626,1107586944.0,0.0017,0.03265380859375,1793143500.5,50.6,450000,0.00629144,0.2,-0.004786230257559509,474,-178448.3397825,-23.88051552772522,948,540
-1.1920928955078125e-07,1.833224892616272,828274368.0,0.0017,0.03009033203125,1681259622.7,60.34,460000,0.005960492,0.2,-0.004068558304061299,488,-196116.81730893996,-24.20454061925411,942,560
1.1920928955078125e-07,1.8551435470581055,996236672.0,0.0017,0.01729736328125,1913811202.5,67.23,470000,0.0045833974,0.2,-0.002953826073280652,497,-226793.51913885,-24.353803993761538,944,570
-1.1920928955078125e-07,1.878574252128601,997936000.0,0.0017,0.0219970703125,1928067731.3,56.4,480000,0.004820111,0.2,-0.0036279098627346683,506,-190121.65116421002,-24.5003620788455,947,580
0.0,1.902671217918396,955566336.0,0.0017,0.025634765625,1776041364.0,67.32,490000,0.005121396,0.2,-0.003579176546918461,516,-215142.67885472003,-24.65210037380457,949,590
0.0,1.9518718719482422,813893824.0,0.0017,0.019482421875,1797125591.6,59.53,500000,0.0045720143,0.2,-0.0028195394563226726,530,-205859.50726110997,-24.9482950091362,943,610
0.0,1.9751200675964355,745403968.0,0.0017,0.02193603515625,1746804613.55,62.26,510000,0.0046222005,0.2,-0.003537510043133807,539,-203569.02163504995,-25.10068096071482,945,620
0.0,2.0036990642547607,1006379136.0,0.0017,0.02908935546875,1760402734.05,62.64,520000,0.005709393,0.2,-0.004909479971320252,548,-216050.94262790002,-25.260633607208728,947,630
0.0,2.029921293258667,878372608.0,0.0017,0.02255859375,1790551350.55,66.0,530000,0.004805105,0.2,-0.0033192573979249572,558,-219560.25802274997,-25.421929958462716,949,640
1.1920928955078125e-07,2.0583972930908203,959350208.0,0.0017,0.0220947265625,1736400221.7,62.46,540000,0.0048735216,0.2,-0.003417731933586765,567,-208741.84081399,-25.582817701995374,950,650
0.0,2.1133224964141846,913199040.0,0.0017,0.0250732421875,1758970674.65,67.69,550000,0.0048360974,0.2,-0.003899070246006886,581,-221592.66345743,-25.905313144624234,945,670
0.0,2.1385746002197266,907931776.0,0.0017,0.02662353515625,2000207780.4,54.06,560000,0.004865237,0.2,-0.003472504025376111,591,-190070.85409064998,-26.047670221328737,947,680
1.1920928955078125e-07,2.1716651916503906,740913408.0,0.0017,0.02210693359375,1738776961.6,55.79,570000,0.00522733,0.2,-0.003249846020844416,600,-195028.18002494003,-26.211326690018176,948,690
0.0,2.2011070251464844,1024981120.0,0.0017,0.02288818359375,1799710109.95,64.25,580000,0.0051362915,0.2,-0.0033962874575081516,610,-223241.94581672,-26.38161508888006,950,700
0.0,2.2632334232330322,822383168.0,0.0017,0.02508544921875,1726447357.35,62.57,590000,0.00496417,0.2,-0.0034496383957957734,624,-208312.37214987003,-26.70697271823883,945,720
0.0,2.2961297035217285,709102848.0,0.0017,0.02933349609375,1669206707.35,66.88,600000,0.0052569173,0.2,-0.0045586950975121,633,-217880.85596804,-26.88110261708498,947,730
0.0,2.332956552505493,743922688.0,0.0017,0.0248291015625,1586808213.45,53.05,610000,0.0051683597,0.2,-0.003383719077828573,643,-187713.11768640002,-27.062049823999406,948,740
1.1920928955078125e-07,2.3646786212921143,989040512.0,0.0017,0.02237548828125,1712684689.65,58.49,620000,0.00510827,0.2,-0.0030780498609601636,652,-205699.52145042003,-27.233231499791145,949,750
0.0,2.3989765644073486,1008669888.0,0.0017,0.024951171875,1803148482.0,67.14,630000,0.004946494,0.2,-0.0038605832538451067,662,-238305.72129894997,-27.39998993575573,951,760
-2.384185791015625e-07,2.4606754779815674,883425792.0,0.0017,0.02882080078125,1861841549.45,51.99,640000,0.0052832426,0.2,-0.003985247798300407,676,-192566.01938651997,-27.716710017621516,946,780
1.1920928955078125e-07,2.4954516887664795,817795520.0,0.0017,0.02685546875,1672273795.05,62.86,650000,0.0051024836,0.2,-0.003771128190237505,685,-206369.01600281004,-27.87132826447487,948,790
-1.1920928955078125e-07,2.533710241317749,862502400.0,0.0017,0.01695556640625,1617845321.85,55.05,660000,0.0044434397,0.2,-0.002328628059694893,695,-197271.61672330005,-28.046536189317703,949,800
1.1920928955078125e-07,2.574723243713379,781898368.0,0.0017,0.02171630859375,1696988836.1,55.64,670000,0.005147528,0.2,-0.004282180169320781,704,-192534.57115876995,-28.233236272633075,950,810
2.384185791015625e-07,2.644378423690796,753722880.0,0.0017,0.03087158203125,1725516554.8,57.0,680000,0.005461501,0.2,-0.003416881577504682,718,-199124.12425507006,-28.565392743051053,946,830
0.0,2.6776418685913086,867610560.0,0.0017,0.03011474609375,1690818189.15,51.23,690000,0.0053780247,0.2,-0.0042334566038334746,728,-187513.51905356997,-28.720310294628142,947,840
0.0,2.7099392414093018,781015104.0,0.0017,0.02484130859375,1634711513.5,69.7,700000,0.004355363,0.2,-0.00318634072682471,737,-235721.90838916998,-28.862917621433734,948,850
0.0,2.7490899562835693,1020294336.0,0.0017,0.022509765625,1674021062.2,63.46,710000,0.004756072,0.2,-0.003397925959143322,747,-214336.20224105997,-29.022996500134468,949,860
1.1920928955078125e-07,2.782904624938965,713943168.0,0.0017,0.02576904296875,1673761509.95,51.33,720000,0.0051071667,0.2,-0.0032672101880962144,756,-179748.13271327998,-29.179161582887172,951,870
0.0,2.8759400844573975,710404992.0,0.0017,0.02823486328125,1592655372.1,67.69,730000,0.0056728306,0.2,-0.003515357170908828,770,-218391.35076764,-29.55415610522032,947,890
-1.1920928955078125e-07,2.915001630783081,968154496.0,0.0017,0.02237548828125,1605591547.1,54.03,740000,0.0048157275,0.2,-0.0026154608218348584,780,-191228.59203719,-29.72474272400141,948,900
1.1920928955078125e-07,2.958371877670288,976699264.0,0.0017,0.0140380859375,1653406769.4,69.2,750000,0.004279981,0.2,-0.00242427928133111,789,-227691.67289345004,-29.895352382957935,949,910
0.0,3.0009429454803467,682622400.0,0.0017,0.0249755859375,1550651538.05,56.16,760000,0.0052194255,0.2,-0.002610226939577842,799,-201358.68593266004,-30.067725022137164,950,920
0.0,3.043257474899292,931826944.0,0.0017,0.0241943359375,1735233600.6,59.85,770000,0.004856619,0.2,-0.003483389239227108,808,-207994.17466525,-30.23653205484152,952,930
0.0,3.1225082874298096,646086080.0,0.0017,0.0178466796875,1613360080.05,61.83,780000,0.0043118135,0.2,-0.0027583550439885586,822,-219114.72838303997,-30.55677122473717,948,950
0.0,3.1620843410491943,622789632.0,0.0017,0.0155517578125,1537696039.0,66.91,790000,0.0037664236,0.2,-0.0024774197217993787,832,-227496.09725527,-30.705685603618623,949,960
