train/n_updates,train/policy_loss,train/learning_rate,time/time_elapsed,train/explained_variance,train/std,train/value_loss,time/total_timesteps,time/fps,rollout/ep_len_mean,train/entropy_loss,rollout/ep_rew_mean
8499,-375547.375,0.0007,152,0.0,1.113926649093628,552842496.0,170000,1113,22.59,-22.878278732299805,-163791.01940711998
8999,-1240203.625,0.0007,161,1.1920928955078125e-07,1.1120301485061646,5722590720.0,180000,1113,20.72,-22.8469295501709,-130877.31494371001
9499,-206610.34375,0.0007,170,0.0,1.1263586282730103,304158752.0,190000,1114,19.09,-23.040573120117188,-127551.37633865999
9999,-144894.203125,0.0007,179,0.0,1.1354550123214722,89073096.0,200000,1113,15.45,-23.157882690429688,-121947.0993945
10499,-961503.625,0.0007,188,0.0,1.149855375289917,3148675328.0,210000,1113,16.8,-23.352951049804688,-123405.12160849
10999,-1066888.0,0.0007,197,0.0,1.163800597190857,3649957120.0,220000,1113,20.52,-23.52774429321289,-174303.08846399
11499,-199649.84375,0.0007,206,0.0,1.1750081777572632,245585200.0,230000,1112,20.86,-23.66104507446289,-149548.74235307996
11999,-494156.3125,0.0007,215,0.0,1.189993977546692,1501728000.0,240000,1112,20.42,-23.85938835144043,-144806.20960725995
12499,-910853.6875,0.0007,224,-1.1920928955078125e-07,1.1903598308563232,3982674688.0,250000,1112,23.9,-23.857343673706055,-170891.73809903
12999,-452733.15625,0.0007,233,5.960464477539063e-08,1.1993809938430786,1311875712.0,260000,1111,19.94,-23.96672248840332,-137938.89506717998
13499,65407.57421875,0.0007,243,0.0,1.2081471681594849,36745492.0,270000,1110,20.95,-24.066484451293945,-121784.79228771999
13999,-749903.75,0.0007,252,0.0,1.2096607685089111,2485328640.0,280000,1109,17.65,-24.091537475585938,-121941.52171141001
14499,-1219190.0,0.0007,261,1.1920928955078125e-07,1.2110111713409424,5012340736.0,290000,1109,25.33,-24.099483489990234,-157493.8554654
14999,-410155.8125,0.0007,270,0.0,1.2222751379013062,846457600.0,300000,1108,17.4,-24.23236083984375,-143939.44112249
15499,-660770.0,0.0007,280,1.1920928955078125e-07,1.2283780574798584,2887106816.0,310000,1106,16.38,-24.311140060424805,-120788.69487277
15999,-258950.46875,0.0007,289,0.0,1.2352229356765747,192358192.0,320000,1105,19.2,-24.39933967590332,-140339.59852222
16499,-275009.78125,0.0007,298,0.0,1.242130160331726,456140544.0,330000,1104,24.3,-24.459930419921875,-192375.37789001007
16999,-824489.375,0.0007,308,0.0,1.252750277519226,3575098880.0,340000,1103,29.46,-24.593276977539062,-254371.49160498995
17499,-362770.0,0.0007,317,5.960464477539063e-08,1.2684544324874878,326882464.0,350000,1102,20.73,-24.773820877075195,-138509.26911886
17999,-1118668.75,0.0007,326,0.0,1.278430461883545,4915950592.0,360000,1101,20.38,-24.89362144470215,-147731.57786885
18499,-55403.15625,0.0007,336,0.0,1.2901886701583862,37200952.0,370000,1101,23.9,-25.025997161865234,-141019.72539836
18999,-712319.6875,0.0007,345,0.0,1.2940117120742798,2163766784.0,380000,1100,24.79,-25.07191276550293,-173732.49037073995
19499,-499450.34375,0.0007,354,0.0,1.3034420013427734,1527123712.0,390000,1099,13.52,-25.180126190185547,-118949.91234967
19999,-772874.1875,0.0007,363,0.0,1.315786361694336,2418215424.0,400000,1099,18.71,-25.31535530090332,-144201.78073492998
20499,-198414.5625,0.0007,373,0.0,1.3335384130477905,649396480.0,410000,1099,17.16,-25.527225494384766,-139203.20531103
20999,-192682.34375,0.0007,382,0.0,1.3429203033447266,199028784.0,420000,1098,20.21,-25.636005401611328,-148101.07122445002
21499,-556442.1875,0.0007,391,-1.1920928955078125e-07,1.3628311157226562,2153086720.0,430000,1098,20.44,-25.85324478149414,-150526.08646342
21999,-839917.375,0.0007,400,1.1920928955078125e-07,1.3753494024276733,3342803712.0,440000,1098,14.46,-25.994449615478516,-109837.57856813997
22499,-211022.203125,0.0007,410,0.0,1.3865087032318115,987362304.0,450000,1097,17.63,-26.121334075927734,-128732.71440359001
22999,-615701.5625,0.0007,419,0.0,1.4053761959075928,1524411648.0,460000,1097,20.05,-26.32363510131836,-128122.24344340002
23499,-836682.9375,0.0007,428,1.7881393432617188e-07,1.4142879247665405,2410120704.0,470000,1097,16.55,-26.418598175048828,-134399.91615565
23999,-735557.625,0.0007,436,-1.1920928955078125e-07,1.4268304109573364,2312928768.0,480000,1098,22.57,-26.544078826904297,-145742.76314976002
24499,-23679.201171875,0.0007,445,-1.1920928955078125e-07,1.438239336013794,14924046.0,490000,1099,19.7,-26.660709381103516,-138752.73923627
24999,-849239.1875,0.0007,454,0.0,1.4545410871505737,2900390400.0,500000,1100,17.35,-26.83737564086914,-125762.73550454002
25499,-436108.3125,0.0007,463,1.7881393432617188e-07,1.4704902172088623,293561568.0,510000,1100,20.38,-27.001361846923828,-163566.19768421003
25999,-1155496.875,0.0007,472,1.1920928955078125e-07,1.4918500185012817,4025036288.0,520000,1100,22.58,-27.213336944580078,-171985.13939471002
26499,-1628840.25,0.0007,481,1.1920928955078125e-07,1.5084376335144043,5273571840.0,530000,1101,25.66,-27.375988006591797,-181089.7078974
26999,-1190547.75,0.0007,490,-1.1920928955078125e-07,1.5096683502197266,4472751104.0,540000,1101,22.0,-27.376323699951172,-141753.33112798
27499,-455374.6875,0.0007,499,5.960464477539063e-08,1.5289498567581177,1206047488.0,550000,1100,22.06,-27.58475112915039,-170156.82294321005
27999,-382653.84375,0.0007,508,0.0,1.5456911325454712,381048416.0,560000,1101,22.24,-27.74197769165039,-172233.57158476996
28499,-925588.625,0.0007,517,-1.1920928955078125e-07,1.5707110166549683,3099052544.0,570000,1101,18.78,-27.97500991821289,-147569.57878887997
28999,-438160.8125,0.0007,526,-1.1920928955078125e-07,1.576413631439209,624280576.0,580000,1102,15.09,-28.03835678100586,-122099.05083372998
29499,-391122.34375,0.0007,535,1.1920928955078125e-07,1.5753283500671387,530210752.0,590000,1102,20.56,-28.026386260986328,-140733.39874776
29999,-439767.8125,0.0007,544,0.0,1.5859870910644531,1435098368.0,600000,1102,17.05,-28.11813735961914,-139190.28706615002
30499,-877985.375,0.0007,553,0.0,1.5878748893737793,2482200064.0,610000,1102,21.42,-28.13461685180664,-155855.65983964
30999,-330641.96875,0.0007,562,0.0,1.5927377939224243,241374544.0,620000,1102,22.86,-28.170360565185547,-150481.2245665
31499,-277642.71875,0.0007,571,0.0,1.608789086341858,986023104.0,630000,1101,18.65,-28.32480239868164,-122315.68723967999
31999,-56752.1328125,0.0007,580,0.0,1.6227805614471436,118836544.0,640000,1101,16.12,-28.45547866821289,-103644.62535831
32499,-1322291.125,0.0007,590,0.0,1.6372153759002686,4038496768.0,650000,1101,16.47,-28.572017669677734,-118423.67649022002
32999,-931756.375,0.0007,599,0.0,1.6526042222976685,2749861632.0,660000,1100,13.61,-28.723377227783203,-135896.81610403
33499,-130902.625,0.0007,608,-1.1920928955078125e-07,1.666136384010315,76515216.0,670000,1100,25.61,-28.82858657836914,-184786.43840219997
33999,-806066.1875,0.0007,617,0.0,1.6849303245544434,2882460928.0,680000,1100,20.32,-28.999176025390625,-151080.24689547
34499,-968670.875,0.0007,626,1.1920928955078125e-07,1.6975923776626587,3291059200.0,690000,1100,14.1,-29.12343406677246,-105479.44565260998
34999,-396668.875,0.0007,636,0.0,1.7156342267990112,724122048.0,700000,1100,20.58,-29.284442901611328,-149498.21445357
35499,-176330.859375,0.0007,645,-1.1920928955078125e-07,1.7354944944381714,102180560.0,710000,1100,21.78,-29.460437774658203,-127258.20109665001
35999,-3061.651611328125,0.0007,654,0.0,1.751979947090149,46709768.0,720000,1099,17.56,-29.58066177368164,-112377.71543530999
36499,-773936.875,0.0007,664,-1.1920928955078125e-07,1.7733209133148193,2527311104.0,730000,1099,18.18,-29.75234603881836,-115100.88025485998
36999,-422182.8125,0.0007,673,-1.1920928955078125e-07,1.7854622602462769,1038024832.0,740000,1099,18.01,-29.851093292236328,-133219.52321853998
37499,-87626.9609375,0.0007,682,0.0,1.799824833869934,45048392.0,750000,1098,20.54,-29.980905532836914,-112386.05174921997
37999,-440123.0,0.0007,691,1.1920928955078125e-07,1.8318710327148438,364494432.0,760000,1098,16.4,-30.241695404052734,-144522.80244109
38499,-267786.75,0.0007,700,0.0,1.8515347242355347,355072864.0,770000,1098,18.24,-30.389400482177734,-144458.15648228
38999,-728365.5625,0.0007,710,1.7881393432617188e-07,1.8606559038162231,2382776576.0,780000,1098,22.25,-30.45437240600586,-159509.84568392002
39499,-347986.5,0.0007,719,0.0,1.8927870988845825,275501152.0,790000,1098,17.37,-30.706729888916016,-124096.73591148002
39999,-349336.21875,0.0007,728,1.1920928955078125e-07,1.903351902961731,195647456.0,800000,1098,25.22,-30.775341033935547,-182387.31887783
40499,-293768.46875,0.0007,737,0.0,1.9219111204147339,376537920.0,810000,1098,16.85,-30.910999298095703,-117883.62539438
40999,-1006546.0,0.0007,746,0.0,1.9370408058166504,2896567552.0,820000,1097,19.76,-31.012836456298828,-132290.68955811
41499,-938160.8125,0.0007,756,0.0,1.9529391527175903,3597924864.0,830000,1097,18.65,-31.14056396484375,-129402.91157442998
41999,-716641.3125,0.0007,765,0.0,1.9760066270828247,731645568.0,840000,1096,16.63,-31.30459213256836,-141538.96472523
42499,-982881.125,0.0007,775,0.0,1.985190749168396,2762466048.0,850000,1096,19.35,-31.380483627319336,-136686.06151445996
42999,-1698648.0,0.0007,784,0.0,1.9887890815734863,5070533120.0,860000,1096,21.74,-31.397197723388672,-127639.74120048
43499,-302996.0625,0.0007,794,5.960464477539063e-08,2.0132052898406982,291203776.0,870000,1095,19.89,-31.589214324951172,-151805.55023139
43999,-57813.9140625,0.0007,803,0.0,2.026428699493408,106437912.0,880000,1095,24.01,-31.695720672607422,-150506.00278664
44499,-887940.3125,0.0007,812,0.0,2.0418200492858887,2049789952.0,890000,1094,19.62,-31.79715919494629,-138018.52544927
44999,-993656.5,0.0007,822,-1.1920928955078125e-07,2.054927349090576,3054325504.0,900000,1094,20.79,-31.89699935913086,-137093.5808324
45499,-832325.875,0.0007,831,0.0,2.0696492195129395,2179239168.0,910000,1094,21.41,-32.015541076660156,-148560.05791701
45999,-1228020.0,0.0007,841,0.0,2.072390079498291,2779205376.0,920000,1093,21.28,-32.01736831665039,-151811.87642932002
46499,-557361.1875,0.0007,850,-1.1920928955078125e-07,2.092477560043335,365437792.0,930000,1093,18.52,-32.167686462402344,-130180.05224893
46999,-453391.75,0.0007,860,1.1920928955078125e-07,2.107069492340088,1466343680.0,940000,1092,15.95,-32.25771713256836,-115020.99674722001
47499,-838894.6875,0.0007,869,0.0,2.1298089027404785,2625990400.0,950000,1092,16.92,-32.413822174072266,-141216.83366858997
47999,-1436683.125,0.0007,878,-1.1920928955078125e-07,2.143794298171997,5247534080.0,960000,1092,18.5,-32.51712417602539,-132145.28049368004
48499,-429862.0625,0.0007,887,1.7881393432617188e-07,2.1794350147247314,257160272.0,970000,1092,19.87,-32.777122497558594,-134953.05422700002
48999,-812853.0,0.0007,896,0.0,2.18827486038208,2356004864.0,980000,1092,16.4,-32.840450286865234,-124926.76515861
49499,-1125359.125,0.0007,905,5.960464477539063e-08,2.2087323665618896,3071727104.0,990000,1093,22.9,-33.00173568725586,-166581.57178687
49999,-1225067.0,0.0007,914,0.0,2.2113027572631836,2883948544.0,1000000,1093,20.77,-33.014068603515625,-149784.58463052002
