train/policy_loss,train/explained_variance,train/std,train/entropy_loss,time/time_elapsed,train/learning_rate,time/fps,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,rollout/ep_len_mean,train/n_updates
-130705.2734375,0.0,0.9974868297576904,-12.747498512268066,56,0.0001,2667,-304928.02115113,171906720.0,150000,129.52,1874
-193864.90625,0.0,0.9974913001060486,-12.747859001159668,59,0.0001,2667,-287830.9559389,740340864.0,160000,126.65,1999
-172435.234375,0.0,0.996867835521698,-12.741889953613281,63,0.0001,2667,-266883.81224833,243056640.0,170000,114.22,2124
-121303.3125,1.1920928955078125e-07,0.9970385432243347,-12.743389129638672,67,0.0001,2667,-265473.10212482995,202165280.0,180000,116.78,2249
-191645.84375,0.0,0.9964983463287354,-12.738568305969238,71,0.0001,2667,-289245.54551618,875122560.0,190000,134.99,2374
-90200.3359375,0.0,0.9964053630828857,-12.73723030090332,74,0.0001,2667,-219529.23677428003,103652536.0,200000,98.95,2499
-110627.515625,0.0,0.99643874168396,-12.738646507263184,78,0.0001,2663,-245522.72097333003,287014720.0,210000,113.73,2624
-72574.5546875,0.0,0.9965455532073975,-12.738658905029297,82,0.0001,2663,-233664.10464699997,71371024.0,220000,102.07,2749
-81803.6640625,0.0,0.9960613250732422,-12.73416805267334,86,0.0001,2663,-221528.69245855,82803048.0,230000,109.52,2874
-137253.53125,0.0,0.9956674575805664,-12.731000900268555,90,0.0001,2657,-214075.05356891,221720480.0,240000,95.78,2999
-188994.484375,0.0,0.9948981404304504,-12.724170684814453,94,0.0001,2650,-201675.87950706002,629288640.0,250000,86.26,3124
-208712.734375,0.0,0.9947327375411987,-12.722747802734375,98,0.0001,2645,-202054.33697046002,853136576.0,260000,89.08,3249
-149510.703125,0.0,0.9946046471595764,-12.72053337097168,102,0.0001,2633,-235596.92933824004,772167296.0,270000,109.97,3374
-36213.78515625,0.0,0.9948101043701172,-12.723138809204102,106,0.0001,2624,-207961.71813307996,35069900.0,280000,91.91,3499
-48172.828125,0.0,0.9947154521942139,-12.722535133361816,110,0.0001,2620,-211993.97328334997,31831398.0,290000,99.15,3624
-103892.4140625,0.0,0.9946723580360413,-12.722192764282227,114,0.0001,2614,-209888.89268048,149367008.0,300000,107.19,3749
-169775.625,0.0,0.9946056008338928,-12.721288681030273,119,0.0001,2604,-193749.72938727,723881664.0,310000,87.45,3874
-47891.328125,0.0,0.9941362738609314,-12.716852188110352,123,0.0001,2597,-191590.17613407,61517688.0,320000,82.36,3999
-266627.34375,0.0,0.9943716526031494,-12.719013214111328,127,0.0001,2591,-202620.78611826,1518202624.0,330000,93.16,4124
-207195.59375,0.0,0.994594156742096,-12.720808029174805,131,0.0001,2586,-202801.24301131,731188096.0,340000,93.47,4249
-288108.6875,0.0,0.9942107796669006,-12.71772289276123,135,0.0001,2576,-180139.08657937005,1167454080.0,350000,80.63,4374
-142015.625,0.0,0.9936959743499756,-12.712641716003418,139,0.0001,2573,-181950.60042819995,246408800.0,360000,87.95,4499
-2313.028564453125,0.0,0.9936373233795166,-12.71220588684082,144,0.0001,2568,-168278.67401416998,3224682.0,370000,71.52,4624
-135882.265625,-1.1920928955078125e-07,0.9936740398406982,-12.71324348449707,148,0.0001,2565,-178957.32854306002,487229888.0,380000,88.5,4749
-121041.4765625,0.0,0.993887186050415,-12.714618682861328,152,0.0001,2562,-166452.79410054,141248432.0,390000,70.73,4874
-325871.28125,-1.1920928955078125e-07,0.9937422275543213,-12.713374137878418,156,0.0001,2556,-161597.97980031,1546594304.0,400000,72.63,4999
-32101.662109375,1.1920928955078125e-07,0.9939692616462708,-12.715356826782227,160,0.0001,2549,-192636.28130715003,20156858.0,410000,100.88,5124
-16761.873046875,0.0,0.993575394153595,-12.711109161376953,164,0.0001,2545,-176324.20307986002,22667030.0,420000,84.37,5249
-135975.953125,0.0,0.9936320185661316,-12.71148681640625,169,0.0001,2543,-175617.6051086,515840192.0,430000,78.67,5374
-185784.90625,-1.1920928955078125e-07,0.9930275678634644,-12.706220626831055,173,0.0001,2536,-180738.79971415002,625008896.0,440000,90.61,5499
-43195.08203125,-1.1920928955078125e-07,0.9934881925582886,-12.710878372192383,177,0.0001,2533,-180932.52419453004,43876428.0,450000,88.96,5624
-163195.6875,1.7881393432617188e-07,0.9929468631744385,-12.70596981048584,181,0.0001,2530,-159921.2729666,562424128.0,460000,72.61,5749
-188872.4375,0.0,0.9932180047035217,-12.707982063293457,185,0.0001,2527,-179670.26265370997,691377280.0,470000,91.53,5874
-176139.96875,0.0,0.9934204816818237,-12.709595680236816,190,0.0001,2522,-178302.50529903002,885933184.0,480000,86.08,5999
-255576.328125,0.0,0.993450403213501,-12.710259437561035,194,0.0001,2522,-167226.89879927,1065221440.0,490000,73.75,6124
-288137.125,0.0,0.9929990768432617,-12.706548690795898,198,0.0001,2516,-176443.58290839999,1230982656.0,500000,80.25,6249
-81916.03125,-1.1920928955078125e-07,0.9924196600914001,-12.701542854309082,202,0.0001,2515,-177899.42270220004,117883880.0,510000,84.54,6374
-66645.8203125,0.0,0.9924861192703247,-12.701359748840332,206,0.0001,2513,-167698.26117541,55825004.0,520000,78.65,6499
-286277.65625,0.0,0.9921955466270447,-12.699304580688477,210,0.0001,2513,-175176.89693735997,1167608064.0,530000,85.32,6624
-86880.9765625,0.0,0.9921706318855286,-12.698565483093262,215,0.0001,2509,-173894.65850852,108300352.0,540000,79.39,6749
-80885.609375,5.960464477539063e-08,0.9917252063751221,-12.694341659545898,219,0.0001,2505,-167150.9252912,467811008.0,550000,72.62,6874
-147220.34375,0.0,0.991409957408905,-12.691742897033691,223,0.0001,2505,-170598.60461707,269935680.0,560000,85.14,6999
-103268.015625,0.0,0.9919779896736145,-12.697132110595703,227,0.0001,2503,-170795.06216002,506150560.0,570000,83.85,7124
-122236.2265625,0.0,0.9916415810585022,-12.69387149810791,231,0.0001,2502,-159120.37936680004,180484032.0,580000,76.57,7249
-74316.53125,0.0,0.9917262196540833,-12.694762229919434,235,0.0001,2501,-161192.18448984,127149232.0,590000,75.96,7374
-45313.9765625,0.0,0.9914500713348389,-12.691919326782227,239,0.0001,2503,-180043.52870626003,38654216.0,600000,93.04,7499
-121026.4375,0.0,0.9916297197341919,-12.693500518798828,243,0.0001,2502,-156491.81160179002,521622720.0,610000,73.51,7624
-90512.140625,0.0,0.9915962219238281,-12.693830490112305,248,0.0001,2496,-168978.29166530003,101339552.0,620000,79.61,7749
-58028.625,0.0,0.9917839765548706,-12.695012092590332,252,0.0001,2495,-162318.99695853,50590076.0,630000,79.25,7874
-125947.734375,5.960464477539063e-08,0.9920451045036316,-12.697406768798828,256,0.0001,2494,-178586.52143846,485326432.0,640000,89.52,7999
-161077.859375,-1.1920928955078125e-07,0.9922550916671753,-12.699840545654297,260,0.0001,2493,-161150.49540731,910237056.0,650000,75.85,8124
-139235.53125,0.0,0.9923665523529053,-12.700139999389648,264,0.0001,2496,-166032.99408636,478115584.0,660000,84.02,8249
-129207.3125,0.0,0.9918491840362549,-12.695460319519043,268,0.0001,2495,-161589.97088973998,507110656.0,670000,78.23,8374
-131192.0,5.960464477539063e-08,0.9917150139808655,-12.694273948669434,272,0.0001,2493,-151631.80578514002,502105024.0,680000,74.29,8499
-182502.015625,-1.1920928955078125e-07,0.9918559193611145,-12.6956787109375,276,0.0001,2492,-164030.42228399002,748931648.0,690000,80.43,8624
-41260.44140625,1.1920928955078125e-07,0.9924681782722473,-12.701373100280762,280,0.0001,2492,-162854.01974617998,25857084.0,700000,82.53,8749
-110420.3125,0.0,0.9920960664749146,-12.697839736938477,285,0.0001,2489,-154968.07204175,499397472.0,710000,75.8,8874
-164195.28125,0.0,0.9913914799690247,-12.691340446472168,289,0.0001,2487,-156815.90482731,558536704.0,720000,73.19,8999
-239095.40625,0.0,0.9909759163856506,-12.687664031982422,293,0.0001,2488,-164768.09951613002,1060012416.0,730000,85.98,9124
-211806.59375,1.7881393432617188e-07,0.9901412129402161,-12.679725646972656,297,0.0001,2486,-162470.84326699004,996637888.0,740000,84.39,9249
-166469.46875,5.960464477539063e-08,0.9898625612258911,-12.67704963684082,301,0.0001,2486,-164377.60447002,602897664.0,750000,84.17,9374
-33116.0546875,0.0,0.9895777106285095,-12.674541473388672,305,0.0001,2484,-153986.3601088,21673666.0,760000,77.91,9499
-146937.84375,0.0,0.9892870783805847,-12.672126770019531,309,0.0001,2484,-172757.16812132005,536960064.0,770000,89.89,9624
-201530.171875,0.0,0.9888864159584045,-12.667888641357422,313,0.0001,2485,-168566.25847993002,928781632.0,780000,82.92,9749
-88685.6015625,0.0,0.9887699484825134,-12.666630744934082,317,0.0001,2485,-175113.54580786996,127414912.0,790000,92.48,9874
-59598.8125,0.0,0.9890474677085876,-12.669219017028809,321,0.0001,2487,-163000.57840971998,57395592.0,800000,82.31,9999
-55278.09375,0.0,0.9888896942138672,-12.668468475341797,325,0.0001,2489,-162880.80528026004,62195028.0,810000,83.36,10124
-63972.0703125,0.0,0.9885097146034241,-12.664307594299316,329,0.0001,2490,-150108.18375112,162479872.0,820000,65.78,10249
-70340.296875,0.0,0.9887757897377014,-12.667224884033203,333,0.0001,2491,-155441.00129,76693520.0,830000,80.48,10374
-211926.078125,0.0,0.9885904788970947,-12.66517448425293,337,0.0001,2492,-150981.07688744002,1150985472.0,840000,74.43,10499
-122507.171875,0.0,0.9888640642166138,-12.667145729064941,340,0.0001,2494,-153314.26558243,470368928.0,850000,75.07,10624
-123631.9375,0.0,0.9886782169342041,-12.666069030761719,344,0.0001,2495,-160676.25486261002,155237200.0,860000,80.77,10749
-59927.73828125,0.0,0.9887247085571289,-12.666455268859863,348,0.0001,2495,-151353.24561378,52928888.0,870000,76.12,10874
