train/n_updates,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef,time/episodes,train/learning_rate,time/time_elapsed,train/critic_loss,train/actor_loss,train/ent_coef_loss
179974,3.35,720000,-146869.75353672,278,11219.75,214203,0.0055,2589,39765188608.0,736433.625,13.40318489074707
182474,3.1,730000,-140201.86685344,277,2587.479248046875,217241,0.0055,2627,2577952256.0,254798.328125,107.08967590332031
184974,3.0,740000,-138540.84010846,277,185.54530334472656,220446,0.0055,2665,369398208.0,155583.78125,36.523197174072266
187474,3.0,750000,-138430.79928505002,277,51.94908142089844,223592,0.0055,2703,210834400.0,125772.4296875,15.416232109069824
189974,3.01,760000,-137210.74298190998,277,62.69691848754883,226826,0.0055,2740,54593448.0,120211.078125,27.724048614501953
192474,3.0,770000,-136220.18897028,277,38.760135650634766,229767,0.0055,2778,43962328.0,155634.421875,-16.97015380859375
194974,3.0,780000,-136587.21813350002,277,25.155515670776367,232572,0.0055,2815,19509684.0,148120.03125,3.6618809700012207
197474,6.07,790000,-245201.56148483002,276,92.60001373291016,234464,0.0055,2852,264998112.0,200913.9375,34.375980377197266
199974,3.0,800000,-138583.69501388998,276,272.4883728027344,236900,0.0055,2889,1421728512.0,256199.5625,3.659789562225342
202474,3.1,810000,-139978.09569734999,276,182.99134826660156,240080,0.0055,2927,427705024.0,173789.828125,-136.3619384765625
204974,3.0,820000,-138033.00409061,276,171.4430694580078,242880,0.0055,2964,234289600.0,174122.34375,-88.9443588256836
207474,3.09,830000,-140277.6650225,276,2450.422119140625,245891,0.0055,3002,531521568.0,167777.34375,59.416202545166016
209974,3.0,840000,-136826.95736454,276,33.53752136230469,249064,0.0055,3039,59975120.0,119016.546875,10.126785278320312
212474,3.0,850000,-136684.29377022,276,32.3208122253418,252396,0.0055,3077,27717148.0,114351.109375,-2.714282512664795
214974,3.0,860000,-136416.37356681,276,18.11073112487793,255730,0.0055,3114,3057444.5,113676.3125,-3.8917946815490723
217474,3.21,870000,-142573.80689583998,276,508.1805725097656,258395,0.0055,3152,330614720.0,117462.4140625,95.24647521972656
219974,3.0,880000,-136586.14820156,275,27.544025421142578,261725,0.0055,3190,33091364.0,117133.90625,10.410507202148438
222474,3.0,890000,-136490.63543954,275,15.836459159851074,265058,0.0055,3230,11931266.0,116142.6015625,-3.1411449909210205
224974,3.0,900000,-136387.82731809,275,32.658992767333984,268307,0.0055,3270,6212716.0,116907.96875,-2.6261019706726074
227474,3.03,910000,-138768.48637201998,275,883.5643920898438,270913,0.0055,3308,1357488384.0,183293.484375,18.34369659423828
229974,3.0,920000,-136804.51282481998,274,79.96399688720703,274009,0.0055,3346,52759280.0,131689.53125,22.130401611328125
232474,3.0,930000,-136705.55002437,274,35.28590774536133,277316,0.0055,3384,18340408.0,127089.0625,2.3364932537078857
234974,3.0,940000,-136415.00576777002,274,26.572174072265625,280649,0.0055,3422,5376784.5,122704.2890625,0.84066241979599
237474,3.0,950000,-137043.14223625997,274,165.07423400878906,283486,0.0055,3461,16336402.0,141091.359375,-39.59507369995117
239974,3.03,960000,-137650.42935815,274,268.7811279296875,286543,0.0055,3499,19187608.0,140471.65625,7.157711029052734
242474,3.03,970000,-137163.65152582002,274,218.555419921875,289569,0.0055,3537,30480496.0,154560.171875,-46.371307373046875
244974,3.0,980000,-136610.29179901,274,50.83900833129883,292467,0.0055,3575,47805564.0,128403.375,32.08171081542969
247474,3.0,990000,-136280.97664670003,273,30.048357009887695,295799,0.0055,3613,22288796.0,128682.6015625,17.49518585205078
249974,3.0,1000000,-136123.9664642,273,23.488128662109375,299133,0.0055,3651,33742032.0,120241.03125,-39.49409103393555
