rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,rollout/ep_len_mean,time/time_elapsed,train/std,time/total_timesteps,train/policy_loss,train/learning_rate
-230136.9422184,1697,5.960464477539063e-08,38499,-14.880708694458008,22758.6015625,247.3,453,1.2764317989349365,770000,-42.92596435546875,0.0007
-93515.17786911002,1697,0.0,38999,-14.959962844848633,20049166.0,55.4,459,1.2875628471374512,780000,-32276.73046875,0.0007
-133881.04411385997,1698,-1.1920928955078125e-07,39499,-15.081201553344727,20418828.0,146.95,465,1.3053046464920044,790000,-29213.91796875,0.0007
-161846.89647695998,1698,-1.1920928955078125e-07,39999,-15.018117904663086,460826.5625,220.44,471,1.296980619430542,800000,5223.2705078125,0.0007
-124296.14217114,1698,0.0,40499,-15.014872550964355,18321298.0,150.82,476,1.2972944974899292,810000,-22466.017578125,0.0007
-122358.65802993998,1698,5.960464477539063e-08,40999,-15.000004768371582,4351944.0,76.73,482,1.2954416275024414,820000,16959.91015625,0.0007
-117318.81830407001,1698,-1.1920928955078125e-07,41499,-15.059575080871582,3186109.5,80.62,488,1.303633213043213,830000,-6298.83349609375,0.0007
-141719.43531731,1698,2.384185791015625e-07,41999,-15.102922439575195,21720270.0,151.91,494,1.3110222816467285,840000,-38102.29296875,0.0007
-174583.74701697004,1698,0.0,42499,-15.163915634155273,123070.7265625,252.84,500,1.3202719688415527,850000,-276.1264953613281,0.0007
-181574.30963614996,1698,2.384185791015625e-07,42999,-15.198854446411133,9349.0673828125,336.74,506,1.3261386156082153,860000,-212.41146850585938,0.0007
-148356.59952778,1698,-2.384185791015625e-07,43499,-15.196565628051758,418280000.0,63.29,512,1.3257337808609009,870000,-115151.0,0.0007
-123239.1368008,1698,1.1920928955078125e-07,43999,-15.26780891418457,8424.791015625,82.53,517,1.3354660272598267,880000,-1198.539306640625,0.0007
-158653.00514124997,1699,0.0,44499,-15.244741439819336,166371.625,157.03,523,1.3314939737319946,890000,1202.927978515625,0.0007
-134666.43500903004,1698,1.7881393432617188e-07,44999,-15.218236923217773,16067.0654296875,157.84,529,1.327508568763733,900000,-1661.689697265625,0.0007
-108463.52118436998,1698,0.0,45499,-15.27989387512207,998392704.0,41.62,535,1.3379230499267578,910000,-231140.921875,0.0007
-124057.17826479003,1698,0.0,45999,-15.28272819519043,30647540.0,94.15,541,1.337796926498413,920000,-32284.912109375,0.0007
-102370.77770998002,1698,5.960464477539063e-08,46499,-15.299497604370117,2133919360.0,27.27,547,1.3400678634643555,930000,-389673.25,0.0007
-112569.97842952,1698,0.0,46999,-15.384904861450195,10477802.0,42.59,553,1.3531041145324707,940000,27350.60546875,0.0007
-107143.07752310002,1697,0.0,47499,-15.381498336791992,1273556.25,45.22,559,1.3511223793029785,950000,8905.9169921875,0.0007
-97663.48869909,1697,0.0,47999,-15.456146240234375,4604402176.0,31.01,565,1.3640661239624023,960000,-729074.375,0.0007
-106256.59610655,1697,0.0,48499,-15.417356491088867,519653.25,108.39,571,1.3597900867462158,970000,4314.39599609375,0.0007
-94532.92151461,1697,0.0,48999,-15.366483688354492,24979596.0,187.82,577,1.3505070209503174,980000,-34731.8359375,0.0007
-94787.3628483,1697,0.0,49499,-15.43867301940918,669480.625,239.59,583,1.3599785566329956,990000,3047.69287109375,0.0007
-108538.09578761,1697,0.0,49999,-15.439191818237305,5616.494140625,240.87,588,1.361814260482788,1000000,-891.1463623046875,0.0007
