train/n_updates,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/loss,time/total_timesteps,train/value_loss,time/time_elapsed,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,time/fps,train/clip_range,train/std
410,16.87,0.0017,-146280.81072246,2556809728.0,340000,5400034420.0,378,0.004320656,-1.1920928955078125e-07,-0.0026080610983626683,-20.08494254350662,0.01097412109375,897,0.2,1.2955864667892456
420,19.03,0.0017,-153157.93975373002,2408668160.0,350000,5427295712.2,389,0.0029658899,0.0,-0.0021811368731505356,-20.1795226380229,0.00548095703125,899,0.2,1.3063808679580688
430,17.48,0.0017,-140884.73600119,2835754240.0,360000,5208031536.6,399,0.005129319,0.0,-0.0032178890061913988,-20.269661904871462,0.0281982421875,900,0.2,1.3153371810913086
450,18.25,0.0017,-151028.23555436,2777348352.0,370000,5390416737.4,414,0.0043477314,-1.1920928955078125e-07,-0.0025911176364388664,-20.446350254118443,0.01549072265625,892,0.2,1.3355640172958374
460,19.5,0.0017,-141291.45089721,2625127168.0,380000,5343614386.4,425,0.003688688,0.0,-0.0022192387254108326,-20.53631449788809,0.0085693359375,893,0.2,1.3450560569763184
470,15.42,0.0017,-132562.71660117002,2370807808.0,390000,5107336874.6,435,0.0036448233,0.0,-0.0018055141143122455,-20.624099139869212,0.0128662109375,894,0.2,1.3552719354629517
480,17.76,0.0017,-142134.41001936997,3007365120.0,400000,5323807604.0,446,0.003979605,0.0,-0.002600506014232451,-20.715569926798345,0.01881103515625,895,0.2,1.3656340837478638
500,15.23,0.0017,-128334.1455532,2877798656.0,410000,5163248229.6,461,0.0043666316,-1.1920928955078125e-07,-0.002498651642781624,-20.90632783919573,0.0118896484375,888,0.2,1.3871783018112183
510,19.13,0.0017,-144109.10661801999,2306481152.0,420000,5040287434.8,472,0.0036141532,0.0,-0.0019582439581427025,-20.99676155894995,0.01011962890625,889,0.2,1.3987698554992676
520,16.22,0.0017,-135610.5397275,2327259904.0,430000,5133270203.6,482,0.0055110482,0.0,-0.0034680304210269242,-21.092316287755967,0.02379150390625,890,0.2,1.4092812538146973
530,15.76,0.0017,-136356.15634397,2984301312.0,440000,5339302688.4,493,0.002889765,-1.1920928955078125e-07,-0.001531022720882902,-21.1694177120924,0.0044677734375,891,0.2,1.4172412157058716
540,16.5,0.0017,-136837.22557756,2489686016.0,450000,5150132963.6,503,0.0055590905,0.0,-0.003519756713831157,-21.244721783697607,0.0240478515625,892,0.2,1.4268746376037598
560,17.95,0.0017,-129048.49463681999,2073885568.0,460000,4953749140.0,519,0.0050675133,5.960464477539063e-08,-0.003825034424153273,-21.423411752283574,0.0246337890625,886,0.2,1.4492806196212769
570,15.25,0.0017,-125148.04606318,2428897280.0,470000,5054501161.8,529,0.0028989208,0.0,-0.0017783189250621945,-21.513077396154404,0.00765380859375,887,0.2,1.4592622518539429
580,17.09,0.0017,-137541.35790004,2548798464.0,480000,5031550300.6,540,0.004523183,-1.1920928955078125e-07,-0.0025303604070359142,-21.590297527611256,0.01600341796875,888,0.2,1.4682408571243286
590,15.37,0.0017,-126849.49670209,2084341248.0,490000,5153891686.6,550,0.0056264196,0.0,-0.0043832605510033314,-21.673839983344077,0.025244140625,889,0.2,1.479274868965149
610,16.44,0.0017,-133617.41713356998,2141599360.0,500000,4887966315.4,566,0.004199203,0.0,-0.0031401726781041363,-21.837418566644192,0.01734619140625,883,0.2,1.4991861581802368
620,17.84,0.0017,-135325.36704724,2179927552.0,510000,4895336217.2,576,0.0053909533,0.0,-0.003500472393716336,-21.92327937632799,0.027392578125,884,0.2,1.5105433464050293
630,16.12,0.0017,-130704.62561775999,2590042112.0,520000,4838782932.8,586,0.0044671195,-1.1920928955078125e-07,-0.0030763578095502455,-22.014326953887938,0.0192626953125,886,0.2,1.5224040746688843
640,17.58,0.0017,-132801.77652825997,2385524992.0,530000,5049175536.6,597,0.004001423,0.0,-0.0029560126064097857,-22.098911875486372,0.019873046875,887,0.2,1.532101035118103
650,15.71,0.0017,-116962.16481718,2457618944.0,540000,4777514985.2,607,0.003864062,0.0,-0.0024841774937158336,-22.184393911063673,0.01146240234375,888,0.2,1.5444010496139526
670,13.43,0.0017,-119664.63498150998,2311377920.0,550000,4834946262.6,623,0.002985577,0.0,-0.0018116274221029016,-22.374143943190575,0.00816650390625,882,0.2,1.5683330297470093
680,14.59,0.0017,-123481.76206915002,2352860928.0,560000,4623128179.8,633,0.0046795476,0.0,-0.0022470693778814167,-22.464117474853992,0.02286376953125,883,0.2,1.5807303190231323
690,15.69,0.0017,-130270.0449529,2461919488.0,570000,4834502265.6,644,0.0034130588,0.0,-0.0019318521854074788,-22.556291559338568,0.0079833984375,884,0.2,1.592668890953064
700,16.36,0.0017,-132648.52968296,2427803136.0,580000,4869743660.8,654,0.00490712,0.0,-0.003869339968332497,-22.654278790950777,0.0226806640625,885,0.2,1.6063555479049683
720,14.78,0.0017,-130501.80690880999,2257060096.0,590000,4722643272.6,670,0.004372972,0.0,-0.0024886735478503396,-22.870792852342127,0.0171875,880,0.2,1.6345772743225098
730,16.9,0.0017,-130470.97656958003,2583794176.0,600000,4865883897.6,680,0.004665007,-1.1920928955078125e-07,-0.0033144869476018357,-22.958237402141094,0.02177734375,881,0.2,1.6473273038864136
740,16.62,0.0017,-126837.10335367001,2357927424.0,610000,4750149815.8,691,0.004643484,0.0,-0.0033555351259565215,-23.062424498796464,0.020458984375,882,0.2,1.6632628440856934
750,15.62,0.0017,-128508.47269919001,2671420160.0,620000,4708995220.0,702,0.0032722685,-1.1920928955078125e-07,-0.0013266128392388054,-23.166427916288377,0.00675048828125,882,0.2,1.676501750946045
760,16.69,0.0017,-133486.13412875,2432361472.0,630000,4763910323.8,712,0.004235586,0.0,-0.002452481673935836,-23.252897092700003,0.015185546875,883,0.2,1.6874521970748901
780,18.54,0.0017,-151305.44184292,2408363264.0,640000,4903391387.2,728,0.003170031,0.0,-0.0017741555200700531,-23.43808153271675,0.00909423828125,878,0.2,1.7156153917312622
790,15.71,0.0017,-122861.59846862999,2583849984.0,650000,4780383185.8,738,0.0036879778,0.0,-0.0024494597317243462,-23.54443937242031,0.01090087890625,879,0.2,1.7309755086898804
800,17.5,0.0017,-132606.38826369,2399486208.0,660000,4562692175.0,749,0.0029566032,0.0,-0.0021848768106792703,-23.655362306535245,0.012646484375,880,0.2,1.7476145029067993
810,14.43,0.0017,-121808.36780543998,1928916608.0,670000,4641287050.4,759,0.0045933663,0.0,-0.002907241684442852,-23.762784534692763,0.0177978515625,881,0.2,1.7618976831436157
830,17.08,0.0017,-135229.43287379,2104803328.0,680000,4636482271.2,775,0.004609109,-2.384185791015625e-07,-0.0027923258934606566,-23.96091868430376,0.01961669921875,877,0.2,1.7917999029159546
840,14.91,0.0017,-126001.15441584002,2185991168.0,690000,4559137679.6,785,0.0036052242,-1.1920928955078125e-07,-0.0023026946817481077,-24.062120427191257,0.01566162109375,878,0.2,1.8064985275268555
850,16.39,0.0017,-125728.20528380999,2516360192.0,700000,4765155445.6,796,0.0031876517,0.0,-0.0025083747143980874,-24.160445903241634,0.01419677734375,879,0.2,1.8217960596084595
860,17.17,0.0017,-124324.10712973999,2305113344.0,710000,4569737830.2,806,0.0033586728,0.0,-0.0025004197337693767,-24.2680664896965,0.00826416015625,880,0.2,1.8389438390731812
870,17.09,0.0017,-139303.46789311,2361809408.0,720000,4586840043.0,816,0.003994571,0.0,-0.002763866329769371,-24.366617748141287,0.018212890625,881,0.2,1.8522253036499023
890,15.69,0.0017,-124373.51385548997,2068773120.0,730000,4434108959.8,832,0.0039358884,0.0,-0.0019247663674832438,-24.56179555207491,0.0135009765625,877,0.2,1.8835722208023071
900,15.0,0.0017,-127820.2092743,2207817728.0,740000,4504961263.6,842,0.0035685254,0.0,-0.0024741716602875385,-24.664349795877932,0.0082275390625,877,0.2,1.9000574350357056
910,14.17,0.0017,-119850.52078497002,2092044032.0,750000,4422648697.8,853,0.0047805067,0.0,-0.0035788323519227562,-24.76233569085598,0.02374267578125,878,0.2,1.9145194292068481
920,15.54,0.0017,-131960.59406377,2450489856.0,760000,4677062811.4,864,0.0031912494,0.0,-0.0024085291341179984,-24.856666864454745,0.0062744140625,879,0.2,1.930253505706787
930,15.24,0.0017,-121028.14747466,2247851520.0,770000,4491056179.2,874,0.0033962769,0.0,-0.0018773320771288127,-24.959019015729428,0.00860595703125,880,0.2,1.9476150274276733
950,15.23,0.0017,-130907.91917514,1905847424.0,780000,4686236007.6,890,0.004216955,-1.1920928955078125e-07,-0.003023498732545704,-25.145508274435997,0.02464599609375,876,0.2,1.9760321378707886
960,16.19,0.0017,-132493.19848545996,2169654784.0,790000,4594476866.2,900,0.0036919923,5.960464477539063e-08,-0.0026029272364212373,-25.235768033564092,0.01510009765625,877,0.2,1.992465615272522
970,14.87,0.0017,-128448.09011807997,2533605376.0,800000,4564051535.6,911,0.0040440653,0.0,-0.0025172555445351465,-25.333415564894675,0.01875,877,0.2,2.0085675716400146
980,16.22,0.0017,-132839.17159928,2420964096.0,810000,4504924678.4,922,0.0027981685,0.0,-0.0011057544048526323,-25.4206774443388,0.00762939453125,878,0.2,2.0219509601593018
1000,17.93,0.0017,-142040.24835109,2385107200.0,820000,4600362936.2,937,0.004157273,0.0,-0.0030330106304973015,-25.617106172442437,0.0142578125,874,0.2,2.0567009449005127
1010,16.02,0.0017,-131407.87544794,2102927616.0,830000,4378902710.4,948,0.0038571646,0.0,-0.002532143837743206,-25.720973485708235,0.01461181640625,875,0.2,2.0757319927215576
1020,15.21,0.0017,-119119.23430842001,2119545088.0,840000,4404845341.0,959,0.0029474786,1.1920928955078125e-07,-0.001750746023208194,-25.82471578270197,0.01103515625,875,0.2,2.0927963256835938
1030,14.5,0.0017,-115154.94706134003,2382582784.0,850000,4450601560.0,969,0.0034568897,0.0,-0.002287803891704243,-25.934321880340576,0.0136962890625,876,0.2,2.113821268081665
1040,14.46,0.0017,-125344.33510238,1886764288.0,860000,4293361395.6,980,0.003867984,1.1920928955078125e-07,-0.0029261833706186735,-26.045055823028086,0.0164794921875,877,0.2,2.131429672241211
1060,15.17,0.0017,-125297.04067511,2274996992.0,870000,4275902709.2,995,0.0032500585,0.0,-0.0020695842593340787,-26.225963233411314,0.01412353515625,873,0.2,2.1642873287200928
1070,15.5,0.0017,-121407.37759820001,2340611840.0,880000,4457816945.8,1006,0.0036211968,0.0,-0.0015998779639630812,-26.332356303930283,0.0145751953125,874,0.2,2.1843440532684326
1080,14.94,0.0017,-127140.74970762,2130553856.0,890000,4343266891.4,1017,0.0030894976,0.0,-0.0010536166328165564,-26.44172491878271,0.007958984375,875,0.2,2.2044901847839355
1090,17.63,0.0017,-138033.32322048998,2125029504.0,900000,4296398692.8,1027,0.0032409045,0.0,-0.0013179028992453823,-26.543549221754073,0.0109375,875,0.2,2.221597194671631
1110,16.44,0.0017,-132979.90557341,2672697088.0,910000,4545543232.8,1043,0.002707329,0.0,-0.0017118616131483577,-26.71641142964363,0.0049560546875,872,0.2,2.254796266555786
1120,16.19,0.0017,-139326.38315181003,1831659648.0,920000,4288447639.8,1053,0.0032826317,0.0,-0.0028570242946443615,-26.833781559765338,0.00992431640625,873,0.2,2.2795650959014893
1130,14.4,0.0017,-129895.31461547001,2049291264.0,930000,4483513938.2,1064,0.0031431066,0.0,-0.0015540675198280952,-26.95326090157032,0.0073486328125,873,0.2,2.3007473945617676
1140,16.21,0.0017,-133433.46984804998,2166879488.0,940000,4299184221.2,1074,0.0037196549,0.0,-0.0021458644818267204,-27.058827447891236,0.013232421875,874,0.2,2.320204019546509
1150,15.79,0.0017,-133610.75014453,2076345472.0,950000,4185646254.6,1085,0.0027747096,0.0,-0.001673790667700814,-27.167029231786728,0.00958251953125,875,0.2,2.3427035808563232
1170,15.76,0.0017,-127612.74627969999,1942072064.0,960000,4194657692.6,1101,0.0029267159,0.0,-0.0010261947943945415,-27.382598504424095,0.006005859375,871,0.2,2.382662057876587
1180,14.79,0.0017,-126667.98367849998,2075689856.0,970000,4131197960.2,1111,0.00282263,0.0,-0.0015467829571207403,-27.485316398739815,0.0059814453125,872,0.2,2.4060709476470947
1190,16.79,0.0017,-139831.74545192,2008439808.0,980000,4108687841.6,1122,0.0029437647,0.0,-0.0015726568612080883,-27.604026921093464,0.01221923828125,873,0.2,2.4305264949798584
1200,15.57,0.0017,-128988.56767320001,2183006720.0,990000,4234424602.4,1133,0.002317326,-1.1920928955078125e-07,-0.0017001667127260589,-27.723313282430173,0.0037353515625,873,0.2,2.4547293186187744
1220,14.35,0.0017,-123797.98789773001,2039472768.0,1000000,4211650394.4,1148,0.0035445485,0.0,-0.0023990070308173017,-27.95045289546251,0.01165771484375,870,0.2,2.5021657943725586
