train/critic_loss,time/episodes,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/actor_loss,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,time/total_timesteps
133817200.0,5874,-223.99197387695312,-83414.32746432001,431.5645751953125,82474,233.130126953125,1775,185,37.4,0.0055,330000
15793681.0,6029,5.279439926147461,-32871.71833117,89.0120620727539,84974,-24944.791015625,1829,185,55.07,0.0055,340000
46843808.0,6290,-0.930586576461792,133289.56687394,32.21523666381836,87474,-37406.02734375,1883,185,22.83,0.0055,350000
60825880.0,6614,-51.8822021484375,131145.37144994,65.0154800415039,89974,-25616.662109375,1936,185,25.12,0.0055,360000
61563796.0,6717,26.972515106201172,-267435.26115299,92.1045150756836,92474,-20602.484375,1990,185,86.39,0.0055,370000
42653760.0,7021,3.182229518890381,132214.70422673,39.55257034301758,94974,-29987.642578125,2043,185,26.17,0.0055,380000
27009556.0,7192,35.134544372558594,-85114.21383525003,306.56390380859375,97474,-7009.77490234375,2096,185,82.82,0.0055,390000
7837242.5,7334,8.639856338500977,87071.81648734999,43.183143615722656,99974,-29666.3984375,2150,186,67.42,0.0055,400000
7652886.5,7640,-2.684518337249756,133389.90269764,23.676942825317383,102474,-31590.80859375,2209,185,20.03,0.0055,410000
12116828.0,8104,-3.1461291313171387,131708.79932420998,36.8626823425293,104974,-31674.162109375,2269,185,26.53,0.0055,420000
238569792.0,8246,88.78794860839844,-931372.42245036,1806.2508544921875,107474,54686.0,2329,184,79.68,0.0055,430000
77779696.0,8335,11.93535041809082,-964277.51969469,180.6964111328125,109974,68729.5,2388,184,115.39,0.0055,440000
2027925248.0,8452,-139.4345703125,-59978.62738430999,548.155517578125,112474,97554.359375,2448,183,82.54,0.0055,450000
192767968.0,8708,40.546382904052734,-128208.90325789,670.9388427734375,114974,111902.390625,2507,183,24.58,0.0055,460000
65158344.0,8880,31.71082305908203,-120687.11311671002,85.6818618774414,117474,60167.9296875,2566,183,65.63,0.0055,470000
61151064.0,8976,19.55995750427246,-22758.3957025,92.2110366821289,119974,53585.5625,2626,182,105.72,0.0055,480000
56067272.0,9074,-35.169395446777344,81033.47939106001,24.51243019104004,122474,8527.9541015625,2686,182,96.28,0.0055,490000
57703756.0,9128,2.615048408508301,36466.97751224,29.050203323364258,124974,3932.26171875,2745,182,146.85,0.0055,500000
1338002944.0,9315,15.835280418395996,-364034.36128843,499.5367736816406,127474,112054.8671875,2805,181,51.68,0.0055,510000
