time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/delta_std,train/step_size,train/iterations,rollout/return_std
4427,-18302543.50851231,924.2307692307693,149,660000,,,,,
4428,,,151,670000,0.0018,0.05,4.579625567657786e-11,10,4913065.5
4428,-19700414.183118,1000.0,153,680000,,,,,
4428,-16442520.887749001,837.1666666666666,155,690000,,,,,
4429,-17282219.323973,877.875,158,700000,,,,,
4420,-17941887.517159,911.1818181818181,160,710000,,,,,
4422,-18209978.165719844,924.8461538461538,162,720000,,,,,
4422,-19790144.942351,1000.0,165,730000,0.0018,0.05,3.351847965848975e-11,11,6712715.0
4423,-14907271.0399225,756.0,167,740000,,,,,
4423,-14847513.423761625,754.625,169,750000,,,,,
4423,-14244249.24245009,732.0909090909091,171,760000,,,,,
4423,-15461626.292491784,789.5,174,770000,,,,,
4423,,,176,780000,0.0018,0.05,2.8487391265374917e-11,12,7898231.0
4424,-19845127.159527,1000.0,178,790000,,,,,
4422,-19765577.3846158,1000.0,180,800000,,,,,
4423,-19799063.595035747,1000.0,183,810000,,,,,
4423,-19802190.7609405,1000.0,185,820000,,,,,
4423,-19791761.33433769,1000.0,187,830000,,,,,
4423,-19791666.58566733,1000.0,189,840000,,,,,
4423,-19632168.453078,1000.0,192,850000,0.0018,0.05,2.1662025506685723e-09,13,103868.3984375
4423,-19689074.326931,1000.0,194,860000,,,,,
4424,-19728456.658395,1000.0,196,870000,,,,,
4425,-19725494.340431776,1000.0,198,880000,,,,,
4421,-19765932.150889833,1000.0,201,890000,,,,,
4421,-19788171.4402865,1000.0,203,900000,,,,,
4421,-9935844.839017501,507.0,205,910000,0.0018,0.05,1.4307928175583129e-09,14,157255.46875
4421,-14822286.037917752,753.5,208,920000,,,,,
4421,-16959521.405978,859.1428571428571,210,930000,,,,,
4423,-17582635.370841555,890.4444444444445,212,940000,,,,,
4425,-18110665.418405917,917.8333333333334,214,950000,,,,,
4425,-18339422.3436965,929.5714285714286,216,960000,,,,,
4425,-9927503.157085,514.0,219,970000,0.0018,0.05,4.5807014431575865e-11,15,4911911.5
4425,-14722172.2790825,757.0,221,980000,,,,,
4425,-14761219.623680875,754.75,223,990000,,,,,
4425,-15778841.414646301,803.8,225,1000000,,,,,
4426,-16693484.28296831,849.0769230769231,228,1010000,,,,,
4426,-17126053.045239203,869.2,230,1020000,,,,,
